Accelerometer RWR accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RUA accY;Accelerometer LWR accX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit RLA magneticY;Accelerometer RUA^ accZ;Accelerometer RUA_ accZ;Accelerometer LH accZ;InertialMeasurementUnit RUA magneticX
150.0;?;-332.0;-19.0;-266.0;213.0;-29;294.0;-112.0;199.0;64.0;369.0
164.0;205.0;-374.0;0.0;-264.0;187.0;-28;286.0;-173.0;134.0;85.0;372.0
94.0;220.0;-384.0;-85.0;-266.0;173.0;-27;272.0;-207.0;97.0;83.0;376.0
87.0;217.0;-316.0;-133.0;-254.0;202.0;-27;253.0;-206.0;112.0;118.0;376.0
227.0;221.0;-255.0;-191.0;-231.0;225.0;-27;?;-141.0;160.0;129.0;376.0
109.0;235.0;?;-180.0;-191.0;280.0;-27;199.0;-69.0;204.0;152.0;375.0
16.0;242.0;-56.0;-81.0;-142.0;297.0;-27;166.0;-7.0;274.0;122.0;367.0
10.0;243.0;125.0;-86.0;-88.0;393.0;-26;146.0;131.0;359.0;119.0;348.0
-51.0;209.0;276.0;-35.0;-39.0;?;-28;143.0;293.0;465.0;22.0;325.0
20.0;168.0;330.0;-5.0;15.0;509.0;-28;157.0;?;561.0;30.0;295.0
11.0;102.0;268.0;-87.0;80.0;475.0;-28;?;403.0;619.0;46.0;257.0
90.0;75.0;?;-192.0;143.0;437.0;-28;235.0;406.0;598.0;93.0;219.0
-17.0;31.0;284.0;-148.0;?;376.0;-28;249.0;427.0;593.0;234.0;191.0
-17.0;-34.0;238.0;-178.0;240.0;309.0;-28;250.0;342.0;520.0;284.0;174.0
45.0;-55.0;220.0;-234.0;275.0;242.0;-28;242.0;304.0;445.0;268.0;168.0
126.0;14.0;89.0;-273.0;?;256.0;-28;228.0;268.0;430.0;260.0;170.0
39.0;52.0;17.0;-259.0;307.0;244.0;-28;196.0;?;385.0;268.0;187.0
51.0;44.0;72.0;-148.0;312.0;217.0;-28;151.0;167.0;354.0;188.0;214.0
?;68.0;208.0;-187.0;324.0;209.0;-28;102.0;252.0;369.0;141.0;244.0
239.0;111.0;259.0;-209.0;327.0;244.0;-28;43.0;376.0;430.0;23.0;277.0
128.0;137.0;225.0;-110.0;324.0;289.0;-28;0.0;394.0;471.0;-23.0;310.0
?;127.0;265.0;?;309.0;279.0;?;?;358.0;460.0;?;349.0
64.0;136.0;291.0;-25.0;282.0;383.0;-27;-36.0;382.0;477.0;-81.0;374.0
