Accelerometer RWR accZ;InertialMeasurementUnit LLA accZ;InertialMeasurementUnit RUA accY;Accelerometer LWR accX;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit RLA accZ;InertialMeasurementUnit L-SHOE EuY;InertialMeasurementUnit RLA magneticY;Accelerometer RUA^ accZ;Accelerometer RUA_ accZ;Accelerometer LH accZ;InertialMeasurementUnit RUA magneticX
89.0;91.0;-155.0;-37.0;-219.0;382.0;-28;235.0;166.0;439.0;43.0;261.0
-327.0;233.0;-292.0;-23.0;142.0;418.0;-45;-770.0;-199.0;563.0;-120.0;717.0
-317.0;725.0;-359.0;532.0;-436.0;400.0;-29;-2008.0;-149.0;541.0;-771.0;1071.0
182.0;270.0;-291.0;31.0;-399.0;121.0;-27;361.0;-137.0;109.0;-102.0;167.0
10.0;243.0;125.0;-86.0;-88.0;393.0;-26;146.0;131.0;359.0;119.0;348.0
-25.0;163.0;-231.0;176.0;377.0;371.0;-28;-627.0;6.0;587.0;-260.0;490.0
-25.0;303.0;-167.0;-94.0;209.0;501.0;-28;-486.0;50.0;659.0;-215.0;462.0
409.0;-87.0;429.0;-398.0;-162.0;351.0;-35;178.0;487.0;526.0;284.0;14.0
347.0;-530.0;717.0;-345.0;704.0;273.0;-29;153.0;779.0;569.0;485.0;-4.0
128.0;137.0;225.0;-110.0;324.0;289.0;-28;0.0;394.0;471.0;-23.0;310.0
64.0;136.0;291.0;-25.0;282.0;383.0;-27;-36.0;382.0;477.0;-81.0;374.0
-19.0;486.0;78.0;-114.0;436.0;649.0;-29;146.0;281.0;616.0;-633.0;217.0
-5.0;27.0;131.0;-241.0;95.0;293.0;-29;-71.0;331.0;513.0;-79.0;439.0
711.0;42.0;34.0;-219.0;-4.0;244.0;-63;1.0;-82.0;298.0;27.0;425.0
365.0;149.0;35.0;-180.0;87.0;327.0;-29;-32.0;157.0;262.0;87.0;422.0
259.0;168.0;489.0;-241.0;-186.0;366.0;-27;-215.0;385.0;530.0;17.0;234.0
-19.0;441.0;90.0;-58.0;81.0;621.0;-29;39.0;308.0;470.0;17.0;381.0
-161.0;536.0;157.0;19.0;101.0;740.0;-29;98.0;227.0;530.0;-156.0;347.0
218.0;439.0;-357.0;33.0;-113.0;650.0;-6;-575.0;226.0;392.0;-163.0;691.0
-450.0;260.0;16.0;-53.0;297.0;602.0;-32;-368.0;157.0;802.0;-667.0;471.0
-76.0;81.0;-189.0;4.0;41.0;593.0;-27;-421.0;182.0;712.0;-199.0;442.0
62.0;232.0;-333.0;-27.0;-186.0;185.0;-27;-736.0;-284.0;149.0;-267.0;633.0
274.0;46.0;-93.0;-201.0;-21.0;283.0;-27;-618.0;-97.0;430.0;-229.0;482.0
266.0;133.0;-130.0;-175.0;7.0;315.0;-28;-550.0;3.0;446.0;-204.0;411.0
244.0;175.0;-45.0;-185.0;62.0;326.0;-28;-488.0;52.0;449.0;-168.0;307.0
207.0;146.0;-77.0;-211.0;86.0;311.0;-28;-480.0;-7.0;451.0;-179.0;280.0
310.0;193.0;-60.0;-215.0;113.0;277.0;-28;-473.0;19.0;453.0;-214.0;251.0
269.0;162.0;-71.0;-105.0;218.0;292.0;-28;-453.0;85.0;486.0;-248.0;199.0
175.0;151.0;-34.0;-102.0;250.0;277.0;-28;-447.0;100.0;500.0;-306.0;187.0
833.0;-158.0;29.0;-97.0;364.0;-202.0;-30;-270.0;26.0;158.0;-625.0;338.0
244.0;174.0;-20.0;-102.0;320.0;418.0;-28;-432.0;50.0;428.0;-281.0;178.0
251.0;135.0;75.0;-107.0;424.0;369.0;-28;-434.0;102.0;443.0;-233.0;179.0
20.0;349.0;7.0;82.0;546.0;429.0;-29;-380.0;119.0;453.0;-275.0;110.0
-381.0;109.0;-91.0;-52.0;-57.0;451.0;-27;-470.0;313.0;753.0;-315.0;453.0
-338.0;537.0;-452.0;291.0;-161.0;276.0;-28;-1169.0;-212.0;479.0;-470.0;899.0
-693.0;131.0;-308.0;-156.0;-44.0;290.0;-25;-677.0;317.0;788.0;-43.0;891.0
-270.0;547.0;-7.0;301.0;-195.0;555.0;-24;-533.0;213.0;504.0;-694.0;781.0
426.0;174.0;-80.0;-345.0;606.0;167.0;-27;-340.0;-82.0;351.0;330.0;351.0
425.0;148.0;-35.0;39.0;621.0;94.0;-27;-338.0;53.0;-5.0;-34.0;291.0
162.0;153.0;-26.0;-44.0;595.0;239.0;-27;-287.0;65.0;331.0;90.0;316.0
265.0;151.0;32.0;-45.0;578.0;117.0;-27;-350.0;129.0;327.0;73.0;289.0
94.0;162.0;33.0;-41.0;592.0;203.0;-27;-285.0;112.0;390.0;82.0;307.0
95.0;166.0;39.0;-29.0;589.0;191.0;-27;-279.0;101.0;371.0;95.0;297.0
28.0;153.0;25.0;-61.0;588.0;156.0;-27;-281.0;76.0;392.0;82.0;291.0
11.0;147.0;31.0;-47.0;584.0;114.0;-27;-283.0;115.0;394.0;90.0;288.0
116.0;142.0;32.0;-85.0;581.0;38.0;-27;-308.0;144.0;364.0;96.0;283.0
403.0;263.0;85.0;-28.0;674.0;-152.0;-27;-488.0;226.0;134.0;2.0;282.0
-746.0;120.0;586.0;-64.0;-811.0;865.0;-44;365.0;706.0;940.0;-62.0;-314.0
-68.0;-9.0;230.0;-37.0;-367.0;344.0;-88;-47.0;187.0;525.0;18.0;446.0
-16.0;23.0;265.0;-161.0;-364.0;318.0;-83;-87.0;180.0;511.0;65.0;461.0
30.0;36.0;228.0;-195.0;-376.0;300.0;-82;-127.0;125.0;420.0;96.0;475.0
361.0;86.0;-44.0;-73.0;627.0;417.0;-27;-202.0;118.0;329.0;70.0;377.0
102.0;70.0;-120.0;-75.0;623.0;425.0;-27;-202.0;141.0;499.0;76.0;388.0
218.0;74.0;-123.0;-47.0;619.0;431.0;-27;-204.0;148.0;541.0;119.0;391.0
76.0;97.0;-193.0;-113.0;612.0;417.0;-27;-195.0;98.0;563.0;143.0;387.0
-95.0;129.0;-240.0;-136.0;587.0;311.0;-27;-155.0;39.0;520.0;167.0;364.0
-421.0;-192.0;-401.0;-508.0;501.0;515.0;-29;-15.0;-284.0;630.0;464.0;463.0
30.0;156.0;-201.0;-81.0;561.0;389.0;-27;-176.0;-108.0;358.0;89.0;357.0
2.0;168.0;-192.0;-100.0;561.0;384.0;-27;-181.0;-69.0;423.0;125.0;355.0
-91.0;178.0;-113.0;-98.0;560.0;360.0;-27;-233.0;-44.0;456.0;101.0;359.0
-49.0;167.0;-90.0;-82.0;559.0;336.0;-27;-251.0;-56.0;429.0;103.0;359.0
53.0;167.0;-92.0;-59.0;560.0;314.0;-27;-270.0;-37.0;445.0;118.0;359.0
38.0;194.0;-175.0;-65.0;577.0;278.0;-27;-383.0;23.0;485.0;103.0;367.0
148.0;156.0;-49.0;-58.0;609.0;439.0;-25;-560.0;12.0;370.0;71.0;409.0
31.0;114.0;-28.0;-95.0;625.0;317.0;-28;-631.0;99.0;365.0;103.0;389.0
25.0;-102.0;-280.0;-372.0;777.0;229.0;-27;-764.0;-188.0;280.0;179.0;569.0
84.0;136.0;-156.0;-135.0;590.0;310.0;-28;-514.0;85.0;341.0;179.0;379.0
397.0;211.0;23.0;-277.0;-500.0;124.0;-41;-204.0;218.0;609.0;329.0;617.0
67.0;89.0;-287.0;-138.0;-312.0;451.0;-15;-313.0;130.0;519.0;325.0;642.0
-46.0;206.0;-221.0;-245.0;-174.0;394.0;-28;-358.0;364.0;421.0;63.0;532.0
-154.0;265.0;-18.0;-78.0;-146.0;273.0;-18;-405.0;148.0;444.0;4.0;652.0
2.0;164.0;123.0;-26.0;-105.0;388.0;-27;-518.0;139.0;287.0;257.0;553.0
17.0;136.0;27.0;-147.0;-85.0;331.0;-27;-542.0;83.0;294.0;240.0;557.0
-9.0;236.0;-85.0;-250.0;-59.0;318.0;-27;-560.0;-27.0;262.0;185.0;558.0
29.0;140.0;35.0;-105.0;7.0;271.0;-26;-559.0;75.0;397.0;110.0;551.0
-31.0;133.0;-48.0;-94.0;35.0;286.0;-26;-555.0;259.0;586.0;28.0;545.0
-127.0;57.0;155.0;265.0;12.0;473.0;-88;-442.0;-131.0;747.0;-362.0;391.0
-194.0;88.0;-20.0;-89.0;-37.0;383.0;-77;-440.0;-8.0;501.0;-135.0;540.0
-353.0;182.0;-419.0;-118.0;15.0;261.0;-32;-664.0;-377.0;289.0;-35.0;585.0
