PT08.S3(NOx);RH;C6H6(GT);T;AH;PT08.S1(CO);PT08.S2(NMHC);PT08.S4(NO2);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT);NMHC(GT)
745.0;22.6;11.2;38.1;1.4868;1124.0;1021.0;1735.0;827.0;1.7;119.0;115.0;-200.0
882.0;57.4;6.8;20.6;1.3753;936.0;849.0;1640.0;886.0;1.0;61.0;70.0;-200.0
791.0;56.5;6.7;16.9;1.0801;1014.0;843.0;1297.0;866.0;1.7;116.0;279.0;-200.0
833.0;68.6;5.7;19.7;1.5563;972.0;799.0;1425.0;825.0;1.5;72.0;199.0;-200.0
768.0;68.4;6.6;20.7;1.6507;1073.0;838.0;1549.0;892.0;1.5;63.0;178.0;-200.0
800.0;53.0;5.7;27.7;1.9423;1001.0;799.0;1642.0;753.0;1.2;46.0;59.0;-200.0
806.0;50.5;5.8;24.4;1.5243;968.0;803.0;1586.0;1003.0;0.7;62.0;56.0;-200.0
767.0;68.1;6.7;20.8;1.6585;1069.0;844.0;1527.0;883.0;1.5;63.0;185.0;-200.0
753.0;69.1;6.3;21.3;1.7275;1082.0;825.0;1526.0;930.0;1.2;59.0;163.0;-200.0
840.0;35.4;6.5;29.6;1.4426;982.0;836.0;1498.0;696.0;-200.0;-200.0;-200.0;-200.0
818.0;34.2;12.7;19.3;0.7566;1223.0;1075.0;1678.0;1198.0;2.4;112.0;164.0;308.0
942.0;36.1;9.7;15.5;0.6313;1167.0;966.0;1520.0;1016.0;2.1;93.0;129.0;184.0
803.0;39.9;6.9;33.4;2.0177;1066.0;855.0;1712.0;929.0;1.5;61.0;101.0;-200.0
902.0;17.1;13.4;26.7;0.5909;1106.0;1097.0;1552.0;941.0;2.4;105.0;135.0;-200.0
1009.0;20.9;12.1;27.5;0.7565;1073.0;1052.0;1574.0;854.0;-200.0;-200.0;-200.0;-200.0
898.0;54.8;7.9;20.3;1.2867;1035.0;895.0;1657.0;863.0;1.3;65.0;84.0;-200.0
825.0;24.8;9.0;29.7;1.016;1067.0;938.0;1520.0;912.0;1.2;99.0;102.0;-200.0
1046.0;84.6;3.0;14.4;1.3794;862.0;649.0;1289.0;675.0;-200.0;-200.0;-200.0;-200.0
764.0;70.8;6.9;19.0;1.5417;1035.0;851.0;1465.0;1002.0;1.3;69.0;132.0;-200.0
866.0;28.7;9.8;31.3;1.2885;1007.0;971.0;1682.0;802.0;1.7;106.0;120.0;-200.0
816.0;43.0;8.3;22.2;1.1363;949.0;910.0;1552.0;1015.0;1.2;77.0;71.0;-200.0
954.0;63.6;7.3;13.3;0.9677;1025.0;869.0;1531.0;851.0;2.1;101.0;144.0;-200.0
1056.0;36.9;8.5;19.5;0.8258;955.0;918.0;1511.0;762.0;1.3;93.0;102.0;-200.0
780.0;34.0;10.1;25.5;1.0935;1048.0;983.0;1643.0;1064.0;1.8;119.0;134.0;-200.0
1013.0;15.8;5.9;38.3;1.0465;927.0;806.0;1446.0;559.0;1.0;69.0;51.0;-200.0
846.0;52.8;8.7;17.2;1.0236;1066.0;927.0;1608.0;804.0;1.9;97.0;138.0;-200.0
818.0;45.5;9.8;19.5;1.0189;1084.0;970.0;1626.0;845.0;2.1;98.0;132.0;-200.0
849.0;30.0;9.0;25.3;0.9508;951.0;939.0;1488.0;868.0;1.4;101.0;96.0;-200.0
883.0;57.0;6.9;16.3;1.0484;1014.0;853.0;1538.0;975.0;1.3;91.0;75.0;-200.0
922.0;65.2;8.0;13.4;0.9996;1041.0;898.0;1595.0;891.0;2.0;97.0;130.0;-200.0
736.0;24.7;12.1;33.4;1.2516;1084.0;1052.0;1677.0;882.0;2.0;130.0;136.0;-200.0
905.0;23.6;10.5;25.9;0.7771;984.0;998.0;1523.0;862.0;2.0;97.0;134.0;-200.0
835.0;27.9;9.6;27.0;0.9812;962.0;963.0;1592.0;843.0;2.1;96.0;164.0;-200.0
674.0;46.1;16.0;17.8;0.9344;1357.0;1178.0;1782.0;1454.0;3.3;124.0;167.0;-200.0
880.0;35.7;9.3;25.1;1.1222;1083.0;951.0;1393.0;1054.0;1.7;131.0;223.0;-200.0
1074.0;75.0;4.8;9.3;0.8799;1020.0;752.0;1398.0;839.0;1.4;97.0;95.0;88.0
760.0;34.0;8.4;33.5;1.73;1012.0;914.0;1653.0;858.0;1.7;88.0;80.0;-200.0
918.0;69.7;8.9;12.0;0.9735;1287.0;936.0;1606.0;1040.0;2.0;106.0;126.0;-200.0
845.0;36.2;10.1;23.0;1.0053;1296.0;983.0;1626.0;802.0;-200.0;-200.0;-200.0;-200.0
912.0;49.3;5.9;20.5;1.176;914.0;809.0;1530.0;807.0;0.7;69.0;69.0;-200.0
1021.0;71.1;6.6;11.9;0.9915;1134.0;840.0;1501.0;917.0;1.6;96.0;103.0;-200.0
857.0;28.2;6.8;31.7;1.2962;969.0;850.0;1503.0;695.0;1.3;77.0;70.0;-200.0
793.0;64.9;8.0;22.2;1.719;1037.0;898.0;1539.0;836.0;1.6;87.0;152.0;-200.0
749.0;62.0;9.6;22.9;1.7127;1077.0;964.0;1571.0;923.0;1.8;93.0;163.0;-200.0
845.0;19.3;9.6;34.4;1.0325;1008.0;962.0;1545.0;742.0;1.7;129.0;145.0;-200.0
767.0;14.4;10.2;42.7;1.2092;1105.0;984.0;1532.0;868.0;-200.0;106.0;97.0;-200.0
792.0;11.6;11.3;41.0;0.8872;1056.0;1024.0;1555.0;1068.0;1.8;121.0;159.0;-200.0
746.0;74.7;8.0;14.9;1.2564;1022.0;898.0;1414.0;955.0;-200.0;-200.0;-200.0;-200.0
799.0;70.5;6.1;20.1;1.6384;1039.0;817.0;1502.0;836.0;1.3;55.0;132.0;-200.0
750.0;70.1;8.0;17.0;1.3512;1019.0;901.0;1438.0;960.0;1.3;64.0;231.0;-200.0
973.0;69.3;3.4;16.1;1.2591;862.0;677.0;1192.0;725.0;0.5;43.0;96.0;-200.0
707.0;58.2;15.5;13.5;0.8944;1085.0;1164.0;1503.0;1155.0;2.4;120.0;368.0;-200.0
986.0;26.9;10.1;25.0;0.8408;1025.0;980.0;1591.0;891.0;1.3;113.0;114.0;-200.0
687.0;41.9;9.3;31.2;1.871;1122.0;951.0;1729.0;1022.0;2.0;95.0;126.0;-200.0
762.0;37.0;12.0;19.6;0.8325;1183.0;1049.0;1594.0;1290.0;2.6;112.0;146.0;-200.0
706.0;67.5;8.8;21.5;1.708;1088.0;932.0;1565.0;1034.0;1.3;72.0;203.0;-200.0
729.0;48.0;6.8;26.0;1.5899;1016.0;849.0;1609.0;872.0;1.5;84.0;99.0;-200.0
816.0;51.0;7.2;22.6;1.3805;1007.0;864.0;1639.0;987.0;1.1;71.0;65.0;-200.0
679.0;60.5;13.7;8.6;0.6788;1054.0;1106.0;1297.0;1239.0;-200.0;-200.0;-200.0;-200.0
822.0;33.4;9.0;27.4;1.2022;1045.0;940.0;1658.0;920.0;1.5;94.0;90.0;-200.0
1032.0;35.3;10.3;20.5;0.8435;1026.0;990.0;1553.0;972.0;-200.0;-200.0;-200.0;-200.0
899.0;54.8;8.1;20.5;1.3073;935.0;905.0;1675.0;954.0;1.0;69.0;88.0;-200.0
838.0;47.6;10.2;26.6;1.6315;1133.0;984.0;1897.0;976.0;1.9;92.0;110.0;-200.0
854.0;37.3;7.4;24.2;1.1118;953.0;874.0;1528.0;899.0;1.1;84.0;72.0;-200.0
897.0;51.8;7.5;19.9;1.1911;915.0;877.0;1651.0;937.0;1.0;69.0;92.0;-200.0
649.0;48.7;16.2;22.9;1.3416;1203.0;1185.0;1968.0;1328.0;2.9;125.0;224.0;-200.0
867.0;38.3;8.9;27.1;1.3548;1027.0;936.0;1696.0;931.0;1.7;117.0;152.0;-200.0
868.0;43.0;8.7;25.2;1.358;1016.0;929.0;1724.0;853.0;1.7;94.0;87.0;-200.0
806.0;44.9;9.1;24.6;1.3661;1031.0;945.0;1697.0;964.0;1.4;86.0;100.0;-200.0
770.0;27.2;13.6;33.5;1.3859;1152.0;1102.0;1868.0;1113.0;2.4;134.0;157.0;-200.0
857.0;36.4;9.3;25.2;1.1528;959.0;949.0;1640.0;949.0;1.8;93.0;104.0;-200.0
687.0;51.1;9.1;28.2;1.9221;1098.0;944.0;1772.0;1086.0;1.5;76.0;69.0;-200.0
861.0;37.8;8.2;29.2;1.5098;1079.0;909.0;1686.0;928.0;1.8;99.0;107.0;-200.0
848.0;68.6;8.7;12.1;0.964;1034.0;928.0;1619.0;1005.0;-200.0;-200.0;-200.0;-200.0
955.0;45.5;5.8;25.4;1.457;972.0;804.0;1620.0;734.0;1.0;53.0;47.0;-200.0
879.0;21.4;7.9;38.9;1.4605;1089.0;893.0;1609.0;791.0;1.6;110.0;90.0;-200.0
673.0;66.7;10.1;20.4;1.583;1146.0;983.0;1518.0;1136.0;1.7;71.0;201.0;-200.0
796.0;22.1;13.4;30.1;0.9281;1192.0;1097.0;1688.0;971.0;2.0;113.0;118.0;-200.0
758.0;28.3;8.6;28.9;1.1078;957.0;926.0;1480.0;830.0;1.7;92.0;72.0;-200.0
932.0;31.0;8.2;27.1;1.0991;1017.0;908.0;1354.0;880.0;1.4;119.0;194.0;-200.0
896.0;49.2;5.6;24.7;1.5116;956.0;794.0;1456.0;1007.0;0.8;68.0;144.0;-200.0
959.0;47.2;10.4;20.2;1.1043;1081.0;992.0;1680.0;935.0;1.8;119.0;147.0;-200.0
917.0;72.0;5.5;19.5;1.6118;940.0;789.0;1473.0;914.0;-200.0;-200.0;-200.0;-200.0
-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;-200.0;1.4;71.0;83.0;-200.0
666.0;61.1;11.2;22.1;1.6012;1193.0;1021.0;1633.0;1152.0;-200.0;-200.0;-200.0;-200.0
767.0;54.1;7.4;25.7;1.7546;963.0;872.0;1617.0;803.0;1.5;69.0;65.0;-200.0
656.0;43.6;10.8;26.0;1.4407;1070.0;1008.0;1649.0;963.0;-200.0;-200.0;-200.0;-200.0
725.0;52.1;7.8;27.6;1.8936;1083.0;889.0;1734.0;918.0;1.4;56.0;72.0;-200.0
908.0;55.8;4.6;22.3;1.4828;923.0;744.0;1394.0;815.0;0.7;64.0;80.0;-200.0
1474.0;27.6;1.8;18.4;0.5799;773.0;568.0;1113.0;392.0;0.5;37.0;25.0;-200.0
1152.0;48.8;2.3;21.3;1.2189;795.0;606.0;1369.0;552.0;0.2;35.0;25.0;-200.0
896.0;17.2;13.5;22.6;0.4656;997.0;1100.0;1392.0;987.0;2.4;106.0;157.0;-200.0
822.0;32.4;9.6;31.2;1.4517;1097.0;964.0;1743.0;853.0;1.7;102.0;103.0;-200.0
743.0;38.7;9.2;30.7;1.678;1088.0;948.0;1667.0;766.0;1.5;77.0;69.0;-200.0
848.0;34.6;6.2;27.5;1.2518;990.0;821.0;1511.0;1079.0;0.6;62.0;57.0;-200.0
733.0;32.8;9.2;33.3;1.6527;1059.0;947.0;1671.0;813.0;1.7;74.0;90.0;-200.0
553.0;61.1;17.3;22.6;1.6596;1301.0;1218.0;1806.0;1399.0;3.4;133.0;406.0;-200.0
700.0;32.1;21.2;22.8;0.8814;1529.0;1331.0;2028.0;1399.0;4.2;132.0;211.0;589.0
522.0;34.8;25.2;31.6;1.5925;1446.0;1434.0;2075.0;1619.0;4.6;190.0;442.0;-200.0
623.0;53.2;21.6;15.2;0.9107;1403.0;1340.0;2003.0;1502.0;-200.0;-200.0;-200.0;-200.0
