NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
-200.0;879.0;6.6;29.1;37.4;1.4833;1656.0;1045.0;840.0;807.0;1.6;92.0;118.0
-200.0;704.0;7.6;4.0;80.4;0.663;1173.0;1127.0;884.0;983.0;0.1;136.0;248.0
-200.0;916.0;5.1;21.0;61.3;1.5031;1409.0;930.0;768.0;825.0;1.0;74.0;98.0
-200.0;680.0;12.1;28.5;37.3;1.4291;1609.0;1132.0;1052.0;944.0;2.2;117.0;233.0
-200.0;818.0;6.9;21.4;68.5;1.7261;1513.0;1002.0;854.0;779.0;1.4;71.0;104.0
-200.0;761.0;11.7;24.8;33.7;1.0377;1455.0;1032.0;1039.0;1071.0;2.1;118.0;231.0
-200.0;859.0;6.5;22.7;53.7;1.458;1437.0;969.0;835.0;773.0;1.0;64.0;97.0
-200.0;685.0;7.7;15.6;54.8;0.966;1288.0;1173.0;885.0;1038.0;1.9;134.0;274.0
-200.0;982.0;3.9;16.9;66.7;1.2772;1312.0;857.0;705.0;733.0;0.8;44.0;105.0
-200.0;895.0;5.8;15.4;76.6;1.3334;1390.0;985.0;805.0;785.0;2.0;107.0;240.0
-200.0;766.0;8.8;24.7;46.4;1.4206;1506.0;1096.0;931.0;1019.0;1.9;121.0;228.0
-200.0;878.0;8.3;34.6;22.4;1.212;1385.0;1045.0;910.0;742.0;1.8;106.0;193.0
-200.0;806.0;8.8;22.2;48.0;1.2678;1465.0;1027.0;933.0;1050.0;1.7;85.0;224.0
-200.0;891.0;6.2;19.6;56.6;1.2797;1415.0;940.0;823.0;853.0;1.2;64.0;112.0
-200.0;816.0;9.0;22.8;43.4;1.1915;1456.0;1042.0;938.0;1004.0;1.7;109.0;210.0
-200.0;585.0;10.2;18.8;31.5;0.6752;1252.0;1201.0;985.0;996.0;1.1;156.0;289.0
-200.0;979.0;6.7;20.2;53.1;1.2442;1398.0;926.0;845.0;851.0;1.4;81.0;239.0
-200.0;934.0;4.8;21.9;67.1;1.7394;1496.0;911.0;753.0;865.0;0.8;55.0;103.0
-200.0;865.0;8.2;14.6;56.4;0.9319;1321.0;944.0;908.0;931.0;1.6;83.0;261.0
-200.0;908.0;7.8;21.5;31.4;0.7943;1278.0;990.0;891.0;765.0;2.2;99.0;261.0
-200.0;736.0;10.8;10.5;62.2;0.7923;1301.0;1055.0;1007.0;1019.0;2.7;145.0;457.0
-200.0;911.0;7.3;19.6;36.3;0.8193;1287.0;971.0;870.0;798.0;2.1;98.0;266.0
-200.0;921.0;5.0;14.9;58.9;0.9891;1247.0;884.0;764.0;900.0;1.0;75.0;110.0
-200.0;889.0;5.6;14.1;61.7;0.9844;1266.0;894.0;794.0;908.0;0.9;71.0;179.0
-200.0;801.0;9.0;14.4;60.3;0.9802;1399.0;988.0;941.0;1035.0;1.5;99.0;361.0
-200.0;862.0;9.2;23.7;29.6;0.8537;1328.0;964.0;947.0;907.0;1.7;123.0;327.0
-200.0;891.0;6.8;16.7;46.6;0.8793;1253.0;897.0;849.0;910.0;1.3;90.0;157.0
-200.0;890.0;7.3;12.1;62.6;0.8825;1253.0;875.0;871.0;890.0;1.2;82.0;241.0
-200.0;883.0;5.7;18.6;49.1;1.0435;1263.0;930.0;796.0;977.0;1.1;85.0;135.0
