NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
-200.0;698.0;5.7;14.0;59.7;0.9495;1235.0;1168.0;797.0;1022.0;1.5;111.0;251.0
-200.0;1031.0;5.1;13.8;80.4;1.2621;1302.0;1052.0;766.0;796.0;1.4;81.0;169.0
-200.0;916.0;5.1;21.0;61.3;1.5031;1409.0;930.0;768.0;825.0;1.0;74.0;98.0
-200.0;680.0;12.1;28.5;37.3;1.4291;1609.0;1132.0;1052.0;944.0;2.2;117.0;233.0
-200.0;818.0;6.9;21.4;68.5;1.7261;1513.0;1002.0;854.0;779.0;1.4;71.0;104.0
-200.0;761.0;11.7;24.8;33.7;1.0377;1455.0;1032.0;1039.0;1071.0;2.1;118.0;231.0
-200.0;859.0;6.5;22.7;53.7;1.458;1437.0;969.0;835.0;773.0;1.0;64.0;97.0
-200.0;669.0;5.9;13.6;63.5;0.9857;1243.0;1150.0;807.0;1042.0;1.9;149.0;276.0
-200.0;937.0;4.7;19.4;63.5;1.4139;1373.0;903.0;748.0;801.0;0.9;60.0;126.0
-200.0;895.0;5.8;15.4;76.6;1.3334;1390.0;985.0;805.0;785.0;2.0;107.0;240.0
-200.0;766.0;8.8;24.7;46.4;1.4206;1506.0;1096.0;931.0;1019.0;1.9;121.0;228.0
-200.0;878.0;8.3;34.6;22.4;1.212;1385.0;1045.0;910.0;742.0;1.8;106.0;193.0
-200.0;806.0;8.8;22.2;48.0;1.2678;1465.0;1027.0;933.0;1050.0;1.7;85.0;224.0
-200.0;891.0;6.2;19.6;56.6;1.2797;1415.0;940.0;823.0;853.0;1.2;64.0;112.0
-200.0;816.0;9.0;22.8;43.4;1.1915;1456.0;1042.0;938.0;1004.0;1.7;109.0;210.0
-200.0;1170.0;1.7;13.7;64.4;1.0036;1085.0;811.0;559.0;558.0;0.6;50.0;71.0
-200.0;979.0;6.7;20.2;53.1;1.2442;1398.0;926.0;845.0;851.0;1.4;81.0;239.0
-200.0;934.0;4.8;21.9;67.1;1.7394;1496.0;911.0;753.0;865.0;0.8;55.0;103.0
-200.0;865.0;8.2;14.6;56.4;0.9319;1321.0;944.0;908.0;931.0;1.6;83.0;261.0
-200.0;908.0;7.8;21.5;31.4;0.7943;1278.0;990.0;891.0;765.0;2.2;99.0;261.0
-200.0;795.0;10.7;20.3;35.5;0.833;1384.0;1066.0;1004.0;1006.0;3.3;127.0;371.0
-200.0;911.0;7.3;19.6;36.3;0.8193;1287.0;971.0;870.0;798.0;2.1;98.0;266.0
-200.0;921.0;5.0;14.9;58.9;0.9891;1247.0;884.0;764.0;900.0;1.0;75.0;110.0
-200.0;889.0;5.6;14.1;61.7;0.9844;1266.0;894.0;794.0;908.0;0.9;71.0;179.0
-200.0;801.0;9.0;14.4;60.3;0.9802;1399.0;988.0;941.0;1035.0;1.5;99.0;361.0
-200.0;862.0;9.2;23.7;29.6;0.8537;1328.0;964.0;947.0;907.0;1.7;123.0;327.0
-200.0;891.0;6.8;16.7;46.6;0.8793;1253.0;897.0;849.0;910.0;1.3;90.0;157.0
-200.0;890.0;7.3;12.1;62.6;0.8825;1253.0;875.0;871.0;890.0;1.2;82.0;241.0
-200.0;883.0;5.7;18.6;49.1;1.0435;1263.0;930.0;796.0;977.0;1.1;85.0;135.0
-200.0;615.0;16.5;8.8;76.6;0.8678;1508.0;1237.0;1194.0;1193.0;4.7;-200.0;-200.0
-200.0;764.0;6.9;19.0;70.8;1.5417;1465.0;1035.0;851.0;1002.0;1.3;69.0;132.0
-200.0;872.0;4.3;19.0;70.3;1.5308;1371.0;966.0;726.0;892.0;0.7;60.0;120.0
-200.0;880.0;9.3;25.1;35.7;1.1222;1393.0;1083.0;951.0;1054.0;1.7;131.0;223.0
-200.0;932.0;8.2;27.1;31.0;1.0991;1354.0;1017.0;908.0;880.0;1.4;119.0;194.0
-200.0;882.0;13.4;34.9;18.4;1.0106;1450.0;1110.0;1098.0;1009.0;2.5;153.0;365.0
-200.0;908.0;12.2;33.6;19.6;1.0029;1406.0;1077.0;1056.0;935.0;2.1;143.0;280.0
-200.0;1114.0;7.5;24.9;28.3;0.8775;1261.0;999.0;879.0;960.0;1.4;119.0;180.0
-200.0;703.0;10.2;27.3;38.3;1.3669;1546.0;1081.0;983.0;1079.0;2.1;64.0;145.0
-200.0;668.0;9.6;20.6;62.0;1.4827;1517.0;1147.0;964.0;1116.0;1.7;60.0;165.0
-200.0;660.0;7.7;20.0;33.0;0.7625;1222.0;1151.0;885.0;903.0;1.6;128.0;240.0
-200.0;817.0;5.5;18.2;70.1;1.4552;1390.0;981.0;790.0;898.0;0.9;47.0;147.0
-200.0;681.0;7.0;17.9;38.8;0.7883;1182.0;1103.0;857.0;946.0;1.5;123.0;230.0
-200.0;653.0;10.8;18.2;70.0;1.4519;1589.0;1147.0;1009.0;1096.0;1.7;50.0;279.0
-200.0;697.0;7.3;21.1;64.5;1.594;1502.0;1150.0;871.0;1030.0;1.4;58.0;155.0
-200.0;681.0;7.8;20.8;66.7;1.6201;1549.0;1157.0;890.0;1054.0;1.3;53.0;154.0
-200.0;765.0;6.3;22.2;65.2;1.7256;1521.0;1049.0;826.0;917.0;1.1;51.0;150.0
-200.0;705.0;5.3;9.9;68.9;0.8388;1187.0;1119.0;778.0;1096.0;0.3;123.0;192.0
-200.0;807.0;5.6;24.1;59.0;1.7449;1494.0;1055.0;795.0;834.0;1.0;51.0;103.0
-200.0;680.0;9.0;24.8;59.6;1.8351;1653.0;1229.0;941.0;1040.0;1.9;68.0;220.0
-200.0;733.0;5.2;11.7;62.1;0.8535;1178.0;1128.0;771.0;923.0;0.4;122.0;193.0
-200.0;765.0;13.3;17.6;58.5;1.1645;1769.0;1385.0;1094.0;1175.0;3.7;129.0;190.0
-200.0;767.0;6.7;20.8;68.1;1.6585;1527.0;1069.0;844.0;883.0;1.5;63.0;185.0
-200.0;686.0;12.3;33.3;24.4;1.232;1601.0;1028.0;1060.0;806.0;2.0;108.0;213.0
-200.0;722.0;10.4;31.1;28.6;1.2718;1580.0;996.0;992.0;727.0;1.7;93.0;189.0
-200.0;1064.0;5.8;13.8;57.9;0.9085;1447.0;1127.0;802.0;837.0;1.7;92.0;104.0
-200.0;1136.0;4.0;14.9;60.6;1.0196;1461.0;1062.0;711.0;700.0;1.1;66.0;55.0
-200.0;799.0;6.1;20.1;70.5;1.6384;1502.0;1039.0;817.0;836.0;1.3;55.0;132.0
-200.0;700.0;10.3;20.0;63.3;1.4672;1556.0;1052.0;987.0;1102.0;1.9;62.0;224.0
-200.0;742.0;7.0;22.8;58.5;1.5992;1544.0;953.0;858.0;780.0;1.3;79.0;136.0
-200.0;633.0;10.3;26.2;47.8;1.5979;1694.0;1079.0;988.0;899.0;2.0;87.0;165.0
-200.0;743.0;8.9;19.0;66.1;1.4415;1525.0;1057.0;934.0;1041.0;1.9;57.0;206.0
-200.0;919.0;5.1;18.9;60.7;1.311;1340.0;911.0;769.0;791.0;1.1;54.0;113.0
-200.0;744.0;8.3;24.7;41.8;1.2839;1512.0;977.0;913.0;977.0;1.7;81.0;104.0
-200.0;1004.0;6.2;15.6;56.6;0.9951;1526.0;1203.0;823.0;903.0;1.6;84.0;89.0
-200.0;767.0;7.1;20.7;53.3;1.287;1483.0;932.0;861.0;894.0;1.2;62.0;75.0
-200.0;911.0;7.3;18.9;49.6;1.07;1646.0;1279.0;870.0;1000.0;1.8;81.0;106.0
-200.0;981.0;6.8;20.8;41.6;1.0091;1568.0;1239.0;848.0;822.0;1.9;80.0;102.0
-200.0;879.0;5.0;23.3;45.3;1.2794;1388.0;882.0;763.0;656.0;0.9;55.0;38.0
-200.0;707.0;8.7;33.9;36.0;1.8692;1715.0;1111.0;927.0;922.0;1.7;78.0;90.0
-200.0;965.0;10.7;21.3;26.8;0.6681;1574.0;1094.0;1003.0;813.0;2.1;99.0;130.0
-200.0;723.0;10.4;38.3;17.9;1.181;1549.0;1076.0;994.0;938.0;2.0;129.0;133.0
-200.0;800.0;8.3;32.9;21.8;1.0714;1441.0;973.0;911.0;891.0;1.6;121.0;126.0
-200.0;714.0;11.2;29.9;26.2;1.0891;1549.0;1008.0;1021.0;1176.0;2.0;122.0;177.0
-200.0;725.0;10.0;20.6;45.5;1.0925;1515.0;965.0;977.0;1014.0;1.6;94.0;149.0
-200.0;866.0;5.7;20.1;47.8;1.1093;1392.0;868.0;798.0;824.0;1.1;71.0;83.0
-200.0;832.0;6.7;26.3;29.5;0.9959;1349.0;1008.0;845.0;856.0;1.7;-200.0;-200.0
-200.0;856.0;5.5;25.7;35.8;1.16;1342.0;952.0;787.0;723.0;1.3;-200.0;-200.0
-200.0;813.0;7.8;30.8;26.5;1.1603;1442.0;962.0;891.0;634.0;1.6;73.0;53.0
-200.0;697.0;8.4;26.0;47.6;1.5806;1617.0;1059.0;914.0;895.0;-200.0;-200.0;-200.0
-200.0;800.0;5.7;27.7;53.0;1.9423;1642.0;1001.0;799.0;753.0;1.2;46.0;59.0
-200.0;738.0;7.9;29.9;44.7;1.8511;1693.0;1025.0;896.0;823.0;1.4;55.0;70.0
-200.0;743.0;8.5;31.3;39.5;1.7798;1683.0;1050.0;921.0;851.0;1.6;70.0;91.0
-200.0;669.0;9.7;21.2;65.7;1.6319;1502.0;1132.0;965.0;1211.0;1.6;74.0;164.0
-200.0;800.0;6.0;19.1;70.0;1.5331;1418.0;989.0;814.0;915.0;1.0;51.0;146.0
-200.0;876.0;4.6;18.1;72.1;1.4834;1381.0;925.0;742.0;842.0;0.7;43.0;127.0
-200.0;796.0;10.6;33.4;20.1;1.0142;1515.0;979.0;999.0;1027.0;2.0;110.0;148.0
-200.0;870.0;6.3;35.8;25.7;1.4861;1531.0;954.0;826.0;691.0;1.2;70.0;56.0
-200.0;756.0;7.4;24.8;47.9;1.4819;1421.0;1058.0;875.0;877.0;1.4;70.0;151.0
-200.0;670.0;9.7;26.5;44.9;1.5278;1533.0;1189.0;965.0;1060.0;2.0;87.0;239.0
-200.0;821.0;6.3;24.0;57.2;1.6835;1639.0;967.0;826.0;822.0;1.1;61.0;68.0
-200.0;830.0;5.9;25.9;52.9;1.7478;1580.0;994.0;806.0;674.0;1.4;90.0;72.0
-200.0;766.0;7.9;33.4;35.1;1.781;1704.0;1016.0;896.0;820.0;1.5;93.0;91.0
-200.0;759.0;8.7;30.5;44.4;1.9076;1722.0;1031.0;929.0;809.0;1.4;77.0;79.0
-200.0;878.0;4.4;16.5;75.5;1.4056;1353.0;891.0;735.0;933.0;0.9;44.0;112.0
-200.0;612.0;13.8;20.4;64.8;1.5379;1658.0;1187.0;1110.0;1229.0;2.8;96.0;392.0
-200.0;764.0;7.6;28.1;54.1;2.029;1726.0;1074.0;884.0;838.0;1.5;57.0;63.0
-200.0;760.0;9.7;39.6;23.3;1.6535;1649.0;1082.0;965.0;844.0;1.8;126.0;105.0
-200.0;819.0;7.2;40.5;23.3;1.7416;1544.0;1013.0;864.0;644.0;1.1;75.0;59.0
-200.0;730.0;8.6;15.7;77.0;1.3591;1425.0;981.0;923.0;956.0;1.4;54.0;228.0
-200.0;758.0;7.9;19.8;63.7;1.4524;1468.0;1055.0;895.0;1043.0;1.4;79.0;175.0
-200.0;830.0;4.7;23.5;67.4;1.9305;1633.0;927.0;747.0;910.0;0.7;34.0;58.0
-200.0;786.0;5.7;17.4;81.3;1.6066;1435.0;998.0;799.0;867.0;1.2;67.0;115.0
-200.0;787.0;7.7;34.2;31.5;1.6675;1630.0;1019.0;889.0;745.0;1.4;65.0;54.0
-200.0;756.0;7.4;23.2;67.5;1.899;1727.0;996.0;872.0;990.0;1.2;55.0;87.0
-200.0;742.0;7.7;23.3;61.8;1.7504;1705.0;951.0;886.0;988.0;1.2;51.0;74.0
-200.0;728.0;8.8;25.1;59.9;1.8797;1723.0;1011.0;930.0;1009.0;1.5;77.0;76.0
-200.0;833.0;5.1;16.8;81.3;1.5447;1416.0;967.0;767.0;866.0;0.7;56.0;132.0
-200.0;717.0;10.5;35.6;29.8;1.7045;1730.0;1067.0;995.0;1093.0;2.1;110.0;126.0
-200.0;783.0;6.6;25.0;53.6;1.6721;1664.0;1015.0;840.0;839.0;-200.0;-200.0;-200.0
