NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
-200.0;674.0;13.4;30.8;32.0;1.4014;1631.0;1152.0;1099.0;1093.0;2.5;130.0;243.0
-200.0;715.0;5.7;21.5;35.7;0.905;1184.0;1153.0;798.0;678.0;1.4;109.0;187.0
-200.0;859.0;2.7;12.4;66.2;0.95;1120.0;977.0;631.0;659.0;0.7;78.0;113.0
-200.0;851.0;2.4;12.6;65.9;0.9583;1101.0;985.0;610.0;604.0;0.8;69.0;87.0
-200.0;848.0;2.8;13.0;65.3;0.9704;1110.0;993.0;640.0;548.0;-200.0;66.0;85.0
64.0;1136.0;8.0;10.8;57.4;0.7408;1517.0;1333.0;900.0;1102.0;2.0;112.0;174.0
95.0;1103.0;8.3;9.7;71.2;0.8569;1591.0;1292.0;912.0;957.0;2.2;131.0;193.0
-200.0;669.0;5.9;13.6;63.5;0.9857;1243.0;1150.0;807.0;1042.0;1.9;149.0;276.0
-200.0;589.0;8.5;13.5;63.8;0.9797;1336.0;1217.0;921.0;1261.0;1.9;154.0;257.0
-200.0;696.0;5.8;20.5;38.4;0.9161;1191.0;1177.0;800.0;748.0;1.7;139.0;222.0
169.0;949.0;12.8;16.3;35.7;0.656;1660.0;1287.0;1078.0;1061.0;2.7;123.0;163.0
-200.0;543.0;9.9;13.4;62.0;0.9498;1403.0;1254.0;973.0;1328.0;2.5;156.0;371.0
67.0;1071.0;7.4;9.1;63.9;0.7423;1463.0;1196.0;873.0;1144.0;1.9;97.0;139.0
132.0;935.0;11.8;6.5;71.6;0.6945;1678.0;1336.0;1043.0;1192.0;2.7;96.0;256.0
-200.0;640.0;6.8;11.8;68.3;0.9432;1245.0;1206.0;849.0;1127.0;2.2;163.0;307.0
-200.0;631.0;6.8;12.1;67.6;0.9539;1274.0;1236.0;849.0;1131.0;1.9;150.0;251.0
108.0;1049.0;9.2;18.4;33.6;0.7042;1532.0;1240.0;947.0;947.0;2.0;116.0;119.0
-200.0;841.0;3.3;7.2;68.6;0.6978;1038.0;960.0;668.0;878.0;0.8;106.0;184.0
-200.0;922.0;2.0;7.7;67.1;0.7074;1002.0;912.0;587.0;826.0;0.7;99.0;140.0
-200.0;611.0;9.1;14.6;44.5;0.7337;1224.0;1210.0;943.0;1390.0;2.2;188.0;333.0
-200.0;903.0;2.3;9.0;64.3;0.7417;1020.0;953.0;604.0;838.0;0.6;84.0;114.0
-200.0;909.0;1.9;10.1;61.9;0.7631;1016.0;959.0;578.0;822.0;-200.0;81.0;100.0
57.0;1055.0;6.4;12.4;60.0;0.8627;1527.0;1235.0;828.0;1093.0;1.6;83.0;118.0
99.0;1081.0;8.2;21.9;29.0;0.7525;1511.0;1258.0;906.0;900.0;1.9;107.0;112.0
-200.0;817.0;3.3;12.6;53.7;0.7793;1056.0;1013.0;671.0;986.0;0.9;104.0;123.0
-200.0;618.0;12.4;28.8;15.1;0.5877;1188.0;1231.0;1064.0;1082.0;3.0;211.0;509.0
66.0;998.0;7.0;13.4;61.3;0.9361;1566.0;1224.0;855.0;1149.0;1.8;88.0;108.0
44.0;1150.0;4.0;12.3;65.4;0.9351;1468.0;1078.0;711.0;1013.0;-200.0;71.0;66.0
39.0;1156.0;3.9;11.9;67.4;0.9375;1464.0;1075.0;703.0;1010.0;1.0;74.0;88.0
51.0;1030.0;6.4;11.4;70.5;0.9475;1584.0;1157.0;830.0;1083.0;1.4;80.0;138.0
-200.0;585.0;10.9;26.1;20.8;0.6959;1249.0;1250.0;1012.0;1192.0;2.4;173.0;343.0
-200.0;694.0;5.7;11.8;56.9;0.7836;1144.0;1108.0;798.0;1199.0;1.4;134.0;221.0
-200.0;620.0;10.9;23.6;23.2;0.6665;1262.0;1191.0;1011.0;903.0;1.9;146.0;305.0
67.0;1008.0;6.9;15.3;61.4;1.058;1547.0;1142.0;852.0;1164.0;1.4;101.0;89.0
-200.0;760.0;3.8;10.1;64.3;0.7934;1102.0;1038.0;701.0;940.0;0.9;110.0;185.0
-200.0;931.0;1.8;10.1;69.8;0.8619;1063.0;972.0;571.0;764.0;0.6;72.0;95.0
-200.0;631.0;7.5;12.7;62.8;0.9198;1280.0;1166.0;880.0;1238.0;1.6;149.0;248.0
-200.0;597.0;10.8;20.2;32.2;0.7526;1308.0;1263.0;1008.0;1121.0;2.4;158.0;391.0
34.0;1169.0;4.1;14.1;55.6;0.891;1383.0;998.0;714.0;992.0;0.9;79.0;70.0
-200.0;660.0;7.7;20.0;33.0;0.7625;1222.0;1151.0;885.0;903.0;1.6;128.0;240.0
84.0;1038.0;7.5;9.9;65.2;0.7956;1556.0;1173.0;878.0;1052.0;1.6;84.0;160.0
-200.0;681.0;7.0;17.9;38.8;0.7883;1182.0;1103.0;857.0;946.0;1.5;123.0;230.0
-200.0;634.0;7.5;9.9;67.6;0.8239;1257.0;1176.0;880.0;1180.0;1.6;127.0;318.0
-200.0;824.0;2.9;8.4;74.5;0.8241;1090.0;1016.0;647.0;937.0;0.8;85.0;117.0
-200.0;761.0;3.8;9.8;68.0;0.8227;1122.0;1077.0;701.0;1106.0;0.1;104.0;147.0
103.0;1013.0;10.4;26.8;18.7;0.65;1520.0;1207.0;994.0;1045.0;2.0;104.0;135.0
-200.0;705.0;5.3;9.9;68.9;0.8388;1187.0;1119.0;778.0;1096.0;0.3;123.0;192.0
134.0;1032.0;12.3;28.5;14.9;0.5708;1525.0;1247.0;1060.0;1069.0;2.5;114.0;147.0
70.0;947.0;8.1;14.3;55.4;0.8975;1502.0;1161.0;904.0;1240.0;1.4;107.0;92.0
-200.0;733.0;5.2;11.7;62.1;0.8535;1178.0;1128.0;771.0;923.0;0.4;122.0;193.0
-200.0;918.0;8.9;12.0;69.7;0.9735;1606.0;1287.0;936.0;1040.0;2.0;106.0;126.0
-200.0;613.0;8.3;13.7;52.1;0.8121;1245.0;1208.0;911.0;1244.0;0.9;166.0;318.0
-200.0;813.0;14.0;15.5;50.1;0.8744;1751.0;1283.0;1117.0;1188.0;2.8;127.0;192.0
-200.0;642.0;7.1;16.4;43.5;0.8055;1234.0;1217.0;861.0;898.0;0.8;135.0;282.0
-200.0;1064.0;5.8;13.8;57.9;0.9085;1447.0;1127.0;802.0;837.0;1.7;92.0;104.0
-200.0;1105.0;5.2;13.9;55.9;0.8842;1429.0;1090.0;773.0;761.0;1.6;83.0;86.0
-200.0;1182.0;4.1;13.9;55.6;0.8765;1382.0;1017.0;718.0;650.0;1.3;81.0;74.0
-200.0;855.0;3.3;19.9;36.6;0.8406;1109.0;1078.0;668.0;509.0;0.1;82.0;130.0
-200.0;834.0;10.5;14.6;53.1;0.8765;1689.0;1348.0;998.0;1218.0;2.4;102.0;147.0
-200.0;860.0;3.1;12.3;56.0;0.7958;1071.0;1050.0;660.0;526.0;0.1;113.0;173.0
-200.0;1036.0;6.7;19.5;42.3;0.9493;1539.0;1283.0;844.0;766.0;1.6;76.0;79.0
-200.0;699.0;5.5;17.6;35.5;0.7065;1115.0;1096.0;788.0;583.0;0.4;114.0;191.0
-200.0;809.0;11.7;17.1;47.9;0.9281;1735.0;1495.0;1040.0;1373.0;2.6;105.0;168.0
-200.0;1004.0;6.2;15.6;56.6;0.9951;1526.0;1203.0;823.0;903.0;1.6;84.0;89.0
-200.0;1136.0;4.0;14.9;60.6;1.0196;1461.0;1062.0;711.0;700.0;1.1;66.0;55.0
-200.0;911.0;7.3;18.9;49.6;1.07;1646.0;1279.0;870.0;1000.0;1.8;81.0;106.0
-200.0;981.0;6.8;20.8;41.6;1.0091;1568.0;1239.0;848.0;822.0;1.9;80.0;102.0
-200.0;646.0;6.7;14.2;51.5;0.8313;1206.0;1180.0;846.0;791.0;0.7;137.0;246.0
