NMHC(GT);PT08.S3(NOx);C6H6(GT);T;RH;AH;PT08.S4(NO2);PT08.S1(CO);PT08.S2(NMHC);PT08.S5(O3);CO(GT);NO2(GT);NOx(GT)
-200.0;818.0;6.9;21.4;68.5;1.7261;1513.0;1002.0;854.0;779.0;1.4;71.0;104.0
-200.0;719.0;7.6;16.8;73.3;1.3915;1430.0;1010.0;884.0;938.0;1.5;59.0;216.0
-200.0;684.0;8.6;12.9;63.2;0.9335;1324.0;1131.0;926.0;1036.0;1.9;127.0;288.0
-200.0;842.0;5.2;10.4;77.3;0.9709;1189.0;988.0;774.0;841.0;1.0;89.0;206.0
-200.0;835.0;6.7;33.9;32.3;1.6809;1567.0;982.0;844.0;638.0;1.2;71.0;52.0
-200.0;802.0;6.3;19.3;65.5;1.45;1382.0;948.0;826.0;897.0;1.1;57.0;137.0
-200.0;992.0;6.1;37.4;15.8;0.9998;1426.0;896.0;817.0;554.0;0.8;70.0;57.0
-200.0;536.0;14.8;12.6;57.7;0.8387;1454.0;1341.0;1142.0;1537.0;3.3;168.0;564.0
-200.0;891.0;6.2;19.6;56.6;1.2797;1415.0;940.0;823.0;853.0;1.2;64.0;112.0
-200.0;799.0;6.1;18.5;76.4;1.6112;1430.0;1009.0;816.0;856.0;1.1;69.0;200.0
-200.0;743.0;8.9;19.0;66.1;1.4415;1525.0;1057.0;934.0;1041.0;1.9;57.0;206.0
-200.0;674.0;13.4;30.8;32.0;1.4014;1631.0;1152.0;1099.0;1093.0;2.5;130.0;243.0
-200.0;806.0;8.8;22.2;48.0;1.2678;1465.0;1027.0;933.0;1050.0;1.7;85.0;224.0
-200.0;919.0;5.1;18.9;60.7;1.311;1340.0;911.0;769.0;791.0;1.1;54.0;113.0
-200.0;816.0;9.0;22.8;43.4;1.1915;1456.0;1042.0;938.0;1004.0;1.7;109.0;210.0
-200.0;889.0;5.6;14.1;61.7;0.9844;1266.0;894.0;794.0;908.0;0.9;71.0;179.0
-200.0;872.0;4.3;19.0;70.3;1.5308;1371.0;966.0;726.0;892.0;0.7;60.0;120.0
-200.0;490.0;23.6;21.2;61.7;1.5309;1976.0;1428.0;1393.0;1608.0;-200.0;-200.0;-200.0
-200.0;865.0;8.2;14.6;56.4;0.9319;1321.0;944.0;908.0;931.0;1.6;83.0;261.0
-200.0;801.0;6.4;24.0;53.4;1.5748;1600.0;948.0;829.0;926.0;1.0;71.0;68.0
-200.0;786.0;5.7;17.4;81.3;1.6066;1435.0;998.0;799.0;867.0;1.2;67.0;115.0
-200.0;809.0;7.2;28.4;32.5;1.2361;1532.0;1011.0;864.0;1231.0;0.9;79.0;65.0
-200.0;730.0;8.6;15.7;77.0;1.3591;1425.0;981.0;923.0;956.0;1.4;54.0;228.0
128.0;922.0;8.5;11.1;50.5;0.6654;1530.0;1163.0;919.0;1076.0;1.8;84.0;128.0
-200.0;866.0;9.0;14.2;59.1;0.952;1589.0;1089.0;940.0;1001.0;-200.0;-200.0;-200.0
-200.0;756.0;7.4;24.8;47.9;1.4819;1421.0;1058.0;875.0;877.0;1.4;70.0;151.0
-200.0;787.0;11.2;26.3;27.3;0.9238;1552.0;970.0;1023.0;1074.0;1.9;123.0;134.0
-200.0;749.0;11.1;42.8;14.3;1.2003;1559.0;1079.0;1019.0;929.0;1.5;113.0;108.0
-200.0;800.0;6.0;19.1;70.0;1.5331;1418.0;989.0;814.0;915.0;1.0;51.0;146.0
-200.0;857.0;7.3;16.8;58.7;1.1109;1310.0;1114.0;872.0;991.0;1.9;98.0;197.0
-200.0;764.0;6.9;19.0;70.8;1.5417;1465.0;1035.0;851.0;1002.0;1.3;69.0;132.0
-200.0;878.0;4.4;16.5;75.5;1.4056;1353.0;891.0;735.0;933.0;0.9;44.0;112.0
306.0;827.0;12.9;14.7;40.1;0.6657;1621.0;1306.0;1079.0;1286.0;3.0;133.0;196.0
-200.0;989.0;6.0;14.9;53.4;0.8998;1189.0;969.0;812.0;842.0;1.6;100.0;259.0
-200.0;879.0;9.9;20.2;34.3;0.8017;1552.0;1101.0;972.0;1001.0;1.6;97.0;95.0
-200.0;881.0;4.5;20.3;64.6;1.518;1412.0;944.0;740.0;781.0;-200.0;-200.0;-200.0
-200.0;725.0;10.0;20.6;45.5;1.0925;1515.0;965.0;977.0;1014.0;1.6;94.0;149.0
-200.0;763.0;6.9;17.3;53.3;1.0407;1279.0;1102.0;855.0;1039.0;2.3;98.0;258.0
-200.0;800.0;8.3;32.9;21.8;1.0714;1441.0;973.0;911.0;891.0;1.6;121.0;126.0
