InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LUA^ accX;Accelerometer LWR accX
-139;484.0;212.0;-1.0;73.0;21.0;615.0;-539.0;722.0;562.0;-259.0
-18;-21.0;310.0;-133.0;-449.0;855.0;258.0;-292.0;422.0;421.0;-140.0
-102;-464.0;724.0;-259.0;-382.0;128.0;405.0;-768.0;671.0;446.0;-224.0
-50;159.0;370.0;130.0;-604.0;899.0;322.0;-340.0;167.0;370.0;-346.0
40;-22.0;-117.0;57.0;-687.0;493.0;472.0;-356.0;-404.0;301.0;-442.0
-30;33.0;-259.0;-284.0;-593.0;655.0;492.0;-485.0;410.0;493.0;-242.0
-63;276.0;449.0;-64.0;-361.0;863.0;344.0;-337.0;416.0;682.0;-199.0
82;55.0;-80.0;19.0;-634.0;563.0;565.0;-196.0;402.0;412.0;-355.0
67;140.0;-62.0;15.0;-559.0;444.0;450.0;-306.0;569.0;609.0;-268.0
-40;252.0;380.0;-177.0;-309.0;755.0;215.0;-310.0;555.0;285.0;-328.0
-43;-63.0;166.0;-125.0;-536.0;762.0;357.0;-331.0;379.0;628.0;-109.0
-137;-293.0;-291.0;-108.0;-541.0;817.0;428.0;-464.0;733.0;470.0;-395.0
-134;-649.0;-712.0;-453.0;476.0;672.0;517.0;-571.0;737.0;346.0;-287.0
46;132.0;187.0;-19.0;-573.0;800.0;457.0;-428.0;276.0;411.0;-546.0
-66;161.0;325.0;-129.0;-523.0;702.0;305.0;-201.0;358.0;590.0;-321.0
-67;-10.0;418.0;-162.0;-386.0;648.0;465.0;-151.0;432.0;216.0;-364.0
-63;14.0;303.0;-185.0;-345.0;481.0;153.0;-172.0;469.0;304.0;-110.0
-55;96.0;462.0;-44.0;-511.0;867.0;587.0;-303.0;328.0;458.0;-270.0
-55;222.0;335.0;9.0;-672.0;633.0;377.0;-194.0;303.0;402.0;-408.0
-43;-93.0;27.0;-104.0;-191.0;716.0;485.0;-309.0;644.0;281.0;-375.0
-52;126.0;-48.0;125.0;-553.0;454.0;454.0;-109.0;499.0;382.0;-300.0
-13;13.0;288.0;-138.0;-460.0;919.0;258.0;-217.0;422.0;494.0;-130.0
51;86.0;-306.0;132.0;-537.0;480.0;249.0;-112.0;460.0;279.0;-55.0
-40;-142.0;256.0;-173.0;-616.0;795.0;451.0;-198.0;427.0;461.0;-151.0
-29;30.0;155.0;-76.0;-782.0;1267.0;344.0;-189.0;346.0;645.0;-307.0
-24;274.0;490.0;70.0;-596.0;998.0;443.0;-432.0;172.0;352.0;-410.0
-24;311.0;508.0;81.0;-592.0;1007.0;383.0;-452.0;144.0;342.0;-397.0
-58;-88.0;246.0;-145.0;-654.0;844.0;230.0;-216.0;469.0;197.0;-281.0
-38;310.0;450.0;153.0;-768.0;1098.0;442.0;-210.0;108.0;529.0;-295.0
-51;-81.0;-11.0;-129.0;-674.0;722.0;538.0;-374.0;480.0;534.0;-498.0
60;-68.0;11.0;-176.0;-645.0;746.0;417.0;-411.0;489.0;546.0;-307.0
5;273.0;456.0;130.0;-618.0;749.0;272.0;-567.0;-155.0;348.0;-397.0
31;-317.0;-507.0;-472.0;-547.0;836.0;394.0;-315.0;22.0;387.0;-282.0
120;-96.0;-473.0;-50.0;-622.0;726.0;708.0;-538.0;274.0;456.0;-181.0
-17;112.0;-474.0;-270.0;-670.0;879.0;656.0;-811.0;261.0;538.0;-660.0
-73;149.0;-394.0;-24.0;-761.0;453.0;764.0;-726.0;584.0;714.0;-446.0
93;-450.0;-392.0;-442.0;-536.0;739.0;63.0;42.0;-25.0;441.0;-193.0
-121;-633.0;-538.0;-469.0;471.0;198.0;425.0;-400.0;-726.0;401.0;-243.0
-32;40.0;-138.0;149.0;-555.0;407.0;15.0;-197.0;422.0;296.0;-446.0
-24;310.0;348.0;104.0;-587.0;920.0;484.0;-479.0;163.0;347.0;-305.0
-22;291.0;443.0;60.0;-702.0;840.0;195.0;-239.0;233.0;537.0;-267.0
-24;320.0;415.0;116.0;-497.0;1006.0;549.0;-337.0;151.0;222.0;-488.0
-66;-58.0;105.0;-74.0;-608.0;957.0;572.0;-313.0;430.0;279.0;-265.0
-64;-28.0;96.0;-44.0;-617.0;967.0;573.0;-252.0;421.0;391.0;-346.0
-70;21.0;81.0;-53.0;-611.0;954.0;646.0;-440.0;405.0;546.0;-470.0
-25;288.0;506.0;156.0;-423.0;1022.0;455.0;-143.0;107.0;228.0;-393.0
-53;170.0;426.0;495.0;-413.0;305.0;-209.0;232.0;-917.0;654.0;82.0
30;399.0;568.0;137.0;-462.0;966.0;207.0;-147.0;16.0;365.0;-282.0
-21;59.0;184.0;-144.0;-521.0;985.0;228.0;-350.0;435.0;422.0;-233.0
81;-62.0;-9.0;-222.0;-589.0;504.0;444.0;-611.0;500.0;384.0;-208.0
-49;-44.0;29.0;-54.0;-675.0;1060.0;464.0;-417.0;392.0;400.0;-379.0
-51;71.0;289.0;-152.0;-471.0;947.0;171.0;-295.0;420.0;428.0;-255.0
-56;57.0;317.0;-135.0;-469.0;904.0;127.0;-213.0;412.0;349.0;-214.0
109;122.0;202.0;59.0;-763.0;319.0;391.0;-479.0;-235.0;391.0;-218.0
-50;182.0;390.0;124.0;-594.0;916.0;354.0;-320.0;166.0;335.0;-397.0
-117;678.0;663.0;315.0;491.0;197.0;480.0;-308.0;749.0;412.0;-277.0
99;688.0;624.0;499.0;515.0;342.0;407.0;-345.0;-686.0;334.0;-316.0
116;247.0;402.0;-405.0;181.0;-311.0;334.0;-636.0;-684.0;350.0;-437.0
26;227.0;406.0;130.0;-737.0;539.0;475.0;-345.0;-174.0;427.0;-335.0
16;194.0;366.0;-9.0;-651.0;1267.0;174.0;-140.0;292.0;709.0;-248.0
-6;-4.0;350.0;1.0;-655.0;1046.0;469.0;-281.0;257.0;587.0;-307.0
2;155.0;243.0;24.0;-650.0;1023.0;299.0;-422.0;235.0;453.0;-542.0
-101;-521.0;-313.0;91.0;83.0;111.0;460.0;-269.0;741.0;379.0;-257.0
-62;187.0;477.0;19.0;-411.0;876.0;58.0;-271.0;253.0;244.0;-191.0
72;-307.0;-438.0;-266.0;-733.0;412.0;522.0;-406.0;-14.0;343.0;-579.0
112;54.0;-323.0;-234.0;-592.0;526.0;450.0;-285.0;397.0;328.0;-274.0
-71;140.0;430.0;125.0;-555.0;968.0;348.0;-192.0;158.0;710.0;-184.0
109;80.0;-326.0;-184.0;-586.0;560.0;508.0;-235.0;425.0;384.0;-131.0
-9;259.0;385.0;158.0;-946.0;1003.0;626.0;-362.0;136.0;512.0;-556.0
-23;200.0;475.0;178.0;-870.0;1612.0;503.0;-208.0;108.0;431.0;-203.0
109;100.0;-200.0;-267.0;-550.0;536.0;522.0;-313.0;463.0;511.0;-360.0
-20;166.0;287.0;155.0;-1116.0;1478.0;672.0;-400.0;149.0;517.0;-532.0
112;107.0;-165.0;-437.0;-540.0;543.0;425.0;-364.0;499.0;467.0;-165.0
112;129.0;-176.0;-478.0;-553.0;582.0;426.0;-260.0;521.0;497.0;-209.0
112;167.0;-111.0;-449.0;-523.0;530.0;340.0;-257.0;561.0;496.0;-201.0
-20;61.0;257.0;-168.0;-584.0;730.0;179.0;-113.0;467.0;506.0;-212.0
100;620.0;720.0;540.0;164.0;559.0;420.0;-191.0;-506.0;457.0;56.0
-154;751.0;386.0;298.0;406.0;-216.0;511.0;-722.0;780.0;446.0;-642.0
-77;369.0;517.0;40.0;-390.0;956.0;146.0;-129.0;293.0;564.0;-78.0
-157;631.0;761.0;521.0;-24.0;936.0;482.0;-394.0;750.0;353.0;-254.0
-72;-686.0;-607.0;-490.0;585.0;335.0;454.0;-418.0;738.0;378.0;-374.0
152;-619.0;-579.0;-510.0;5.0;719.0;395.0;-302.0;790.0;380.0;-216.0
76;-67.0;-302.0;-9.0;-685.0;715.0;206.0;-78.0;351.0;384.0;-169.0
77;63.0;-122.0;21.0;-640.0;576.0;583.0;-119.0;397.0;441.0;-427.0
-102;-287.0;-70.0;-273.0;-398.0;305.0;335.0;-295.0;673.0;314.0;-302.0
-61;175.0;340.0;-188.0;-300.0;748.0;505.0;-14.0;608.0;541.0;-257.0
21;21.0;60.0;-103.0;-625.0;1043.0;280.0;-390.0;421.0;395.0;-262.0
-7;-34.0;-487.0;-69.0;-636.0;700.0;480.0;-617.0;386.0;233.0;-762.0
61;7.0;-16.0;-79.0;-681.0;998.0;392.0;-525.0;403.0;565.0;-383.0
67;100.0;-78.0;5.0;-528.0;435.0;337.0;-867.0;485.0;564.0;-343.0
46;189.0;268.0;77.0;-762.0;920.0;380.0;-427.0;182.0;477.0;-596.0
-53;254.0;468.0;49.0;-628.0;995.0;298.0;-361.0;202.0;303.0;-550.0
3;155.0;243.0;110.0;-954.0;1200.0;566.0;-416.0;213.0;427.0;-351.0
-42;-118.0;307.0;-142.0;-605.0;854.0;216.0;-190.0;446.0;116.0;-360.0
-97;-600.0;-534.0;58.0;61.0;844.0;388.0;-331.0;-740.0;270.0;-300.0
-52;212.0;542.0;155.0;-480.0;955.0;675.0;-96.0;107.0;332.0;-330.0
-43;-33.0;-42.0;-74.0;-733.0;1001.0;581.0;-443.0;387.0;410.0;-662.0
-26;28.0;360.0;25.0;-632.0;1105.0;506.0;-251.0;229.0;579.0;-210.0
-88;-529.0;-252.0;-332.0;88.0;94.0;304.0;-338.0;747.0;378.0;-280.0
-83;-552.0;-514.0;-503.0;276.0;305.0;349.0;-372.0;814.0;442.0;-357.0
