InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Body_Az
-32.0;-317.0;83.0;-268.0;33;0;919.0;805
37.0;-344.0;107.0;-246.0;20;12;937.0;797
31.0;-356.0;112.0;-252.0;25;-11;947.0;798
29.0;-354.0;112.0;-254.0;22;-9;945.0;809
28.0;-351.0;118.0;-255.0;19;11;936.0;802
35.0;-358.0;126.0;-254.0;21;20;930.0;795
33.0;-360.0;126.0;-256.0;26;-1;949.0;802
29.0;-341.0;132.0;-259.0;22;0;953.0;797
63.0;-327.0;98.0;-240.0;24;40;927.0;803
60.0;-316.0;98.0;-235.0;19;-20;920.0;801
60.0;-315.0;95.0;-234.0;19;10;974.0;797
26.0;-353.0;128.0;-260.0;17;5;934.0;801
58.0;-315.0;97.0;-234.0;20;-13;890.0;797
61.0;-314.0;97.0;-233.0;17;5;930.0;802
25.0;-352.0;127.0;-260.0;20;-2;951.0;808
62.0;-318.0;97.0;-232.0;15;-24;949.0;803
60.0;-324.0;100.0;-233.0;23;22;950.0;800
30.0;-334.0;120.0;-255.0;22;10;934.0;800
55.0;-326.0;102.0;-237.0;20;-2;919.0;800
72.0;-319.0;95.0;-228.0;20;0;948.0;805
24.0;-350.0;125.0;-260.0;21;-13;946.0;805
61.0;-334.0;85.0;-229.0;19;15;960.0;792
24.0;-350.0;125.0;-260.0;21;-8;956.0;802
-17.0;413.0;-171.0;281.0;1179;1034;804.0;811
28.0;-352.0;122.0;-256.0;22;4;919.0;803
33.0;-349.0;121.0;-253.0;20;-10;928.0;802
32.0;-350.0;121.0;-253.0;21;19;956.0;805
65.0;-331.0;93.0;-230.0;21;-16;929.0;795
30.0;-332.0;115.0;-257.0;15;-10;907.0;799
29.0;-351.0;121.0;-256.0;20;10;948.0;802
71.0;-324.0;97.0;-230.0;24;0;954.0;799
-691.0;-751.0;615.0;-754.0;36;28;1031.0;-918
35.0;-330.0;112.0;-255.0;18;-11;930.0;803
70.0;-325.0;101.0;-235.0;23;9;948.0;796
38.0;-328.0;110.0;-252.0;19;9;917.0;791
33.0;-344.0;114.0;-253.0;16;13;921.0;797
30.0;-334.0;118.0;-255.0;18;-11;951.0;801
30.0;-332.0;115.0;-257.0;25;-4;931.0;794
45.0;-321.0;106.0;-246.0;19;2;937.0;799
-101.0;489.0;-257.0;327.0;-37;4224;787.0;833
63.0;-326.0;101.0;-240.0;18;-7;964.0;801
30.0;-334.0;121.0;-255.0;16;-9;911.0;802
51.0;-318.0;116.0;-244.0;23;-3;918.0;805
41.0;-330.0;127.0;-253.0;24;-23;920.0;799
115.0;-318.0;67.0;-295.0;169;505;905.0;805
75.0;-314.0;79.0;-231.0;21;-33;925.0;803
29.0;-341.0;123.0;-255.0;23;19;947.0;805
28.0;-355.0;117.0;-254.0;20;-12;931.0;799
76.0;-315.0;80.0;-231.0;22;-16;955.0;800
32.0;-346.0;105.0;-248.0;16;-28;910.0;799
150.0;-280.0;20.0;-266.0;17;-43;1117.0;798
85.0;-309.0;62.0;-224.0;19;3;926.0;802
103.0;-299.0;104.0;-287.0;79;-493;922.0;804
101.0;-292.0;41.0;-213.0;18;14;916.0;801
90.0;-272.0;48.0;-221.0;18;18;933.0;806
53.0;-324.0;103.0;-238.0;18;-27;958.0;802
33.0;-345.0;106.0;-248.0;17;-19;917.0;803
32.0;-312.0;57.0;-232.0;19;-2;948.0;803
10.0;-316.0;75.0;-243.0;21;10;943.0;803
7.0;-317.0;82.0;-255.0;24;2;921.0;805
0.0;550.0;-340.0;365.0;-8;-50;1019.0;757
-2.0;-317.0;89.0;-260.0;24;-29;937.0;803
29.0;-355.0;113.0;-251.0;16;-24;928.0;805
130.0;-343.0;147.0;-232.0;21;6;956.0;809
134.0;-236.0;58.0;-192.0;9;3;839.0;590
31.0;-360.0;117.0;-252.0;17;-7;919.0;800
157.0;-294.0;53.0;-235.0;20;-8;916.0;805
8.0;-347.0;152.0;-279.0;22;-2;926.0;797
857.0;726.0;-647.0;723.0;1127;-1155;1105.0;819
316.0;-296.0;34.0;-241.0;20;4;964.0;797
419.0;-512.0;160.0;-322.0;20;-7;941.0;795
34.0;-344.0;158.0;-301.0;17;-1;811.0;643
22.0;-364.0;137.0;-268.0;15;-6;917.0;803
-1.0;-359.0;131.0;-275.0;20;26;920.0;799
5.0;-352.0;123.0;-271.0;14;4;916.0;799
709.0;-226.0;-30.0;-98.0;14;-15;966.0;797
163.0;-298.0;96.0;-163.0;24;57;922.0;807
406.0;-78.0;-128.0;-4.0;44;61;946.0;1066
122.0;-341.0;142.0;-225.0;12;7;950.0;808
647.0;-254.0;20.0;-180.0;19;-15;941.0;799
371.0;-289.0;-178.0;-65.0;137;678;1475.0;656
151.0;-358.0;163.0;-235.0;15;-35;962.0;807
110.0;-371.0;83.0;-277.0;24;-4;983.0;795
165.0;-263.0;139.0;-231.0;43;-70;855.0;1803
-463.0;135.0;-19.0;5.0;25;48;971.0;697
646.0;748.0;-593.0;723.0;17;-107;901.0;-2093
-18.0;-385.0;162.0;-292.0;16;-7;914.0;797
355.0;-201.0;-152.0;-23.0;48;55;672.0;878
-793.0;-577.0;587.0;-645.0;-56;2035;943.0;806
857.0;661.0;-631.0;703.0;3;1882;683.0;784
241.0;201.0;-260.0;37.0;-331;-2324;1182.0;820
182.0;-734.0;-297.0;-225.0;20;1;934.0;797
-812.0;-623.0;621.0;-758.0;-160;-1984;850.0;800
855.0;620.0;-636.0;692.0;28;-37;926.0;856
-1.0;-518.0;233.0;-562.0;20;7;947.0;791
370.0;-122.0;-90.0;-37.0;-404;2185;697.0;813
-28.0;-402.0;191.0;-304.0;18;7;929.0;801
-781.0;-590.0;594.0;-634.0;35;0;917.0;719
753.0;-462.0;198.0;-156.0;14;-5;924.0;799
836.0;760.0;-644.0;738.0;176;-355;1247.0;2683
