InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE EuY;Accelerometer RKN^ accZ;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit BACK gyroX
-948.0;310.0;13.0;952.0;181.0;27;-23;78.0;924.0;845.0;-64.0
-439.0;879.0;799.0;-176.0;617.0;-16;-21;-7.0;1018.0;1090.0;448.0
-976.0;503.0;-7.0;879.0;51.0;88;-26;49.0;828.0;815.0;-36.0
-911.0;743.0;-1066.0;430.0;297.0;37;-41;-25.0;952.0;1031.0;-809.0
-999.0;304.0;207.0;922.0;510.0;-14;-26;88.0;969.0;1016.0;234.0
-972.0;124.0;470.0;1006.0;402.0;-13;-28;379.0;918.0;960.0;-254.0
-909.0;515.0;-113.0;877.0;307.0;-25;-8;579.0;938.0;1078.0;-123.0
-1017.0;334.0;289.0;1043.0;102.0;74;-24;58.0;997.0;1135.0;201.0
-933.0;278.0;336.0;976.0;154.0;74;-24;59.0;875.0;1044.0;368.0
-955.0;273.0;-17.0;997.0;126.0;74;-24;286.0;914.0;1005.0;-61.0
-933.0;328.0;230.0;967.0;169.0;74;-24;278.0;1252.0;1186.0;-329.0
-975.0;496.0;-25.0;867.0;60.0;88;-26;33.0;838.0;812.0;-3.0
-975.0;317.0;-279.0;975.0;235.0;75;-24;208.0;990.0;1016.0;-35.0
-975.0;235.0;-98.0;1001.0;148.0;75;-24;208.0;926.0;986.0;-184.0
-953.0;300.0;-34.0;982.0;165.0;75;-24;55.0;932.0;1012.0;-159.0
-942.0;252.0;114.0;960.0;186.0;75;-24;407.0;779.0;940.0;-150.0
-979.0;293.0;-122.0;991.0;150.0;74;-24;117.0;1010.0;1014.0;394.0
-929.0;126.0;279.0;920.0;82.0;75;-23;333.0;902.0;958.0;54.0
-977.0;249.0;-84.0;1013.0;139.0;74;-23;149.0;952.0;1001.0;122.0
-941.0;263.0;-80.0;957.0;179.0;74;-23;179.0;1001.0;1039.0;255.0
-949.0;213.0;136.0;984.0;111.0;74;-23;303.0;1271.0;783.0;-110.0
-983.0;238.0;22.0;999.0;143.0;74;-23;-197.0;989.0;1082.0;-77.0
-960.0;340.0;-318.0;969.0;262.0;74;-23;131.0;941.0;978.0;-12.0
-948.0;209.0;5.0;969.0;126.0;75;-23;295.0;1239.0;1142.0;-143.0
-879.0;537.0;102.0;836.0;369.0;-26;-3;280.0;977.0;1003.0;-269.0
-892.0;407.0;206.0;924.0;268.0;-26;-3;268.0;1001.0;1028.0;63.0
-976.0;296.0;-145.0;990.0;226.0;75;-24;121.0;1135.0;1289.0;500.0
-940.0;500.0;-4.0;818.0;284.0;75;-24;183.0;943.0;1004.0;21.0
-976.0;262.0;-97.0;996.0;167.0;75;-24;238.0;1000.0;1027.0;-326.0
-963.0;272.0;138.0;999.0;185.0;75;-24;168.0;975.0;1029.0;-171.0
-958.0;225.0;155.0;981.0;148.0;75;-24;170.0;980.0;1049.0;-76.0
-964.0;258.0;71.0;964.0;171.0;75;-24;168.0;948.0;1009.0;-48.0
-964.0;272.0;-10.0;961.0;170.0;75;-24;179.0;910.0;1043.0;-63.0
-1001.0;275.0;-141.0;997.0;186.0;75;-24;160.0;950.0;956.0;18.0
-987.0;285.0;8.0;990.0;220.0;75;-24;158.0;952.0;990.0;-31.0
-997.0;268.0;59.0;1009.0;201.0;75;-24;138.0;962.0;980.0;68.0
-981.0;281.0;10.0;990.0;203.0;75;-24;109.0;943.0;958.0;87.0
-975.0;274.0;-20.0;990.0;188.0;75;-24;117.0;961.0;1018.0;56.0
-972.0;290.0;118.0;980.0;229.0;74;-24;149.0;934.0;1005.0;160.0
-967.0;300.0;6.0;961.0;223.0;74;-24;141.0;927.0;986.0;19.0
-956.0;257.0;20.0;982.0;200.0;74;-24;164.0;963.0;1016.0;-27.0
-971.0;252.0;10.0;976.0;185.0;74;-24;171.0;958.0;1001.0;-11.0
-970.0;291.0;-47.0;971.0;228.0;74;-24;96.0;932.0;997.0;70.0
-977.0;309.0;-4.0;989.0;233.0;74;-24;150.0;951.0;995.0;120.0
-964.0;282.0;-61.0;980.0;219.0;74;-24;128.0;982.0;1016.0;125.0
-960.0;292.0;-41.0;960.0;250.0;74;-24;100.0;952.0;1002.0;142.0
-974.0;315.0;-75.0;992.0;273.0;74;-24;125.0;960.0;990.0;111.0
-970.0;311.0;-5.0;989.0;246.0;74;-24;112.0;965.0;973.0;9.0
-979.0;303.0;17.0;993.0;256.0;74;-24;140.0;935.0;1016.0;-34.0
-976.0;310.0;-115.0;972.0;244.0;74;-24;109.0;967.0;1014.0;-218.0
-968.0;233.0;-7.0;984.0;202.0;74;-24;139.0;954.0;1004.0;-20.0
-967.0;276.0;-8.0;991.0;207.0;74;-24;139.0;970.0;1010.0;-60.0
-966.0;306.0;32.0;960.0;254.0;74;-24;130.0;940.0;1013.0;33.0
-975.0;310.0;-17.0;990.0;255.0;74;-24;136.0;945.0;1000.0;84.0
-979.0;317.0;-47.0;980.0;262.0;74;-24;148.0;943.0;979.0;77.0
-974.0;287.0;-9.0;978.0;219.0;74;-24;137.0;962.0;995.0;-21.0
-977.0;275.0;2.0;995.0;215.0;74;-24;169.0;961.0;995.0;4.0
-968.0;291.0;19.0;991.0;227.0;74;-24;142.0;970.0;982.0;-12.0
-973.0;292.0;-15.0;982.0;229.0;74;-24;126.0;934.0;996.0;-18.0
-961.0;269.0;18.0;972.0;221.0;74;-24;137.0;924.0;931.0;-81.0
-971.0;259.0;56.0;978.0;187.0;74;-24;108.0;960.0;1054.0;211.0
-972.0;320.0;-23.0;980.0;262.0;74;-24;141.0;956.0;982.0;11.0
-985.0;300.0;35.0;999.0;232.0;74;-24;109.0;986.0;997.0;34.0
-984.0;261.0;-50.0;978.0;193.0;74;-24;119.0;961.0;994.0;-54.0
-987.0;202.0;271.0;972.0;84.0;-112;-26;-64.0;1022.0;954.0;-453.0
-1140.0;161.0;120.0;1214.0;145.0;59;-24;-70.0;893.0;1065.0;-85.0
-890.0;168.0;-422.0;909.0;116.0;63;-27;588.0;1179.0;1255.0;215.0
-957.0;318.0;111.0;952.0;273.0;-26;-3;147.0;944.0;996.0;-71.0
-999.0;-44.0;-80.0;990.0;-184.0;48;-63;152.0;861.0;882.0;-137.0
-903.0;152.0;30.0;930.0;28.0;82;-10;334.0;849.0;762.0;82.0
-979.0;489.0;13.0;895.0;63.0;88;-26;54.0;836.0;825.0;-3.0
-981.0;485.0;39.0;886.0;50.0;88;-26;40.0;840.0;796.0;-35.0
-921.0;345.0;12.0;991.0;243.0;-26;-3;109.0;1008.0;1036.0;243.0
-997.0;245.0;38.0;1001.0;403.0;-24;-7;-51.0;926.0;1008.0;373.0
-974.0;469.0;23.0;895.0;36.0;88;-26;69.0;840.0;830.0;-37.0
