InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Body_Az
86.0;?;-583.0;-448.0;22;44;989.0;799
?;-659.0;?;-469.0;21;26;935.0;797
?;-649.0;-578.0;-477.0;22;0;960.0;801
?;?;-582.0;-477.0;21;?;1017.0;797
72.0;-633.0;-596.0;-470.0;21;?;992.0;791
81.0;-629.0;?;?;21;-1;969.0;797
94.0;-629.0;-620.0;-445.0;21;?;971.0;800
?;-632.0;?;?;19;?;1002.0;796
?;-634.0;-635.0;-402.0;18;?;1005.0;?
700.0;-688.0;?;251.0;21;17;932.0;797
702.0;-691.0;?;251.0;19;?;931.0;?
?;-696.0;-246.0;251.0;20;47;?;793
710.0;-708.0;-245.0;247.0;20;?;958.0;792
715.0;-726.0;-244.0;?;19;-15;957.0;793
717.0;-747.0;-245.0;222.0;21;39;941.0;797
711.0;-770.0;-252.0;195.0;13;-21;?;?
696.0;-792.0;?;161.0;15;-17;920.0;792
674.0;-812.0;-292.0;117.0;26;5;?;796
?;-828.0;-322.0;?;25;-16;965.0;797
600.0;-833.0;-355.0;14.0;19;-9;976.0;795
?;?;-382.0;-41.0;14;-10;955.0;797
503.0;-828.0;-408.0;-96.0;12;15;972.0;793
451.0;-826.0;?;-148.0;?;23;974.0;?
400.0;-820.0;-449.0;-199.0;14;19;?;794
349.0;?;-465.0;-246.0;20;-6;963.0;793
296.0;-793.0;-482.0;-288.0;?;?;972.0;797
243.0;?;-502.0;-329.0;?;-21;964.0;793
?;?;-521.0;-370.0;25;-15;968.0;795
153.0;-715.0;-539.0;-410.0;?;-31;995.0;797
124.0;-685.0;-557.0;-445.0;23;7;1019.0;795
105.0;-655.0;-573.0;-472.0;29;?;958.0;794
93.0;?;-583.0;-492.0;20;?;964.0;795
88.0;-613.0;-586.0;?;?;-11;987.0;797
88.0;?;-587.0;-496.0;25;-10;983.0;799
92.0;-598.0;?;-486.0;17;-4;1004.0;?
99.0;-599.0;-599.0;-472.0;19;-3;976.0;797
110.0;?;-606.0;-461.0;21;-10;?;789
121.0;-606.0;-613.0;?;?;?;916.0;?
130.0;-611.0;?;-442.0;15;9;936.0;801
141.0;-616.0;-621.0;?;16;29;996.0;798
153.0;-619.0;-630.0;?;20;15;994.0;794
685.0;-623.0;-262.0;243.0;15;?;?;798
?;-628.0;?;243.0;19;-23;928.0;800
694.0;-633.0;?;?;?;18;926.0;796
