InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LUA^ accX;Accelerometer LWR accX
?;230.0;393.0;-422.0;138.0;?;554.0;-628.0;-683.0;335.0;-219.0
116;222.0;421.0;-403.0;99.0;-192.0;388.0;?;-672.0;268.0;-271.0
116;211.0;?;-394.0;66.0;-164.0;?;-710.0;-675.0;261.0;-314.0
116;199.0;460.0;-394.0;50.0;-149.0;343.0;-744.0;-672.0;361.0;-272.0
116;192.0;455.0;-398.0;53.0;-148.0;323.0;?;?;?;-211.0
116;193.0;441.0;-405.0;66.0;-142.0;257.0;-710.0;-668.0;342.0;-197.0
116;194.0;427.0;?;87.0;-151.0;370.0;?;?;271.0;-167.0
116;192.0;414.0;-420.0;113.0;-166.0;?;-620.0;?;193.0;-318.0
?;196.0;396.0;-430.0;154.0;-195.0;466.0;?;?;?;?
?;582.0;-357.0;-218.0;587.0;-678.0;?;?;-658.0;431.0;165.0
116;581.0;?;-216.0;?;-677.0;?;-664.0;-657.0;299.0;277.0
116;580.0;?;?;?;-680.0;1285.0;-773.0;-657.0;486.0;306.0
?;?;?;-220.0;595.0;-682.0;1256.0;?;-657.0;?;406.0
?;561.0;-315.0;-228.0;?;-690.0;1213.0;-891.0;-657.0;322.0;398.0
116;?;?;-238.0;596.0;-693.0;?;-999.0;-656.0;379.0;338.0
?;?;-260.0;-250.0;609.0;-695.0;?;-1026.0;?;471.0;?
116;503.0;-220.0;?;619.0;-702.0;?;-1001.0;-657.0;619.0;-112.0
116;?;-170.0;-288.0;?;-708.0;897.0;-999.0;-657.0;708.0;?
116;445.0;-112.0;-307.0;633.0;?;706.0;-977.0;?;792.0;-292.0
116;421.0;-53.0;-327.0;?;-696.0;688.0;-979.0;-657.0;860.0;-268.0
116;404.0;0.0;-342.0;624.0;-672.0;620.0;-1008.0;-658.0;732.0;-195.0
116;381.0;?;-354.0;601.0;?;635.0;?;-656.0;643.0;-214.0
116;?;107.0;-365.0;?;-617.0;?;-989.0;-656.0;?;-229.0
116;314.0;164.0;-376.0;512.0;-580.0;?;-895.0;-657.0;415.0;-331.0
116;283.0;219.0;?;?;?;473.0;-811.0;-658.0;419.0;-345.0
?;254.0;?;?;386.0;?;356.0;-773.0;-661.0;413.0;-378.0
?;?;318.0;-415.0;?;-435.0;184.0;?;-662.0;380.0;-298.0
116;222.0;358.0;-427.0;268.0;-391.0;-196.0;?;-664.0;417.0;-387.0
?;208.0;?;?;211.0;-339.0;14.0;-696.0;-666.0;333.0;?
116;?;430.0;-433.0;153.0;-293.0;319.0;-617.0;-672.0;?;-269.0
?;173.0;461.0;-426.0;95.0;-238.0;671.0;-387.0;-674.0;359.0;-287.0
116;178.0;479.0;-416.0;?;-196.0;?;-432.0;-675.0;312.0;-269.0
116;187.0;495.0;-411.0;13.0;-165.0;796.0;?;-674.0;287.0;-133.0
?;188.0;507.0;-411.0;-4.0;-138.0;681.0;-870.0;-672.0;309.0;?
116;?;507.0;-416.0;-2.0;-128.0;?;-968.0;-671.0;312.0;?
116;187.0;498.0;-421.0;18.0;-139.0;335.0;-982.0;-670.0;273.0;-132.0
116;183.0;487.0;?;40.0;-150.0;317.0;?;-669.0;276.0;-159.0
?;183.0;473.0;-416.0;55.0;-154.0;339.0;-802.0;-671.0;355.0;-253.0
116;185.0;459.0;-415.0;70.0;-168.0;251.0;-663.0;-675.0;409.0;-448.0
116;182.0;448.0;-415.0;89.0;?;?;-605.0;-679.0;471.0;?
116;179.0;?;-418.0;119.0;-203.0;233.0;-581.0;-682.0;554.0;-715.0
116;616.0;-405.0;-252.0;578.0;-666.0;711.0;-723.0;-665.0;62.0;139.0
