InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Body_Az
439.0;-289.0;72.0;-298.0;15;-17;952.0;810
30.0;-332.0;115.0;-257.0;25;-4;931.0;794
-498.0;229.0;64.0;-3.0;-80;-76;1008.0;894
-244.0;-551.0;436.0;-642.0;-482;637;1355.0;751
-143.0;-533.0;363.0;-456.0;21;31;1027.0;618
3.0;-621.0;701.0;-408.0;49;122;933.0;781
-839.0;-604.0;633.0;-751.0;-167;-2095;878.0;809
149.0;-360.0;164.0;-237.0;1;-87;953.0;804
151.0;-358.0;163.0;-235.0;15;-35;962.0;807
148.0;-349.0;159.0;-231.0;21;29;944.0;815
125.0;-340.0;158.0;-232.0;18;4;948.0;808
405.0;97.0;-209.0;27.0;-273;1295;765.0;788
133.0;-270.0;-83.0;-275.0;56;140;962.0;791
98.0;-230.0;-11.0;-280.0;54;-169;928.0;794
371.0;-289.0;-178.0;-65.0;137;678;1475.0;656
-25.0;376.0;-179.0;263.0;1102;595;1060.0;825
126.0;-340.0;157.0;-232.0;16;-24;966.0;807
165.0;-283.0;-16.0;-228.0;30;-13;1000.0;794
166.0;-288.0;-11.0;-229.0;14;-1;1006.0;797
149.0;-289.0;2.0;-239.0;-19;22;912.0;805
116.0;-250.0;13.0;-261.0;-52;66;1076.0;797
109.0;-243.0;33.0;-277.0;13;53;890.0;800
135.0;-271.0;28.0;-271.0;8;-124;969.0;801
173.0;-259.0;-14.0;-236.0;82;29;1148.0;794
172.0;-274.0;-11.0;-231.0;14;2;1034.0;799
167.0;-281.0;-12.0;-226.0;8;-33;856.0;799
191.0;-295.0;-15.0;-228.0;15;47;956.0;804
178.0;-248.0;-4.0;-235.0;-33;44;965.0;800
857.0;726.0;-647.0;723.0;1127;-1155;1105.0;819
125.0;-245.0;68.0;-287.0;71;-293;939.0;791
152.0;-219.0;14.0;-256.0;115;-237;915.0;794
141.0;-228.0;30.0;-267.0;47;4;935.0;793
150.0;-280.0;20.0;-266.0;17;-43;1117.0;798
146.0;-292.0;26.0;-264.0;44;-37;944.0;794
315.0;-4.0;-81.0;-59.0;1464;-627;903.0;857
103.0;-299.0;104.0;-287.0;79;-493;922.0;804
123.0;-282.0;75.0;-294.0;29;172;943.0;796
88.0;-187.0;22.0;-289.0;118;392;926.0;800
115.0;-318.0;67.0;-295.0;169;505;905.0;805
29.0;-581.0;357.0;-382.0;24;15;942.0;775
130.0;-343.0;147.0;-232.0;21;6;956.0;809
105.0;-384.0;58.0;-282.0;21;-11;1056.0;797
119.0;-403.0;49.0;-279.0;13;55;872.0;797
174.0;-689.0;391.0;-532.0;17;-39;1025.0;1236
-202.0;516.0;-319.0;362.0;27;-5;984.0;725
114.0;-388.0;109.0;-291.0;15;-20;1068.0;799
117.0;-467.0;52.0;-277.0;19;13;1016.0;794
126.0;-484.0;-14.0;-276.0;17;12;905.0;804
182.0;-734.0;-297.0;-225.0;20;1;934.0;797
162.0;577.0;-430.0;642.0;-26;-16;937.0;880
125.0;-342.0;145.0;-229.0;23;13;966.0;806
122.0;-341.0;142.0;-225.0;12;7;950.0;808
126.0;-329.0;131.0;-202.0;30;-7;959.0;807
146.0;-318.0;122.0;-178.0;22;34;934.0;810
158.0;-301.0;102.0;-168.0;19;48;971.0;807
163.0;-298.0;96.0;-163.0;24;57;922.0;807
149.0;-426.0;-16.0;-250.0;22;-13;952.0;802
144.0;-368.0;39.0;-254.0;18;1;920.0;794
139.0;-290.0;22.0;-251.0;17;29;911.0;802
182.0;-317.0;20.0;-239.0;19;-1;930.0;802
134.0;-299.0;69.0;-246.0;18;-9;902.0;801
148.0;-298.0;58.0;-248.0;27;-12;922.0;807
153.0;-297.0;58.0;-238.0;18;26;938.0;806
157.0;-294.0;53.0;-235.0;20;-8;916.0;805
157.0;-296.0;55.0;-235.0;23;11;926.0;797
158.0;-294.0;54.0;-234.0;15;-28;909.0;798
133.0;-296.0;61.0;-239.0;15;7;919.0;805
-48.0;-312.0;75.0;-269.0;14;6;905.0;802
-32.0;-317.0;83.0;-268.0;33;0;919.0;805
-5.0;-318.0;91.0;-262.0;17;-2;936.0;800
-2.0;-317.0;89.0;-260.0;24;-29;937.0;803
7.0;-317.0;82.0;-255.0;24;2;921.0;805
10.0;-316.0;75.0;-243.0;21;10;943.0;803
32.0;-312.0;57.0;-232.0;19;-2;948.0;803
58.0;-279.0;39.0;-230.0;17;8;955.0;801
90.0;-272.0;48.0;-221.0;18;18;933.0;806
101.0;-292.0;41.0;-213.0;18;14;916.0;801
78.0;-307.0;61.0;-228.0;23;-30;944.0;797
85.0;-309.0;62.0;-224.0;19;3;926.0;802
82.0;-314.0;76.0;-227.0;0;9;971.0;798
