InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;InertialMeasurementUnit RUA gyroZ;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit R-SHOE EuY;Accelerometer RKN^ accZ;Accelerometer LUA_ accY;Accelerometer LH accY;InertialMeasurementUnit BACK gyroX
-978.0;471.0;-6.0;918.0;20.0;88;-26;75.0;834.0;835.0;-26.0
-948.0;310.0;13.0;952.0;181.0;27;-23;78.0;924.0;845.0;-64.0
-957.0;812.0;100.0;562.0;103.0;112;-39;229.0;557.0;396.0;-126.0
-1084.0;174.0;-582.0;1122.0;157.0;44;-27;-60.0;807.0;479.0;20.0
-961.0;339.0;-31.0;961.0;189.0;27;-23;135.0;951.0;896.0;-121.0
-1020.0;364.0;-93.0;871.0;168.0;34;-20;93.0;994.0;1134.0;-122.0
-975.0;745.0;243.0;795.0;440.0;-66;-34;-93.0;890.0;963.0;-660.0
-1053.0;495.0;112.0;961.0;331.0;91;-27;173.0;970.0;1041.0;-37.0
-968.0;370.0;-87.0;891.0;286.0;-15;-29;29.0;987.0;1053.0;82.0
-971.0;143.0;-85.0;980.0;-61.0;7;-22;515.0;991.0;996.0;141.0
-942.0;252.0;114.0;960.0;186.0;75;-24;407.0;779.0;940.0;-150.0
-795.0;868.0;-42.0;347.0;388.0;-58;-26;-31.0;495.0;451.0;12.0
-1047.0;180.0;-497.0;1223.0;311.0;144;-55;386.0;1165.0;1549.0;66.0
-976.0;262.0;-97.0;996.0;167.0;75;-24;238.0;1000.0;1027.0;-326.0
-953.0;300.0;-34.0;982.0;165.0;75;-24;55.0;932.0;1012.0;-159.0
-981.0;171.0;458.0;1018.0;89.0;65;-29;134.0;910.0;1029.0;-1369.0
-940.0;602.0;547.0;905.0;131.0;91;-27;79.0;968.0;908.0;270.0
-983.0;514.0;99.0;858.0;173.0;44;-39;276.0;990.0;1043.0;28.0
-1026.0;251.0;-342.0;999.0;-52.0;-15;-28;348.0;987.0;1039.0;209.0
-1013.0;347.0;-514.0;934.0;159.0;36;-25;123.0;938.0;1103.0;953.0
