InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LUA^ accX;Accelerometer LWR accX
-4;176.0;395.0;2.0;-613.0;1256.0;128.0;-82.0;288.0;671.0;-185.0
101;-280.0;-411.0;-220.0;-641.0;417.0;662.0;-376.0;67.0;458.0;-560.0
111;-406.0;-515.0;-259.0;-463.0;479.0;487.0;-380.0;-53.0;272.0;-481.0
3;-9.0;69.0;-62.0;-656.0;357.0;663.0;-345.0;-407.0;459.0;-474.0
109;122.0;202.0;59.0;-763.0;319.0;391.0;-479.0;-235.0;391.0;-218.0
26;227.0;406.0;130.0;-737.0;539.0;475.0;-345.0;-174.0;427.0;-335.0
26;260.0;467.0;161.0;-661.0;694.0;223.0;-768.0;-113.0;268.0;-365.0
26;188.0;554.0;171.0;-646.0;733.0;376.0;-166.0;-120.0;444.0;53.0
15;238.0;480.0;80.0;-713.0;354.0;205.0;-230.0;-148.0;276.0;-162.0
34;188.0;324.0;30.0;-748.0;250.0;183.0;-382.0;-168.0;371.0;-330.0
112;177.0;260.0;81.0;-765.0;266.0;316.0;-316.0;-169.0;208.0;-357.0
6;155.0;288.0;161.0;-777.0;424.0;629.0;-267.0;-176.0;555.0;-590.0
7;148.0;333.0;127.0;-778.0;491.0;554.0;-274.0;-181.0;445.0;-249.0
5;273.0;456.0;130.0;-618.0;749.0;272.0;-567.0;-155.0;348.0;-397.0
99;609.0;759.0;521.0;220.0;604.0;414.0;-315.0;-491.0;302.0;-369.0
99;685.0;626.0;501.0;515.0;342.0;414.0;-323.0;-686.0;316.0;-329.0
97;678.0;697.0;326.0;393.0;393.0;434.0;-407.0;586.0;456.0;-237.0
97;668.0;723.0;245.0;435.0;436.0;428.0;-239.0;586.0;584.0;-88.0
97;664.0;731.0;240.0;441.0;444.0;486.0;-246.0;589.0;436.0;-15.0
97;661.0;738.0;237.0;446.0;451.0;572.0;-264.0;591.0;439.0;-124.0
-71;569.0;744.0;493.0;76.0;599.0;516.0;-462.0;573.0;256.0;-449.0
-174;615.0;471.0;-68.0;331.0;25.0;420.0;-266.0;755.0;283.0;-255.0
-133;607.0;601.0;-65.0;396.0;129.0;461.0;-328.0;743.0;411.0;-251.0
-172;490.0;467.0;182.0;66.0;43.0;394.0;-560.0;888.0;691.0;-136.0
-17;-32.0;-612.0;-131.0;-630.0;1002.0;957.0;-917.0;296.0;386.0;-445.0
-4;-43.0;-483.0;-83.0;-632.0;756.0;390.0;-660.0;360.0;340.0;-389.0
-7;-34.0;-487.0;-69.0;-636.0;700.0;480.0;-617.0;386.0;233.0;-762.0
-23;-28.0;-486.0;-64.0;-634.0;677.0;526.0;-566.0;402.0;253.0;-779.0
-67;52.0;-440.0;-28.0;-660.0;540.0;794.0;-516.0;429.0;522.0;-471.0
-31;38.0;-233.0;-71.0;-651.0;863.0;1023.0;-342.0;386.0;302.0;-302.0
-31;30.0;-99.0;-93.0;-411.0;1352.0;328.0;-138.0;318.0;203.0;-508.0
-16;-119.0;-307.0;-193.0;-656.0;754.0;216.0;-258.0;383.0;242.0;-395.0
-37;-65.0;-307.0;-294.0;-643.0;803.0;267.0;-396.0;347.0;365.0;-320.0
-30;33.0;-259.0;-284.0;-593.0;655.0;492.0;-485.0;410.0;493.0;-242.0
-30;57.0;-236.0;-266.0;-573.0;634.0;469.0;-538.0;432.0;423.0;-295.0
-30;44.0;-247.0;-266.0;-601.0;561.0;549.0;-295.0;407.0;519.0;-286.0
-31;-56.0;-283.0;-244.0;-636.0;577.0;394.0;-123.0;336.0;490.0;-251.0
-31;-21.0;-298.0;-303.0;-647.0;525.0;408.0;-259.0;294.0;614.0;-102.0
-32;40.0;-138.0;149.0;-555.0;407.0;15.0;-197.0;422.0;296.0;-446.0
-52;204.0;17.0;107.0;-486.0;402.0;498.0;-261.0;502.0;415.0;-316.0
-52;126.0;-48.0;125.0;-553.0;454.0;454.0;-109.0;499.0;382.0;-300.0
-21;-300.0;-542.0;-391.0;-521.0;907.0;318.0;-237.0;23.0;415.0;-208.0
-21;-321.0;-532.0;-377.0;-534.0;883.0;375.0;-332.0;-14.0;462.0;-226.0
-11;-388.0;-498.0;-346.0;-518.0;732.0;332.0;-335.0;7.0;286.0;-265.0
-7;-386.0;-485.0;-301.0;-534.0;783.0;420.0;-270.0;9.0;322.0;-364.0
58;-373.0;-487.0;-276.0;-616.0;654.0;439.0;-482.0;-50.0;434.0;-425.0
23;-247.0;-490.0;-181.0;-687.0;606.0;445.0;-113.0;85.0;416.0;-410.0
12;-307.0;-452.0;-196.0;-690.0;400.0;190.0;-262.0;142.0;237.0;-419.0
