InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;InertialMeasurementUnit R-SHOE Body_Az
597.0;-85.0;-211.0;-7.0;21;46;952.0;565
525.0;-594.0;254.0;-169.0;20;-19;959.0;761
514.0;-606.0;269.0;-180.0;13;-13;946.0;781
488.0;-610.0;281.0;-200.0;16;-30;967.0;772
320.0;-582.0;271.0;-415.0;-10;-44;926.0;779
301.0;-559.0;268.0;-412.0;-4;-81;1081.0;781
133.0;-369.0;172.0;-252.0;29;-358;947.0;813
149.0;-360.0;164.0;-237.0;1;-87;953.0;804
151.0;-358.0;163.0;-235.0;15;-35;962.0;807
148.0;-349.0;159.0;-231.0;21;29;944.0;815
125.0;-340.0;158.0;-232.0;18;4;948.0;808
119.0;-240.0;-74.0;-292.0;85;356;858.0;784
133.0;-270.0;-83.0;-275.0;56;140;962.0;791
98.0;-230.0;-11.0;-280.0;54;-169;928.0;794
88.0;-187.0;22.0;-289.0;118;392;926.0;800
92.0;-177.0;20.0;-290.0;261;276;938.0;795
126.0;-340.0;157.0;-232.0;16;-24;966.0;807
165.0;-283.0;-16.0;-228.0;30;-13;1000.0;794
166.0;-288.0;-11.0;-229.0;14;-1;1006.0;797
149.0;-289.0;2.0;-239.0;-19;22;912.0;805
116.0;-250.0;13.0;-261.0;-52;66;1076.0;797
109.0;-243.0;33.0;-277.0;13;53;890.0;800
135.0;-271.0;28.0;-271.0;8;-124;969.0;801
173.0;-259.0;-14.0;-236.0;82;29;1148.0;794
172.0;-274.0;-11.0;-231.0;14;2;1034.0;799
167.0;-281.0;-12.0;-226.0;8;-33;856.0;799
191.0;-295.0;-15.0;-228.0;15;47;956.0;804
178.0;-248.0;-4.0;-235.0;-33;44;965.0;800
169.0;-232.0;-2.0;-240.0;165;-181;936.0;795
156.0;-220.0;9.0;-254.0;93;-262;917.0;796
152.0;-219.0;14.0;-256.0;115;-237;915.0;794
141.0;-228.0;30.0;-267.0;47;4;935.0;793
150.0;-280.0;20.0;-266.0;17;-43;1117.0;798
146.0;-292.0;26.0;-264.0;44;-37;944.0;794
124.0;-240.0;63.0;-282.0;92;-338;898.0;798
125.0;-245.0;68.0;-287.0;71;-293;939.0;791
123.0;-282.0;75.0;-294.0;29;172;943.0;796
106.0;-324.0;67.0;-300.0;-18;293;900.0;803
109.0;-321.0;66.0;-298.0;125;330;920.0;803
