InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA magneticX;Accelerometer LWR accZ;InertialMeasurementUnit LLA accY;InertialMeasurementUnit BACK Quaternion1;Accelerometer LUA^ accX;Accelerometer LWR accX
116;199.0;460.0;-394.0;50.0;-149.0;343.0;-744.0;-672.0;361.0;-272.0
116;193.0;441.0;-405.0;66.0;-142.0;257.0;-710.0;-668.0;342.0;-197.0
116;404.0;0.0;-342.0;624.0;-672.0;620.0;-1008.0;-658.0;732.0;-195.0
116;187.0;498.0;-421.0;18.0;-139.0;335.0;-982.0;-670.0;273.0;-132.0
116;185.0;459.0;-415.0;70.0;-168.0;251.0;-663.0;-675.0;409.0;-448.0
116;616.0;-405.0;-252.0;578.0;-666.0;711.0;-723.0;-665.0;62.0;139.0
116;247.0;402.0;-405.0;181.0;-311.0;334.0;-636.0;-684.0;350.0;-437.0
116;210.0;483.0;-393.0;27.0;-150.0;342.0;-754.0;-679.0;370.0;-207.0
116;629.0;-6.0;-30.0;567.0;-728.0;638.0;-341.0;-666.0;553.0;-830.0
116;664.0;711.0;445.0;478.0;448.0;889.0;-989.0;-677.0;361.0;-746.0
107;750.0;607.0;472.0;521.0;323.0;304.0;-222.0;-700.0;354.0;-272.0
103;687.0;706.0;510.0;485.0;517.0;396.0;-315.0;-698.0;323.0;-366.0
102;692.0;679.0;502.0;545.0;419.0;421.0;-382.0;-697.0;259.0;-443.0
103;693.0;684.0;504.0;525.0;460.0;439.0;-424.0;-712.0;300.0;-359.0
104;711.0;648.0;514.0;532.0;389.0;406.0;-310.0;-714.0;275.0;-308.0
103;701.0;666.0;507.0;533.0;407.0;413.0;-364.0;-700.0;303.0;-363.0
107;722.0;632.0;505.0;548.0;314.0;415.0;-341.0;-688.0;447.0;-234.0
106;689.0;669.0;521.0;541.0;363.0;391.0;-345.0;-675.0;371.0;-367.0
106;681.0;698.0;522.0;500.0;479.0;435.0;-399.0;-689.0;294.0;-401.0
107;708.0;660.0;507.0;523.0;429.0;424.0;-315.0;-714.0;298.0;-283.0
103;702.0;650.0;514.0;516.0;382.0;428.0;-315.0;-727.0;324.0;-346.0
102;697.0;655.0;513.0;513.0;392.0;389.0;-309.0;-727.0;331.0;-316.0
97;686.0;676.0;523.0;508.0;416.0;494.0;-268.0;-710.0;351.0;-348.0
99;685.0;666.0;523.0;521.0;376.0;428.0;-338.0;-715.0;365.0;-380.0
99;683.0;671.0;525.0;519.0;392.0;455.0;-350.0;-714.0;353.0;-392.0
107;688.0;678.0;507.0;499.0;466.0;411.0;-371.0;-728.0;311.0;-347.0
107;692.0;672.0;506.0;500.0;457.0;411.0;-360.0;-731.0;307.0;-318.0
106;703.0;639.0;504.0;506.0;397.0;343.0;-269.0;-741.0;286.0;-284.0
104;684.0;662.0;514.0;501.0;386.0;354.0;-351.0;-729.0;287.0;-354.0
103;714.0;574.0;508.0;542.0;147.0;455.0;-286.0;-713.0;418.0;-328.0
104;680.0;642.0;503.0;539.0;306.0;547.0;-448.0;-712.0;326.0;-380.0
111;658.0;683.0;511.0;510.0;424.0;431.0;-442.0;-714.0;386.0;-404.0
112;698.0;622.0;521.0;487.0;379.0;394.0;-246.0;-760.0;296.0;-253.0
