NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall;PLC_PRG.MaterialIsMetal;MotorData.Motor_Pos4reached;MotorData.ActPosition;MotorData.Motor_Pos1reached
1;0;0;0;235480;0
1;0;0;0;229535;0
1;0;0;0;238177;0
1;0;0;0;231855;0
1;0;0;0;234987;0
1;0;0;0;241541;0
1;0;0;0;241541;0
1;0;0;0;228868;0
1;0;0;0;243600;0
1;0;0;0;229390;0
1;0;0;0;229390;0
1;0;0;0;235306;0
1;0;0;0;240062;0
1;0;0;0;243600;0
1;0;0;0;240381;0
1;0;0;0;240381;0
1;0;0;0;233595;0
1;0;0;0;233595;0
1;0;0;0;230463;0
1;0;0;0;230463;0
1;0;0;0;238815;0
1;0;0;0;240671;0
1;0;0;0;234581;0
1;0;0;0;234581;0
1;0;0;0;243136;0
1;0;0;0;236756;0
1;0;0;0;233537;0
1;0;0;0;233537;0
1;0;0;0;230347;0
1;0;0;0;230492;0
1;0;0;0;243078;0
1;0;0;0;238177;0
1;0;0;0;237220;0
1;0;0;0;237220;0
1;0;0;0;234030;0
1;0;0;0;234175;0
1;0;0;0;240816;0
1;0;0;0;240816;0
1;0;0;0;240816;0
1;0;0;0;230666;0
1;0;0;0;236669;0
1;0;0;0;243310;0
1;0;0;0;243310;0
1;0;0;0;230347;0
1;0;0;0;230695;0
1;0;0;0;234465;0
1;0;0;0;234465;0
1;0;0;0;234262;0
1;0;0;0;237307;0
1;0;0;0;243716;0
1;0;0;0;243716;0
1;0;0;0;240468;0
1;0;0;0;238177;0
1;0;0;0;235132;0
1;0;0;0;233653;0
1;0;0;0;236872;0
1;0;0;0;236872;0
1;0;0;0;243252;0
1;0;0;0;229071;0
1;0;0;0;232348;0
1;0;0;0;232348;0
1;0;0;0;238757;0
1;0;0;0;238757;0
1;0;0;0;242498;0
1;0;0;0;231623;0
1;0;0;0;234987;0
1;0;0;0;240903;0
1;0;0;0;241309;0
1;0;0;0;235132;0
1;0;0;0;232174;0
1;0;0;0;240903;0
1;0;0;0;240903;0
1;0;0;0;242353;0
1;0;0;0;236350;0
1;0;0;0;233392;0
1;0;0;0;241715;0
1;0;0;0;238496;0
