InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion3;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE EuX;Accelerometer RKN_ accX;Accelerometer RUA_ accX;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RLA accY;Accelerometer RWR accZ;InertialMeasurementUnit L-SHOE EuY
-683.0;-558.0;47.0;74;-86.0;752.0;367.0;-296.0;375.0;540.0;-42
-672.0;-562.0;27.0;74;-108.0;755.0;376.0;-301.0;380.0;538.0;-42
-675.0;-561.0;19.0;74;-103.0;741.0;378.0;-296.0;483.0;533.0;-42
-672.0;-563.0;-18.0;74;-115.0;791.0;380.0;-294.0;486.0;471.0;-42
-670.0;-565.0;-11.0;74;-168.0;772.0;382.0;-294.0;511.0;427.0;-42
-668.0;-566.0;28.0;74;-154.0;817.0;383.0;-294.0;446.0;344.0;-42
-665.0;-569.0;-15.0;74;-142.0;759.0;384.0;-294.0;394.0;335.0;-42
-665.0;-570.0;-5.0;74;-140.0;734.0;385.0;-292.0;344.0;351.0;-42
-668.0;-570.0;19.0;74;-110.0;702.0;383.0;-287.0;309.0;496.0;-42
-658.0;-594.0;30.0;74;-87.0;607.0;390.0;-249.0;-14.0;406.0;-42
-657.0;-594.0;29.0;74;-78.0;591.0;390.0;-251.0;-7.0;513.0;-42
-657.0;-593.0;34.0;74;-94.0;596.0;391.0;-252.0;3.0;536.0;-42
-657.0;-592.0;8.0;74;-95.0;663.0;391.0;-254.0;39.0;590.0;-42
-657.0;-592.0;?;74;-131.0;777.0;392.0;-254.0;38.0;497.0;-42
-656.0;-591.0;?;74;-134.0;754.0;393.0;-254.0;-175.0;472.0;-42
-656.0;-593.0;?;74;-151.0;732.0;394.0;-253.0;-45.0;511.0;-42
-657.0;-593.0;?;74;-141.0;789.0;392.0;-250.0;-75.0;492.0;-42
-657.0;-593.0;?;74;-126.0;747.0;393.0;-250.0;-39.0;543.0;-42
-656.0;-591.0;?;74;-144.0;738.0;396.0;-252.0;93.0;664.0;-42
-657.0;-588.0;?;74;-136.0;781.0;397.0;-255.0;222.0;683.0;-42
-658.0;-586.0;?;74;-99.0;865.0;398.0;-256.0;322.0;752.0;-42
