InertialMeasurementUnit LUA gyroY;InertialMeasurementUnit BACK gyroY;InertialMeasurementUnit LUA gyroZ;InertialMeasurementUnit LLA gyroX;InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit LLA gyroY;InertialMeasurementUnit RLA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit LUA gyroX;InertialMeasurementUnit LLA gyroZ;InertialMeasurementUnit RUA gyroX;InertialMeasurementUnit RLA gyroX
-1604.0;254.0;687.0;-55.0;-1554.0;-809.0;-1360.0;263.0;431.0;1544.0;-943.0;-431.0
-1284.0;458.0;532.0;881.0;-1267.0;-394.0;-1187.0;-591.0;764.0;1513.0;-1134.0;-235.0
-917.0;188.0;352.0;1089.0;-634.0;-134.0;-778.0;79.0;592.0;1276.0;-565.0;-361.0
-355.0;206.0;216.0;463.0;-228.0;-309.0;-299.0;-52.0;-22.0;520.0;-83.0;-238.0
197.0;195.0;99.0;-528.0;60.0;-176.0;41.0;-142.0;-363.0;-52.0;198.0;330.0
709.0;169.0;54.0;-1132.0;263.0;62.0;283.0;-127.0;-330.0;-319.0;178.0;456.0
901.0;200.0;-4.0;-913.0;432.0;302.0;485.0;-49.0;-359.0;-401.0;90.0;726.0
1086.0;79.0;-30.0;-748.0;545.0;455.0;618.0;19.0;-369.0;-487.0;160.0;832.0
1281.0;44.0;110.0;-1147.0;764.0;574.0;662.0;319.0;-344.0;-435.0;257.0;951.0
-71.0;-79.0;0.0;82.0;35.0;-99.0;-11.0;-56.0;-369.0;134.0;-162.0;-49.0
-67.0;-47.0;21.0;-190.0;13.0;-187.0;-117.0;-100.0;-138.0;135.0;-213.0;-53.0
-174.0;-39.0;-90.0;32.0;85.0;-249.0;-218.0;-83.0;10.0;220.0;-243.0;-252.0
-442.0;-74.0;-256.0;471.0;202.0;-200.0;-52.0;-89.0;145.0;368.0;-251.0;-780.0
-796.0;-46.0;-351.0;949.0;218.0;-276.0;-85.0;-81.0;259.0;552.0;-377.0;-1234.0
-1451.0;-14.0;-404.0;1287.0;82.0;-463.0;-396.0;-64.0;383.0;670.0;-319.0;-1419.0
-2131.0;77.0;-349.0;1782.0;-87.0;-881.0;-731.0;42.0;-10.0;765.0;199.0;-1847.0
