Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit LLA accZ;Accelerometer LH accZ;Accelerometer LWR accZ
-63.0;-219.0;-255.0;60.0;554.0
-85.0;-271.0;-99.0;415.0;388.0
-126.0;-314.0;3.0;455.0;330.0
-80.0;-272.0;-19.0;185.0;343.0
-67.0;-211.0;-146.0;114.0;323.0
-266.0;-197.0;-65.0;335.0;257.0
-429.0;-167.0;-18.0;442.0;370.0
-533.0;-318.0;-37.0;354.0;419.0
-528.0;-605.0;-99.0;770.0;466.0
764.0;165.0;458.0;-819.0;841.0
711.0;277.0;492.0;-1166.0;1051.0
628.0;306.0;519.0;-1225.0;1285.0
468.0;406.0;568.0;-1215.0;1256.0
283.0;398.0;739.0;-1079.0;1213.0
277.0;338.0;879.0;-831.0;1098.0
183.0;174.0;949.0;-619.0;1063.0
116.0;-112.0;951.0;-316.0;987.0
80.0;-232.0;860.0;-70.0;897.0
23.0;-292.0;630.0;-41.0;706.0
-48.0;-268.0;329.0;-9.0;688.0
-120.0;-195.0;219.0;-91.0;620.0
-115.0;-214.0;214.0;-88.0;635.0
-148.0;-229.0;113.0;-186.0;534.0
-191.0;-331.0;?;151.0;453.0
-188.0;-345.0;?;287.0;473.0
-166.0;-378.0;?;371.0;356.0
-139.0;-298.0;?;524.0;184.0
-48.0;-387.0;?;1479.0;-196.0
-35.0;-299.0;?;1050.0;14.0
?;-269.0;?;395.0;319.0
?;-287.0;-417.0;47.0;671.0
158.0;-269.0;-335.0;145.0;783.0
115.0;-133.0;-8.0;-224.0;796.0
17.0;-113.0;48.0;18.0;681.0
-112.0;-138.0;97.0;320.0;517.0
-228.0;-132.0;246.0;391.0;335.0
-339.0;-159.0;258.0;219.0;317.0
-422.0;-253.0;225.0;398.0;339.0
-411.0;-448.0;149.0;730.0;251.0
-295.0;-555.0;67.0;649.0;207.0
-268.0;-715.0;-78.0;770.0;233.0
608.0;139.0;385.0;-370.0;711.0
641.0;173.0;371.0;-775.0;802.0
637.0;199.0;431.0;-1091.0;999.0
576.0;274.0;515.0;-1087.0;1117.0
