InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit L-SHOE Nav_Ax
18;18;18;291.0;3
-11;-11;11;236.0;1
20;20;5;-108.0;-6
29;29;7;-70.0;-6
-11;-11;15;28.0;4
12;12;12;69.0;1
8;8;10;46.0;-2
-19;-19;16;-12.0;4
9;9;13;-115.0;2
-49;-49;16;22.0;3
-11;-11;22;41.0;9
-14;-14;?;39.0;1
-20;-20;?;33.0;-4
26;26;?;-29.0;-3
-1;-1;?;-42.0;-6
-4;-4;?;-42.0;-4
12;12;?;-78.0;4
0;0;?;-51.0;4
-13;-13;?;-66.0;-2
8;8;?;-73.0;-1
20;20;?;-34.0;-6
-17;-17;?;64.0;-8
3;3;16;124.0;3
24;24;10;70.0;-3
-15;-15;6;79.0;-6
-2;-2;16;79.0;3
30;30;9;58.0;-3
22;22;10;86.0;-1
19;19;12;143.0;1
-14;-14;10;148.0;-2
-25;-25;19;213.0;9
14;14;23;183.0;12
11;11;13;47.0;2
7;7;7;39.0;-2
12;12;6;20.0;?
-21;-21;8;80.0;?
-26;-26;9;44.0;?
-21;-21;9;-24.0;?
-12;-12;11;-89.0;?
15;15;9;-100.0;?
-23;-23;13;-119.0;?
-5;-5;?;63.0;?
-1;-1;?;47.0;?
-27;-27;?;28.0;?
31;31;?;23.0;-8
37;37;?;-26.0;3
17;17;?;-18.0;1
24;24;?;-43.0;-6
-2;?;?;-37.0;1
-7;?;?;-56.0;0
10;?;?;-97.0;0
10;?;?;-103.0;4
14;?;?;-86.0;-6
-2;?;?;-58.0;-7
-5;?;?;-41.0;1
11;?;12;22.0;-3
10;?;9;78.0;-5
22;?;9;78.0;-2
-5;-5;10;98.0;-3
-16;-16;11;41.0;1
19;19;11;8.0;1
-6;-6;11;15.0;-3
-31;-31;11;38.0;1
2;2;15;146.0;5
10;10;13;67.0;4
-4;-4;10;29.0;2
21;21;7;20.0;-4
29;29;5;16.0;-5
2;2;11;37.0;0
-7;-7;9;59.0;-3
-14;-14;6;-10.0;-3
-1;-1;11;-66.0;0
-7;-7;12;31.0;2
25;25;8;38.0;-3
25;25;8;27.0;-3
-9;-9;15;44.0;6
-10;-10;11;42.0;1
-22;-22;8;-87.0;-4
-25;-25;9;-25.0;?
11;11;6;13.0;?
-7;-7;12;49.0;?
-31;-31;13;92.0;?
6;6;9;146.0;?
-4;-4;10;218.0;1
5;5;10;156.0;-1
37;37;-4;157.0;-13
41;41;9;128.0;3
6;6;?;139.0;-11
-10;-10;?;144.0;-16
85;85;?;113.0;49
23;23;?;98.0;-54
404;404;?;96.0;123
1072;1072;?;98.0;343
809;809;?;92.0;-38
216;216;?;132.0;-216
-99;-99;?;112.0;-120
-307;-307;?;119.0;-31
-375;-375;8;120.0;138
-358;-358;-75;103.0;84
-143;-143;-132;132.0;43
171;171;-133;108.0;80
192;192;-183;125.0;-141
6;6;-125;112.0;-192
-84;-84;-38;104.0;-33
-82;-82;-35;103.0;-45
13;13;24;52.0;9
129;129;57;16.0;40
148;148;-21;-19.0;-39
112;112;-57;-32.0;-68
24;24;-45;-62.0;-72
-101;-101;-120;-85.0;-121
-135;-135;-139;-97.0;-140
-118;-118;51;-81.0;18
-102;-102;156;-87.0;119
-2;-2;115;-100.0;81
115;115;86;-102.0;52
153;153;24;-108.0;-4
128;128;-17;-74.0;-38
72;72;-22;-100.0;-25
64;64;-12;-57.0;-53
-76;-76;44;-50.0;32
27;27;9;-34.0;-37
143;143;-60;-26.0;-123
-21;-21;-67;-16.0;-137
424;424;-30;-20.0;-447
417;417;300;-27.0;127
81;81;345;-8.0;599
196;196;37;75.0;58
-58;-58;64;141.0;43
-59;-59;51;126.0;71
47;47;4;148.0;-2
-26;-26;24;-64.0;29
44;44;-24;-40.0;-56
36;36;-10;-27.0;-27
12;12;-20;-18.0;-35
-10;-10;-25;15.0;-38
13;13;-15;9.0;-23
27;27;-16;9.0;-23
-9;-9;-11;25.0;-16
2;2;-16;14.0;-18
12;12;-16;-6.0;-10
-10;-10;-19;-46.0;?
7;7;-24;-27.0;?
16;16;-4;-43.0;?
-65;-65;-20;-42.0;9
-257;-257;?;-78.0;16
-365;-365;?;-72.0;37
-201;-201;?;-76.0;60
-42;-42;?;-79.0;74
22;22;?;-89.0;26
59;59;?;-79.0;-61
9;9;-37;-46.0;-90
-50;-50;-13;-89.0;-71
-83;-83;-31;-79.0;-66
-63;-63;25;-38.0;-68
-117;-117;126;-22.0;26
-109;-109;124;9.0;91
59;59;64;39.0;12
101;101;36;124.0;-19
123;123;42;153.0;4
138;138;7;176.0;-34
72;72;-53;135.0;-82
-10;?;-60;107.0;-85
-141;?;-17;86.0;-49
-186;-186;51;45.0;9
-132;-132;92;14.0;42
-139;-139;96;1.0;47
-145;-145;69;-26.0;19
-58;-58;78;-9.0;22
-39;-39;71;-35.0;11
-45;-45;29;-35.0;-32
43;43;88;-43.0;21
-46;-46;-14;-24.0;-87
-7;?;77;-67.0;8
-8;?;-132;-44.0;-284
96;?;-54;-98.0;-366
710;?;1088;-79.0;837
399;?;556;-64.0;576
-159;?;-353;-78.0;-264
-16;?;0;-54.0;11
-16;?;-21;5.0;-3
-7;?;-14;5.0;-2
-10;?;27;-145.0;34
-34;?;-27;-112.0;-13
30;?;16;-76.0;23
38;?;-5;-91.0;3
30;?;-3;-81.0;6
30;?;-3;-68.0;6
34;34;-2;-5.0;7
16;16;-10;37.0;-2
16;16;-2;59.0;8
33;33;-2;65.0;6
20;20;-7;70.0;2
26;26;-9;35.0;3
25;25;-27;44.0;-18
-50;-50;0;21.0;21
-96;-96;-115;59.0;-85
-313;-313;-378;33.0;-318
-455;-455;-273;11.0;-200
-92;-92;69;29.0;69
115;115;40;10.0;17
34;34;-74;26.0;-80
20;20;2;35.0;-18
-10;-10;24;16.0;-11
-58;-58;-10;50.0;-52
-101;-101;-29;97.0;-67
-104;-104;-14;69.0;-52
-95;-95;21;91.0;-20
-110;-110;59;120.0;20
-87;-87;59;99.0;20
-54;-54;41;144.0;5
