InertialMeasurementUnit RUA accZ;Accelerometer RUA^ accZ;InertialMeasurementUnit RUA accX;Accelerometer RUA^ accY;Accelerometer RWR accX;Accelerometer RUA_ accY;InertialMeasurementUnit RLA accX;Accelerometer RUA^ accX;Accelerometer RWR accY;InertialMeasurementUnit RLA accZ;Accelerometer RUA_ accZ;InertialMeasurementUnit RUA accY
202.0;172.0;-979.0;1108.0;-172.0;905.0;-689.0;60.0;626.0;496.0;-120.0;54.0
-35.0;156.0;-994.0;1164.0;135.0;930.0;-606.0;43.0;762.0;213.0;-91.0;234.0
145.0;265.0;-724.0;969.0;-285.0;710.0;-640.0;28.0;675.0;333.0;15.0;135.0
58.0;191.0;-967.0;1127.0;-112.0;891.0;-660.0;15.0;790.0;458.0;13.0;232.0
-10.0;200.0;-784.0;1166.0;-352.0;838.0;-688.0;67.0;996.0;252.0;-48.0;191.0
45.0;316.0;-816.0;990.0;-297.0;927.0;-696.0;38.0;652.0;355.0;47.0;313.0
-24.0;394.0;-815.0;1019.0;-370.0;687.0;-819.0;163.0;774.0;254.0;61.0;68.0
236.0;225.0;-846.0;1517.0;-495.0;995.0;-681.0;122.0;1078.0;489.0;119.0;220.0
56.0;266.0;-933.0;1009.0;-328.0;875.0;-801.0;65.0;710.0;315.0;31.0;120.0
-47.0;174.0;-967.0;1044.0;-249.0;989.0;-923.0;93.0;737.0;232.0;-27.0;75.0
210.0;353.0;-904.0;965.0;-441.0;939.0;-745.0;-100.0;629.0;507.0;173.0;231.0
200.0;329.0;-888.0;959.0;-450.0;897.0;-727.0;-94.0;632.0;457.0;174.0;263.0
190.0;324.0;-864.0;1003.0;-402.0;879.0;-695.0;-57.0;634.0;382.0;148.0;296.0
66.0;149.0;-990.0;1008.0;-354.0;803.0;-874.0;-7.0;609.0;395.0;179.0;152.0
165.0;397.0;-988.0;1095.0;-699.0;806.0;-725.0;-141.0;513.0;283.0;127.0;358.0
246.0;296.0;-933.0;1031.0;-274.0;976.0;-815.0;-101.0;626.0;514.0;141.0;154.0
241.0;351.0;-926.0;1039.0;-277.0;934.0;-781.0;-60.0;625.0;492.0;117.0;199.0
242.0;330.0;-930.0;1012.0;-281.0;911.0;-747.0;-81.0;639.0;473.0;108.0;241.0
268.0;306.0;-921.0;1010.0;-328.0;883.0;-722.0;-122.0;656.0;455.0;97.0;247.0
269.0;283.0;-909.0;1001.0;-316.0;868.0;-708.0;-132.0;664.0;460.0;108.0;232.0
267.0;238.0;-908.0;1020.0;-302.0;859.0;-723.0;-131.0;679.0;490.0;128.0;174.0
255.0;270.0;-916.0;1024.0;-300.0;875.0;-736.0;-106.0;713.0;492.0;130.0;148.0
243.0;250.0;-925.0;1065.0;-349.0;905.0;-742.0;-71.0;768.0;491.0;140.0;162.0
222.0;324.0;-806.0;1334.0;-517.0;1014.0;-677.0;-77.0;1115.0;425.0;119.0;204.0
209.0;214.0;-967.0;1062.0;-399.0;981.0;-847.0;-114.0;724.0;490.0;80.0;141.0
210.0;297.0;-940.0;1063.0;-316.0;934.0;-786.0;-63.0;766.0;519.0;128.0;227.0
211.0;288.0;-945.0;1029.0;-350.0;943.0;-796.0;-51.0;751.0;498.0;110.0;213.0
292.0;32.0;-921.0;1099.0;-355.0;972.0;-761.0;-148.0;827.0;472.0;148.0;214.0
30.0;108.0;-938.0;1037.0;-559.0;977.0;-873.0;-324.0;670.0;386.0;176.0;-17.0
181.0;301.0;-967.0;1096.0;-352.0;980.0;-820.0;-51.0;749.0;577.0;116.0;213.0
170.0;310.0;-976.0;1083.0;-329.0;991.0;-829.0;-37.0;716.0;573.0;102.0;221.0
157.0;330.0;-981.0;1072.0;-345.0;989.0;-832.0;-16.0;744.0;566.0;101.0;237.0
220.0;185.0;-962.0;1065.0;-366.0;1005.0;-851.0;-85.0;749.0;484.0;67.0;130.0
199.0;287.0;-942.0;1040.0;-351.0;960.0;-813.0;-57.0;715.0;479.0;81.0;186.0
136.0;335.0;-844.0;988.0;-439.0;831.0;-699.0;-34.0;669.0;333.0;40.0;257.0
178.0;300.0;-900.0;1251.0;-637.0;616.0;-696.0;-26.0;593.0;765.0;17.0;193.0
100.0;339.0;-840.0;977.0;-392.0;832.0;-717.0;11.0;638.0;357.0;25.0;262.0
133.0;352.0;-669.0;1198.0;-485.0;637.0;-544.0;320.0;1454.0;394.0;141.0;241.0
116.0;140.0;-889.0;1150.0;-269.0;867.0;-442.0;53.0;563.0;516.0;-1.0;254.0
