Accelerometer LUA^ accY;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX;Accelerometer BACK accX
894.0;-186.0;35.0;-89.0;404.0;155;203.0;-433.0;-232.0;47.0;260.0;-1026.0;270.0
948.0;-68.0;236.0;-58.0;284.0;-177;300.0;-547.0;-251.0;171.0;157.0;-950.0;101.0
904.0;-144.0;234.0;-24.0;369.0;-174;265.0;-479.0;-175.0;33.0;267.0;-948.0;204.0
892.0;-140.0;206.0;-20.0;388.0;-174;261.0;-480.0;-155.0;41.0;271.0;-939.0;192.0
901.0;-152.0;172.0;-16.0;390.0;-174;258.0;-480.0;-135.0;42.0;275.0;-945.0;192.0
930.0;-159.0;134.0;-12.0;391.0;-174;253.0;-481.0;-117.0;50.0;282.0;-954.0;194.0
927.0;-161.0;94.0;-13.0;429.0;-174;252.0;-487.0;-102.0;17.0;289.0;-947.0;198.0
973.0;-248.0;-210.0;37.0;195.0;56;462.0;-569.0;-134.0;179.0;158.0;-912.0;107.0
858.0;-206.0;-212.0;37.0;462.0;-174;238.0;-562.0;8.0;29.0;229.0;-899.0;252.0
856.0;-206.0;-215.0;37.0;459.0;-174;240.0;-562.0;9.0;55.0;228.0;-903.0;249.0
867.0;-206.0;-215.0;37.0;450.0;-174;240.0;-562.0;11.0;43.0;228.0;-906.0;250.0
860.0;-200.0;-220.0;39.0;453.0;-174;247.0;-566.0;10.0;31.0;229.0;-904.0;249.0
854.0;-202.0;-216.0;35.0;437.0;-174;248.0;-565.0;11.0;42.0;224.0;-904.0;250.0
883.0;-185.0;-225.0;40.0;409.0;-174;256.0;-579.0;7.0;67.0;231.0;-913.0;231.0
882.0;-186.0;-225.0;42.0;441.0;-174;257.0;-580.0;7.0;75.0;228.0;-914.0;225.0
870.0;-183.0;-229.0;42.0;447.0;-174;258.0;-580.0;7.0;69.0;229.0;-919.0;212.0
862.0;-183.0;-232.0;41.0;457.0;-174;258.0;-580.0;10.0;55.0;230.0;-910.0;222.0
869.0;-180.0;-235.0;45.0;438.0;-174;257.0;-578.0;9.0;48.0;232.0;-905.0;226.0
921.0;-61.0;227.0;-56.0;322.0;-178;300.0;-552.0;-251.0;158.0;159.0;-955.0;126.0
