InertialMeasurementUnit L-SHOE EuX;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX
-143;876.0;0;8;644;0;-662.0;0;0
-101;952.0;10;3;737;10;-551.0;-28;28
-101;936.0;-7;-3;740;-7;-542.0;-12;12
19;1019.0;-2;0;720;-2;-702.0;-916;916
-30;992.0;16;381;704;16;-564.0;12;-12
-143;889.0;-7;0;644;-7;-670.0;-24;24
-102;962.0;-12;3;715;-12;-590.0;9;-9
-102;933.0;-14;4;716;-14;-606.0;-27;27
-102;937.0;16;7;703;16;-550.0;-4;4
-102;921.0;-7;6;709;-7;-585.0;23;-23
-102;951.0;-31;-7;722;-31;-539.0;-33;33
19;955.0;-35;-1;719;-35;-709.0;-15;15
19;939.0;-8;3;731;-8;-699.0;-36;36
65;843.0;-2;-7;723;-2;-741.0;-6;6
19;955.0;-5;-8;710;-5;-681.0;-16;16
1;958.0;26;5;725;26;-769.0;-64;64
32;863.0;72;7;729;72;-879.0;-10;10
19;929.0;36;2;722;36;-693.0;-2;2
19;966.0;10;1;720;10;-682.0;-36;36
67;943.0;-11;0;718;-11;-743.0;-375;375
96;761.0;41;6;726;41;-816.0;-229;229
124;982.0;2;-19;731;2;-699.0;-171;171
-37;937.0;-11;3;733;-11;-880.0;-100;100
19;937.0;-6;2;726;-6;-659.0;-40;40
19;944.0;-3;2;722;-3;-652.0;-23;23
19;928.0;-11;-6;721;-11;-680.0;15;-15
33;721.0;-7;3;720;-7;-809.0;26;-26
-12;908.0;-1;17;699;-1;-573.0;5;-5
-18;898.0;-72;-15;711;-72;-518.0;-70;70
-19;945.0;-10;6;719;-10;-529.0;3;-3
-19;933.0;-9;6;715;-9;-517.0;13;-13
-17;938.0;54;-4;731;54;-511.0;3;-3
-155;937.0;5;-3;724;5;-620.0;5;-5
-155;947.0;7;3;721;7;-610.0;-13;13
-155;946.0;-6;-1;725;-6;-619.0;-16;16
-155;922.0;-10;-2;727;-10;-607.0;-9;9
-155;940.0;4;2;717;4;-611.0;8;-8
-155;943.0;13;-6;726;13;-606.0;6;-6
-151;962.0;12;-6;724;12;-630.0;0;0
-151;953.0;-5;-5;730;-5;-630.0;16;-16
-151;944.0;-14;0;728;-14;-595.0;-4;4
-151;947.0;1;2;725;1;-602.0;-8;8
-151;932.0;-11;0;724;-11;-596.0;-11;11
110;1079.0;-807;752;1198;-807;-589.0;-278;278
31;988.0;-1;17;722;-1;-600.0;11;-11
61;1009.0;13;-1;718;13;-595.0;34;-34
61;968.0;-5;0;723;-5;-581.0;-20;20
31;969.0;-11;-2;702;-11;-609.0;10;-10
103;1012.0;8;8;723;8;-641.0;225;-225
31;974.0;-9;-1;702;-9;-605.0;9;-9
104;985.0;-18;0;723;-18;-558.0;-46;46
31;976.0;15;6;705;15;-619.0;-12;12
104;956.0;-11;-123;689;-11;-641.0;-33;33
-151;949.0;-3;12;721;-3;-608.0;15;-15
-151;948.0;3;-2;733;3;-607.0;-11;11
-143;919.0;-7;-1;637;-7;-680.0;-17;17
-21;1018.0;-28;-14;710;-28;-560.0;19;-19
105;910.0;-16;-580;821;-16;-456.0;-26;26
-21;936.0;-5;-10;705;-5;-538.0;55;-55
-21;931.0;2;-5;714;2;-520.0;-19;19
-17;925.0;3;3;734;3;-520.0;-8;8
-143;897.0;-6;7;633;-6;-670.0;2;-2
-94;886.0;-35;2;709;-35;-591.0;-1;1
-143;913.0;-14;7;630;-14;-650.0;-3;3
-143;927.0;-9;3;630;-9;-667.0;-10;10
-52;793.0;-265;348;673;-265;-370.0;-234;234
-94;921.0;-17;-1;709;-17;-569.0;9;-9
-94;908.0;-2;2;707;-2;-562.0;6;-6
-94;917.0;17;-1;709;17;-540.0;-23;23
-143;921.0;-7;1;633;-7;-679.0;5;-5
-94;937.0;-5;2;706;-5;-561.0;21;-21
-94;917.0;-15;-9;713;-15;-587.0;19;-19
-94;931.0;26;-1;711;26;-581.0;-23;23
-94;932.0;14;4;711;14;-556.0;-7;7
-143;915.0;-22;-8;635;-22;-650.0;4;-4
-143;909.0;1;-9;638;1;-623.0;7;-7
71;773.0;1015;63;675;1015;-570.0;33;-33
-94;944.0;26;0;711;26;-572.0;-2;2
-63;1010.0;4;-17;739;4;-628.0;22;-22
43;966.0;-8;8;740;-8;-650.0;-11;11
43;971.0;-16;1;735;-16;-657.0;-13;13
43;965.0;16;2;738;16;-670.0;-4;4
65;918.0;-14;2;737;-14;-670.0;-7;7
-157;904.0;-13;5;633;-13;-630.0;2;-2
-157;963.0;20;14;621;20;-637.0;41;-41
-157;903.0;3;3;632;3;-630.0;28;-28
-157;908.0;33;-8;636;33;-630.0;12;-12
-157;905.0;15;2;635;15;-620.0;-7;7
-157;925.0;-11;-4;639;-11;-642.0;17;-17
-157;916.0;10;-3;638;10;-668.0;43;-43
55;953.0;412;-791;-800;412;-650.0;-574;574
-157;935.0;3;0;632;3;-618.0;-14;14
-157;905.0;-4;3;633;-4;-641.0;5;-5
-143;817.0;-21;4;646;-21;-777.0;2;-2
-157;912.0;3;-10;637;3;-637.0;22;-22
-157;881.0;9;1;631;9;-629.0;31;-31
-143;859.0;-34;2;641;-34;-691.0;26;-26
-157;913.0;-18;-6;637;-18;-626.0;14;-14
-143;869.0;-6;-6;641;-6;-664.0;-33;33
-143;805.0;-23;1;638;-23;-602.0;14;-14
-143;863.0;-20;8;638;-20;-674.0;14;-14
-157;889.0;-10;-3;636;-10;-671.0;-3;3
-157;900.0;-12;-2;636;-12;-651.0;-17;17
27;931.0;-3829;236;672;-3829;-418.0;32;-32
-157;914.0;-8;2;627;-8;-687.0;-16;16
-157;932.0;30;-1;635;30;-662.0;32;-32
-157;954.0;-20;3;634;-20;-663.0;-5;5
-117;971.0;-12;-3;717;-12;-502.0;-56;56
-98;952.0;-45;4;726;-45;-512.0;-2;2
-143;871.0;-12;4;643;-12;-658.0;14;-14
-127;940.0;-10;-1;728;-10;-432.0;14;-14
-157;940.0;-15;-5;636;-15;-667.0;-20;20
-133;937.0;-3;-3;732;-3;-468.0;44;-44
-157;894.0;9;-3;638;9;-643.0;-13;13
-83;1200.0;801;1015;-999;801;-584.0;-2352;2352
-157;936.0;2;3;633;2;-670.0;-5;5
-157;909.0;12;-3;643;12;-671.0;6;-6
-157;888.0;2;1;637;2;-679.0;-4;4
-157;888.0;-13;4;633;-13;-668.0;-5;5
-157;914.0;-13;4;633;-13;-690.0;13;-13
-157;916.0;17;0;643;17;-675.0;-28;28
-157;918.0;18;0;644;18;-665.0;-6;6
-157;908.0;-18;5;628;-18;-647.0;44;-44
-157;908.0;-20;-1;640;-20;-641.0;20;-20
-157;884.0;-2;-1;642;-2;-643.0;-16;16
-133;911.0;-8;2;729;-8;-471.0;-7;7
-133;916.0;25;0;729;25;-465.0;0;0
-157;964.0;7;-8;644;7;-718.0;-10;10
-98;932.0;-105;6;726;-105;-416.0;-13;13
-157;900.0;6;-7;644;6;-657.0;-12;12
65;979.0;-76;-92;730;-76;-567.0;-1461;1461
17;865.0;-12;2;719;-12;-871.0;-8;8
-143;881.0;-22;-1;644;-22;-582.0;0;0
-157;931.0;5;9;626;5;-657.0;15;-15
-157;904.0;-5;5;627;-5;-646.0;3;-3
-157;932.0;25;0;631;25;-651.0;-6;6
-157;946.0;3;-9;640;3;-691.0;-8;8
-143;871.0;-19;-3;645;-19;-627.0;17;-17
-143;874.0;-27;0;647;-27;-628.0;10;-10
-157;916.0;-18;1;631;-18;-640.0;-8;8
-143;916.0;-2;2;640;-2;-759.0;-34;34
-157;917.0;-1;-9;633;-1;-668.0;-17;17
-157;943.0;-6;-12;637;-6;-646.0;16;-16
-143;836.0;-5;-1;644;-5;-626.0;-25;25
-157;941.0;18;-6;629;18;-625.0;-8;8
-143;855.0;-36;10;635;-36;-606.0;41;-41
-157;908.0;-8;3;628;-8;-644.0;-22;22
-143;889.0;-11;0;639;-11;-610.0;-20;20
-157;894.0;10;-4;633;10;-673.0;-9;9
-157;917.0;-8;5;629;-8;-633.0;-20;20
-157;899.0;-13;-2;633;-13;-643.0;2;-2
-143;869.0;7;-2;638;7;-629.0;14;-14
-157;915.0;5;-2;635;5;-659.0;-39;39
-24;956.0;0;-4;687;0;-392.0;-2;2
-157;910.0;-19;0;631;-19;-629.0;-5;5
99;929.0;5;4;730;5;-494.0;-20;20
96;942.0;-2150;-40;665;-2150;-531.0;30;-30
-157;913.0;-23;-6;634;-23;-635.0;-7;7
-157;921.0;-1;-4;634;-1;-655.0;22;-22
-157;908.0;11;9;629;11;-637.0;17;-17
-157;898.0;10;4;631;10;-667.0;8;-8
-157;907.0;-2;0;631;-2;-652.0;-27;27
-157;897.0;-8;-6;634;-8;-650.0;24;-24
82;838.0;3;-18;730;3;-433.0;5890;-5890
-157;895.0;-3;0;632;-3;-653.0;-23;23
-157;898.0;-5;2;630;-5;-644.0;-35;35
-157;901.0;4;-1;631;4;-642.0;-13;13
-19;935.0;-13;2;716;-13;-513.0;-6;6
-157;901.0;-12;-4;635;-12;-638.0;-25;25
-157;902.0;-19;-2;629;-19;-634.0;11;-11
-157;898.0;-17;-1;633;-17;-621.0;15;-15
-17;919.0;16;0;732;16;-488.0;47;-47
64;977.0;52;17;717;52;-517.0;-188;188
-157;896.0;-1;4;638;-1;-628.0;5;-5
-157;902.0;-7;5;637;-7;-631.0;30;-30
-17;931.0;-14;-1;733;-14;-473.0;-31;31
-17;943.0;-24;5;726;-24;-504.0;28;-28
-24;967.0;-11;2;684;-11;-420.0;27;-27
-19;963.0;-16;0;722;-16;-517.0;-16;16
-155;926.0;21;-5;731;21;-651.0;5;-5
-157;906.0;-61;5;633;-61;-656.0;-1;1
-155;947.0;26;-4;733;26;-640.0;-15;15
-179;889.0;-2;-10;727;-2;-659.0;-25;25
-155;949.0;19;-6;729;19;-614.0;-2;2
-155;944.0;10;-3;725;10;-616.0;23;-23
-157;906.0;0;0;636;0;-621.0;-11;11
-157;893.0;4;-10;641;4;-618.0;-5;5
-157;918.0;-30;3;630;-30;-620.0;46;-46
-157;899.0;-23;1;632;-23;-615.0;6;-6
-143;946.0;-18;0;639;-18;-753.0;-19;19
-157;910.0;-11;0;630;-11;-624.0;2;-2
-155;947.0;7;-4;728;7;-597.0;10;-10
-157;888.0;-13;4;629;-13;-625.0;-10;10
-155;947.0;7;-1;721;7;-597.0;-57;57
-155;943.0;25;1;721;25;-605.0;22;-22
-155;933.0;19;-5;724;19;-605.0;14;-14
-155;947.0;14;-10;726;14;-599.0;11;-11
42;932.0;814;-854;727;814;-422.0;-59;59
