Accelerometer LUA^ accZ;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit LUA accZ;Accelerometer LWR accY;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LH accX
239.0;347.0;951.0;-202.0;153.0;894.0;802;1006.0;1017.0;-939.0;-379.0;330.0
189.0;371.0;973.0;-94.0;216.0;869.0;805;1030.0;1001.0;-969.0;-270.0;291.0
213.0;313.0;1029.0;-155.0;50.0;907.0;798;1001.0;1014.0;-941.0;-478.0;201.0
184.0;278.0;1035.0;-307.0;37.0;952.0;727;1018.0;968.0;-895.0;-274.0;203.0
246.0;368.0;948.0;-228.0;146.0;868.0;817;969.0;983.0;-932.0;-307.0;258.0
61.0;395.0;799.0;-102.0;405.0;920.0;715;1067.0;1012.0;-962.0;-321.0;321.0
155.0;359.0;981.0;-271.0;177.0;894.0;814;1081.0;1005.0;-919.0;-331.0;251.0
159.0;340.0;981.0;-266.0;244.0;889.0;807;1089.0;993.0;-913.0;-224.0;300.0
171.0;347.0;980.0;-155.0;305.0;895.0;804;1055.0;1001.0;-963.0;-172.0;365.0
154.0;359.0;875.0;-80.0;457.0;808.0;779;877.0;976.0;-877.0;-286.0;316.0
153.0;466.0;878.0;75.0;390.0;820.0;724;1076.0;1009.0;-1217.0;-428.0;414.0
-199.0;394.0;662.0;-113.0;541.0;569.0;717;676.0;1378.0;-1156.0;-269.0;184.0
251.0;279.0;872.0;-201.0;156.0;1106.0;691;1077.0;1449.0;-1069.0;-234.0;617.0
263.0;389.0;853.0;-254.0;286.0;909.0;870;1077.0;1184.0;-921.0;-249.0;506.0
239.0;403.0;928.0;-261.0;241.0;871.0;745;1062.0;1040.0;-908.0;-400.0;262.0
92.0;390.0;947.0;-83.0;329.0;895.0;618;1035.0;1015.0;-931.0;-215.0;373.0
162.0;362.0;881.0;-107.0;362.0;812.0;797;975.0;1020.0;-962.0;-400.0;256.0
225.0;748.0;866.0;-172.0;-13.0;819.0;834;1049.0;947.0;-1038.0;-659.0;938.0
226.0;560.0;795.0;-162.0;365.0;727.0;798;1017.0;1004.0;-872.0;-368.0;494.0
199.0;344.0;953.0;-159.0;256.0;901.0;807;1037.0;1018.0;-983.0;-332.0;286.0
206.0;338.0;958.0;-161.0;254.0;897.0;810;1041.0;1026.0;-969.0;-329.0;276.0
194.0;388.0;933.0;-317.0;329.0;807.0;822;996.0;1027.0;-1046.0;-397.0;491.0
193.0;365.0;908.0;-349.0;293.0;810.0;822;940.0;1023.0;-926.0;-305.0;336.0
193.0;342.0;963.0;-157.0;237.0;914.0;817;1049.0;998.0;-959.0;-317.0;258.0
214.0;321.0;961.0;-173.0;232.0;904.0;812;1022.0;1009.0;-951.0;-316.0;237.0
192.0;339.0;971.0;-184.0;228.0;895.0;810;1003.0;1013.0;-952.0;-326.0;251.0
149.0;340.0;886.0;-295.0;280.0;840.0;805;971.0;999.0;-849.0;-262.0;247.0
196.0;340.0;952.0;-191.0;235.0;883.0;809;1003.0;1037.0;-952.0;-317.0;239.0
215.0;360.0;951.0;-193.0;241.0;876.0;812;988.0;1054.0;-956.0;-305.0;224.0
212.0;357.0;944.0;-184.0;246.0;876.0;814;996.0;1026.0;-968.0;-308.0;243.0
301.0;350.0;900.0;-247.0;241.0;839.0;487;910.0;1023.0;-1014.0;-282.0;428.0
199.0;363.0;963.0;-174.0;253.0;878.0;807;1010.0;992.0;-970.0;-297.0;240.0
204.0;351.0;956.0;-187.0;251.0;904.0;811;1005.0;1026.0;-948.0;-278.0;281.0
228.0;339.0;983.0;-200.0;238.0;908.0;813;1025.0;986.0;-952.0;-279.0;292.0
244.0;331.0;897.0;-257.0;209.0;817.0;718;955.0;1012.0;-1004.0;-328.0;342.0
238.0;330.0;955.0;-206.0;234.0;876.0;813;1048.0;992.0;-951.0;-291.0;281.0
216.0;318.0;950.0;-202.0;238.0;891.0;815;1117.0;976.0;-957.0;-288.0;285.0
289.0;356.0;947.0;-234.0;267.0;850.0;731;894.0;1029.0;-1027.0;-206.0;488.0
290.0;347.0;1309.0;-158.0;4.0;1346.0;825;1622.0;1032.0;-759.0;-156.0;222.0
263.0;388.0;953.0;-163.0;288.0;882.0;863;899.0;1019.0;-1063.0;-221.0;467.0
238.0;369.0;914.0;-173.0;258.0;903.0;876;955.0;1018.0;-1033.0;-286.0;427.0
197.0;363.0;1078.0;-191.0;249.0;998.0;814;1045.0;1001.0;-960.0;-292.0;321.0
226.0;387.0;925.0;-179.0;278.0;905.0;801;1012.0;1009.0;-993.0;-227.0;350.0
163.0;341.0;1009.0;-203.0;254.0;940.0;809;1056.0;995.0;-974.0;-306.0;328.0
341.0;333.0;923.0;-126.0;167.0;830.0;804;1007.0;1020.0;-995.0;-263.0;365.0
342.0;361.0;875.0;-150.0;149.0;858.0;841;997.0;1001.0;-959.0;-272.0;437.0
155.0;348.0;1001.0;-164.0;249.0;912.0;811;1028.0;985.0;-964.0;-316.0;298.0
331.0;400.0;853.0;-136.0;126.0;848.0;814;976.0;1006.0;-954.0;-264.0;490.0
184.0;348.0;961.0;-131.0;225.0;888.0;805;1009.0;972.0;-947.0;-287.0;267.0
198.0;330.0;911.0;-124.0;195.0;842.0;806;1002.0;992.0;-994.0;-282.0;236.0
188.0;399.0;838.0;-101.0;309.0;741.0;850;879.0;914.0;-824.0;-184.0;473.0
240.0;436.0;942.0;-187.0;384.0;859.0;529;998.0;1086.0;-911.0;-352.0;321.0
103.0;369.0;823.0;-24.0;180.0;923.0;787;1079.0;986.0;-1122.0;-282.0;144.0
203.0;353.0;834.0;13.0;420.0;833.0;770;1345.0;1008.0;-1188.0;-184.0;400.0
97.0;334.0;925.0;-197.0;424.0;832.0;712;1190.0;1043.0;-971.0;-301.0;338.0
266.0;413.0;933.0;-238.0;103.0;875.0;797;943.0;968.0;-935.0;-374.0;487.0
290.0;411.0;918.0;-236.0;109.0;839.0;796;972.0;1039.0;-953.0;-382.0;487.0
197.0;383.0;944.0;-235.0;280.0;882.0;753;1004.0;1021.0;-946.0;-324.0;371.0
325.0;359.0;936.0;-237.0;141.0;831.0;789;993.0;938.0;-996.0;-392.0;422.0
