InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-123.0;-310.0;86.0;-289.0;68.0;113.0;43.0;-210.0
-37.0;-284.0;62.0;-312.0;88.0;215.0;91.0;-166.0
-44.0;-275.0;70.0;-247.0;52.0;216.0;86.0;-164.0
-58.0;-328.0;-33.0;-301.0;199.0;-18.0;63.0;-312.0
-51.0;-325.0;-39.0;-284.0;149.0;48.0;135.0;-267.0
-36.0;-312.0;-32.0;-246.0;116.0;92.0;137.0;-248.0
-74.0;144.0;-202.0;84.0;91.0;-314.0;80.0;119.0
-19.0;-280.0;16.0;-147.0;27.0;166.0;87.0;-203.0
-63.0;-41.0;-377.0;-339.0;486.0;-585.0;374.0;-217.0
-25.0;-317.0;-66.0;-289.0;182.0;30.0;131.0;-276.0
-26.0;-317.0;-67.0;-260.0;147.0;82.0;150.0;-262.0
-58.0;-347.0;-38.0;-275.0;211.0;57.0;55.0;-267.0
-50.0;-336.0;-45.0;-260.0;199.0;80.0;78.0;-246.0
-35.0;-322.0;-46.0;-249.0;182.0;113.0;93.0;-225.0
-23.0;-311.0;-39.0;-230.0;157.0;146.0;92.0;-209.0
-19.0;-301.0;-25.0;-204.0;129.0;175.0;74.0;-194.0
-21.0;-289.0;-5.0;-175.0;99.0;201.0;45.0;-180.0
-25.0;-279.0;16.0;-151.0;69.0;226.0;19.0;-168.0
-29.0;-271.0;42.0;-128.0;38.0;246.0;-4.0;-157.0
12.0;-225.0;61.0;-213.0;49.0;212.0;-1.0;-173.0
-6.0;-242.0;56.0;-246.0;76.0;184.0;-2.0;-199.0
-23.0;-256.0;52.0;-274.0;101.0;159.0;-8.0;-220.0
-34.0;-268.0;48.0;-302.0;128.0;139.0;-11.0;-235.0
-42.0;-277.0;42.0;-326.0;156.0;120.0;-11.0;-247.0
-46.0;-286.0;35.0;-349.0;183.0;101.0;-4.0;-260.0
