InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit L-SHOE Nav_Ax
4;4;23;6.0;3
-8;-8;14;-4.0;-1
0;0;14;6.0;-4
-8;-8;13;15.0;3
-15;-15;13;-30.0;1
-3;-3;12;0.0;-4
16;16;9;-5.0;-3
-6;-6;14;13.0;-6
-13;-13;-2;-25.0;-3
3;3;17;3.0;2
-6;-6;12;13.0;-5
-1;-1;17;3.0;0
-19;-19;9;3.0;-2
-2;-2;13;10.0;1
-13;-13;14;13.0;-5
-7;-7;7;5.0;-1
-6;-6;7;-6.0;-1
-2;-2;-4;-22.0;3
0;0;4;6.0;-10
-7;-7;11;0.0;-3
-1359;-1359;-85;-83.0;-1790
-2;-2;5;-2.0;0
-3;-3;-4;-1.0;1
-4;-4;5;-8.0;3
-2;-2;5;10.0;0
10;10;13;-9.0;600
-6;-6;11;15.0;-3
-2;-2;5;7.0;0
0;0;12;7.0;-7
-7;-7;9;4.0;-4
-14;-14;9;6.0;5
-2;-2;12;8.0;-1
-4;-4;13;-10.0;-6
-1;-1;8;13.0;-4
-2;-2;5;22.0;0
-20;-20;16;273.0;-332
-15;-15;17;-11.0;3
-5;-5;18;-13.0;2
-2;-2;5;4.0;0
-2;-2;5;6.0;0
-2;-2;5;16.0;0
-3;-3;6;6.0;0
10;10;-9;0.0;-3
-5;-5;6;4.0;-1
-10;-10;17;-9.0;2
-6;-6;7;10.0;-1
-8;-8;17;-13.0;2
-7;-7;22;8.0;-1
-13;-13;22;11.0;-1
-2;-2;24;6.0;-1
-10;-10;24;21.0;3
-11;-11;12;-9.0;-3
-2;-2;22;9.0;0
0;0;22;-5.0;-5
2;2;9;-11.0;-1
-2;-2;20;-2.0;3
-32;-32;3;-31.0;-57
-15;-15;14;-20.0;2
8;8;19;3.0;-2
-10;-10;17;-10.0;2
-6;-6;16;-14.0;0
-17;-17;11;-1.0;-4
3;3;16;-6.0;1
-7;-7;17;-14.0;-1
-11;-11;17;3.0;-2
-17;-17;9;14.0;-5
-7;-7;16;-18.0;2
-7;-7;9;-39.0;1
13;13;11;25.0;0
-5;-5;11;-17.0;-4
8;8;12;9.0;-1
10;10;13;50.0;1
4;4;38;32.0;-41
-5;-5;23;0.0;-6
-4;-4;19;19.0;2
-8;-8;13;13.0;-1
-1;-1;1;-13.0;3
-5;-5;12;-11.0;4
-84;-84;23;-348.0;-62
0;0;15;2.0;4
249;249;315;350.0;425
-4;-4;15;14.0;4
-13;-13;-9;-7.0;-3
-9;-9;3;-23.0;-8
-2;-2;16;26.0;2
-7;-7;25;-14.0;-2
-1;-1;26;-8.0;0
-8;-8;12;3.0;-3
-9;-9;15;-7.0;-6
-21;-21;21;4.0;2
-1;-1;26;-49.0;-1
-7;-7;11;9.0;-2
-3;-3;17;11.0;-7
-2;-2;14;-1.0;0
-20;-20;18;-16.0;1
-13;-13;19;0.0;0
-46;-46;40;-137.0;83
-10;-10;21;-4.0;-3
-15;-15;10;-11.0;3
-8;-8;15;17.0;0
-7;-7;12;9.0;2
-13;-13;21;-3.0;2
-26;-26;12;-52.0;4
-17;-17;21;-1.0;1
-15;-15;32;-35.0;0
-32;-32;16;22.0;0
-10;-10;21;-10.0;-3
-13;-13;43;31.0;1
-13;-13;15;10.0;4
-10;-10;13;13.0;4
-11;-11;26;-18.0;2
-16;-16;14;-13.0;-1
-15;-15;13;9.0;2
-12;-12;16;-7.0;3
-13;-13;13;-9.0;2
-19;-19;13;-10.0;0
-10;-10;12;-2.0;4
-6;-6;9;-2.0;7
-9;-9;17;17.0;-9
