InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-18;-10;20;671;10;-18
21;0;21;656;0;21
1;1;19;656;-1;1
1;-1;16;658;1;1
3;2;19;656;-2;3
5;6;17;649;-6;5
-3;-2;18;657;2;-3
14;-17;17;659;17;14
-9;-4;19;655;4;-9
1;-9;12;671;9;1
24;-14;16;659;14;24
13;12;15;658;-12;13
13;-6;18;659;6;13
2;-9;12;672;9;2
2;-9;23;656;9;2
-2;-7;12;670;7;-2
6;-26;12;672;26;6
-10;-6;18;656;6;-10
-8;8;16;654;-8;-8
-10;-5;13;657;5;-10
21;-9;20;662;9;21
1;-22;12;674;22;1
-6;-1;19;658;1;-6
13;-19;11;672;19;13
0;-21;12;669;21;0
11;-24;11;674;24;11
9;3;13;654;-3;9
15;-15;15;670;15;15
-9;3;16;655;-3;-9
12;-20;11;673;20;12
-8;9;18;659;-9;-8
-13;5;18;659;-5;-13
1;-20;21;663;20;1
21;-21;24;655;21;21
-2;6;23;663;-6;-2
24;-13;16;648;13;24
12;10;15;650;-10;12
6;2;16;668;-2;6
-11;0;12;661;0;-11
-6;6;15;654;-6;-6
13;8;16;668;-8;13
7;3;20;660;-3;7
-8;0;18;662;0;-8
-3;15;13;661;-15;-3
-9;-8;20;661;8;-9
8;3;21;666;-3;8
3;-4;27;652;4;3
16;9;13;664;-9;16
10;-20;7;669;20;10
29;23;15;686;-23;29
-1;5;12;666;-5;-1
0;-8;20;654;8;0
-12;13;17;667;-13;-12
-6;-3;16;659;3;-6
-10;0;20;658;0;-10
12;2;16;669;-2;12
22;2;17;666;-2;22
19;12;17;668;-12;19
9;11;17;667;-11;9
10;14;16;668;-14;10
-41;10;20;661;-10;-41
14;-9;21;663;9;14
-2;-10;20;664;10;-2
0;-3;18;665;3;0
4;5;15;672;-5;4
2;-7;18;666;7;2
3;-22;22;659;22;3
3;-21;22;660;21;3
11;-8;22;662;8;11
14;-3;21;655;3;14
12;-18;11;668;18;12
4;-11;21;658;11;4
18;-16;19;660;16;18
14;12;17;667;-12;14
10;4;20;659;-4;10
-9;12;20;662;-12;-9
-2;-1;17;665;1;-2
5;14;14;667;-14;5
21;11;17;663;-11;21
14;-19;16;667;19;14
10;3;14;648;-3;10
11;-7;12;673;7;11
21;9;14;664;-9;21
