InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
303.0;-1016.0;539.0;385.0;-39.0;849.0
216.0;-919.0;360.0;397.0;-25.0;736.0
258.0;-784.0;513.0;84.0;113.0;735.0
490.0;-852.0;230.0;294.0;-42.0;813.0
292.0;-943.0;428.0;365.0;-58.0;799.0
275.0;-967.0;484.0;395.0;-86.0;809.0
297.0;-942.0;428.0;373.0;-50.0;790.0
300.0;-952.0;354.0;424.0;-89.0;768.0
331.0;-872.0;609.0;192.0;-1.0;801.0
300.0;-936.0;446.0;385.0;-82.0;769.0
181.0;-869.0;549.0;489.0;-56.0;1065.0
289.0;-950.0;424.0;331.0;-53.0;786.0
211.0;-923.0;510.0;416.0;-38.0;883.0
210.0;-855.0;501.0;324.0;15.0;705.0
291.0;-952.0;427.0;352.0;-34.0;790.0
138.0;-905.0;516.0;459.0;-283.0;730.0
359.0;-877.0;507.0;369.0;-299.0;727.0
287.0;-948.0;425.0;342.0;-28.0;790.0
351.0;-1025.0;398.0;276.0;-68.0;819.0
327.0;-1297.0;289.0;185.0;-87.0;772.0
226.0;-888.0;486.0;314.0;70.0;798.0
190.0;-956.0;479.0;355.0;-72.0;791.0
301.0;-957.0;371.0;458.0;-81.0;735.0
193.0;-1122.0;386.0;339.0;-184.0;790.0
290.0;-984.0;472.0;312.0;-2.0;829.0
245.0;-902.0;474.0;369.0;18.0;808.0
214.0;-828.0;463.0;295.0;-16.0;800.0
259.0;-840.0;392.0;296.0;31.0;794.0
230.0;-921.0;481.0;404.0;22.0;828.0
217.0;-959.0;452.0;440.0;-14.0;781.0
285.0;-903.0;482.0;421.0;6.0;903.0
300.0;-937.0;445.0;388.0;-86.0;778.0
154.0;-875.0;350.0;376.0;-10.0;667.0
171.0;-961.0;501.0;402.0;-33.0;836.0
206.0;-948.0;533.0;385.0;3.0;813.0
229.0;-1050.0;455.0;173.0;-42.0;736.0
220.0;-952.0;515.0;392.0;-9.0;851.0
216.0;-969.0;517.0;439.0;92.0;792.0
303.0;-792.0;450.0;321.0;-85.0;871.0
125.0;-922.0;526.0;339.0;-60.0;906.0
254.0;-904.0;471.0;408.0;6.0;809.0
205.0;-956.0;517.0;368.0;1.0;828.0
299.0;-938.0;446.0;375.0;-70.0;783.0
163.0;-976.0;492.0;533.0;37.0;810.0
214.0;-877.0;445.0;428.0;-80.0;868.0
274.0;-901.0;494.0;337.0;-27.0;839.0
279.0;-889.0;497.0;357.0;-72.0;794.0
208.0;-947.0;520.0;365.0;-46.0;818.0
189.0;-969.0;499.0;486.0;-11.0;713.0
208.0;-939.0;523.0;359.0;-98.0;813.0
204.0;-927.0;525.0;354.0;-68.0;807.0
280.0;-883.0;497.0;358.0;-87.0;754.0
328.0;-832.0;494.0;299.0;-30.0;756.0
277.0;-890.0;498.0;334.0;-12.0;742.0
74.0;-948.0;472.0;281.0;26.0;906.0
212.0;-921.0;527.0;348.0;-38.0;779.0
231.0;-918.0;528.0;346.0;-47.0;776.0
278.0;-907.0;476.0;405.0;-86.0;800.0
271.0;-662.0;465.0;392.0;-68.0;795.0
166.0;-943.0;495.0;591.0;-44.0;597.0
233.0;-870.0;626.0;273.0;-121.0;728.0
124.0;-949.0;534.0;472.0;-129.0;849.0
295.0;-949.0;494.0;355.0;37.0;838.0
209.0;-932.0;483.0;305.0;-42.0;837.0
187.0;-962.0;485.0;517.0;-42.0;875.0
241.0;-929.0;530.0;375.0;-41.0;788.0
186.0;-980.0;501.0;425.0;-49.0;767.0
200.0;-955.0;483.0;376.0;-35.0;840.0
210.0;-966.0;483.0;398.0;-20.0;829.0
243.0;-926.0;533.0;390.0;-40.0;814.0
248.0;-911.0;532.0;352.0;-30.0;805.0
219.0;-983.0;481.0;386.0;7.0;819.0
220.0;-983.0;479.0;383.0;-16.0;819.0
216.0;-977.0;482.0;393.0;-22.0;829.0
182.0;-977.0;507.0;444.0;57.0;803.0
210.0;-976.0;481.0;402.0;-11.0;828.0
316.0;-943.0;359.0;438.0;-79.0;734.0
206.0;-968.0;482.0;399.0;-19.0;830.0
256.0;-1041.0;467.0;439.0;-8.0;866.0
