Accelerometer LUA^ accZ;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit LUA accZ;Accelerometer LWR accY;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LH accX
835.0;751.0;-736.0;-1270.0;-223.0;-1248.0;799;?;1021.0;1069.0;-628.0;-23.0
848.0;691.0;-743.0;-1200.0;-291.0;-1129.0;797;?;1033.0;1136.0;-732.0;45.0
931.0;699.0;-695.0;-1072.0;-461.0;-1011.0;801;?;1053.0;1202.0;-710.0;38.0
1017.0;753.0;-803.0;-932.0;-499.0;-956.0;797;?;1025.0;1178.0;-744.0;49.0
1144.0;804.0;-1004.0;-1011.0;-380.0;-889.0;791;?;1040.0;1100.0;-641.0;-71.0
1219.0;796.0;-1025.0;-1014.0;-197.0;-906.0;797;?;1036.0;944.0;-710.0;-147.0
1210.0;926.0;-804.0;-980.0;-97.0;-1156.0;800;?;1006.0;853.0;-709.0;-47.0
1068.0;927.0;-739.0;-921.0;-159.0;-1278.0;796;?;1037.0;822.0;-620.0;184.0
1072.0;861.0;-633.0;-913.0;-151.0;-1249.0;797;-1186.0;1033.0;753.0;-547.0;218.0
1033.0;952.0;-151.0;-1018.0;-93.0;-587.0;797;-658.0;1036.0;668.0;-632.0;610.0
893.0;943.0;-300.0;-1013.0;-70.0;-413.0;795;-659.0;1035.0;635.0;-664.0;747.0
1007.0;912.0;-325.0;-1070.0;63.0;-330.0;793;-628.0;1072.0;560.0;-773.0;676.0
967.0;932.0;-461.0;-1091.0;219.0;-375.0;792;-693.0;991.0;441.0;-828.0;661.0
1005.0;921.0;-443.0;-1093.0;397.0;-413.0;793;-686.0;1032.0;243.0;-891.0;622.0
972.0;931.0;-438.0;-1026.0;516.0;-471.0;797;-801.0;1057.0;66.0;-999.0;472.0
941.0;872.0;-464.0;-957.0;506.0;-593.0;798;-810.0;1022.0;58.0;-1026.0;454.0
892.0;850.0;-532.0;-929.0;344.0;-572.0;792;-877.0;958.0;106.0;-1001.0;660.0
850.0;832.0;-489.0;-925.0;228.0;-601.0;796;-936.0;1076.0;156.0;-999.0;783.0
746.0;768.0;-512.0;-914.0;27.0;-646.0;797;-867.0;1016.0;267.0;-977.0;600.0
805.0;758.0;-514.0;-936.0;-39.0;-668.0;795;-829.0;1020.0;369.0;-979.0;385.0
817.0;714.0;-465.0;-1024.0;-15.0;-657.0;797;-801.0;1024.0;401.0;-1008.0;346.0
863.0;697.0;-441.0;-991.0;-25.0;-652.0;793;-753.0;1050.0;434.0;-1036.0;270.0
918.0;652.0;-478.0;-960.0;-41.0;-636.0;795;-524.0;1032.0;455.0;-989.0;367.0
909.0;692.0;-558.0;-849.0;-98.0;-588.0;794;?;1041.0;460.0;-895.0;451.0
841.0;629.0;-811.0;-804.0;-167.0;-591.0;793;?;1011.0;491.0;-811.0;426.0
874.0;663.0;-1163.0;-713.0;-230.0;-664.0;797;?;1020.0;473.0;-773.0;164.0
911.0;678.0;-1273.0;-652.0;-228.0;-832.0;793;?;1015.0;456.0;-639.0;-233.0
867.0;787.0;-1227.0;-691.0;-178.0;-1175.0;795;?;1049.0;464.0;-677.0;-598.0
824.0;877.0;-957.0;-740.0;-171.0;-1419.0;797;?;998.0;513.0;-696.0;-226.0
782.0;927.0;-824.0;-825.0;-197.0;-1492.0;795;?;1017.0;631.0;-617.0;91.0
776.0;925.0;-679.0;-1159.0;-224.0;-1385.0;794;?;1054.0;1013.0;-387.0;311.0
750.0;881.0;-611.0;-1420.0;-371.0;-1207.0;795;?;1028.0;1360.0;-432.0;184.0
772.0;801.0;-588.0;-1308.0;-524.0;-1024.0;797;?;1049.0;1413.0;-753.0;196.0
902.0;662.0;-673.0;-1185.0;-463.0;-880.0;799;?;1041.0;1347.0;-870.0;26.0
1059.0;647.0;-771.0;-1039.0;-298.0;-795.0;804;-855.0;1007.0;1132.0;-968.0;-42.0
1297.0;690.0;-812.0;-1005.0;-103.0;-818.0;797;-891.0;1024.0;904.0;-982.0;-13.0
1374.0;685.0;-861.0;-1051.0;120.0;-909.0;789;-867.0;1040.0;745.0;-859.0;-65.0
1247.0;715.0;-733.0;-999.0;205.0;-1013.0;796;-965.0;1025.0;652.0;-802.0;41.0
