InertialMeasurementUnit LUA Quaternion3;InertialMeasurementUnit LUA Quaternion1;InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit RUA Quaternion4;InertialMeasurementUnit RLA Quaternion4;InertialMeasurementUnit RUA Quaternion2;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit LLA Quaternion1
-178.0;-238.0;60.0;21.0;-389.0;-75.0;105.0;-33.0
3.0;-78.0;184.0;-320.0;100.0;374.0;75.0;242.0
-88.0;-257.0;259.0;-486.0;-187.0;484.0;176.0;427.0
-70.0;-237.0;243.0;-478.0;-178.0;494.0;180.0;409.0
-75.0;-247.0;221.0;-425.0;-106.0;437.0;184.0;463.0
45.0;-153.0;75.0;-278.0;-94.0;160.0;130.0;447.0
35.0;-168.0;86.0;-292.0;-104.0;171.0;138.0;444.0
24.0;-178.0;103.0;-306.0;-123.0;186.0;149.0;434.0
-563.0;-45.0;549.0;-590.0;-940.0;63.0;-209.0;-364.0
-382.0;-240.0;273.0;-298.0;-640.0;150.0;249.0;-83.0
-370.0;-250.0;248.0;-295.0;-640.0;147.0;249.0;-60.0
-261.0;-250.0;143.0;-101.0;-560.0;-65.0;144.0;12.0
-270.0;-267.0;159.0;-115.0;-582.0;-64.0;130.0;28.0
-277.0;-278.0;173.0;-129.0;-598.0;-66.0;117.0;44.0
-364.0;-271.0;234.0;-296.0;-642.0;146.0;249.0;-29.0
-283.0;-289.0;186.0;-138.0;-608.0;-68.0;103.0;55.0
-287.0;-296.0;196.0;-141.0;-612.0;-70.0;90.0;61.0
-289.0;-297.0;200.0;-141.0;-610.0;-73.0;82.0;62.0
-291.0;-294.0;203.0;-140.0;-604.0;-75.0;79.0;59.0
-293.0;-289.0;208.0;-136.0;-595.0;-77.0;81.0;55.0
-297.0;-284.0;217.0;-129.0;-582.0;-77.0;86.0;54.0
-302.0;-279.0;228.0;-118.0;-566.0;-76.0;91.0;55.0
-66.0;-223.0;222.0;-411.0;-91.0;422.0;158.0;438.0
-54.0;-195.0;219.0;-395.0;-72.0;407.0;131.0;413.0
-307.0;-275.0;236.0;-102.0;-546.0;-76.0;96.0;52.0
-308.0;-269.0;229.0;-82.0;-524.0;-75.0;101.0;41.0
-42.0;-172.0;215.0;-376.0;-53.0;393.0;110.0;391.0
-27.0;-151.0;207.0;-361.0;-41.0;380.0;104.0;370.0
-8.0;-125.0;193.0;-352.0;-34.0;374.0;108.0;345.0
11.0;-95.0;177.0;-345.0;-19.0;379.0;110.0;319.0
28.0;-72.0;164.0;-330.0;0.0;383.0;115.0;296.0
38.0;-60.0;154.0;-314.0;23.0;384.0;125.0;287.0
0.0;-149.0;199.0;-367.0;-12.0;442.0;157.0;343.0
0.0;-147.0;198.0;-371.0;-8.0;432.0;147.0;335.0
21.0;-120.0;73.0;-330.0;41.0;373.0;33.0;266.0
11.0;-93.0;108.0;-311.0;51.0;365.0;31.0;243.0
-300.0;-256.0;204.0;-58.0;-503.0;-73.0;107.0;17.0
-281.0;-236.0;167.0;-32.0;-481.0;-69.0;116.0;-14.0
-253.0;-210.0;126.0;-5.0;-455.0;-69.0;125.0;-48.0
-223.0;-180.0;92.0;22.0;-423.0;-74.0;133.0;-77.0
9.0;-57.0;140.0;-290.0;71.0;351.0;27.0;234.0
23.0;-12.0;150.0;-272.0;92.0;340.0;30.0;214.0
-628.0;-333.0;615.0;-617.0;-901.0;38.0;-224.0;-387.0
-295.0;-419.0;509.0;-154.0;-588.0;118.0;-113.0;65.0
-374.0;-382.0;300.0;-368.0;-832.0;-105.0;-287.0;68.0
-235.0;-367.0;436.0;-93.0;-561.0;89.0;-152.0;35.0
-365.0;-307.0;241.0;-299.0;-637.0;147.0;241.0;17.0
-366.0;-350.0;255.0;-291.0;-625.0;139.0;230.0;69.0
-367.0;-391.0;263.0;-281.0;-622.0;127.0;224.0;115.0
-367.0;-424.0;269.0;-287.0;-624.0;118.0;224.0;154.0
-367.0;-448.0;268.0;-294.0;-626.0;108.0;219.0;182.0
-204.0;-155.0;72.0;46.0;-385.0;-84.0;141.0;-97.0
-202.0;-339.0;400.0;-67.0;-550.0;78.0;-167.0;19.0
-172.0;-311.0;365.0;-44.0;-537.0;68.0;-181.0;6.0
-188.0;-213.0;34.0;-25.0;-459.0;-104.0;185.0;-14.0
-202.0;-230.0;85.0;-94.0;-544.0;-73.0;-25.0;-16.0
-362.0;-463.0;262.0;-296.0;-628.0;100.0;211.0;195.0
-355.0;-469.0;255.0;-299.0;-627.0;94.0;210.0;207.0
-349.0;-471.0;247.0;-298.0;-623.0;89.0;209.0;215.0
-341.0;-471.0;237.0;-290.0;-614.0;82.0;205.0;217.0
-331.0;-466.0;228.0;-276.0;-602.0;74.0;199.0;218.0
-323.0;-457.0;221.0;-257.0;-585.0;65.0;192.0;217.0
-316.0;-448.0;216.0;-235.0;-567.0;53.0;185.0;212.0
-307.0;-436.0;209.0;-211.0;-545.0;41.0;180.0;201.0
-204.0;-233.0;94.0;-89.0;-526.0;-68.0;-28.0;-19.0
-202.0;-234.0;99.0;-81.0;-510.0;-71.0;-31.0;-25.0
-197.0;-234.0;101.0;-73.0;-494.0;-78.0;-34.0;-36.0
-192.0;-234.0;104.0;-71.0;-479.0;-74.0;-23.0;-48.0
-187.0;-237.0;111.0;-69.0;-459.0;-63.0;-10.0;-58.0
-183.0;-238.0;125.0;-64.0;-443.0;-61.0;1.0;-62.0
-181.0;-237.0;140.0;-58.0;-430.0;-62.0;15.0;-62.0
-176.0;-229.0;148.0;-50.0;-411.0;-69.0;19.0;-70.0
-168.0;-218.0;145.0;-37.0;-384.0;-82.0;7.0;-86.0
-161.0;-206.0;136.0;-24.0;-356.0;-99.0;-8.0;-103.0
-154.0;-197.0;128.0;-15.0;-328.0;-115.0;-22.0;-115.0
-149.0;-189.0;122.0;-9.0;-303.0;-130.0;-28.0;-125.0
-144.0;-183.0;116.0;-2.0;-280.0;-145.0;-29.0;-135.0
-137.0;-175.0;107.0;2.0;-262.0;-154.0;-27.0;-145.0
-123.0;-160.0;84.0;23.0;-234.0;-131.0;-21.0;-182.0
-295.0;-420.0;199.0;-187.0;-521.0;29.0;174.0;183.0
-281.0;-400.0;185.0;-162.0;-495.0;18.0;171.0;161.0
-265.0;-373.0;165.0;-137.0;-471.0;6.0;169.0;132.0
-248.0;-341.0;139.0;-114.0;-448.0;-5.0;169.0;94.0
-267.0;-102.0;187.0;0.0;-337.0;-64.0;160.0;-170.0
-269.0;-80.0;195.0;2.0;-343.0;-62.0;150.0;-198.0
-270.0;-69.0;202.0;3.0;-352.0;-63.0;138.0;-216.0
-52.0;-157.0;252.0;-268.0;111.0;295.0;49.0;357.0
-78.0;-202.0;277.0;-281.0;97.0;306.0;48.0;402.0
-94.0;-238.0;291.0;-301.0;74.0;320.0;60.0;443.0
-431.0;-345.0;305.0;-196.0;-706.0;113.0;194.0;55.0
-268.0;-64.0;203.0;-2.0;-362.0;-61.0;129.0;-225.0
-266.0;-62.0;200.0;-12.0;-373.0;-58.0;123.0;-227.0
-263.0;-62.0;190.0;-21.0;-385.0;-56.0;119.0;-223.0
-256.0;-66.0;174.0;-29.0;-398.0;-53.0;114.0;-215.0
-245.0;-70.0;153.0;-38.0;-410.0;-48.0;108.0;-205.0
-232.0;-77.0;127.0;-45.0;-418.0;-43.0;100.0;-193.0
40.0;-91.0;-4.0;-22.0;-456.0;-103.0;-53.0;-497.0
-212.0;-104.0;88.0;-59.0;-433.0;-34.0;99.0;-154.0
-233.0;-277.0;121.0;-45.0;-387.0;-112.0;56.0;58.0
-221.0;-260.0;108.0;-26.0;-368.0;-118.0;48.0;46.0
-209.0;-243.0;95.0;-2.0;-345.0;-129.0;40.0;29.0
-194.0;-225.0;78.0;23.0;-317.0;-140.0;30.0;8.0
-443.0;-367.0;326.0;-215.0;-715.0;127.0;203.0;88.0
-455.0;-390.0;343.0;-230.0;-722.0;137.0;208.0;118.0
-134.0;-371.0;284.0;-442.0;-173.0;450.0;162.0;500.0
-143.0;-356.0;302.0;-433.0;-167.0;445.0;161.0;488.0
-144.0;-333.0;313.0;-421.0;-148.0;438.0;156.0;480.0
-136.0;-308.0;315.0;-408.0;-125.0;429.0;153.0;467.0
-93.0;-267.0;236.0;-429.0;-54.0;376.0;87.0;479.0
-79.0;-265.0;229.0;-423.0;-54.0;377.0;84.0;476.0
-64.0;-256.0;220.0;-412.0;-53.0;379.0;84.0;467.0
-53.0;-247.0;209.0;-398.0;-45.0;376.0;87.0;454.0
-47.0;-245.0;200.0;-388.0;-28.0;369.0;97.0;446.0
-43.0;-245.0;195.0;-378.0;-7.0;366.0;110.0;443.0
-35.0;-234.0;191.0;-357.0;19.0;367.0;118.0;439.0
-126.0;-285.0;310.0;-396.0;-100.0;421.0;153.0;450.0
-114.0;-265.0;301.0;-387.0;-79.0;416.0;155.0;438.0
-103.0;-247.0;291.0;-378.0;-61.0;413.0;159.0;427.0
-91.0;-232.0;280.0;-370.0;-46.0;412.0;162.0;416.0
-79.0;-221.0;270.0;-361.0;-33.0;413.0;162.0;406.0
-72.0;-214.0;263.0;-353.0;-24.0;414.0;159.0;397.0
-68.0;-210.0;260.0;-348.0;-18.0;416.0;155.0;392.0
-66.0;-207.0;259.0;-347.0;-19.0;419.0;155.0;389.0
-175.0;-201.0;56.0;49.0;-288.0;-152.0;23.0;-15.0
-64.0;-203.0;259.0;-350.0;-26.0;422.0;158.0;385.0
-62.0;-199.0;257.0;-357.0;-37.0;424.0;165.0;382.0
-61.0;-194.0;255.0;-366.0;-49.0;422.0;172.0;378.0
-60.0;-189.0;254.0;-377.0;-58.0;418.0;175.0;372.0
-64.0;-192.0;255.0;-384.0;-66.0;411.0;174.0;367.0
-76.0;-203.0;262.0;-387.0;-69.0;400.0;168.0;375.0
-126.0;-2.0;-123.0;-192.0;12.0;104.0;99.0;97.0
-132.0;-2.0;-119.0;-204.0;-20.0;107.0;111.0;100.0
-92.0;-228.0;277.0;-390.0;-69.0;394.0;163.0;397.0
-111.0;-260.0;297.0;-387.0;-67.0;390.0;158.0;426.0
-126.0;-282.0;311.0;-393.0;-66.0;394.0;152.0;455.0
-133.0;-298.0;311.0;-404.0;-75.0;403.0;158.0;477.0
-134.0;-311.0;297.0;-417.0;-91.0;413.0;172.0;495.0
-128.0;-315.0;267.0;-427.0;-104.0;420.0;184.0;495.0
-112.0;-314.0;217.0;-434.0;-113.0;426.0;188.0;458.0
-225.0;-188.0;194.0;-56.0;-466.0;105.0;204.0;-215.0
-231.0;-160.0;200.0;-47.0;-468.0;111.0;195.0;-256.0
-94.0;-314.0;157.0;-439.0;-119.0;432.0;189.0;406.0
-80.0;-319.0;113.0;-442.0;-127.0;437.0;187.0;372.0
-69.0;-331.0;93.0;-443.0;-136.0;440.0;185.0;380.0
-2.0;-143.0;162.0;-367.0;-25.0;436.0;154.0;290.0
-19.0;-153.0;182.0;-380.0;-39.0;426.0;152.0;296.0
-44.0;-173.0;207.0;-390.0;-49.0;411.0;150.0;320.0
-136.0;-1.0;-116.0;-209.0;-41.0;103.0;111.0;102.0
-141.0;1.0;-114.0;-209.0;-49.0;100.0;101.0;102.0
-145.0;3.0;-112.0;-213.0;-64.0;104.0;103.0;101.0
-151.0;3.0;-110.0;-217.0;-87.0;111.0;117.0;102.0
-153.0;2.0;-108.0;-218.0;-102.0;114.0;131.0;103.0
-153.0;2.0;-107.0;-212.0;-100.0;111.0;138.0;106.0
-154.0;3.0;-105.0;-209.0;-91.0;110.0;146.0;111.0
-155.0;2.0;-102.0;-215.0;-100.0;118.0;174.0;117.0
-157.0;0.0;-98.0;-228.0;-118.0;129.0;207.0;121.0
-72.0;-207.0;235.0;-393.0;-54.0;400.0;145.0;351.0
-105.0;-336.0;210.0;-441.0;-132.0;448.0;179.0;446.0
-111.0;-315.0;228.0;-436.0;-135.0;453.0;178.0;426.0
-122.0;-304.0;245.0;-429.0;-129.0;448.0;174.0;418.0
-123.0;-295.0;256.0;-414.0;-118.0;440.0;169.0;410.0
-114.0;-272.0;263.0;-398.0;-100.0;432.0;161.0;403.0
-97.0;-238.0;252.0;-383.0;-81.0;422.0;159.0;385.0
-78.0;-211.0;233.0;-373.0;-64.0;418.0;165.0;362.0
-313.0;-379.0;409.0;-393.0;-28.0;307.0;159.0;480.0
4.0;-103.0;180.0;-290.0;82.0;350.0;24.0;292.0
-6.0;-129.0;188.0;-314.0;49.0;346.0;30.0;324.0
-19.0;-165.0;200.0;-329.0;27.0;342.0;35.0;360.0
-313.0;-487.0;462.0;-291.0;253.0;380.0;60.0;502.0
-337.0;-361.0;413.0;-378.0;-25.0;307.0;174.0;454.0
-389.0;-488.0;501.0;-442.0;47.0;477.0;350.0;440.0
-380.0;-293.0;425.0;-346.0;-171.0;288.0;299.0;371.0
-382.0;-285.0;425.0;-351.0;-187.0;280.0;337.0;365.0
-385.0;-280.0;427.0;-358.0;-194.0;269.0;381.0;360.0
-388.0;-274.0;429.0;-373.0;-208.0;267.0;432.0;354.0
