InertialMeasurementUnit L-SHOE EuX;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX
-101;990.0;16;-2;739;16;-505.0;4;-4
-143;830.0;-11;0;638;-11;-690.0;-27;27
-143;857.0;-7;-6;649;-7;-707.0;-2;2
-143;841.0;-3;-10;644;-3;-710.0;15;-15
-143;859.0;-34;2;641;-34;-691.0;26;-26
-143;889.0;-7;0;644;-7;-670.0;-24;24
-143;868.0;-17;-4;644;-17;-680.0;18;-18
-143;869.0;-6;-6;641;-6;-664.0;-33;33
-143;857.0;-18;-2;640;-18;-624.0;-16;16
-143;863.0;-20;8;638;-20;-674.0;14;-14
-143;871.0;-12;4;643;-12;-658.0;14;-14
-143;881.0;-22;-1;644;-22;-582.0;0;0
-143;871.0;-19;-3;645;-19;-627.0;17;-17
-143;874.0;-27;0;647;-27;-628.0;10;-10
-143;870.0;4;3;642;4;-620.0;-23;23
105;871.0;959;320;623;959;-417.0;-19;19
-143;868.0;-20;-5;640;-20;-619.0;39;-39
-143;868.0;8;-6;642;8;-611.0;51;-51
-143;886.0;-29;1;644;-29;-601.0;17;-17
-143;889.0;-11;0;639;-11;-610.0;-20;20
-143;869.0;7;-2;638;7;-629.0;14;-14
-143;897.0;-8;-6;646;-8;-710.0;-40;40
-143;908.0;-17;-3;646;-17;-733.0;-14;14
-143;889.0;-1;7;644;-1;-748.0;-7;7
-143;881.0;-12;3;646;-12;-756.0;-9;9
-143;955.0;-3;2;635;-3;-736.0;9;-9
-143;956.0;3;-1;641;3;-733.0;12;-12
-143;950.0;4;2;630;4;-743.0;-8;8
-143;932.0;9;3;633;9;-740.0;-9;9
-143;940.0;10;3;633;10;-731.0;-10;10
-143;939.0;-23;1;636;-23;-746.0;7;-7
-143;949.0;-5;0;633;-5;-729.0;6;-6
-143;946.0;6;-1;635;6;-730.0;-5;5
-143;947.0;-12;2;633;-12;-710.0;-16;16
-143;947.0;-2;9;632;-2;-743.0;-18;18
-143;941.0;-11;3;634;-11;-736.0;-16;16
-143;922.0;-12;0;638;-12;-747.0;-20;20
-143;932.0;-12;0;639;-12;-738.0;-15;15
-143;936.0;-11;-1;639;-11;-731.0;1;-1
-143;939.0;-12;0;640;-12;-724.0;23;-23
-143;947.0;-17;1;638;-17;-730.0;-9;9
-143;928.0;-8;-9;635;-8;-723.0;20;-20
-143;939.0;-5;-6;639;-5;-739.0;26;-26
-143;949.0;-43;-1;634;-43;-747.0;-6;6
-143;949.0;-17;0;636;-17;-743.0;1;-1
-99;1026.0;250;125;599;250;-986.0;386;-386
-143;919.0;8;3;634;8;-738.0;3;-3
-143;948.0;-41;5;633;-41;-739.0;49;-49
-143;948.0;10;8;631;10;-727.0;18;-18
-143;941.0;8;8;631;8;-739.0;-12;12
-143;946.0;-18;0;639;-18;-753.0;-19;19
-143;956.0;-16;-6;641;-16;-737.0;-18;18
-143;928.0;0;3;630;0;-735.0;0;0
-143;911.0;-18;-2;636;-18;-710.0;-4;4
-143;917.0;-28;0;634;-28;-697.0;-33;33
-143;919.0;-7;-1;637;-7;-680.0;-17;17
-143;915.0;11;2;639;11;-692.0;38;-38
-143;922.0;7;4;637;7;-701.0;27;-27
-143;896.0;8;7;636;8;-696.0;12;-12
-143;883.0;9;7;635;9;-708.0;9;-9
-143;910.0;3;7;634;3;-690.0;-20;20
-143;897.0;-6;7;633;-6;-670.0;2;-2
-143;912.0;2;6;634;2;-674.0;23;-23
-143;913.0;-14;7;630;-14;-650.0;-3;3
-143;927.0;-9;3;630;-9;-667.0;-10;10
-143;927.0;-15;1;636;-15;-669.0;23;-23
-143;908.0;-23;3;636;-23;-690.0;-26;26
-143;919.0;-13;-4;639;-13;-660.0;-50;50
-143;916.0;-13;-2;637;-13;-681.0;21;-21
-143;921.0;-7;1;633;-7;-679.0;5;-5
-143;923.0;-4;-3;637;-4;-693.0;-43;43
-143;920.0;-12;-3;639;-12;-682.0;25;-25
-157;963.0;28;-24;629;28;-673.0;63;-63
-143;917.0;6;0;631;6;-683.0;6;-6
-143;915.0;-22;-8;635;-22;-650.0;4;-4
-143;909.0;1;-9;638;1;-623.0;7;-7
-157;881.0;9;1;631;9;-629.0;31;-31
-157;913.0;-5;3;634;-5;-624.0;50;-50
-157;914.0;16;-3;634;16;-622.0;44;-44
-157;907.0;4;3;627;4;-610.0;18;-18
-157;906.0;-12;0;632;-12;-625.0;-3;3
-157;908.0;-3;-5;637;-3;-608.0;-7;7
-157;904.0;-13;5;633;-13;-630.0;2;-2
-157;923.0;19;-7;638;19;-643.0;8;-8
-157;937.0;23;-8;636;23;-630.0;26;-26
-157;903.0;3;3;632;3;-630.0;28;-28
-157;897.0;26;2;636;26;-620.0;5;-5
-157;905.0;15;2;635;15;-620.0;-7;7
-157;925.0;-11;-4;639;-11;-642.0;17;-17
-157;919.0;1;-5;639;1;-660.0;30;-30
-157;927.0;12;1;632;12;-643.0;-32;32
-157;935.0;3;0;632;3;-618.0;-14;14
-157;905.0;-4;3;633;-4;-641.0;5;-5
-157;898.0;-12;-1;634;-12;-661.0;-37;37
-157;912.0;3;-10;637;3;-637.0;22;-22
-157;895.0;13;-1;635;13;-634.0;30;-30
-157;906.0;-61;5;633;-61;-656.0;-1;1
-157;913.0;-18;-6;637;-18;-626.0;14;-14
-157;922.0;32;2;633;32;-639.0;24;-24
-157;898.0;18;1;638;18;-633.0;53;-53
-157;908.0;-18;5;628;-18;-647.0;44;-44
-157;889.0;-10;-3;636;-10;-671.0;-3;3
-157;900.0;-12;-2;636;-12;-651.0;-17;17
-157;892.0;-7;5;627;-7;-700.0;27;-27
-157;914.0;-8;2;627;-8;-687.0;-16;16
-157;937.0;21;-1;632;21;-665.0;18;-18
-157;954.0;-20;3;634;-20;-663.0;-5;5
-157;905.0;-1;5;633;-1;-727.0;-26;26
-157;924.0;-2;0;633;-2;-663.0;51;-51
-157;932.0;30;-1;635;30;-662.0;32;-32
-157;896.0;-17;1;627;-17;-703.0;-25;25
-157;940.0;-15;-5;636;-15;-667.0;-20;20
-157;916.0;10;-3;638;10;-668.0;43;-43
-157;894.0;9;-3;638;9;-643.0;-13;13
-157;906.0;-2;3;628;-2;-659.0;-36;36
-157;936.0;2;3;633;2;-670.0;-5;5
-157;909.0;12;-3;643;12;-671.0;6;-6
-157;888.0;2;1;637;2;-679.0;-4;4
-157;888.0;-13;4;633;-13;-668.0;-5;5
-157;914.0;-13;4;633;-13;-690.0;13;-13
-157;916.0;17;0;643;17;-675.0;-28;28
-157;918.0;18;0;644;18;-665.0;-6;6
-157;898.0;-7;-3;642;-7;-641.0;39;-39
-157;908.0;-20;-1;640;-20;-641.0;20;-20
-157;884.0;-2;-1;642;-2;-643.0;-16;16
-157;873.0;-32;2;638;-32;-689.0;-15;15
-157;925.0;-63;6;633;-63;-655.0;27;-27
-157;946.0;3;-9;640;3;-691.0;-8;8
