InertialMeasurementUnit LUA magneticY;InertialMeasurementUnit RUA magneticX;InertialMeasurementUnit BACK magneticZ;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit L-SHOE Compass;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA magneticX;InertialMeasurementUnit R-SHOE Compass;InertialMeasurementUnit LLA magneticY;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit RUA magneticY
-26.0;356.0;-101.0;203.0;149;708.0;135.0;0;263.0;-39;-265.0
194.0;376.0;245.0;355.0;138;184.0;33.0;-2;321.0;-31;-454.0
188.0;375.0;250.0;342.0;142;220.0;47.0;-2;318.0;-31;-456.0
185.0;376.0;257.0;332.0;146;255.0;57.0;-2;312.0;-31;-458.0
341.0;544.0;-101.0;-277.0;25;857.0;399.0;-3;730.0;-41;-313.0
195.0;532.0;-29.0;-125.0;106;402.0;277.0;-31;211.0;-28;-183.0
184.0;525.0;-24.0;-120.0;119;396.0;274.0;-33;188.0;-25;-178.0
174.0;513.0;-22.0;-116.0;71;388.0;270.0;-33;162.0;-24;-173.0
164.0;507.0;-17.0;-115.0;-19;388.0;269.0;-33;136.0;-25;-169.0
159.0;494.0;-14.0;-108.0;-26;377.0;261.0;-33;106.0;-25;-166.0
157.0;490.0;-18.0;-113.0;-19;383.0;273.0;-33;86.0;-25;-160.0
156.0;477.0;-30.0;-114.0;-23;378.0;270.0;-33;63.0;-25;-145.0
153.0;481.0;-38.0;-116.0;-17;389.0;285.0;-32;46.0;-26;-131.0
34.0;609.0;-274.0;-350.0;-48;519.0;452.0;-20;-96.0;-22;94.0
-158.0;490.0;-264.0;-256.0;-26;545.0;530.0;-61;-316.0;-22;150.0
43.0;539.0;-169.0;-602.0;170;643.0;-334.0;-26;-24.0;-68;-284.0
-133.0;364.0;-186.0;48.0;146;700.0;219.0;-8;281.0;-26;-179.0
-103.0;367.0;-152.0;70.0;147;674.0;186.0;-3;334.0;-27;-230.0
-78.0;367.0;-120.0;91.0;146;635.0;160.0;10;386.0;-36;-275.0
-57.0;368.0;-90.0;115.0;147;587.0;138.0;17;418.0;-45;-313.0
-24.0;368.0;-61.0;134.0;147;545.0;125.0;18;436.0;-51;-350.0
14.0;376.0;-35.0;154.0;147;507.0;108.0;17;456.0;-56;-382.0
59.0;381.0;-11.0;177.0;147;465.0;100.0;16;492.0;-56;-404.0
110.0;392.0;15.0;191.0;147;421.0;97.0;14;532.0;-53;-422.0
158.0;399.0;36.0;202.0;147;374.0;95.0;15;564.0;-52;-435.0
199.0;405.0;54.0;218.0;147;329.0;94.0;12;583.0;-51;-449.0
521.0;401.0;110.0;261.0;110;-128.0;-326.0;-6;644.0;-38;-489.0
478.0;776.0;146.0;44.0;153;230.0;562.0;37;518.0;-74;-440.0
272.0;521.0;129.0;287.0;148;349.0;204.0;8;517.0;-55;-457.0
248.0;508.0;113.0;287.0;148;401.0;203.0;17;498.0;-63;-451.0
231.0;491.0;99.0;274.0;148;467.0;197.0;19;488.0;-64;-449.0
212.0;471.0;84.0;263.0;148;525.0;196.0;21;470.0;-67;-441.0
191.0;452.0;65.0;254.0;148;575.0;189.0;24;457.0;-69;-432.0
173.0;432.0;41.0;241.0;148;613.0;188.0;24;445.0;-66;-415.0
241.0;612.0;119.0;173.0;132;814.0;-364.0;-6;419.0;-26;-579.0
