InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
-266.0;-625.0;674.0;-673.0;-38.0;86.0;-583.0;-448.0
-271.0;-610.0;666.0;-659.0;-58.0;76.0;-583.0;-469.0
-272.0;-604.0;663.0;-649.0;-72.0;68.0;-578.0;-477.0
-273.0;-605.0;669.0;-640.0;-81.0;66.0;-582.0;-477.0
-281.0;-611.0;678.0;-633.0;-82.0;72.0;-596.0;-470.0
-288.0;-619.0;686.0;-629.0;-76.0;81.0;-611.0;-459.0
-297.0;-626.0;692.0;-629.0;-67.0;94.0;-620.0;-445.0
-306.0;-635.0;699.0;-632.0;-56.0;110.0;-627.0;-427.0
-317.0;-648.0;704.0;-634.0;-45.0;127.0;-635.0;-402.0
-596.0;-556.0;302.0;-688.0;565.0;700.0;-246.0;251.0
-592.0;-555.0;304.0;-691.0;562.0;702.0;-246.0;251.0
-585.0;-553.0;307.0;-696.0;?;705.0;-246.0;251.0
-570.0;-553.0;313.0;-708.0;?;710.0;-245.0;247.0
-547.0;-552.0;322.0;-726.0;?;715.0;-244.0;238.0
-524.0;-552.0;335.0;-747.0;?;717.0;-245.0;222.0
-502.0;-559.0;355.0;-770.0;?;711.0;-252.0;195.0
-479.0;-571.0;382.0;-792.0;?;696.0;-268.0;161.0
-455.0;-584.0;415.0;-812.0;?;674.0;-292.0;117.0
-432.0;-598.0;449.0;-828.0;?;641.0;-322.0;67.0
-410.0;-613.0;483.0;-833.0;?;600.0;-355.0;14.0
-388.0;-623.0;518.0;-831.0;?;554.0;-382.0;-41.0
-366.0;-629.0;547.0;-828.0;?;503.0;-408.0;-96.0
-341.0;-630.0;570.0;-826.0;?;451.0;-430.0;-148.0
-312.0;-629.0;589.0;-820.0;309.0;400.0;-449.0;-199.0
-280.0;-626.0;607.0;-810.0;265.0;349.0;-465.0;-246.0
-250.0;-623.0;619.0;-793.0;219.0;296.0;-482.0;-288.0
-224.0;-623.0;630.0;-769.0;168.0;243.0;-502.0;-329.0
-210.0;-622.0;639.0;-742.0;114.0;193.0;-521.0;-370.0
-213.0;-620.0;648.0;-715.0;59.0;153.0;-539.0;-410.0
-222.0;-613.0;653.0;-685.0;3.0;124.0;-557.0;-445.0
-223.0;-601.0;656.0;-655.0;-46.0;105.0;-573.0;-472.0
-218.0;-589.0;649.0;-631.0;-77.0;93.0;-583.0;-492.0
-214.0;-583.0;641.0;-613.0;-94.0;88.0;-586.0;-500.0
-220.0;-588.0;637.0;-603.0;-99.0;88.0;-587.0;-496.0
-230.0;-598.0;640.0;-598.0;-100.0;92.0;-592.0;-486.0
?;-607.0;648.0;-599.0;-95.0;99.0;-599.0;-472.0
?;-610.0;653.0;-602.0;-86.0;110.0;-606.0;-461.0
?;-612.0;655.0;-606.0;-76.0;121.0;-613.0;-450.0
?;-613.0;657.0;-611.0;-67.0;130.0;-618.0;-442.0
?;-616.0;664.0;-616.0;-58.0;141.0;-621.0;-434.0
?;-623.0;674.0;-619.0;-48.0;153.0;-630.0;-421.0
-571.0;-541.0;271.0;-623.0;579.0;685.0;-262.0;243.0
-566.0;-540.0;273.0;-628.0;575.0;690.0;-263.0;243.0
-562.0;-539.0;276.0;-633.0;573.0;694.0;-262.0;243.0
-555.0;-537.0;281.0;-643.0;572.0;698.0;-263.0;243.0
-544.0;-535.0;290.0;-657.0;572.0;701.0;-264.0;241.0
-526.0;-534.0;301.0;-678.0;574.0;705.0;-267.0;236.0
-506.0;-535.0;316.0;-701.0;573.0;706.0;-273.0;223.0
-487.0;-541.0;337.0;-721.0;567.0;702.0;-278.0;201.0
-466.0;-551.0;363.0;-744.0;554.0;691.0;-288.0;171.0
-442.0;-564.0;395.0;-768.0;535.0;674.0;-304.0;134.0
-418.0;-577.0;429.0;-791.0;512.0;649.0;-324.0;92.0
-393.0;-588.0;463.0;-810.0;484.0;614.0;-344.0;46.0
-369.0;-598.0;494.0;-821.0;453.0;572.0;-364.0;-3.0
-344.0;-608.0;524.0;-826.0;416.0;524.0;-384.0;-55.0
-319.0;-616.0;549.0;-824.0;375.0;472.0;-406.0;-110.0
-294.0;-621.0;570.0;-816.0;328.0;413.0;-428.0;-166.0
-272.0;-624.0;590.0;-800.0;277.0;352.0;-452.0;-220.0
-253.0;-625.0;606.0;-777.0;222.0;291.0;-477.0;?
-240.0;-623.0;621.0;-750.0;163.0;234.0;-501.0;?
-229.0;-620.0;?;-720.0;102.0;181.0;-527.0;?
-224.0;-615.0;?;-687.0;44.0;136.0;-552.0;?
-226.0;-609.0;?;-654.0;-7.0;102.0;-575.0;?
-230.0;-603.0;?;-628.0;-39.0;78.0;-589.0;?
-231.0;-595.0;642.0;-608.0;-59.0;63.0;-595.0;?
-233.0;-590.0;638.0;-597.0;-71.0;57.0;-595.0;?
-239.0;-594.0;640.0;-593.0;-76.0;58.0;-595.0;-478.0
-246.0;-600.0;646.0;-594.0;-76.0;63.0;-599.0;-470.0
-255.0;-605.0;649.0;-598.0;-69.0;73.0;-604.0;-461.0
-260.0;-608.0;653.0;-605.0;-59.0;85.0;-605.0;-451.0
-265.0;-613.0;660.0;-611.0;-49.0;100.0;-609.0;-439.0
-274.0;-621.0;672.0;-615.0;-40.0;117.0;-619.0;-422.0
-605.0;-524.0;257.0;-699.0;551.0;684.0;-285.0;205.0
-587.0;-517.0;259.0;-712.0;550.0;692.0;-279.0;198.0
-564.0;-506.0;259.0;-731.0;547.0;698.0;-269.0;184.0
-544.0;-496.0;255.0;-749.0;539.0;698.0;-254.0;159.0
-526.0;-489.0;249.0;-761.0;524.0;692.0;-234.0;122.0
-509.0;-486.0;238.0;-765.0;499.0;680.0;-212.0;79.0
-492.0;-484.0;223.0;-756.0;468.0;659.0;-183.0;32.0
-476.0;-474.0;205.0;-730.0;429.0;623.0;-148.0;-12.0
-459.0;-460.0;183.0;-686.0;389.0;571.0;-115.0;-53.0
-438.0;-447.0;166.0;-630.0;343.0;506.0;-83.0;-89.0
-404.0;-432.0;154.0;-562.0;290.0;441.0;-47.0;-119.0
-355.0;-411.0;152.0;-480.0;232.0;379.0;-11.0;-145.0
?;-393.0;153.0;-390.0;182.0;321.0;17.0;-172.0
?;-375.0;144.0;-305.0;134.0;262.0;34.0;-196.0
?;-359.0;139.0;-227.0;85.0;203.0;46.0;-220.0
?;-351.0;132.0;-159.0;42.0;149.0;49.0;-247.0
?;-344.0;130.0;-110.0;1.0;99.0;45.0;-275.0
?;-336.0;130.0;-80.0;-33.0;58.0;40.0;-297.0
?;-329.0;132.0;-63.0;-58.0;29.0;35.0;-316.0
?;-323.0;134.0;-55.0;-76.0;10.0;28.0;-330.0
