InertialMeasurementUnit L-SHOE EuX;Accelerometer HIP accY;InertialMeasurementUnit L-SHOE AngVelNavFrameZ;InertialMeasurementUnit L-SHOE Nav_Ay;InertialMeasurementUnit L-SHOE Body_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer BACK accZ;InertialMeasurementUnit R-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameX
116;989.0;44;6;740;44;-319.0;-22;22
116;935.0;26;-4;736;26;-362.0;-8;8
116;960.0;0;-4;738;0;-381.0;6;-6
116;1017.0;-4;2;742;-4;-310.0;-14;14
116;992.0;12;-1;736;12;-305.0;2;-2
116;?;-1;-1;737;-1;-370.0;-5;5
116;?;-7;1;739;-7;-387.0;-6;6
116;?;12;3;740;12;-429.0;28;-28
116;?;1;2;742;1;-337.0;7;-7
116;?;17;-2;?;17;-106.0;23;-23
116;?;14;-5;?;14;-130.0;40;-40
116;?;47;-1;?;47;-132.0;18;-18
116;?;-16;-2;?;-16;-159.0;4;-4
116;?;-15;-9;?;-15;-124.0;-10;10
116;?;39;-3;?;39;-130.0;-23;23
116;?;-21;1;?;-21;-204.0;4;-4
116;?;-17;-3;?;-17;-106.0;-6;6
116;?;5;-2;?;5;-42.0;-15;15
116;?;-16;-1;735;-16;-3.0;-22;22
116;?;-9;-6;738;-9;-64.0;-46;46
116;?;-10;-6;742;-10;-185.0;-34;34
116;?;15;-2;746;15;-219.0;-26;26
116;?;23;1;742;23;-276.0;-4;4
116;?;19;-2;742;19;-329.0;12;-12
116;?;-6;-2;739;-6;-220.0;-1;1
116;?;-43;0;736;-43;-176.0;-30;30
116;?;-21;-2;740;-21;-423.0;-35;35
116;?;-15;-3;734;-15;-410.0;2;-2
116;?;-31;1;738;-31;-281.0;-2;2
116;?;7;4;739;7;-420.0;4;-4
116;958.0;11;2;732;11;-391.0;-4;4
116;964.0;-22;3;739;-22;-411.0;-7;7
116;987.0;-11;2;740;-11;-337.0;64;-64
116;983.0;-10;-2;736;-10;-346.0;62;-62
116;1004.0;-4;-1;742;-4;-341.0;1;-1
116;976.0;-3;-2;740;-3;-355.0;-19;19
116;945.0;-10;-2;738;-10;-353.0;-9;9
116;916.0;1;2;744;1;-366.0;6;-6
116;936.0;9;-1;742;9;-409.0;-3;3
116;996.0;29;-2;741;29;-389.0;-13;13
?;994.0;15;3;740;15;-369.0;-17;17
?;922.0;10;3;747;10;-163.0;7;-7
?;928.0;-23;1;743;-23;-126.0;18;-18
116;926.0;18;3;742;18;-117.0;4;-4
116;946.0;10;-1;744;10;-150.0;6;-6
116;956.0;-18;-3;734;-18;-181.0;-1;1
116;955.0;-21;4;739;-21;-124.0;-15;15
116;934.0;-24;?;744;-24;-70.0;-44;44
116;928.0;-32;?;737;-32;-26.0;-50;50
116;937.0;-1;?;740;-1;39.0;-35;35
116;936.0;40;?;742;40;58.0;-64;64
116;936.0;18;?;741;18;-91.0;-48;48
116;939.0;-1;?;745;-1;-125.0;3;-3
116;953.0;-2;?;744;-2;-116.0;-7;7
116;947.0;-12;?;741;-12;-183.0;-10;10
116;925.0;15;?;741;15;-270.0;-7;7
116;940.0;12;?;738;12;-289.0;-34;34
116;960.0;-40;?;736;-40;-284.0;9;-9
116;969.0;-4;?;741;-4;-308.0;35;-35
116;938.0;19;-3;?;19;-499.0;-36;36
116;990.0;-22;-3;?;-22;-334.0;-29;29
116;1014.0;-18;4;?;-18;-439.0;-8;8
116;955.0;-10;-3;?;-10;-425.0;-25;25
116;970.0;-17;-2;?;-17;-411.0;36;-36
116;980.0;-26;-5;?;-26;-408.0;22;-22
116;950.0;-4;-5;?;-4;-408.0;-5;5
116;948.0;24;-1;?;24;-362.0;17;-17
116;958.0;8;?;?;8;-383.0;-28;28
116;947.0;8;?;737;8;-414.0;-19;19
116;939.0;16;?;743;16;-402.0;10;-10
116;975.0;-4;?;739;-4;-403.0;-9;9
116;994.0;15;?;739;15;-373.0;-14;14
116;937.0;-3;?;734;-3;-290.0;8;-8
116;928.0;-3;?;740;-3;-190.0;-29;29
116;959.0;-10;?;744;-10;-102.0;16;-16
116;965.0;-1;?;740;-1;-244.0;36;-36
116;962.0;?;?;737;-13;-216.0;26;-26
116;923.0;?;?;741;-26;-251.0;28;-28
116;927.0;?;?;738;14;-219.0;19;-19
116;931.0;?;?;736;-10;-207.0;1;-1
116;935.0;?;?;740;-37;-209.0;-3;3
116;952.0;?;?;740;-1;-199.0;6;-6
116;959.0;?;?;741;-28;-322.0;43;-43
116;944.0;?;?;734;-8;-339.0;59;-59
116;977.0;?;2;741;-20;-353.0;-53;53
116;964.0;?;-1;741;-34;-405.0;-77;77
116;961.0;?;1;743;-25;-476.0;22;-22
116;994.0;?;5;748;-35;?;1;-1
116;966.0;9;4;742;9;?;17;-17
116;967.0;-72;30;774;-72;?;83;-83
116;960.0;-65;28;757;-65;?;-22;22
117;913.0;-515;112;805;-515;?;-48;48
118;893.0;-515;342;992;-515;?;26;-26
118;917.0;649;440;1020;649;?;-35;35
116;990.0;812;335;946;812;?;-35;35
115;952.0;344;143;924;344;?;3;-3
114;932.0;186;-24;831;186;?;-33;33
113;882.0;155;-246;663;155;?;-28;28
113;858.0;531;-361;708;531;-534.0;-26;26
111;893.0;745;-463;693;745;-512.0;-35;?
110;928.0;689;-637;484;689;-512.0;-15;?
108;888.0;452;-177;787;452;-483.0;-24;?
108;861.0;269;156;1023;269;-497.0;-32;?
108;858.0;356;-38;875;356;-481.0;-20;?
107;917.0;271;-13;971;271;-502.0;?;?
107;918.0;68;5;980;68;-549.0;?;?
107;962.0;140;34;924;140;-513.0;?;?
107;992.0;221;29;973;221;-507.0;?;?
106;942.0;274;19;884;274;-548.0;9;-9
106;920.0;336;75;859;336;-562.0;-10;10
105;944.0;186;-38;966;186;-554.0;-25;25
105;976.0;-66;-46;957;-66;-554.0;-35;35
106;932.0;-262;81;929;-262;-559.0;-13;13
106;928.0;-169;92;937;-169;-566.0;28;-28
106;955.0;69;73;922;69;-559.0;30;-30
106;916.0;229;57;938;229;-545.0;27;-27
106;925.0;389;35;905;389;-568.0;54;-54
105;926.0;392;27;888;392;-554.0;46;-46
104;934.0;299;-69;984;299;-540.0;2;-2
103;938.0;276;140;815;276;-559.0;30;-30
103;936.0;280;-41;1007;280;-537.0;43;-43
103;946.0;278;166;803;278;-526.0;49;-49
103;873.0;259;227;634;259;-505.0;29;-29
102;879.0;210;?;560;210;-563.0;-34;34
103;848.0;-15;?;-923;-15;-375.0;54;-54
100;855.0;-507;?;854;-507;-571.0;-2;2
98;546.0;-674;?;2303;-674;-849.0;-117;117
99;1524.0;-249;?;288;-249;-426.0;-23;23
100;1907.0;52;?;639;52;-570.0;-30;30
100;833.0;17;?;853;17;-400.0;-30;30
100;671.0;-10;?;462;-10;-381.0;53;-53
100;687.0;7;?;817;7;-436.0;?;-28
100;907.0;10;?;691;10;-607.0;?;?
100;1005.0;18;?;745;18;-546.0;?;?
100;1238.0;-8;?;742;-8;-462.0;?;61
100;975.0;-21;?;709;-21;-430.0;?;36
100;795.0;14;?;732;14;-431.0;?;-19
100;869.0;7;?;731;7;-454.0;?;0
100;1000.0;-13;-6;728;-13;-480.0;?;12
100;1006.0;-1;-9;737;-1;-448.0;?;-19
100;952.0;-1;-16;732;-1;-433.0;?;-29
100;928.0;11;-12;712;11;-455.0;?;-2
100;912.0;22;-19;752;22;-442.0;?;2
100;965.0;-5;6;709;-5;-440.0;?;-13
100;982.0;35;-91;800;35;-411.0;14;-14
101;944.0;202;-189;973;202;-432.0;-16;16
101;954.0;239;-74;826;239;-430.0;-44;44
101;1001.0;63;-58;774;63;-461.0;-28;28
102;1076.0;66;-60;870;66;-449.0;-33;33
102;1042.0;188;?;781;188;-403.0;-40;40
102;908.0;154;?;791;154;-399.0;9;-9
102;914.0;0;?;875;0;-471.0;36;-36
103;918.0;-114;?;829;-114;-489.0;10;-10
103;936.0;-109;?;857;-109;-478.0;13;-13
103;966.0;-173;233;870;-173;-472.0;43;-43
104;949.0;-16;258;872;-16;-494.0;22;-22
104;895.0;240;-34;935;240;-489.0;?;-10
103;897.0;137;21;928;137;-548.0;?;-46
103;?;53;27;965;53;-557.0;?;-27
103;?;56;-28;986;56;-547.0;?;9
103;?;-2;3;950;-2;-558.0;?;-20
103;?;-56;-29;963;-56;-547.0;?;-32
103;?;-133;-28;961;-133;-545.0;?;13
104;?;-236;12;922;-236;-537.0;-44;44
104;?;-249;53;922;-249;-549.0;-31;31
104;?;-125;64;?;-125;-541.0;1;-1
104;?;-124;47;?;-124;-540.0;30;-30
104;?;39;47;?;39;-539.0;35;-35
104;?;130;32;?;130;-519.0;38;-38
104;?;155;47;?;155;-521.0;37;-37
103;918.0;250;60;?;250;-517.0;24;-24
103;927.0;-155;12;?;-155;-510.0;38;-38
103;939.0;430;151;?;430;-509.0;23;-23
103;918.0;-386;7;?;-386;-523.0;18;-18
103;932.0;135;657;?;135;-475.0;-25;25
103;915.0;19;1568;?;19;-478.0;-66;66
103;884.0;-5439;335;?;-5439;-354.0;-25;25
106;615.0;-3074;-512;?;-3074;-656.0;-159;159
107;1087.0;1037;-130;?;1037;-440.0;-203;203
107;1819.0;-553;-118;?;-553;-465.0;-131;131
107;1188.0;102;-29;616;102;-472.0;-44;44
107;708.0;80;-10;636;80;-401.0;189;-189
107;636.0;-164;-32;917;-164;-617.0;178;-178
107;997.0;159;-9;575;159;-705.0;51;-51
107;1151.0;-109;-21;827;-109;-560.0;28;-28
107;1148.0;29;-5;689;29;-541.0;3;-3
107;1034.0;2;-17;735;2;-524.0;27;-27
107;856.0;-33;-15;739;-33;-504.0;13;-13
107;875.0;-44;-11;723;-44;-530.0;-26;26
107;1053.0;-41;-10;734;-41;-551.0;-6;6
107;1090.0;-4;-8;730;-4;-502.0;8;-8
107;945.0;-10;-3;734;-10;-509.0;7;-7
107;913.0;-29;-10;733;-29;-532.0;6;-6
107;956.0;47;-16;726;47;-496.0;-3;3
107;997.0;58;-8;753;58;-467.0;-7;7
107;980.0;-9;-40;733;-9;-472.0;-19;19
107;979.0;99;-99;791;99;-452.0;44;-44
106;961.0;338;-269;932;338;-458.0;65;-65
106;1009.0;322;-315;910;322;-470.0;-24;24
105;1033.0;80;-46;811;80;-429.0;-13;13
105;1043.0;44;31;827;44;-431.0;6;-6
105;965.0;44;-49;?;44;-444.0;-10;10
105;908.0;-144;11;?;-144;-461.0;17;-17
105;936.0;-181;88;?;-181;-481.0;-2;2
105;918.0;-77;112;?;-77;?;-33;33
105;926.0;-146;80;?;-146;?;-16;16
105;917.0;-262;80;898;-262;?;-23;23
106;915.0;-237;89;880;-237;?;-43;43
106;930.0;-168;77;912;-168;?;-44;44
107;953.0;-170;72;924;-170;?;-43;?
107;931.0;-139;56;912;-139;?;-25;?
107;935.0;4;51;936;4;?;-23;?
107;917.0;75;41;941;75;?;-11;?
107;924.0;46;36;932;46;?;62;?
107;922.0;18;48;936;18;?;110;?
107;914.0;-21;35;935;-21;?;68;-68
107;935.0;-72;16;939;-72;?;55;-55
107;920.0;-51;33;936;-51;?;74;-74
107;917.0;87;66;913;87;?;22;-22
106;937.0;199;31;929;199;?;20;-20
106;934.0;159;86;888;159;?;66;-66
?;896.0;193;40;919;193;?;53;-53
?;913.0;304;19;903;304;?;11;-11
?;925.0;383;115;819;383;?;?;47
?;916.0;471;-112;987;471;?;?;37
?;913.0;131;430;528;131;?;-5;5
?;859.0;-277;572;353;-277;?;-16;16
?;829.0;-206;756;236;-206;-410.0;21;-21
?;777.0;-345;1668;-407;-345;-734.0;24;-24
?;846.0;-486;339;512;-486;-607.0;-95;95
?;1612.0;-95;-543;1036;-95;-585.0;-159;159
?;1334.0;30;-129;607;30;?;-78;78
97;900.0;-87;-389;756;-87;?;-28;28
97;767.0;36;-274;703;36;?;33;-33
97;874.0;31;-249;712;31;?;108;-108
97;1014.0;7;-268;753;7;?;12;-12
97;1079.0;14;-178;708;14;?;-27;27
97;1117.0;-43;-183;733;-43;?;43;-43
97;944.0;-37;-138;717;-37;?;41;-41
97;842.0;-42;-145;721;-42;?;36;-36
97;919.0;-36;-115;726;-36;?;13;-13
97;1057.0;-16;-86;733;-16;?;-5;5
97;1058.0;-39;-72;727;-39;?;26;-26
97;975.0;-28;-75;725;-28;?;-6;6
97;904.0;15;-60;716;15;?;-15;15
97;930.0;29;-52;722;29;?;57;-57
97;965.0;1;-56;740;1;?;23;-23
97;956.0;-36;-22;727;-36;?;-17;17
97;972.0;42;-66;760;42;?;47;-47
97;968.0;-8;-7;706;-8;-489.0;5;-5
97;949.0;76;-86;799;76;-504.0;-12;12
98;927.0;244;-292;988;244;-495.0;47;-47
99;958.0;12;-34;812;12;-534.0;-35;35
99;1020.0;-40;108;737;-40;-524.0;-44;44
99;1033.0;-86;-35;775;-86;-482.0;7;-7
101;948.0;-22;37;784;-22;-527.0;-14;14
101;883.0;160;51;890;160;-515.0;-27;27
102;898.0;-82;-40;891;-82;-514.0;-54;54
102;931.0;-140;28;893;-140;-530.0;-30;30
103;891.0;-136;89;893;-136;-520.0;11;-11
104;944.0;-289;72;879;-289;-529.0;-19;?
104;898.0;-338;84;895;-338;-530.0;-45;45
105;914.0;-349;97;900;-349;-541.0;-6;6
106;920.0;-313;123;919;-313;-550.0;44;-44
107;939.0;-293;94;920;-293;-552.0;53;-53
107;926.0;-186;24;919;-186;-576.0;25;-25
107;897.0;36;85;916;36;-592.0;17;-17
107;917.0;236;99;907;236;-588.0;27;-27
107;956.0;250;18;931;250;-595.0;2;-2
106;943.0;172;28;953;172;-600.0;-6;6
106;?;130;27;944;130;-597.0;11;-11
106;?;35;38;937;35;-578.0;-18;18
106;?;113;-5;962;113;-597.0;-10;10
106;?;-57;-32;944;-57;-578.0;19;-19
106;?;-284;87;917;-284;-574.0;6;-6
106;?;80;111;905;80;-591.0;15;-15
106;?;221;9;897;221;-552.0;10;-10
106;?;293;120;1020;293;-530.0;6;-6
105;?;330;-60;805;330;-539.0;5;-5
103;?;505;228;891;505;-542.0;23;-23
103;?;-53;204;632;-53;-523.0;14;-14
103;?;-565;807;-12;-565;-549.0;0;0
103;811.0;84;1245;216;84;-406.0;46;-46
104;742.0;-1767;-3944;-942;-1767;-692.0;-76;76
105;831.0;-2011;-4222;-820;-2011;-773.0;-157;157
104;1853.0;305;?;963;305;-500.0;-98;98
104;1227.0;-19;?;706;-19;-586.0;-144;144
104;886.0;-114;?;655;-114;-444.0;-6;6
104;734.0;215;?;826;215;-590.0;225;-225
104;946.0;-31;?;650;-31;-674.0;123;-123
104;1091.0;64;?;778;64;-601.0;-9;9
104;1144.0;-1;?;716;-1;-570.0;22;-22
104;1023.0;-1;?;731;-1;-560.0;6;-6
104;832.0;14;?;?;14;-549.0;-20;20
104;828.0;7;?;?;7;-530.0;-35;35
103;1003.0;3;?;?;3;-528.0;15;-15
104;1056.0;-11;?;?;-11;-518.0;46;-46
104;1002.0;18;?;?;18;-485.0;42;-42
104;894.0;59;?;?;?;-465.0;76;-76
104;872.0;55;-10;?;?;-493.0;35;-35
104;994.0;50;-5;?;?;-469.0;38;-38
103;947.0;59;-15;?;?;-477.0;30;-30
103;966.0;-4;8;?;?;-480.0;-8;8
103;948.0;31;-7;733;?;-465.0;32;-32
103;963.0;-4;-24;744;?;-415.0;28;-28
103;931.0;0;-8;787;?;-432.0;10;-10
103;937.0;349;-151;766;?;-443.0;28;-28
?;942.0;-106;-111;755;-106;-420.0;-17;17
?;936.0;-706;48;760;-706;-420.0;-42;42
?;929.0;-602;13;768;-602;-411.0;-11;11
?;903.0;-622;15;823;-622;-433.0;5;-5
?;955.0;?;-17;836;-485;-468.0;22;-22
?;1043.0;?;-40;856;-548;-487.0;-18;18
111;922.0;?;31;863;-493;-484.0;-25;25
112;891.0;?;45;840;-240;-480.0;-6;6
112;934.0;-312;66;854;-312;-481.0;-36;36
112;947.0;-248;101;887;-248;-507.0;-9;9
112;937.0;-233;93;899;-233;-544.0;-2;2
112;?;-93;146;854;-93;-520.0;-37;37
112;?;21;120;923;21;-540.0;-13;13
112;?;12;17;961;12;-565.0;50;-50
112;890.0;166;66;894;166;-573.0;40;-40
112;923.0;186;95;973;?;-591.0;-21;21
111;925.0;105;12;1001;?;-598.0;-2;2
111;933.0;-131;9;939;?;-630.0;35;-35
112;958.0;-293;75;959;?;-598.0;31;-31
112;962.0;-98;69;963;?;-602.0;12;-12
112;942.0;101;37;926;?;-597.0;28;-28
112;929.0;86;35;919;?;-606.0;42;-42
112;925.0;-40;43;937;?;-601.0;-16;16
112;936.0;-47;50;965;?;-591.0;-9;9
112;928.0;39;109;926;?;?;-43;43
112;918.0;223;40;931;?;?;-77;77
111;918.0;425;52;939;425;?;-14;14
109;938.0;547;68;905;547;?;-14;14
109;934.0;595;-119;953;595;?;19;-19
108;913.0;420;272;825;420;?;7;-7
106;869.0;893;13;808;893;?;20;-20
104;876.0;959;971;440;959;?;77;-77
102;812.0;99;1309;-216;99;?;28;-28
101;774.0;-108;-1668;342;-108;?;-1;1
98;747.0;-581;-874;1095;-581;?;-104;104
?;1155.0;-725;632;958;-725;?;-169;169
?;1699.0;-7;-319;723;-7;?;-93;93
?;1204.0;37;31;711;37;?;-50;50
?;887.0;-121;-22;721;-121;?;12;-12
?;855.0;-9;-108;723;-9;?;69;-69
?;887.0;2;28;729;2;-559.0;22;-22
?;960.0;-30;-76;723;-30;-580.0;-14;14
?;1079.0;-15;-6;731;-15;-500.0;4;-4
?;1068.0;-20;-33;730;-20;-547.0;31;-31
99;956.0;7;-33;719;7;-459.0;46;-46
99;860.0;33;-24;724;33;-428.0;15;-15
99;917.0;16;-13;728;16;-470.0;-8;8
99;970.0;9;-12;724;9;-478.0;-20;20
99;1016.0;13;-19;724;13;-480.0;-4;?
99;941.0;21;-12;730;21;-431.0;?;?
99;905.0;12;-3;733;12;-460.0;-51;?
99;1000.0;-7;-10;731;-7;-451.0;-17;?
99;929.0;-11;-9;727;-11;-470.0;27;?
99;925.0;-11;0;728;-11;-422.0;-26;?
99;899.0;-8;-2;728;-8;-396.0;-36;?
99;923.0;0;-2;728;0;-384.0;8;?
99;944.0;-9;0;731;-9;-390.0;9;-9
99;922.0;-6;-2;731;-6;-420.0;-4;4
99;?;13;0;730;13;-396.0;-2;2
99;?;21;0;727;21;-452.0;-9;9
99;?;3;-6;725;3;-386.0;-32;32
99;?;-10;-5;727;-10;-406.0;-54;54
99;?;0;-2;727;0;-399.0;-30;?
99;?;-3;?;729;-3;-386.0;-2;?
99;?;11;?;727;11;-440.0;-12;?
99;?;-3;?;728;-3;-400.0;14;?
99;?;-17;?;728;-17;-406.0;17;?
99;?;10;?;723;10;-370.0;-45;?
?;?;-6;?;723;-6;-409.0;-33;?
?;?;-3;?;723;-3;-404.0;7;?
?;?;28;?;724;28;-398.0;-6;?
?;?;21;?;725;21;-378.0;-14;?
?;925.0;-18;?;726;-18;-350.0;-15;15
?;910.0;-20;?;730;-20;-396.0;-14;14
?;870.0;18;?;726;18;-425.0;4;-4
?;956.0;5;?;724;5;-423.0;-3;3
?;983.0;4;?;726;4;-428.0;-26;26
?;951.0;-15;-3;727;-15;-399.0;-37;37
?;927.0;-37;-4;724;-37;-427.0;-45;45
99;935.0;19;-1;721;19;-430.0;-44;44
99;927.0;28;-1;726;28;-470.0;-30;30
99;936.0;5;-1;727;5;-456.0;0;0
99;925.0;19;3;724;19;-444.0;1;-1
99;952.0;-2;6;730;-2;-457.0;-17;17
99;966.0;-7;5;733;-7;-438.0;1;-1
99;934.0;1;-1;726;1;-436.0;17;-17
99;927.0;-38;-2;723;-38;-419.0;6;-6
99;924.0;-17;4;731;-17;-459.0;24;-24
99;937.0;0;-3;727;0;-436.0;42;-42
?;?;-8;-7;723;-8;-422.0;32;-32
?;927.0;23;1;727;23;-436.0;14;-14
?;890.0;21;0;725;21;-444.0;15;-15
?;929.0;26;4;731;26;-421.0;24;-24
?;956.0;25;6;735;25;-446.0;-3;3
?;941.0;-5;1;730;-5;-424.0;34;-34
?;903.0;-5;2;726;-5;-410.0;13;-13
?;913.0;22;4;730;22;-420.0;-52;52
?;935.0;13;8;739;13;-430.0;27;-27
99;958.0;-20;8;736;-20;-418.0;49;-49
99;934.0;-2;3;727;-2;-425.0;16;-16
99;955.0;6;0;724;6;-457.0;-3;3
99;952.0;-13;1;726;-13;-432.0;8;-8
99;920.0;1;2;730;1;-416.0;57;-57
99;926.0;1;-1;732;1;?;?;-24
99;963.0;-10;0;726;-10;?;?;11
99;941.0;-6;-4;720;-6;?;?;13
99;945.0;0;1;728;0;?;?;-10
99;947.0;-13;10;735;-13;?;?;-10
99;926.0;12;3;727;12;?;?;14
99;910.0;18;2;728;18;?;?;12
99;939.0;-45;7;734;-45;?;?;36
99;949.0;18;2;727;18;?;?;0
99;953.0;50;-5;722;?;?;?;-16
99;966.0;-18;-3;726;?;-450.0;?;58
99;957.0;21;-1;729;?;-447.0;?;32
99;911.0;29;-3;729;?;-427.0;?;-19
99;937.0;-11;2;730;?;-432.0;?;18
?;933.0;10;0;725;?;-424.0;?;6
99;943.0;34;-2;723;?;-423.0;1;-1
99;948.0;-1;1;727;?;-432.0;-9;9
99;944.0;-31;-1;725;?;-427.0;37;-37
99;956.0;-4;6;726;?;-442.0;18;-18
99;930.0;-1;6;731;?;-452.0;-16;16
99;935.0;9;3;730;?;-442.0;-7;7
99;956.0;-1;?;728;?;-439.0;-21;21
99;935.0;-19;?;727;-19;-432.0;-21;21
99;920.0;0;?;729;0;-411.0;-13;13
99;948.0;-11;?;737;-11;-390.0;-10;10
99;928.0;16;?;734;16;-372.0;14;-14
99;902.0;25;1;728;25;-426.0;-18;18
99;902.0;-9;3;730;-9;-453.0;-5;5
99;944.0;-9;?;729;-9;-459.0;49;-49
99;954.0;-1;?;731;-1;-468.0;28;-28
99;963.0;19;?;736;19;-489.0;29;-29
99;953.0;8;?;731;8;-458.0;-9;9
99;951.0;6;?;730;6;-467.0;-37;37
99;944.0;39;?;734;39;-421.0;-19;19
99;933.0;26;?;733;26;-375.0;-11;11
99;931.0;1;?;730;1;-431.0;-2;2
99;?;?;?;727;-6;-432.0;-41;41
99;?;?;?;729;-18;-445.0;-12;12
99;?;?;?;733;11;-451.0;24;-24
99;?;?;?;729;26;-431.0;18;-18
99;?;?;?;725;-12;-431.0;37;-37
99;923.0;?;?;729;-4;-449.0;3;-3
99;951.0;?;?;730;26;-441.0;-15;15
99;938.0;?;?;728;26;-461.0;28;-28
99;925.0;?;?;726;-14;-428.0;30;-30
99;922.0;?;?;725;-41;-426.0;16;-16
99;916.0;-8;?;725;-8;-428.0;27;-27
99;926.0;11;?;723;11;-458.0;19;-19
99;945.0;-11;?;730;-11;-432.0;0;0
99;909.0;-28;?;736;-28;-453.0;-6;6
99;937.0;-10;?;729;-10;-476.0;1;-1
99;948.0;-2;?;728;-2;-453.0;6;-6
99;947.0;-10;?;736;-10;-470.0;-4;4
99;919.0;7;?;734;7;-477.0;3;-3
99;927.0;1;2;730;1;-490.0;28;-28
