Accelerometer LUA^ accY;InertialMeasurementUnit BACK accY;InertialMeasurementUnit RLA magneticY;InertialMeasurementUnit BACK magneticY;Accelerometer LUA^ accX;InertialMeasurementUnit L-SHOE EuZ;InertialMeasurementUnit LUA magneticX;InertialMeasurementUnit RLA magneticZ;InertialMeasurementUnit RUA magneticZ;Accelerometer RKN^ accZ;InertialMeasurementUnit LLA magneticZ;InertialMeasurementUnit LUA accX;Accelerometer BACK accX
218.0;-89.0;272.0;-431.0;335.0;-178;684.0;313.0;318.0;-1.0;402.0;-308.0;48.0
169.0;-191.0;244.0;-438.0;268.0;-178;694.0;286.0;303.0;13.0;391.0;-332.0;51.0
160.0;-349.0;224.0;-439.0;261.0;-179;701.0;268.0;287.0;7.0;369.0;-221.0;92.0
152.0;-153.0;206.0;-437.0;361.0;-178;697.0;259.0;273.0;15.0;351.0;-149.0;65.0
169.0;-176.0;206.0;-437.0;350.0;-178;698.0;257.0;272.0;1.0;354.0;-226.0;118.0
131.0;-203.0;212.0;-440.0;342.0;-178;703.0;264.0;283.0;9.0;371.0;-326.0;126.0
104.0;-194.0;226.0;-441.0;271.0;-178;703.0;266.0;283.0;-5.0;392.0;-344.0;116.0
76.0;-201.0;242.0;-441.0;193.0;-178;700.0;265.0;280.0;11.0;405.0;-326.0;60.0
193.0;-261.0;268.0;-437.0;290.0;-179;691.0;265.0;274.0;-4.0;426.0;-466.0;-14.0
73.0;-197.0;452.0;-406.0;431.0;-178;-210.0;-547.0;-521.0;-22.0;-163.0;-191.0;237.0
32.0;-198.0;443.0;-410.0;299.0;-178;-207.0;-555.0;-515.0;-42.0;-154.0;-183.0;235.0
30.0;-223.0;446.0;-408.0;486.0;-178;-204.0;-551.0;-517.0;-33.0;-152.0;-182.0;234.0
95.0;-228.0;460.0;-411.0;399.0;-178;-202.0;-541.0;-527.0;-9.0;-147.0;-211.0;227.0
113.0;-217.0;479.0;-409.0;322.0;-178;-192.0;-528.0;-524.0;-7.0;-138.0;-264.0;223.0
91.0;-198.0;504.0;-411.0;379.0;-179;-174.0;-509.0;-520.0;-2.0;-119.0;-270.0;133.0
53.0;-192.0;526.0;-411.0;471.0;-178;-142.0;-486.0;-497.0;-16.0;-91.0;-325.0;141.0
43.0;-208.0;556.0;-409.0;619.0;-178;-94.0;-446.0;-467.0;-50.0;-50.0;-393.0;77.0
3.0;-190.0;586.0;-406.0;708.0;-178;-38.0;-397.0;-428.0;-37.0;3.0;-389.0;192.0
-50.0;-197.0;614.0;-403.0;792.0;-178;30.0;-338.0;-371.0;17.0;74.0;-441.0;160.0
39.0;-173.0;629.0;-407.0;860.0;?;104.0;-270.0;-305.0;15.0;150.0;-407.0;128.0
116.0;-267.0;635.0;-409.0;732.0;?;185.0;-194.0;-220.0;-18.0;226.0;-300.0;136.0
144.0;-236.0;630.0;-411.0;643.0;?;258.0;-125.0;-145.0;-50.0;281.0;-366.0;121.0
248.0;-210.0;610.0;-415.0;518.0;?;323.0;-56.0;?;-23.0;322.0;-463.0;82.0
193.0;-258.0;583.0;-419.0;415.0;?;390.0;11.0;?;-38.0;352.0;-513.0;31.0
68.0;-196.0;547.0;-426.0;419.0;-178;450.0;78.0;?;-40.0;370.0;-453.0;111.0
173.0;-211.0;497.0;-430.0;413.0;-178;507.0;149.0;?;-10.0;376.0;-482.0;89.0
190.0;-163.0;447.0;-433.0;380.0;-179;556.0;209.0;?;-22.0;377.0;-470.0;105.0
244.0;-135.0;400.0;?;417.0;-178;595.0;263.0;?;-30.0;383.0;-433.0;-110.0
218.0;-185.0;345.0;?;333.0;-178;632.0;295.0;?;-15.0;384.0;-429.0;-21.0
256.0;-274.0;303.0;?;327.0;-178;662.0;307.0;305.0;-14.0;376.0;-480.0;40.0
202.0;-123.0;266.0;?;359.0;-178;685.0;303.0;317.0;-16.0;367.0;-332.0;38.0
196.0;-156.0;236.0;?;312.0;-178;701.0;290.0;307.0;-13.0;365.0;-184.0;16.0
242.0;-249.0;222.0;?;287.0;-179;711.0;279.0;300.0;-20.0;370.0;-205.0;48.0
253.0;-216.0;215.0;?;309.0;-178;714.0;270.0;292.0;-22.0;366.0;-209.0;77.0
166.0;-166.0;214.0;?;312.0;-178;717.0;269.0;293.0;-10.0;370.0;-276.0;71.0
185.0;-178.0;218.0;?;273.0;-178;712.0;270.0;286.0;-30.0;379.0;-381.0;-44.0
126.0;-225.0;226.0;-438.0;276.0;-178;712.0;266.0;279.0;-48.0;388.0;-388.0;-68.0
119.0;?;237.0;-440.0;355.0;-178;716.0;260.0;277.0;-51.0;402.0;-434.0;6.0
206.0;?;249.0;-432.0;409.0;-178;714.0;254.0;270.0;-31.0;416.0;-403.0;28.0
226.0;?;259.0;-429.0;471.0;-178;710.0;250.0;265.0;-40.0;422.0;-342.0;28.0
?;?;271.0;-424.0;554.0;-178;703.0;241.0;255.0;-10.0;435.0;-350.0;26.0
?;?;481.0;-401.0;62.0;-178;-219.0;-530.0;-523.0;-1.0;-185.0;-245.0;230.0
?;?;474.0;-402.0;329.0;-178;-209.0;-535.0;-508.0;-11.0;-170.0;-234.0;244.0
?;?;474.0;-406.0;346.0;-178;-208.0;-538.0;-510.0;-2.0;-166.0;-245.0;227.0
?;-187.0;482.0;-407.0;431.0;-179;-205.0;-533.0;-526.0;26.0;-168.0;-247.0;187.0
?;-204.0;488.0;-410.0;371.0;-178;-201.0;-526.0;-526.0;-13.0;?;-262.0;222.0
?;-218.0;503.0;-407.0;352.0;-178;-189.0;-515.0;-528.0;2.0;?;-303.0;166.0
?;-176.0;517.0;-406.0;413.0;-178;-173.0;-502.0;-513.0;-3.0;?;-302.0;144.0
?;-178.0;535.0;-403.0;491.0;-178;-144.0;-482.0;-498.0;-21.0;?;-356.0;215.0
119.0;-181.0;562.0;-404.0;586.0;-178;-107.0;-449.0;-479.0;-10.0;?;-407.0;261.0
82.0;-187.0;594.0;-402.0;655.0;-179;-55.0;-408.0;-438.0;21.0;?;-424.0;77.0
26.0;-208.0;616.0;-397.0;779.0;-178;9.0;-354.0;-390.0;38.0;?;-451.0;172.0
100.0;-212.0;639.0;-394.0;772.0;-178;88.0;-290.0;-322.0;-5.0;?;-451.0;114.0
114.0;?;651.0;-395.0;751.0;-178;166.0;?;-256.0;-20.0;?;-501.0;147.0
144.0;?;653.0;-390.0;?;-178;241.0;?;-194.0;-3.0;232.0;-514.0;102.0
163.0;?;643.0;-398.0;?;-178;317.0;?;-117.0;10.0;281.0;-567.0;101.0
186.0;?;614.0;-403.0;?;-178;390.0;?;-36.0;17.0;324.0;-554.0;63.0
232.0;?;567.0;-409.0;?;-178;462.0;?;49.0;30.0;354.0;-533.0;9.0
