InertialMeasurementUnit BACK Quaternion1;InertialMeasurementUnit BACK Quaternion3;Accelerometer RKN_ accZ;InertialMeasurementUnit R-SHOE EuX;Accelerometer RKN_ accX;Accelerometer RUA_ accX;InertialMeasurementUnit BACK Quaternion2;InertialMeasurementUnit BACK Quaternion4;InertialMeasurementUnit RLA accY;Accelerometer RWR accZ;InertialMeasurementUnit L-SHOE EuY
769.0;618.0;2.0;182;-136.0;456.0;-71.0;-149.0;539.0;776.0;-61
743.0;638.0;-87.0;92;-336.0;644.0;-195.0;50.0;346.0;442.0;-40
748.0;581.0;-9.0;134;-166.0;272.0;-206.0;244.0;238.0;562.0;-41
788.0;611.0;223.0;165;-252.0;411.0;-73.0;-28.0;144.0;838.0;-4
784.0;610.0;150.0;116;-258.0;250.0;-108.0;49.0;307.0;633.0;-41
738.0;633.0;41.0;150;-81.0;321.0;78.0;-219.0;453.0;591.0;-39
800.0;591.0;136.0;35;-75.0;280.0;-65.0;-77.0;327.0;547.0;-40
768.0;629.0;204.0;84;-101.0;220.0;-115.0;49.0;375.0;470.0;-64
797.0;550.0;626.0;-103;-274.0;158.0;42.0;-246.0;722.0;425.0;-52
809.0;574.0;-72.0;34;-30.0;320.0;-116.0;48.0;332.0;616.0;-37
806.0;577.0;-56.0;15;-48.0;430.0;-122.0;46.0;328.0;576.0;-37
805.0;577.0;-45.0;7;-24.0;350.0;-132.0;41.0;434.0;718.0;-41
767.0;599.0;-257.0;-119;-397.0;2.0;-203.0;112.0;305.0;481.0;-85
811.0;559.0;-36.0;13;-89.0;421.0;-161.0;60.0;331.0;557.0;-42
808.0;559.0;19.0;13;-21.0;286.0;-174.0;67.0;378.0;580.0;-42
772.0;614.0;119.0;-152;-107.0;190.0;-165.0;22.0;490.0;476.0;-81
804.0;558.0;45.0;14;5.0;301.0;-190.0;82.0;384.0;644.0;-42
765.0;531.0;-466.0;141;69.0;202.0;-246.0;269.0;188.0;601.0;-22
697.0;466.0;-210.0;12;-191.0;125.0;-400.0;370.0;339.0;436.0;-34
733.0;571.0;6.0;142;385.0;118.0;-286.0;234.0;229.0;426.0;-70
816.0;549.0;-90.0;-102;-72.0;490.0;-48.0;-175.0;411.0;773.0;-42
819.0;546.0;-44.0;-99;-14.0;279.0;-41.0;-170.0;378.0;725.0;-36
771.0;618.0;-94.0;-152;-533.0;170.0;-152.0;11.0;435.0;495.0;-67
767.0;608.0;61.0;-151;-40.0;360.0;-196.0;53.0;332.0;725.0;-83
764.0;636.0;-66.0;-98;-174.0;330.0;-90.0;60.0;240.0;694.0;-30
785.0;581.0;-49.0;114;-70.0;83.0;-194.0;93.0;325.0;392.0;-43
795.0;593.0;-62.0;178;-198.0;295.0;-130.0;27.0;301.0;537.0;-74
793.0;593.0;-88.0;168;-283.0;321.0;-134.0;35.0;312.0;524.0;-56
730.0;600.0;-905.0;92;-59.0;140.0;-232.0;233.0;146.0;550.0;-37
795.0;587.0;-155.0;210;-133.0;273.0;-144.0;58.0;312.0;672.0;-57
794.0;584.0;-75.0;-33;-55.0;331.0;-150.0;70.0;299.0;668.0;-50
850.0;496.0;-120.0;154;-117.0;664.0;-125.0;-126.0;475.0;839.0;-43
859.0;480.0;-79.0;155;-82.0;241.0;-112.0;-141.0;290.0;631.0;-43
860.0;478.0;-129.0;156;-93.0;246.0;-110.0;-140.0;205.0;686.0;-43
862.0;476.0;-20.0;156;-42.0;283.0;-106.0;-136.0;195.0;641.0;-43
863.0;475.0;-101.0;156;37.0;304.0;-103.0;-134.0;265.0;642.0;-43
864.0;475.0;-66.0;157;40.0;280.0;-100.0;-131.0;301.0;653.0;-43
865.0;475.0;-24.0;158;-192.0;290.0;-98.0;-128.0;211.0;635.0;-43
760.0;587.0;-36.0;176;-264.0;425.0;-222.0;170.0;232.0;785.0;-30
749.0;587.0;-131.0;176;-351.0;284.0;-249.0;178.0;280.0;616.0;-45
746.0;625.0;-2.0;-122;34.0;426.0;77.0;-215.0;296.0;759.0;-32
737.0;592.0;-38.0;-171;-151.0;604.0;-252.0;205.0;288.0;806.0;-57
774.0;619.0;117.0;158;-266.0;508.0;-133.0;15.0;645.0;717.0;-40
753.0;613.0;-41.0;81;-133.0;794.0;-216.0;101.0;322.0;597.0;-45
804.0;589.0;-36.0;88;22.0;445.0;-69.0;-54.0;523.0;767.0;-45
804.0;588.0;-68.0;88;18.0;435.0;-70.0;-53.0;514.0;739.0;-45
804.0;588.0;-41.0;88;43.0;436.0;-70.0;-53.0;497.0;751.0;-45
804.0;588.0;-17.0;88;32.0;452.0;-71.0;-53.0;498.0;776.0;-45
804.0;588.0;-40.0;88;31.0;465.0;-71.0;-52.0;496.0;755.0;-45
804.0;588.0;1.0;88;38.0;469.0;-72.0;-52.0;495.0;744.0;-45
803.0;589.0;81.0;88;25.0;464.0;-81.0;-48.0;514.0;756.0;-45
802.0;589.0;56.0;88;8.0;469.0;-81.0;-48.0;506.0;764.0;-45
802.0;590.0;79.0;88;22.0;484.0;-82.0;-49.0;512.0;772.0;-45
801.0;591.0;71.0;88;22.0;475.0;-83.0;-49.0;515.0;772.0;-45
801.0;590.0;73.0;88;17.0;488.0;-83.0;-49.0;513.0;785.0;-45
801.0;591.0;84.0;88;12.0;479.0;-84.0;-49.0;515.0;723.0;-45
801.0;591.0;80.0;88;-1.0;478.0;-84.0;-49.0;519.0;767.0;-45
801.0;591.0;81.0;88;18.0;488.0;-85.0;-49.0;516.0;766.0;-45
801.0;591.0;73.0;88;10.0;475.0;-85.0;-49.0;517.0;737.0;-45
801.0;591.0;111.0;88;37.0;483.0;-85.0;-50.0;523.0;749.0;-45
