InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
209.0;-920.0;608.0;237.0;121.0;721.0
226.0;-886.0;499.0;315.0;50.0;742.0
212.0;-878.0;497.0;294.0;53.0;744.0
409.0;-901.0;615.0;385.0;-39.0;665.0
316.0;-943.0;454.0;404.0;-227.0;752.0
275.0;-967.0;484.0;395.0;-86.0;809.0
603.0;-776.0;525.0;289.0;-110.0;853.0
238.0;-885.0;501.0;329.0;55.0;725.0
334.0;-966.0;576.0;249.0;-18.0;722.0
296.0;-926.0;562.0;285.0;22.0;743.0
222.0;-883.0;502.0;333.0;55.0;733.0
253.0;-781.0;556.0;303.0;31.0;697.0
156.0;-824.0;481.0;313.0;46.0;686.0
206.0;-854.0;502.0;330.0;3.0;710.0
284.0;-954.0;435.0;500.0;-181.0;745.0
245.0;-872.0;515.0;440.0;-99.0;775.0
258.0;-871.0;517.0;375.0;-108.0;763.0
92.0;-818.0;575.0;181.0;18.0;766.0
177.0;-1005.0;827.0;367.0;-47.0;849.0
189.0;-825.0;471.0;292.0;142.0;844.0
166.0;-891.0;491.0;325.0;60.0;793.0
190.0;-956.0;479.0;355.0;-72.0;791.0
221.0;-915.0;441.0;488.0;-63.0;494.0
287.0;-1010.0;510.0;340.0;-76.0;774.0
251.0;-972.0;475.0;359.0;-5.0;802.0
245.0;-902.0;474.0;369.0;18.0;808.0
210.0;-856.0;473.0;327.0;-12.0;790.0
253.0;-840.0;389.0;322.0;-13.0;785.0
230.0;-921.0;481.0;404.0;22.0;828.0
87.0;-942.0;516.0;327.0;-50.0;931.0
236.0;-924.0;483.0;415.0;10.0;834.0
188.0;-953.0;508.0;443.0;105.0;899.0
183.0;-1007.0;381.0;213.0;59.0;724.0
37.0;-987.0;371.0;452.0;46.0;919.0
206.0;-948.0;533.0;385.0;3.0;813.0
141.0;-833.0;585.0;317.0;6.0;947.0
145.0;-877.0;516.0;375.0;67.0;1019.0
228.0;-1005.0;509.0;446.0;-60.0;973.0
210.0;-998.0;508.0;393.0;-118.0;867.0
148.0;-906.0;498.0;378.0;-72.0;896.0
254.0;-904.0;471.0;408.0;6.0;809.0
285.0;-903.0;482.0;421.0;6.0;903.0
253.0;-928.0;471.0;325.0;98.0;752.0
242.0;-927.0;516.0;476.0;40.0;1112.0
213.0;-886.0;455.0;411.0;-75.0;847.0
268.0;-902.0;465.0;330.0;-8.0;863.0
279.0;-889.0;497.0;357.0;-72.0;794.0
158.0;-981.0;497.0;357.0;9.0;853.0
427.0;-881.0;515.0;303.0;-78.0;683.0
483.0;-846.0;486.0;351.0;-304.0;570.0
157.0;-975.0;495.0;344.0;20.0;831.0
280.0;-883.0;497.0;358.0;-87.0;754.0
284.0;-885.0;498.0;335.0;-42.0;753.0
277.0;-890.0;498.0;334.0;-12.0;742.0
