Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit RUA gyroY;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
951.0;-156;-3;-8.0;-20;-1;5.0;240.0;251;73;390;-20
970.0;-158;4;-11.0;10;-1;-16.0;251.0;295;73;382;10
989.0;-158;4;-9.0;5;2;-22.0;247.0;294;63;382;5
990.0;-158;-8;-28.0;3;3;-22.0;251.0;284;70;381;3
994.0;-158;-3;20.0;6;-1;1.0;241.0;289;68;385;6
989.0;-158;2;22.0;-22;-3;0.0;241.0;295;64;386;-22
978.0;-158;6;17.0;1;0;-16.0;230.0;296;73;380;1
968.0;-158;6;12.0;-31;-3;-30.0;239.0;297;70;383;-31
990.0;-158;0;31.0;7;-3;-1.0;241.0;293;66;384;7
990.0;-158;-5;10.0;-11;0;-8.0;241.0;288;71;382;-11
998.0;-158;2;23.0;9;-6;-49.0;230.0;298;65;386;9
988.0;-158;6;-17.0;10;1;-8.0;249.0;294;67;382;10
771.0;-156;-87;306.0;-26;-274;-162.0;344.0;229;121;396;-26
971.0;-160;0;-56.0;17;3;-21.0;233.0;285;71;404;17
1007.0;-160;3;-9.0;-16;4;-43.0;246.0;289;73;402;-16
996.0;-160;-3;-17.0;11;-1;-28.0;253.0;286;66;410;11
978.0;-160;-7;2.0;29;5;-33.0;244.0;281;67;405;29
989.0;-160;-4;-40.0;20;8;-29.0;227.0;281;75;398;20
990.0;-160;0;-3.0;-16;4;-17.0;252.0;285;68;405;-16
970.0;-160;7;-28.0;5;6;-22.0;251.0;291;73;400;5
989.0;-160;0;-11.0;23;1;-27.0;247.0;303;70;414;23
989.0;-160;-7;-24.0;-7;-5;-39.0;212.0;296;70;426;-7
979.0;-160;3;25.0;1;3;-47.0;247.0;290;70;403;1
