Accelerometer RKN_ accY;InertialMeasurementUnit R-SHOE EuZ;InertialMeasurementUnit R-SHOE Nav_Ax;InertialMeasurementUnit RLA gyroY;InertialMeasurementUnit R-SHOE AngVelBodyFrameZ;InertialMeasurementUnit R-SHOE Nav_Ay;InertialMeasurementUnit RUA gyroY;Accelerometer RKN^ accX;InertialMeasurementUnit R-SHOE Body_Ax;InertialMeasurementUnit R-SHOE Nav_Az;InertialMeasurementUnit R-SHOE Body_Ay;InertialMeasurementUnit R-SHOE AngVelNavFrameZ
988.0;-158;-2;-18.0;6;3;5.0;257.0;288;69;381;6
832.0;-131;2;32.0;-16;-1;-518.0;452.0;211;135;837;-16
1032.0;-163;-247;188.0;-516;-105;95.0;319.0;278;89;394;-516
1006.0;-157;-1;-94.0;22;0;-15.0;136.0;330;62;387;22
1000.0;-157;-4;-15.0;28;5;15.0;188.0;327;64;388;28
990.0;-157;-3;-59.0;7;1;21.0;133.0;329;70;386;7
976.0;-157;-2;-41.0;-11;-3;36.0;160.0;333;66;387;-11
992.0;-157;1;-66.0;-5;-4;34.0;129.0;338;64;387;-5
971.0;-157;-1;-56.0;36;-6;54.0;176.0;338;66;388;36
1008.0;-157;-1;-47.0;43;-5;42.0;152.0;338;66;388;43
991.0;-155;-5;19.0;2;6;-88.0;334.0;248;80;439;2
992.0;-155;-5;9.0;-7;5;-68.0;334.0;248;80;439;-7
979.0;-163;11;106.0;19;0;204.0;176.0;269;65;374;19
971.0;-155;-6;54.0;11;7;-79.0;359.0;246;81;438;11
952.0;-155;-3;53.0;-27;3;-90.0;360.0;250;79;440;-27
1053.0;-155;-13;-268.0;1;31;-88.0;136.0;264;67;389;1
929.0;-155;-21;-169.0;-13;45;-30.0;245.0;262;70;392;-13
942.0;-155;-37;-185.0;33;63;22.0;246.0;255;67;394;33
953.0;-155;3;56.0;-75;0;-96.0;273.0;256;78;443;-75
968.0;-155;-1;68.0;-31;2;-119.0;339.0;252;80;441;-31
951.0;-155;-5;75.0;15;7;-114.0;347.0;248;80;436;15
964.0;-155;-6;98.0;23;11;-107.0;328.0;247;81;432;23
972.0;-155;-2;130.0;6;0;-162.0;340.0;251;77;443;6
978.0;-155;-4;129.0;-21;11;-243.0;336.0;250;79;432;-21
908.0;-153;2;81.0;17;-145;-434.0;312.0;280;77;394;17
997.0;-157;3;-75.0;1;3;23.0;136.0;336;65;383;1
976.0;-157;0;-66.0;-2;6;16.0;124.0;335;62;386;-2
993.0;-177;-7;214.0;-42;29;-829.0;215.0;323;70;406;-42
967.0;-159;-2;196.0;-11;-12;-31.0;160.0;328;58;379;-11
990.0;-159;8;34.0;-24;-11;66.0;175.0;336;60;377;-24
974.0;-159;-3;-90.0;-21;1;37.0;204.0;322;65;368;-21
976.0;-157;0;-35.0;33;2;-22.0;96.0;333;73;382;33
955.0;-155;0;82.0;-23;-1;-372.0;269.0;258;78;446;-23
958.0;-163;21;171.0;-23;-33;-253.0;256.0;273;69;393;-23
971.0;-155;1;135.0;-17;-1;-184.0;280.0;263;74;444;-17
974.0;-156;-7;144.0;37;-5;-71.0;199.0;241;101;598;37
978.0;-155;-2;174.0;9;-2;-87.0;300.0;259;79;442;9
987.0;-163;107;-398.0;740;-14;3.0;209.0;332;124;323;740
991.0;-155;-120;260.0;1225;-92;249.0;243.0;406;105;568;1225
1000.0;-157;8;-21.0;41;8;-14.0;128.0;332;77;370;41
988.0;-157;6;-22.0;5;2;1.0;129.0;340;66;379;5
968.0;-155;2;19.0;-9;-1;-130.0;261.0;259;66;395;-9
973.0;-155;1;81.0;-32;2;-77.0;284.0;254;75;387;-32
973.0;-156;0;103.0;27;4;-153.0;262.0;251;77;383;27
984.0;-156;-2;-211.0;17;2;44.0;266.0;249;71;387;17
990.0;-156;-2;-196.0;0;4;67.0;269.0;250;69;386;0
997.0;-157;0;23.0;6;-2;35.0;145.0;343;60;389;6
959.0;-154;-31;393.0;-870;230;183.0;355.0;501;32;383;-870
989.0;-159;7;153.0;-123;7;56.0;232.0;332;60;369;-123
988.0;-149;-36;14.0;-242;27;112.0;50.0;448;62;476;-242
979.0;-159;-1;-24.0;-66;2;77.0;70.0;314;68;371;-66
952.0;-159;-11;-19.0;-29;6;65.0;152.0;303;68;371;-29
967.0;-158;510;-401.0;50;-112;154.0;254.0;707;-209;226;50
879.0;-163;36;-32.0;-3;-17;233.0;144.0;263;69;378;-3
979.0;-156;2;-122.0;-10;4;21.0;261.0;255;62;389;-10
961.0;-156;-3;-108.0;-1;6;-33.0;281.0;248;65;387;-1
970.0;-156;-3;-78.0;-18;5;-16.0;269.0;246;71;385;-18
971.0;-156;4;-132.0;-22;0;4.0;259.0;254;66;391;-22
978.0;-156;-9;-137.0;-25;2;-30.0;238.0;242;65;390;-25
973.0;-156;-5;-230.0;-27;1;71.0;253.0;245;65;390;-27
970.0;-156;1;-379.0;12;0;144.0;241.0;286;69;381;12
993.0;-158;-2;-14.0;-29;1;-50.0;165.0;309;70;393;-29
996.0;-163;21;-548.0;-36;5;345.0;207.0;264;60;393;-36
985.0;-156;-10;-159.0;-25;2;-1.0;265.0;246;74;384;-25
1015.0;-166;7;98.0;-43;-19;-129.0;-135.0;220;72;405;-43
1002.0;-160;-4;66.0;-8;6;-69.0;190.0;307;79;357;-8
1082.0;-160;-2;1.0;-24;1;-77.0;302.0;309;76;362;-24
993.0;-156;-2;-200.0;-20;-1;19.0;268.0;253;71;387;-20
970.0;-160;-24;-751.0;-22;3;98.0;224.0;278;72;407;-22
944.0;-163;0;-275.0;-27;1;-253.0;70.0;259;71;378;-27
985.0;-159;-11;16.0;-20;-7;-112.0;308.0;307;69;376;-20
971.0;-159;1;63.0;-41;-4;-55.0;194.0;315;72;368;-41
978.0;-160;1;-6.0;-3;-8;158.0;224.0;313;60;375;-3
975.0;-160;3;-4.0;-7;1;94.0;244.0;312;64;366;-7
937.0;-159;-2;-38.0;-13;-2;99.0;285.0;310;65;373;-13
937.0;-159;-3;97.0;1;-1;31.0;156.0;310;62;373;1
935.0;-159;2;54.0;-15;2;-24.0;310.0;311;67;369;-15
961.0;-153;-44;-178.0;-103;26;-329.0;110.0;301;80;400;-103
1005.0;-156;-2;32.0;-16;-3;-37.0;281.0;251;67;393;-16
1002.0;-156;-3;19.0;-23;-1;-27.0;278.0;251;71;391;-23
951.0;-156;-3;-8.0;-20;-1;5.0;240.0;251;73;390;-20
925.0;-156;-3;15.0;-23;-1;-8.0;276.0;251;70;391;-23
980.0;-158;2;-2.0;-23;-9;-52.0;149.0;319;68;394;-23
942.0;-159;-5;248.0;36;-2;56.0;269.0;305;68;370;36
976.0;-159;-1;133.0;16;1;82.0;99.0;305;66;368;16
954.0;-156;-2;3.0;-25;-1;-39.0;337.0;251;73;389;-25
955.0;-159;53;-90.0;-3;-29;125.0;222.0;370;69;387;-3
979.0;-158;-1;-5.0;-38;5;-45.0;147.0;305;70;392;-38
991.0;-156;-4;30.0;-33;2;-82.0;199.0;253;62;391;-33
976.0;-158;-4;-49.0;-19;-1;43.0;140.0;306;73;395;-19
987.0;-158;3;0.0;-13;-14;29.0;136.0;322;67;397;-13
949.0;-159;1;32.0;-1;2;14.0;104.0;314;71;362;-1
943.0;-159;6;-36.0;1;-1;-46.0;238.0;321;66;365;1
963.0;-159;-5;32.0;-26;4;-70.0;238.0;292;76;367;-26
984.0;-159;-7;173.0;-20;-2;-82.0;399.0;294;61;380;-20
1185.0;-160;-152;228.0;-32;-86;-10.0;404.0;257;87;410;-32
1001.0;-159;-11;222.0;-22;10;-55.0;204.0;284;72;366;-22
974.0;-156;-1;256.0;-40;-2;24.0;161.0;283;63;375;-40
996.0;-159;5;183.0;-6;10;34.0;140.0;294;81;357;-6
980.0;-158;6;106.0;-20;4;-24.0;124.0;309;68;388;-20
988.0;-159;0;87.0;25;-5;52.0;96.0;299;60;378;25
951.0;-159;1;24.0;12;3;3.0;268.0;301;58;371;12
984.0;-159;0;41.0;-21;1;43.0;233.0;296;73;368;-21
975.0;-159;-9;33.0;30;-1;75.0;295.0;288;74;371;30
998.0;-159;-1;62.0;44;-4;117.0;307.0;299;63;376;44
986.0;-159;-5;104.0;26;-13;114.0;263.0;296;67;383;26
985.0;-159;-3;109.0;68;-6;125.0;231.0;298;67;377;68
977.0;-159;0;-8.0;-4;-1;-48.0;257.0;296;65;376;-4
948.0;-159;2;-145.0;-32;1;-96.0;240.0;297;65;374;-32
858.0;-165;79;35.0;20;-23;26.0;310.0;281;56;443;20
989.0;-150;-276;-206.0;-39;136;-20.0;344.0;156;140;418;-39
555.0;-163;-26;-40.0;-520;115;-62.0;498.0;304;99;363;-520
957.0;-108;-645;-44.0;84;-21;179.0;162.0;159;330;573;84
556.0;-158;-81;-424.0;-147;26;-202.0;275.0;226;93;337;-147
989.0;-159;18;-223.0;26;-3;-140.0;10.0;351;63;401;26
979.0;-159;3;-141.0;-24;2;-86.0;204.0;301;68;374;-24
979.0;-159;4;-116.0;-10;4;0.0;181.0;297;74;367;-10
997.0;-159;0;-51.0;-40;2;4.0;161.0;296;66;371;-40
983.0;-159;8;-47.0;-39;3;-6.0;151.0;303;67;369;-39
970.0;-159;9;30.0;-21;5;-25.0;140.0;303;70;365;-21
989.0;-159;0;-161.0;35;0;25.0;199.0;304;68;367;35
979.0;-159;3;-8.0;13;-1;-53.0;250.0;306;72;362;13
970.0;-159;-2;-35.0;12;-5;-79.0;232.0;303;68;368;12
988.0;-159;6;-93.0;-7;0;-102.0;203.0;310;67;364;-7
980.0;-159;3;-9.0;10;5;-95.0;218.0;307;66;362;10
980.0;-159;2;118.0;-21;-1;-41.0;215.0;304;69;366;-21
996.0;-159;0;214.0;16;1;-16.0;211.0;304;69;365;16
971.0;-159;2;152.0;26;-2;68.0;192.0;309;70;366;26
989.0;-159;5;165.0;12;0;112.0;191.0;312;67;365;12
978.0;-159;1;162.0;30;1;73.0;191.0;311;65;365;30
989.0;-159;2;174.0;-13;-4;115.0;199.0;310;69;367;-13
979.0;-161;28;217.0;-49;-49;89.0;177.0;326;56;381;-49
984.0;-159;2;136.0;6;4;126.0;191.0;309;64;362;6
986.0;-159;3;117.0;7;-6;156.0;232.0;310;66;370;7
911.0;-157;5;-2.0;-22;2;-50.0;377.0;237;66;449;-22
904.0;-157;11;8.0;-91;7;-42.0;342.0;229;64;451;-91
798.0;-162;5;71.0;-131;-26;-104.0;332.0;250;57;454;-131
961.0;-162;24;246.0;83;2;288.0;-122.0;271;65;372;83
997.0;-165;31;14.0;-17;-29;112.0;325.0;256;78;378;-17
1006.0;-165;62;-9.0;-46;-55;16.0;383.0;297;81;366;-46
857.0;-157;8;146.0;-56;4;-109.0;310.0;233;64;450;-56
974.0;-158;42;165.0;-209;63;-160.0;394.0;307;66;360;-209
970.0;-159;-1;180.0;30;-5;-65.0;209.0;305;69;370;30
978.0;-159;2;87.0;-2;-5;-91.0;248.0;308;70;369;-2
969.0;-159;-1;-25.0;22;2;-104.0;214.0;305;69;364;22
982.0;-159;4;-85.0;52;-1;-79.0;227.0;311;67;366;52
970.0;-159;9;-82.0;18;1;-42.0;216.0;316;66;363;18
962.0;-159;1;-135.0;0;5;-59.0;201.0;307;68;361;0
972.0;-159;0;-111.0;-6;1;-47.0;192.0;307;66;365;-6
985.0;-159;-3;-131.0;-10;-2;-5.0;191.0;306;63;370;-10
986.0;-159;-6;-65.0;5;1;-14.0;202.0;302;64;367;5
994.0;-159;3;-24.0;-24;0;23.0;212.0;310;66;366;-24
979.0;-160;-1;-10.0;-32;-3;-20.0;161.0;299;69;378;-32
978.0;-160;-1;15.0;-32;-2;-36.0;166.0;298;68;378;-32
979.0;-159;2;-3.0;-19;3;-32.0;184.0;300;70;371;-19
970.0;-159;1;6.0;14;4;-18.0;157.0;301;68;370;14
980.0;-159;0;16.0;-26;0;-10.0;156.0;300;65;375;-26
977.0;-160;-1;8.0;-20;4;-53.0;179.0;298;65;372;-20
983.0;-160;-1;-34.0;-21;2;-43.0;179.0;297;68;372;-21
985.0;-159;2;-78.0;-12;-1;-54.0;168.0;298;73;371;-12
979.0;-159;-3;61.0;27;-1;11.0;181.0;304;69;369;27
981.0;-159;2;25.0;20;-1;10.0;192.0;312;69;368;20
964.0;-159;-2;68.0;48;-2;-10.0;198.0;311;63;372;48
971.0;-159;-7;-4.0;-18;1;2.0;182.0;307;65;370;-18
982.0;-159;1;-2.0;2;-2;8.0;206.0;314;73;366;2
969.0;-159;3;-39.0;46;-1;20.0;207.0;318;69;366;46
978.0;-159;3;-65.0;5;2;-6.0;180.0;319;67;363;5
979.0;-159;7;-83.0;10;1;4.0;178.0;320;78;358;10
989.0;-159;5;-98.0;30;-2;6.0;194.0;321;74;362;30
979.0;-159;3;-72.0;2;-2;-6.0;189.0;322;64;367;2
984.0;-159;1;-20.0;-7;0;3.0;202.0;318;71;363;-7
964.0;-159;3;-88.0;-33;-4;-3.0;211.0;321;65;368;-33
976.0;-159;2;-41.0;-71;1;-27.0;222.0;316;74;361;-71
1012.0;-163;-13;83.0;-257;-32;-82.0;294.0;262;49;394;-257
976.0;-159;-1;31.0;-54;-4;36.0;221.0;318;57;374;-54
993.0;-159;-3;24.0;-9;5;-2.0;218.0;311;69;363;-9
974.0;-159;6;3.0;-2;0;-26.0;200.0;309;67;367;-2
986.0;-159;5;26.0;-5;-2;-27.0;191.0;308;68;369;-5
983.0;-159;-2;-35.0;-11;-2;-25.0;203.0;302;66;372;-11
972.0;-159;-2;9.0;-23;-3;-48.0;221.0;302;65;374;-23
963.0;-159;-5;-1.0;-33;-2;-34.0;222.0;299;66;374;-33
965.0;-159;0;39.0;3;2;-29.0;217.0;302;66;369;3
