InertialMeasurementUnit BACK accZ;InertialMeasurementUnit BACK accX;InertialMeasurementUnit BACK magneticX;Accelerometer HIP accZ;Accelerometer HIP accX;Accelerometer BACK accY
88.0;-1092.0;533.0;319.0;-35.0;855.0
-25.0;-901.0;524.0;339.0;-43.0;932.0
204.0;-758.0;519.0;347.0;-10.0;985.0
37.0;-896.0;517.0;286.0;3.0;955.0
93.0;-946.0;517.0;316.0;-9.0;991.0
84.0;-1018.0;515.0;288.0;-4.0;1018.0
46.0;-976.0;513.0;291.0;3.0;921.0
63.0;-973.0;511.0;294.0;-42.0;874.0
93.0;-1017.0;510.0;303.0;-105.0;869.0
-18.0;-983.0;503.0;402.0;58.0;953.0
-31.0;-980.0;504.0;416.0;63.0;997.0
-12.0;-961.0;506.0;390.0;76.0;969.0
-31.0;-957.0;505.0;386.0;66.0;973.0
-50.0;-995.0;504.0;384.0;29.0;989.0
-39.0;-994.0;505.0;428.0;44.0;992.0
-52.0;-958.0;506.0;419.0;56.0;1059.0
-60.0;-995.0;506.0;430.0;77.0;1012.0
-50.0;-964.0;508.0;411.0;61.0;1069.0
-64.0;-996.0;510.0;364.0;68.0;1025.0
-22.0;-1028.0;511.0;396.0;58.0;1018.0
-100.0;-1059.0;516.0;425.0;28.0;986.0
-110.0;-1011.0;515.0;399.0;19.0;970.0
-54.0;-999.0;518.0;402.0;25.0;987.0
15.0;-967.0;518.0;372.0;53.0;1026.0
44.0;-966.0;522.0;344.0;22.0;1000.0
67.0;-985.0;522.0;351.0;-19.0;969.0
108.0;-1016.0;524.0;374.0;-39.0;882.0
47.0;-1006.0;523.0;346.0;-47.0;893.0
71.0;-967.0;521.0;299.0;-40.0;823.0
131.0;-935.0;523.0;329.0;-48.0;887.0
105.0;-970.0;518.0;340.0;11.0;850.0
145.0;-878.0;?;307.0;-37.0;950.0
72.0;-923.0;?;314.0;-29.0;959.0
108.0;-907.0;?;334.0;-10.0;989.0
76.0;-965.0;?;371.0;8.0;967.0
44.0;-1006.0;?;375.0;10.0;960.0
11.0;-996.0;?;302.0;31.0;931.0
59.0;-1000.0;?;321.0;34.0;886.0
73.0;-992.0;?;338.0;-5.0;894.0
58.0;-961.0;?;316.0;-40.0;924.0
94.0;-948.0;?;336.0;-51.0;919.0
3.0;-976.0;?;418.0;65.0;953.0
4.0;-977.0;?;406.0;25.0;954.0
9.0;-977.0;?;413.0;10.0;976.0
4.0;-970.0;?;425.0;37.0;980.0
-1.0;-963.0;505.0;425.0;59.0;972.0
-12.0;-980.0;504.0;422.0;38.0;951.0
-20.0;-977.0;503.0;409.0;39.0;1008.0
-14.0;-967.0;?;448.0;56.0;1074.0
-37.0;-966.0;?;428.0;79.0;1074.0
-59.0;-985.0;?;426.0;48.0;1053.0
-72.0;-1021.0;?;?;39.0;1017.0
-73.0;-1010.0;?;?;38.0;?
-137.0;-1010.0;?;?;40.0;?
-84.0;-1008.0;?;?;33.0;?
-62.0;-1025.0;?;?;27.0;?
-17.0;-989.0;?;?;31.0;?
23.0;-973.0;?;?;3.0;?
89.0;-985.0;?;379.0;-53.0;?
115.0;-1032.0;531.0;381.0;-52.0;?
117.0;-972.0;534.0;378.0;-39.0;?
127.0;-1041.0;534.0;334.0;-49.0;?
206.0;-948.0;533.0;385.0;3.0;813.0
153.0;-898.0;529.0;338.0;1.0;859.0
125.0;-922.0;526.0;339.0;-60.0;906.0
74.0;-906.0;523.0;355.0;-16.0;934.0
105.0;-927.0;523.0;368.0;-5.0;915.0
89.0;-970.0;520.0;354.0;-44.0;906.0
77.0;-980.0;518.0;347.0;-55.0;893.0
62.0;-955.0;517.0;348.0;-32.0;882.0
87.0;-942.0;516.0;327.0;-50.0;931.0
120.0;-955.0;515.0;349.0;-38.0;901.0
50.0;-976.0;506.0;395.0;0.0;961.0
48.0;-980.0;505.0;428.0;11.0;894.0
47.0;-973.0;502.0;431.0;21.0;983.0
10.0;-986.0;500.0;415.0;15.0;1085.0
16.0;-921.0;498.0;410.0;-12.0;994.0
-39.0;-950.0;499.0;411.0;7.0;1018.0
15.0;-1043.0;499.0;420.0;13.0;995.0
25.0;-1026.0;502.0;404.0;41.0;1033.0
41.0;-1008.0;501.0;417.0;22.0;1020.0
27.0;-1015.0;501.0;391.0;14.0;1001.0
32.0;-1035.0;499.0;418.0;34.0;980.0
29.0;-1027.0;501.0;407.0;80.0;915.0
7.0;-1021.0;502.0;395.0;29.0;921.0
59.0;-989.0;503.0;426.0;-10.0;923.0
105.0;-1004.0;506.0;389.0;-26.0;907.0
97.0;-970.0;505.0;365.0;-39.0;860.0
121.0;-975.0;508.0;375.0;-49.0;810.0
167.0;-974.0;509.0;413.0;-92.0;819.0
186.0;-966.0;511.0;390.0;-166.0;796.0
194.0;-951.0;511.0;450.0;-234.0;814.0
216.0;-948.0;516.0;463.0;-223.0;874.0
222.0;-947.0;517.0;499.0;-165.0;875.0
228.0;-946.0;517.0;487.0;-134.0;868.0
216.0;-998.0;516.0;532.0;-99.0;837.0
209.0;-1013.0;515.0;493.0;-96.0;844.0
193.0;-1003.0;513.0;433.0;-78.0;851.0
177.0;-979.0;510.0;466.0;-99.0;865.0
171.0;-958.0;507.0;489.0;-148.0;870.0
176.0;-960.0;507.0;447.0;-160.0;886.0
174.0;-975.0;503.0;462.0;-135.0;874.0
175.0;-992.0;503.0;459.0;-93.0;911.0
165.0;-987.0;500.0;428.0;-61.0;887.0
157.0;-989.0;500.0;385.0;-68.0;906.0
166.0;-992.0;495.0;416.0;-140.0;937.0
151.0;-989.0;497.0;411.0;-188.0;882.0
154.0;-1004.0;498.0;397.0;-196.0;882.0
162.0;-1031.0;500.0;?;-164.0;832.0
174.0;-1017.0;502.0;?;-107.0;810.0
180.0;-993.0;504.0;?;-107.0;843.0
198.0;-967.0;505.0;?;-205.0;832.0
207.0;-947.0;508.0;?;-252.0;824.0
217.0;-951.0;510.0;375.0;-212.0;817.0
225.0;-960.0;511.0;381.0;-218.0;814.0
234.0;-965.0;517.0;421.0;-171.0;817.0
237.0;-963.0;518.0;411.0;-148.0;842.0
230.0;-953.0;518.0;398.0;-140.0;840.0
227.0;-956.0;?;384.0;-136.0;847.0
225.0;-962.0;?;413.0;-138.0;866.0
217.0;-972.0;?;387.0;-137.0;853.0
206.0;-971.0;?;385.0;-147.0;837.0
202.0;-977.0;?;372.0;-139.0;766.0
197.0;-976.0;?;391.0;-155.0;813.0
194.0;-950.0;?;306.0;-134.0;503.0
203.0;-918.0;?;286.0;-107.0;944.0
216.0;-890.0;?;409.0;-98.0;1394.0
190.0;-803.0;?;287.0;-174.0;788.0
238.0;-657.0;?;317.0;-182.0;1082.0
70.0;-1609.0;?;363.0;-14.0;821.0
169.0;-1096.0;?;281.0;50.0;849.0
221.0;-1049.0;?;197.0;-194.0;868.0
133.0;-1023.0;496.0;282.0;-204.0;938.0
138.0;-849.0;497.0;394.0;-138.0;914.0
148.0;-906.0;498.0;378.0;-72.0;896.0
218.0;-1038.0;497.0;429.0;-24.0;895.0
157.0;-1045.0;500.0;361.0;19.0;886.0
133.0;-1001.0;499.0;354.0;-39.0;916.0
128.0;-971.0;499.0;385.0;-80.0;924.0
151.0;-959.0;495.0;385.0;-87.0;929.0
146.0;-992.0;500.0;369.0;-64.0;910.0
137.0;-1006.0;498.0;355.0;-64.0;930.0
141.0;-1006.0;500.0;365.0;-80.0;909.0
135.0;-988.0;500.0;361.0;-79.0;938.0
144.0;-983.0;504.0;346.0;-72.0;933.0
152.0;-992.0;503.0;359.0;-54.0;947.0
146.0;-1004.0;505.0;411.0;-64.0;988.0
137.0;-1009.0;508.0;429.0;-44.0;990.0
140.0;-1010.0;510.0;410.0;-40.0;952.0
128.0;-1026.0;513.0;404.0;-30.0;915.0
140.0;-1073.0;516.0;385.0;-44.0;914.0
136.0;-1053.0;520.0;329.0;-73.0;914.0
140.0;-998.0;521.0;?;-125.0;903.0
152.0;-970.0;524.0;?;-118.0;892.0
178.0;-968.0;526.0;?;-130.0;873.0
195.0;-983.0;529.0;?;-169.0;843.0
199.0;-976.0;531.0;?;-178.0;807.0
208.0;-964.0;533.0;?;-171.0;839.0
211.0;-954.0;535.0;?;-120.0;830.0
211.0;-923.0;533.0;397.0;-81.0;861.0
242.0;-941.0;531.0;408.0;-104.0;863.0
252.0;-954.0;531.0;401.0;-163.0;840.0
238.0;-962.0;528.0;378.0;-192.0;859.0
237.0;-980.0;527.0;365.0;-171.0;847.0
227.0;-968.0;527.0;376.0;-173.0;850.0
221.0;-964.0;527.0;341.0;-188.0;820.0
223.0;-959.0;526.0;377.0;-209.0;847.0
236.0;-969.0;529.0;385.0;-172.0;848.0
227.0;-969.0;528.0;394.0;-158.0;857.0
222.0;-964.0;528.0;376.0;-129.0;846.0
218.0;-968.0;527.0;405.0;-137.0;850.0
210.0;-968.0;528.0;391.0;-138.0;858.0
203.0;-969.0;?;353.0;-158.0;840.0
205.0;-969.0;?;381.0;-129.0;870.0
208.0;-969.0;?;350.0;-136.0;821.0
192.0;-959.0;?;379.0;-108.0;822.0
182.0;-955.0;?;233.0;-92.0;595.0
178.0;-955.0;?;405.0;-80.0;1274.0
171.0;-914.0;?;194.0;-305.0;968.0
190.0;-764.0;?;111.0;-168.0;768.0
308.0;-1190.0;?;218.0;64.0;768.0
224.0;-1226.0;?;74.0;37.0;675.0
203.0;-984.0;?;156.0;-98.0;883.0
181.0;-940.0;?;29.0;-308.0;901.0
204.0;-774.0;?;321.0;-388.0;823.0
249.0;-918.0;?;369.0;-164.0;783.0
300.0;-1091.0;?;283.0;-39.0;772.0
259.0;-986.0;?;233.0;-71.0;846.0
218.0;-926.0;?;280.0;-124.0;834.0
227.0;-904.0;?;306.0;-144.0;821.0
234.0;-929.0;?;328.0;-109.0;829.0
236.0;-963.0;?;315.0;-103.0;831.0
217.0;-963.0;?;265.0;-140.0;848.0
207.0;-955.0;?;285.0;?;876.0
198.0;-953.0;?;324.0;?;888.0
?;-963.0;?;346.0;?;881.0
?;-977.0;528.0;318.0;?;911.0
168.0;-991.0;530.0;359.0;?;914.0
152.0;-993.0;529.0;387.0;?;942.0
146.0;-996.0;529.0;360.0;?;939.0
150.0;-1018.0;529.0;383.0;?;891.0
134.0;-1020.0;529.0;394.0;?;872.0
142.0;-1034.0;526.0;395.0;?;854.0
124.0;-991.0;527.0;375.0;-176.0;858.0
139.0;-982.0;527.0;385.0;-156.0;853.0
162.0;-969.0;528.0;370.0;-142.0;842.0
170.0;-960.0;527.0;355.0;-118.0;843.0
183.0;-957.0;526.0;384.0;-147.0;868.0
199.0;-958.0;527.0;372.0;-176.0;856.0
213.0;-965.0;525.0;362.0;-202.0;871.0
208.0;-976.0;525.0;391.0;-178.0;869.0
209.0;-982.0;525.0;380.0;-154.0;859.0
205.0;-990.0;524.0;389.0;-191.0;831.0
214.0;-987.0;525.0;372.0;-173.0;837.0
204.0;-982.0;526.0;409.0;-150.0;829.0
230.0;-970.0;528.0;426.0;-182.0;839.0
247.0;-964.0;529.0;384.0;-187.0;847.0
239.0;-960.0;533.0;422.0;-186.0;835.0
245.0;-965.0;535.0;415.0;-177.0;843.0
245.0;-961.0;536.0;425.0;-186.0;838.0
248.0;-963.0;537.0;395.0;-193.0;819.0
247.0;-968.0;538.0;419.0;-153.0;831.0
243.0;-969.0;538.0;?;-150.0;838.0
240.0;-953.0;539.0;?;-154.0;797.0
261.0;-962.0;543.0;?;-111.0;846.0
254.0;-964.0;541.0;?;-93.0;753.0
247.0;-956.0;545.0;?;-164.0;832.0
222.0;-951.0;547.0;?;-190.0;576.0
215.0;-928.0;550.0;?;-112.0;1226.0
221.0;-901.0;551.0;?;-205.0;778.0
217.0;-806.0;549.0;?;-370.0;910.0
314.0;-905.0;549.0;225.0;-79.0;768.0
298.0;-1294.0;547.0;231.0;31.0;769.0
259.0;-942.0;545.0;179.0;-40.0;743.0
282.0;-969.0;546.0;110.0;-186.0;850.0
242.0;-883.0;550.0;152.0;-324.0;856.0
?;-849.0;551.0;283.0;-326.0;820.0
?;-958.0;553.0;369.0;-164.0;769.0
?;-1044.0;556.0;279.0;-127.0;754.0
?;-967.0;558.0;240.0;-103.0;806.0
?;-916.0;560.0;274.0;-114.0;813.0
?;-898.0;559.0;354.0;-114.0;821.0
?;-921.0;560.0;361.0;-107.0;810.0
?;-953.0;557.0;337.0;-115.0;810.0
?;-953.0;559.0;300.0;-138.0;818.0
?;-951.0;555.0;327.0;-124.0;838.0
?;-940.0;553.0;363.0;-114.0;859.0
?;-950.0;553.0;350.0;-84.0;898.0
?;-953.0;552.0;334.0;-99.0;899.0
211.0;-972.0;549.0;349.0;-127.0;885.0
198.0;-986.0;550.0;392.0;-136.0;897.0
183.0;-992.0;548.0;395.0;-137.0;910.0
178.0;-991.0;548.0;395.0;-129.0;921.0
171.0;-995.0;548.0;407.0;-157.0;884.0
170.0;-1008.0;549.0;414.0;-132.0;873.0
182.0;-1022.0;548.0;420.0;-100.0;?
186.0;-1015.0;548.0;416.0;-65.0;?
175.0;-980.0;547.0;401.0;-108.0;?
183.0;-979.0;548.0;443.0;-123.0;?
192.0;-978.0;547.0;400.0;-103.0;?
187.0;-959.0;548.0;377.0;-124.0;?
181.0;-978.0;547.0;344.0;-180.0;?
193.0;-965.0;548.0;367.0;-208.0;?
207.0;-957.0;550.0;?;-240.0;?
207.0;-973.0;547.0;?;-213.0;?
?;-967.0;547.0;?;-130.0;?
?;-964.0;548.0;423.0;-72.0;808.0
?;-954.0;551.0;435.0;-96.0;833.0
?;-955.0;552.0;434.0;-168.0;844.0
?;-957.0;553.0;416.0;-209.0;834.0
257.0;-971.0;549.0;407.0;-225.0;814.0
265.0;-972.0;551.0;383.0;-215.0;825.0
274.0;-977.0;552.0;422.0;-197.0;836.0
249.0;-958.0;552.0;378.0;-176.0;831.0
259.0;-955.0;552.0;400.0;-170.0;828.0
275.0;-959.0;554.0;399.0;-163.0;813.0
259.0;-972.0;554.0;430.0;-199.0;800.0
249.0;-959.0;556.0;461.0;-183.0;819.0
253.0;-947.0;558.0;448.0;-173.0;831.0
240.0;-945.0;557.0;431.0;?;809.0
229.0;-958.0;557.0;431.0;?;827.0
223.0;-955.0;557.0;378.0;?;718.0
215.0;-940.0;557.0;299.0;?;660.0
211.0;?;560.0;348.0;?;933.0
242.0;?;559.0;354.0;?;943.0
229.0;-752.0;560.0;189.0;?;874.0
373.0;-1044.0;561.0;247.0;?;736.0
331.0;-1076.0;562.0;250.0;?;738.0
293.0;-980.0;559.0;146.0;?;793.0
233.0;-966.0;559.0;207.0;-215.0;861.0
