InertialMeasurementUnit RLA Quaternion3;InertialMeasurementUnit RUA Quaternion3;InertialMeasurementUnit LUA Quaternion2;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit LUA Quaternion4;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
31.0;-175.0;161.0;-377.0;80.0;521.0;-150.0;47.0
-439.0;-340.0;4.0;-368.0;176.0;114.0;81.0;-278.0
-441.0;-340.0;3.0;-371.0;178.0;110.0;83.0;-277.0
-361.0;-356.0;0.0;-335.0;169.0;191.0;118.0;-333.0
-353.0;-367.0;1.0;-332.0;167.0;217.0;119.0;-335.0
-345.0;-377.0;-1.0;-330.0;168.0;241.0;122.0;-328.0
-337.0;-387.0;-6.0;-330.0;172.0;262.0;125.0;-316.0
-332.0;-399.0;-11.0;-333.0;175.0;279.0;130.0;-303.0
-327.0;-410.0;-14.0;-335.0;177.0;291.0;132.0;-290.0
-485.0;-425.0;-51.0;-449.0;251.0;526.0;179.0;-252.0
-248.0;-493.0;-97.0;-383.0;364.0;484.0;43.0;-176.0
-281.0;-422.0;-15.0;-345.0;182.0;311.0;122.0;-243.0
-266.0;-422.0;-14.0;-349.0;183.0;311.0;116.0;-231.0
-257.0;-421.0;-12.0;-352.0;184.0;309.0;111.0;-225.0
-322.0;-248.0;-27.0;-582.0;315.0;342.0;64.0;-210.0
-269.0;-424.0;-8.0;-359.0;185.0;297.0;104.0;-228.0
-276.0;-426.0;-6.0;-360.0;184.0;294.0;102.0;-234.0
-277.0;-426.0;-5.0;-360.0;183.0;292.0;100.0;-235.0
-276.0;-341.0;-81.0;-330.0;75.0;296.0;200.0;-45.0
-282.0;-333.0;-79.0;-323.0;68.0;286.0;193.0;-57.0
-292.0;-326.0;-78.0;-316.0;62.0;274.0;188.0;-67.0
-306.0;-319.0;-78.0;-311.0;57.0;261.0;184.0;-78.0
-319.0;-316.0;-78.0;-304.0;53.0;250.0;182.0;-88.0
-332.0;-313.0;-79.0;-298.0;50.0;238.0;180.0;-99.0
-344.0;-309.0;-81.0;-293.0;47.0;224.0;181.0;-108.0
-234.0;-299.0;-332.0;-466.0;415.0;135.0;424.0;-454.0
-164.0;-459.0;35.0;-339.0;157.0;241.0;44.0;-260.0
-145.0;-394.0;49.0;-235.0;64.0;314.0;59.0;-268.0
-132.0;-388.0;52.0;-232.0;60.0;320.0;53.0;-264.0
-110.0;-380.0;55.0;-232.0;59.0;323.0;48.0;-262.0
-99.0;-380.0;58.0;-236.0;60.0;327.0;42.0;-271.0
-114.0;-386.0;63.0;-241.0;61.0;329.0;35.0;-279.0
-120.0;-389.0;68.0;-247.0;64.0;335.0;27.0;-284.0
