Accelerometer LUA^ accZ;Accelerometer LUA_ accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LUA accY;InertialMeasurementUnit LUA accZ;Accelerometer LWR accY;InertialMeasurementUnit R-SHOE Body_Az;Accelerometer LH accY;Accelerometer RKN^ accY;InertialMeasurementUnit LLA accX;InertialMeasurementUnit LLA accY;Accelerometer LH accX
285.0;389.0;930.0;-249.0;171.0;849.0;799;996.0;1018.0;-937.0;-352.0;341.0
254.0;454.0;911.0;-277.0;215.0;854.0;782;1006.0;1003.0;-916.0;-379.0;379.0
170.0;397.0;944.0;-166.0;388.0;870.0;799;1017.0;1027.0;-938.0;-329.0;398.0
200.0;300.0;861.0;-174.0;461.0;1026.0;840;1196.0;1015.0;-901.0;-310.0;445.0
111.0;411.0;1069.0;-155.0;330.0;957.0;807;1156.0;940.0;-952.0;-304.0;547.0
168.0;436.0;970.0;-195.0;352.0;877.0;795;1020.0;1013.0;-928.0;-339.0;405.0
184.0;399.0;961.0;-198.0;353.0;864.0;792;1014.0;1010.0;-928.0;-339.0;366.0
193.0;381.0;956.0;-198.0;357.0;851.0;795;1007.0;1031.0;-939.0;-351.0;331.0
152.0;394.0;956.0;-186.0;353.0;851.0;793;993.0;1003.0;-947.0;-353.0;290.0
153.0;391.0;914.0;-200.0;342.0;852.0;801;987.0;1015.0;-937.0;-355.0;288.0
156.0;386.0;903.0;-195.0;346.0;833.0;797;1004.0;1027.0;-945.0;-349.0;311.0
254.0;369.0;829.0;-12.0;52.0;756.0;833;967.0;991.0;-988.0;-250.0;361.0
188.0;347.0;989.0;-229.0;131.0;908.0;814;1020.0;1021.0;-922.0;-386.0;207.0
140.0;314.0;996.0;-246.0;222.0;884.0;791;1001.0;1120.0;-984.0;-404.0;241.0
205.0;357.0;959.0;-181.0;171.0;858.0;800;995.0;1033.0;-950.0;-337.0;329.0
213.0;340.0;969.0;-181.0;171.0;888.0;798;986.0;1029.0;-950.0;-336.0;336.0
65.0;408.0;783.0;-73.0;427.0;763.0;684;900.0;1048.0;-1113.0;-372.0;226.0
203.0;332.0;963.0;-179.0;175.0;892.0;797;984.0;1031.0;-950.0;-333.0;325.0
224.0;343.0;954.0;-183.0;168.0;856.0;797;959.0;1007.0;-952.0;-283.0;378.0
215.0;367.0;951.0;-152.0;179.0;860.0;807;981.0;998.0;-970.0;-290.0;339.0
206.0;368.0;953.0;-150.0;189.0;832.0;809;992.0;1003.0;-966.0;-329.0;325.0
127.0;476.0;839.0;-28.0;70.0;758.0;803;941.0;996.0;-910.0;-384.0;244.0
169.0;379.0;905.0;-194.0;229.0;851.0;811;957.0;982.0;-958.0;-323.0;270.0
211.0;340.0;801.0;-49.0;264.0;741.0;800;986.0;1078.0;-1291.0;-321.0;-108.0
214.0;346.0;956.0;-194.0;178.0;878.0;802;991.0;1037.0;-943.0;-369.0;287.0
239.0;365.0;965.0;-136.0;203.0;889.0;809;987.0;1001.0;-941.0;-324.0;304.0
159.0;405.0;905.0;-177.0;351.0;863.0;797;999.0;1026.0;-948.0;-333.0;337.0
157.0;427.0;931.0;-175.0;360.0;858.0;799;1001.0;1013.0;-948.0;-317.0;355.0
241.0;369.0;961.0;-206.0;245.0;868.0;807;997.0;1033.0;-951.0;-308.0;340.0
