Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit LLA accZ;Accelerometer LH accZ;Accelerometer LWR accZ
-77.0;-494.0;74.0;-3.0;465.0
-2.0;-339.0;-31.0;123.0;371.0
-22.0;-351.0;-7.0;73.0;364.0
-16.0;-342.0;-12.0;58.0;377.0
-8.0;-326.0;-2.0;58.0;354.0
-39.0;-360.0;-38.0;117.0;297.0
-2.0;-310.0;-6.0;29.0;364.0
29.0;-331.0;14.0;27.0;296.0
-12.0;-335.0;-22.0;63.0;362.0
19.0;-300.0;-11.0;43.0;353.0
-461.0;-486.0;-133.0;16.0;325.0
18.0;-303.0;-23.0;46.0;337.0
-1.0;-349.0;-1.0;33.0;414.0
-40.0;-359.0;-27.0;74.0;347.0
-93.0;-358.0;-39.0;141.0;365.0
0.0;-347.0;-3.0;121.0;358.0
-53.0;-486.0;-26.0;-150.0;680.0
0.0;-340.0;-4.0;93.0;394.0
-3.0;-344.0;-1.0;7.0;416.0
-26.0;-370.0;-18.0;73.0;337.0
159.0;-386.0;-44.0;141.0;431.0
24.0;-331.0;15.0;29.0;380.0
61.0;-302.0;38.0;50.0;426.0
13.0;-358.0;-11.0;74.0;426.0
31.0;-385.0;-18.0;74.0;405.0
25.0;-321.0;35.0;67.0;459.0
16.0;-306.0;16.0;59.0;440.0
-9.0;-291.0;9.0;39.0;414.0
8.0;-311.0;11.0;30.0;424.0
-24.0;-291.0;27.0;35.0;392.0
-22.0;-336.0;51.0;95.0;345.0
-28.0;-338.0;11.0;101.0;365.0
-17.0;-364.0;2.0;101.0;363.0
9.0;-376.0;-20.0;131.0;391.0
24.0;-384.0;-20.0;87.0;422.0
26.0;-390.0;-32.0;70.0;430.0
-15.0;-341.0;-47.0;76.0;404.0
-23.0;-330.0;-2.0;128.0;373.0
-15.0;-349.0;-11.0;118.0;408.0
-10.0;-363.0;-26.0;90.0;409.0
25.0;-316.0;-6.0;47.0;417.0
8.0;-361.0;-21.0;107.0;395.0
-57.0;-421.0;-118.0;99.0;390.0
13.0;-421.0;-83.0;27.0;452.0
-69.0;-644.0;-123.0;18.0;670.0
10.0;-364.0;-29.0;48.0;447.0
-19.0;-356.0;-20.0;37.0;441.0
-10.0;-360.0;-13.0;19.0;457.0
-5.0;-357.0;-23.0;134.0;371.0
-54.0;-316.0;-59.0;13.0;405.0
-25.0;-343.0;-23.0;131.0;384.0
-42.0;-308.0;-15.0;71.0;396.0
-12.0;-290.0;-22.0;40.0;371.0
-326.0;-92.0;-232.0;-142.0;174.0
16.0;-291.0;-52.0;80.0;383.0
-7.0;-321.0;89.0;-51.0;483.0
62.0;-327.0;51.0;-61.0;478.0
-12.0;-370.0;-13.0;141.0;403.0
8.0;-379.0;-3.0;122.0;394.0
21.0;-359.0;12.0;137.0;383.0
41.0;-338.0;25.0;59.0;432.0
54.0;-343.0;-54.0;84.0;383.0
54.0;-322.0;32.0;33.0;424.0
59.0;-329.0;42.0;67.0;442.0
16.0;-344.0;-17.0;44.0;381.0
44.0;-345.0;79.0;56.0;345.0
-34.0;-273.0;-7.0;33.0;332.0
-42.0;-292.0;-15.0;37.0;423.0
45.0;-200.0;-30.0;50.0;375.0
39.0;-305.0;5.0;66.0;413.0
86.0;-282.0;41.0;110.0;352.0
-1.0;-355.0;-8.0;61.0;423.0
56.0;-353.0;81.0;17.0;491.0
47.0;-372.0;46.0;71.0;452.0
0.0;-354.0;-51.0;135.0;413.0
18.0;-329.0;-56.0;45.0;333.0
5.0;-350.0;-48.0;72.0;372.0
-19.0;-363.0;-44.0;81.0;364.0
62.0;-355.0;48.0;70.0;430.0
-19.0;-343.0;-14.0;89.0;408.0
41.0;-327.0;1.0;149.0;369.0
21.0;-258.0;-54.0;-26.0;424.0
83.0;-310.0;-105.0;47.0;412.0
-28.0;-356.0;-43.0;83.0;386.0
-58.0;-370.0;-31.0;69.0;371.0
-168.0;-345.0;-67.0;51.0;252.0
58.0;-429.0;-7.0;50.0;426.0
-20.0;-386.0;42.0;76.0;516.0
-9.0;-366.0;38.0;64.0;413.0
40.0;-325.0;-52.0;67.0;381.0
33.0;-344.0;6.0;91.0;458.0
39.0;-332.0;0.0;46.0;494.0
34.0;-332.0;-45.0;31.0;389.0
26.0;-337.0;-44.0;32.0;430.0
0.0;-359.0;-39.0;24.0;425.0
53.0;-436.0;-59.0;-99.0;424.0
25.0;-360.0;-38.0;41.0;463.0
5.0;-359.0;-21.0;13.0;439.0
-16.0;-348.0;-7.0;52.0;424.0
-20.0;-338.0;-5.0;72.0;420.0
-1.0;-329.0;-1.0;51.0;399.0
29.0;-333.0;4.0;31.0;391.0
39.0;-325.0;7.0;81.0;379.0
-10.0;-350.0;-22.0;23.0;443.0
-14.0;-324.0;-21.0;21.0;386.0
-35.0;-312.0;-15.0;29.0;414.0
23.0;-312.0;-16.0;83.0;344.0
-21.0;-331.0;-4.0;3.0;443.0
-9.0;-347.0;8.0;29.0;439.0
-10.0;-344.0;12.0;59.0;421.0
10.0;-361.0;15.0;76.0;414.0
18.0;-363.0;12.0;101.0;430.0
-37.0;-408.0;-19.0;87.0;404.0
-12.0;-398.0;-39.0;63.0;427.0
-7.0;-386.0;-36.0;75.0;424.0
-1.0;-368.0;13.0;81.0;403.0
66.0;-355.0;52.0;60.0;436.0
-1.0;-361.0;7.0;91.0;362.0
-13.0;-376.0;-1.0;104.0;373.0
137.0;-404.0;-24.0;-124.0;514.0
-20.0;-349.0;-10.0;133.0;364.0
17.0;-404.0;-9.0;111.0;428.0
-16.0;-333.0;-21.0;118.0;344.0
36.0;-374.0;10.0;24.0;486.0
16.0;-279.0;40.0;53.0;397.0
35.0;-318.0;45.0;80.0;393.0
38.0;-321.0;36.0;99.0;414.0
2.0;-338.0;12.0;139.0;404.0
-3.0;-342.0;12.0;178.0;447.0
-12.0;-345.0;8.0;85.0;400.0
56.0;-388.0;14.0;109.0;364.0
13.0;-380.0;-1.0;111.0;428.0
18.0;-392.0;0.0;91.0;455.0
0.0;-384.0;3.0;91.0;432.0
1.0;-401.0;-8.0;90.0;452.0
-2.0;-399.0;-13.0;92.0;452.0
5.0;-386.0;-13.0;85.0;448.0
32.0;-390.0;-10.0;70.0;456.0
-5.0;-312.0;-27.0;87.0;345.0
8.0;-302.0;-26.0;63.0;335.0
4.0;-320.0;-26.0;56.0;365.0
-10.0;-312.0;-27.0;53.0;366.0
-1.0;-319.0;-20.0;80.0;372.0
42.0;-291.0;8.0;57.0;364.0
14.0;-292.0;2.0;19.0;392.0
54.0;-283.0;-1.0;52.0;404.0
-1.0;-332.0;-12.0;98.0;423.0
11.0;-374.0;-10.0;99.0;454.0
10.0;-388.0;-9.0;111.0;435.0
-10.0;-282.0;-16.0;67.0;430.0
-10.0;-314.0;-17.0;65.0;369.0
8.0;-281.0;15.0;89.0;409.0
0.0;-315.0;-13.0;52.0;398.0
-11.0;-307.0;-3.0;59.0;376.0
47.0;-346.0;14.0;14.0;386.0
5.0;-380.0;-6.0;123.0;434.0
-18.0;-319.0;1.0;81.0;395.0
10.0;-303.0;44.0;29.0;391.0
48.0;-328.0;31.0;42.0;455.0
-11.0;-320.0;1.0;72.0;376.0
-21.0;-353.0;10.0;80.0;374.0
-17.0;-340.0;4.0;74.0;386.0
55.0;-351.0;3.0;122.0;383.0
-9.0;-371.0;-13.0;145.0;403.0
10.0;-319.0;41.0;41.0;353.0
-24.0;-353.0;-4.0;106.0;389.0
-28.0;-369.0;-5.0;114.0;395.0
-32.0;-362.0;-2.0;122.0;394.0
36.0;-348.0;-5.0;8.0;381.0
-13.0;-359.0;-10.0;124.0;377.0
5.0;-370.0;-17.0;113.0;365.0
32.0;-413.0;15.0;175.0;412.0
19.0;-378.0;-33.0;121.0;399.0
20.0;-363.0;-25.0;80.0;403.0
0.0;-336.0;-18.0;111.0;366.0
-9.0;-360.0;-24.0;129.0;365.0
-10.0;-360.0;-29.0;129.0;356.0
-10.0;-346.0;-29.0;91.0;364.0
59.0;-321.0;-6.0;82.0;374.0
-2.0;-336.0;-26.0;91.0;375.0
-17.0;-324.0;-22.0;81.0;375.0
1.0;-321.0;-24.0;82.0;368.0
0.0;-317.0;-15.0;89.0;371.0
-2.0;-302.0;-14.0;69.0;368.0
43.0;-302.0;30.0;46.0;388.0
-12.0;-315.0;-15.0;74.0;366.0
-10.0;-323.0;-12.0;82.0;349.0
36.0;-302.0;28.0;52.0;412.0
45.0;-310.0;48.0;72.0;434.0
