InertialMeasurementUnit L-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameY;InertialMeasurementUnit L-SHOE Body_Ax;InertialMeasurementUnit BACK gyroZ;InertialMeasurementUnit L-SHOE Nav_Ax
3;3;24;6.0;4
-8;-8;14;-4.0;-1
0;0;14;6.0;-4
-8;-8;13;15.0;3
-14;-14;13;-14.0;0
-3;-3;12;0.0;-4
6;6;17;-3.0;-2
-6;-6;14;13.0;-6
-14;-14;8;-13.0;1
3;3;17;3.0;2
-6;-6;12;13.0;-5
-1;-1;17;3.0;0
-18;-18;11;3.0;3
-2;-2;13;10.0;1
-13;-13;14;13.0;-5
-7;-7;7;5.0;-1
-6;-6;7;-6.0;-1
-4;-4;5;-8.0;3
-2;-2;5;7.0;0
-7;-7;11;0.0;-3
-17;-17;10;0.0;-6
-2;-2;5;-4.0;0
-2;-2;5;-2.0;0
-2;-2;5;-7.0;0
-2;-2;5;9.0;0
1;1;22;-9.0;12
-6;-6;11;15.0;-3
-2;-2;5;8.0;0
0;0;12;7.0;-7
-7;-7;9;4.0;-4
-14;-14;9;6.0;5
-2;-2;12;8.0;-1
-4;-4;13;-10.0;-6
0;0;10;11.0;-4
-2;-2;5;11.0;0
-9;-9;17;17.0;-9
-15;-15;17;-11.0;3
-5;-5;18;-13.0;2
-2;-2;5;4.0;0
-2;-2;5;6.0;0
-2;-2;5;10.0;0
-3;-3;6;6.0;0
0;0;5;-2.0;0
-5;-5;6;4.0;-1
-10;-10;17;-9.0;2
-6;-6;7;10.0;-1
-8;-8;17;-13.0;2
-7;-7;22;8.0;-1
-13;-13;22;11.0;-1
-2;-2;24;6.0;-1
-10;-10;23;17.0;-1
-11;-11;12;-9.0;-3
-2;-2;22;9.0;0
0;0;22;-5.0;-5
1;1;9;-8.0;1
-2;-2;20;-2.0;3
-17;-17;14;-12.0;-2
-14;-14;16;-13.0;2
4;4;17;4.0;1
-10;-10;17;-10.0;2
-6;-6;16;-14.0;0
-16;-16;12;-2.0;-4
3;3;16;-6.0;1
-7;-7;17;-14.0;-1
-11;-11;17;3.0;-2
-17;-17;11;12.0;-2
-5;-5;16;-16.0;2
-7;-7;16;-18.0;2
4;4;14;6.0;1
-8;-8;12;-14.0;-4
3;3;13;8.0;-3
1;1;17;17.0;1
-2;-2;23;16.0;-5
-5;-5;23;0.0;-6
-4;-4;19;19.0;2
