InertialMeasurementUnit R-SHOE AngVelNavFrameX;InertialMeasurementUnit L-SHOE AngVelBodyFrameX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE Body_Ay;InertialMeasurementUnit L-SHOE AngVelNavFrameY;InertialMeasurementUnit R-SHOE AngVelBodyFrameY
-44;-14;22;638;14;-44
5;2;21;645;-2;5
15;0;22;643;0;15
-21;19;21;639;-19;-21
-17;15;21;645;-15;-17
2;15;21;644;-15;2
-12;-4;21;642;4;-12
0;-46;19;644;46;0
25;-23;18;644;23;25
-7;-37;21;646;37;-7
-19;-21;19;650;21;-19
-29;22;20;645;-22;-29
-22;23;20;644;-23;-22
4;33;19;650;?;4
25;-2;21;644;?;25
-10;-33;13;647;?;-10
-10;-17;15;650;?;?
22;-10;26;642;?;?
-2;-4;25;641;?;?
-41;27;19;647;?;-41
-45;10;14;650;?;-45
-22;-23;12;648;?;-22
8;5;14;649;?;8
19;-1;14;649;?;19
26;-5;20;644;?;26
-5;8;22;645;?;-5
-25;-32;18;646;32;-25
21;-22;25;642;22;21
-4;14;21;643;-14;-4
-33;-4;23;?;4;-33
-5;-7;29;?;7;-5
6;-1;20;644;1;6
4;0;22;641;0;4
-15;20;25;639;-20;-15
8;9;17;643;-9;8
27;7;19;644;-7;27
-4;42;21;644;-42;-4
23;14;16;645;-14;23
57;-21;15;648;21;57
1;12;16;648;-12;1
-28;25;20;642;-25;-28
-32;11;15;642;-11;-32
21;6;19;641;-6;21
-23;0;21;638;0;-23
-67;0;18;643;0;-67
-31;-11;23;645;11;-31
-18;-3;23;639;3;-18
33;-1;18;640;1;33
45;4;21;645;-4;45
-23;10;19;644;-10;-23
-6;0;14;650;0;-6
12;10;15;650;-10;12
-9;4;18;640;-4;-9
34;6;19;639;-6;34
14;28;19;643;-28;14
-36;18;21;640;-18;-36
3;0;25;638;0;3
16;6;24;641;-6;16
25;18;22;638;-18;25
34;-11;19;644;11;34
8;-53;20;643;53;?
6;-26;18;639;26;?
15;10;16;646;-10;?
12;7;?;642;-7;?
-19;31;?;647;-31;?
-19;12;?;648;-12;?
-4;-28;?;641;28;-4
8;-21;?;644;21;8
43;-13;?;641;13;43
34;12;?;644;-12;34
15;-7;?;647;7;15
11;7;?;641;-7;11
43;2;?;645;-2;43
33;-1;?;643;1;33
19;0;?;645;0;19
45;0;17;648;0;45
-5;0;21;645;0;-5
-13;-6;20;641;6;-13
-6;-10;20;645;10;-6
21;24;19;648;-24;21
27;14;19;645;-14;27
-34;-32;21;642;32;-34
-44;-3;18;644;3;-44
-117;-21;24;642;21;-117
-47;-20;19;643;20;-47
68;1;21;638;-1;68
-27;1;14;648;-1;-27
-40;-27;16;640;27;-40
-26;-13;25;631;13;-26
-41;142;-23;670;-142;-41
43;-31;40;591;31;43
53;273;-33;652;-273;53
-19;346;-188;694;-346;-19
-9;-933;11;348;933;-9
6;-1565;99;255;1565;6
14;-1731;-19;453;1731;14
28;-2134;14;525;2134;28
9;-2010;105;667;2010;9
-6;-1877;48;732;1877;-6
-40;-1530;71;762;1530;-40
-75;-785;270;833;785;-75
-66;-671;133;385;671;-66
-57;-742;-3;94;742;-57
-70;-502;85;262;502;-70
-56;-519;-1;249;519;-56
-29;-513;-8;241;513;-29
-31;-402;56;183;402;-31
-34;-330;16;161;330;-34
4;-248;105;136;248;4
40;-106;144;68;106;40
46;-2;18;186;2;46
30;-79;26;186;79;30
21;-34;68;97;34;21
71;63;54;117;-63;71
76;108;73;119;-108;76
30;111;47;140;-111;30
25;181;85;139;-181;25
24;259;118;123;-259;24
47;83;-53;299;-83;47
55;496;261;-38;-496;55
44;61;-115;341;-61;44
44;540;270;-49;-540;44
26;960;428;-113;-960;?
4;828;324;82;-828;?
-21;4975;3042;-2890;-4975;?
33;3266;-709;1070;-3266;?
40;-1480;-3745;4699;1480;?
-41;233;481;436;-233;?
-1;327;162;530;-327;?
78;-58;-316;1049;58;?
82;385;345;440;-385;?
41;-106;-206;914;106;?
9;-48;131;522;48;?
4;-29;-3;675;29;?
-4;-27;4;667;27;?
-5;0;58;619;0;?
-12;6;8;672;-6;?
-12;10;25;646;-10;-12
9;10;30;641;-10;9
-10;24;14;655;-24;-10
-54;0;11;666;0;-54
