Accelerometer LUA_ accX;Accelerometer LWR accX;InertialMeasurementUnit LLA accZ;Accelerometer LH accZ;Accelerometer LWR accZ
20.0;-363.0;-25.0;80.0;403.0
9.0;-322.0;22.0;54.0;431.0
66.0;-370.0;19.0;102.0;431.0
-16.0;-342.0;-12.0;58.0;377.0
18.0;-335.0;-20.0;14.0;442.0
41.0;-354.0;8.0;131.0;381.0
32.0;-320.0;-9.0;72.0;402.0
21.0;-312.0;2.0;53.0;376.0
31.0;-318.0;5.0;35.0;401.0
4.0;-328.0;8.0;50.0;398.0
-12.0;-351.0;11.0;90.0;405.0
8.0;-360.0;24.0;64.0;394.0
-1.0;-349.0;-1.0;33.0;414.0
22.0;-331.0;7.0;45.0;384.0
18.0;-313.0;19.0;63.0;414.0
12.0;-326.0;23.0;43.0;409.0
-14.0;-347.0;20.0;63.0;396.0
0.0;-340.0;-4.0;93.0;394.0
36.0;-326.0;25.0;58.0;423.0
15.0;-327.0;23.0;84.0;392.0
-10.0;-471.0;-78.0;150.0;417.0
11.0;-348.0;2.0;66.0;371.0
23.0;-341.0;7.0;76.0;377.0
13.0;-358.0;-11.0;74.0;426.0
26.0;-390.0;-32.0;70.0;430.0
9.0;-330.0;11.0;57.0;431.0
-1.0;-315.0;11.0;71.0;418.0
2.0;-330.0;15.0;70.0;397.0
25.0;-330.0;12.0;54.0;402.0
19.0;-340.0;27.0;74.0;400.0
31.0;-310.0;16.0;45.0;414.0
26.0;-327.0;30.0;61.0;402.0
19.0;-351.0;22.0;27.0;432.0
19.0;-338.0;20.0;49.0;427.0
35.0;-389.0;-19.0;108.0;420.0
16.0;-320.0;23.0;52.0;430.0
-29.0;-302.0;-97.0;77.0;402.0
20.0;-342.0;11.0;42.0;412.0
18.0;-325.0;13.0;79.0;430.0
-12.0;-398.0;-39.0;63.0;427.0
25.0;-316.0;-6.0;47.0;417.0
13.0;-373.0;-23.0;135.0;388.0
19.0;-319.0;12.0;37.0;426.0
24.0;-330.0;10.0;48.0;424.0
27.0;-331.0;18.0;58.0;405.0
25.0;-360.0;-38.0;41.0;463.0
-17.0;-364.0;-27.0;31.0;438.0
-7.0;-331.0;19.0;52.0;414.0
6.0;-330.0;25.0;63.0;415.0
10.0;-321.0;26.0;59.0;422.0
1.0;-333.0;26.0;64.0;410.0
0.0;-341.0;33.0;46.0;402.0
27.0;-334.0;20.0;29.0;432.0
20.0;-305.0;10.0;61.0;410.0
26.0;-314.0;10.0;40.0;387.0
31.0;-332.0;1.0;58.0;411.0
20.0;-350.0;20.0;75.0;394.0
-7.0;-322.0;19.0;49.0;405.0
14.0;-331.0;14.0;27.0;433.0
5.0;-339.0;3.0;20.0;422.0
1.0;-318.0;6.0;43.0;405.0
-4.0;-345.0;14.0;52.0;396.0
28.0;-302.0;3.0;62.0;429.0
14.0;-318.0;18.0;71.0;392.0
16.0;-344.0;-17.0;44.0;381.0
-7.0;-355.0;-2.0;34.0;425.0
38.0;-323.0;10.0;71.0;392.0
17.0;-325.0;-2.0;60.0;390.0
10.0;-339.0;8.0;88.0;381.0
3.0;-347.0;3.0;61.0;371.0
2.0;-324.0;18.0;43.0;396.0
-1.0;-355.0;-8.0;61.0;423.0
28.0;-309.0;12.0;46.0;415.0
-6.0;-329.0;7.0;55.0;419.0
9.0;-334.0;-4.0;29.0;414.0
12.0;-343.0;-4.0;69.0;405.0
5.0;-350.0;-48.0;72.0;372.0
-17.0;-336.0;-3.0;41.0;419.0
5.0;-356.0;6.0;42.0;391.0
-19.0;-343.0;-14.0;89.0;408.0
18.0;-347.0;6.0;54.0;374.0
0.0;-348.0;7.0;79.0;383.0
5.0;-331.0;9.0;67.0;414.0
20.0;-311.0;7.0;78.0;391.0
-12.0;-318.0;0.0;64.0;384.0
10.0;-315.0;3.0;61.0;386.0
10.0;-331.0;0.0;25.0;390.0
-2.0;-323.0;-6.0;67.0;369.0
13.0;-337.0;-3.0;101.0;402.0
28.0;-332.0;-2.0;76.0;388.0
17.0;-345.0;1.0;14.0;402.0
7.0;-324.0;7.0;37.0;393.0
16.0;-344.0;14.0;70.0;380.0
78.0;-300.0;-129.0;-94.0;454.0
-168.0;-555.0;-408.0;-418.0;618.0
12.0;-333.0;10.0;27.0;397.0
33.0;-337.0;0.0;26.0;425.0
3.0;-418.0;-188.0;-272.0;541.0
-16.0;-348.0;-7.0;52.0;424.0
-20.0;-338.0;-5.0;72.0;420.0
-1.0;-329.0;-1.0;51.0;399.0
29.0;-333.0;4.0;31.0;391.0
-14.0;-324.0;-21.0;21.0;386.0
19.0;-374.0;-20.0;16.0;490.0
5.0;-337.0;1.0;50.0;397.0
3.0;-330.0;5.0;32.0;384.0
7.0;-315.0;-2.0;65.0;392.0
0.0;-327.0;6.0;54.0;395.0
-9.0;-347.0;8.0;29.0;439.0
-10.0;-344.0;12.0;59.0;421.0
10.0;-361.0;15.0;76.0;414.0
-13.0;-350.0;-2.0;62.0;384.0
10.0;-337.0;12.0;62.0;377.0
-21.0;-334.0;18.0;55.0;401.0
-29.0;-439.0;-46.0;126.0;453.0
-1.0;-368.0;13.0;81.0;403.0
8.0;-318.0;22.0;49.0;416.0
20.0;-330.0;23.0;42.0;412.0
31.0;-331.0;23.0;36.0;424.0
7.0;-321.0;12.0;28.0;405.0
17.0;-309.0;16.0;47.0;411.0
22.0;-321.0;8.0;39.0;396.0
32.0;-328.0;5.0;93.0;401.0
-13.0;-360.0;13.0;71.0;389.0
0.0;-347.0;15.0;65.0;378.0
0.0;-350.0;11.0;68.0;409.0
1.0;-329.0;14.0;50.0;385.0
0.0;-319.0;20.0;42.0;396.0
27.0;-338.0;21.0;39.0;392.0
-12.0;-345.0;8.0;85.0;400.0
19.0;-343.0;10.0;53.0;397.0
10.0;-323.0;11.0;57.0;387.0
16.0;-346.0;15.0;52.0;418.0
15.0;-335.0;20.0;51.0;389.0
24.0;-339.0;15.0;41.0;404.0
-7.0;-318.0;15.0;43.0;409.0
10.0;-316.0;9.0;49.0;402.0
26.0;-340.0;23.0;44.0;405.0
14.0;-398.0;8.0;62.0;396.0
