MotorData.IsAcceleration;NVL_Recv_Storage.GL_LightBarrier;NVL_Send_Storage.ActivateStorage;MotorData.Motor_Pos2reached;MotorData.ActSpeed;MotorData.IsForce;MotorData.ActCurrent;NVL_Recv_Storage.GL_I_Slider_OUT;NVL_Recv_Storage.GL_I_Slider_IN;NVL_Recv_Storage.GL_I_ProcessStarted;PLC_PRG.Gripper;MotorData.Motor_Pos3reached
0;1;0;0;0;1;12;0;1;0;0;1
0;1;0;0;0;6;32;0;1;0;0;1
0;1;0;0;0;0;8;0;1;0;0;1
0;1;0;0;0;3;9;0;1;0;0;1
0;1;0;0;0;1;9;0;1;0;0;1
0;1;0;0;0;2;7;0;1;0;0;0
0;1;0;0;0;2;13;0;1;0;0;1
0;1;0;0;0;2;13;0;1;0;0;1
0;1;0;0;0;1;6;0;1;0;0;1
0;1;0;0;0;1;6;0;1;0;0;1
0;1;0;0;0;0;8;0;1;1;0;1
0;1;0;0;0;0;7;0;1;0;0;0
0;1;0;0;0;0;8;0;1;1;0;1
0;1;0;1;0;-35;-164;0;1;0;0;0
0;1;0;0;0;6;21;0;1;0;0;1
0;1;0;0;0;5;8;0;1;0;0;1
0;1;0;0;0;0;7;0;1;0;0;0
0;1;0;0;-65540;-22;-490;0;1;0;0;0
0;1;0;0;-83259;-29;-256;0;1;0;1;0
0;1;0;0;0;4;9;0;1;0;0;1
0;1;0;0;0;1;10;0;1;0;0;1
0;1;0;0;0;1;10;0;1;0;0;1
0;1;0;0;0;4;13;0;1;0;0;1
0;1;0;0;0;6;14;1;0;1;0;1
0;1;0;0;0;6;12;0;1;0;0;1
0;1;0;0;0;2;12;0;1;0;0;1
0;1;0;0;0;2;13;1;0;1;0;1
0;1;0;0;0;-3;7;0;1;0;0;0
0;1;0;0;0;0;8;1;0;1;0;1
0;1;0;0;92974;-30;406;0;1;0;1;0
0;1;0;0;0;3;12;1;0;1;0;1
0;1;0;0;0;1;8;1;0;1;0;1
0;1;0;0;0;1;8;1;0;1;0;1
0;1;0;0;0;0;7;1;0;1;0;1
0;1;0;0;-93960;-54;-311;0;1;0;1;0
0;1;0;0;0;0;12;0;1;0;0;0
0;1;0;0;0;0;7;1;0;1;0;1
0;1;0;0;0;4;6;1;0;1;0;1
0;1;0;0;0;3;8;1;0;1;0;1
0;1;0;0;0;1;12;0;1;0;0;0
0;1;0;0;0;1;12;0;1;0;0;0
0;1;0;0;0;1;12;0;1;0;0;0
0;1;0;0;0;1;8;0;1;0;0;1
0;1;0;0;0;2;8;0;1;0;0;1
0;1;0;0;0;2;12;0;1;0;0;0
0;1;0;0;0;2;8;0;1;0;0;1
0;1;0;0;0;0;9;0;1;0;0;1
0;1;0;0;0;1;8;0;1;0;0;1
0;1;0;0;0;0;7;0;1;0;0;0
0;1;0;0;0;1;8;0;1;0;0;1
0;1;0;0;0;3;17;0;1;0;0;1
0;1;0;0;0;0;7;0;1;0;0;0
0;1;0;0;0;3;15;0;1;0;0;1
0;1;0;0;0;4;13;0;1;0;0;1
0;1;0;0;0;2;8;0;1;0;0;1
0;1;0;0;0;3;12;0;1;0;0;1
0;1;0;0;82737;210;288;0;1;0;1;0
0;1;0;0;0;6;8;0;1;0;0;1
0;1;0;0;0;2;7;0;1;0;0;1
0;1;0;0;0;-107;30;0;1;0;0;1
0;1;0;0;0;1;8;0;1;0;0;1
0;1;0;0;0;3;8;1;0;1;0;1
0;1;0;0;0;2;9;0;1;0;0;1
0;1;0;0;0;0;0;0;1;0;0;0
0;1;0;0;0;2;13;1;0;1;0;1
0;1;0;0;0;1;9;0;0;0;0;1
0;1;0;0;0;0;17;0;1;0;0;1
0;1;0;0;0;6;3;0;1;0;0;1
0;1;0;0;0;2;14;0;0;0;0;1
0;1;0;0;0;2;14;0;0;0;0;1
0;1;0;0;0;3;9;0;1;0;0;1
0;1;0;0;0;3;9;0;1;0;0;1
0;1;0;0;0;0;-6;0;1;0;0;1
0;1;0;0;0;1;11;1;0;1;0;1
0;1;0;0;0;0;10;1;0;1;0;1
0;1;0;0;0;0;10;1;0;1;0;1
0;1;0;0;-73718;-175;-321;0;1;0;1;0
0;1;0;0;0;3;13;0;1;0;0;1
0;1;0;0;0;2;6;1;0;1;0;1
0;1;0;0;0;3;8;1;0;1;0;1
0;1;0;0;0;0;12;0;1;0;0;0
0;1;0;0;0;3;8;1;0;1;0;1
0;1;0;0;69049;135;498;0;1;0;1;0
0;1;0;0;0;1;13;0;1;0;1;0
0;1;0;0;0;0;14;1;0;1;0;1
0;1;0;0;0;2;15;1;0;1;0;1
0;1;0;0;0;0;8;0;1;0;0;1
0;1;0;0;0;1;6;0;1;0;0;1
0;1;0;0;0;4;8;1;0;1;0;1
0;1;0;0;0;0;11;1;0;1;0;1
0;1;0;0;0;1;6;0;1;0;0;1
0;1;0;0;0;2;12;0;1;0;0;1
0;1;0;0;0;2;12;0;1;0;0;1
0;1;0;0;0;5;13;0;1;0;0;1
0;1;0;0;0;6;42;0;1;0;0;1
0;1;0;0;0;5;13;0;1;0;0;1
0;1;0;0;0;5;13;0;1;0;0;1
0;1;0;0;0;5;26;0;1;0;0;1
0;1;0;0;0;79;360;0;1;0;1;0
0;1;0;0;0;-3;-18;1;0;1;0;1
