NVL_Recv_Ind.GL_NonMetall;NVL_Recv_Ind.GL_Metall;PLC_PRG.MaterialIsMetal;MotorData.Motor_Pos4reached;MotorData.ActPosition;MotorData.Motor_Pos1reached
1;0;0;0;236495;0
1;0;0;0;235538;0
1;0;0;0;233653;0
1;0;0;0;233392;0
1;0;0;0;236495;0
1;0;0;0;233653;0
1;0;0;0;233624;0
1;0;0;0;236756;0
1;0;0;0;234175;0
1;0;0;0;233798;0
1;0;0;0;235016;0
1;0;0;0;235335;0
1;0;0;0;231942;0
1;0;0;0;235480;0
1;0;0;0;234030;0
1;0;0;0;235799;0
1;0;0;0;233624;0
1;0;0;0;233305;0
1;0;0;0;234175;0
1;0;0;0;236437;0
1;0;0;0;236437;0
1;0;0;0;235944;0
1;0;0;0;235944;0
1;0;0;0;236031;0
1;0;0;0;236031;0
1;0;0;0;233102;0
1;0;0;0;234697;0
1;0;0;0;232551;0
1;0;0;0;232899;0
1;0;0;0;233218;0
1;0;0;0;232899;0
1;0;0;0;233537;0
1;0;0;0;233537;0
1;0;0;0;232812;0
1;0;0;0;235944;0
1;0;0;0;234987;0
1;0;0;0;231855;0
1;0;0;0;236350;0
1;0;0;0;234175;0
1;0;0;0;233102;0
1;0;0;0;233595;0
1;0;0;0;235132;0
1;0;0;0;236350;0
1;0;0;0;234987;0
1;0;0;0;234349;0
1;0;0;0;236350;0
1;0;0;0;234697;0
1;0;0;0;236669;0
1;0;0;0;234465;0
1;0;0;0;234465;0
1;0;0;0;235480;0
1;0;0;0;235944;0
1;0;0;0;232174;0
1;0;0;0;235132;0
1;0;0;0;236756;0
1;0;0;0;230666;0
1;0;0;0;237220;0
1;0;0;0;237394;0
1;0;0;0;230985;0
1;0;0;0;237220;0
1;0;0;0;237394;0
1;0;0;0;231623;0
1;0;0;0;236872;0
1;0;0;0;237220;0
1;0;0;0;236872;0
1;0;0;0;231130;0
1;0;0;0;230695;0
1;0;0;0;230492;0
1;0;0;0;230347;0
1;0;0;0;238177;0
1;0;0;0;238177;0
1;0;0;0;238177;0
1;0;0;0;243223;0
1;0;0;0;229709;0
1;0;0;0;230463;0
1;0;0;0;222894;0
1;0;0;0;228839;0
1;0;0;0;226577;0
1;0;0;0;238554;0
1;0;0;0;230463;0
1;0;0;0;238148;0
1;0;0;0;230347;0
1;0;0;0;238148;0
1;0;0;0;230115;0
1;0;0;0;217036;0
1;0;0;0;237974;0
1;0;0;0;240671;0
1;0;0;0;196736;0
1;0;0;0;207988;0
1;0;0;0;246442;0
1;0;0;0;249661;0
1;0;0;0;238757;0
1;0;0;0;372679;0
1;0;0;0;260014;0
1;0;0;0;22156;1
1;0;0;0;140012;0
1;0;0;0;254620;0
1;0;0;0;157180;0
1;0;0;0;172405;0
1;0;0;0;184005;0
