Accelerometer LWR accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LLA accY;Accelerometer LH accY;Accelerometer LWR accX;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1
460.0;858.0;-293.0;1012.0;-293.0;-40;194.0
394.0;753.0;-333.0;838.0;-207.0;-43;393.0
483.0;865.0;-296.0;914.0;-242.0;-34;322.0
436.0;853.0;-287.0;969.0;-322.0;2;199.0
463.0;930.0;-396.0;1024.0;-283.0;3;203.0
155.0;954.0;-289.0;980.0;-296.0;-41;284.0
506.0;721.0;-251.0;1149.0;-210.0;-26;229.0
463.0;867.0;-287.0;910.0;-345.0;-22;362.0
423.0;901.0;-357.0;928.0;-358.0;-22;362.0
432.0;1024.0;-370.0;1079.0;-323.0;-29;401.0
467.0;832.0;-410.0;920.0;-347.0;-37;314.0
427.0;990.0;-380.0;972.0;-353.0;-54;302.0
483.0;897.0;-328.0;955.0;-261.0;-20;185.0
328.0;933.0;-397.0;996.0;-394.0;20;317.0
354.0;971.0;-352.0;905.0;-387.0;-40;400.0
470.0;923.0;-458.0;1053.0;-373.0;-24;139.0
338.0;862.0;-243.0;1001.0;-270.0;-30;305.0
413.0;879.0;-290.0;902.0;-376.0;-29;388.0
325.0;809.0;-392.0;914.0;-218.0;-52;456.0
512.0;925.0;-304.0;959.0;-244.0;-30;378.0
350.0;933.0;-320.0;1012.0;-300.0;-133;738.0
482.0;945.0;-331.0;1034.0;-345.0;-65;362.0
430.0;936.0;-349.0;1071.0;-358.0;-60;242.0
440.0;914.0;-202.0;1105.0;-460.0;-61;206.0
466.0;891.0;-319.0;1008.0;-317.0;-71;188.0
407.0;936.0;-408.0;1074.0;-230.0;-59;336.0
461.0;930.0;-443.0;958.0;-307.0;-59;349.0
349.0;980.0;-325.0;1013.0;-397.0;-16;315.0
427.0;934.0;-367.0;1018.0;-325.0;-42;194.0
453.0;824.0;-361.0;886.0;-330.0;-35;338.0
478.0;906.0;-447.0;985.0;-299.0;109;470.0
428.0;907.0;-349.0;986.0;-384.0;39;-413.0
487.0;1027.0;-345.0;1036.0;-250.0;-35;313.0
435.0;800.0;-670.0;998.0;-601.0;70;356.0
345.0;849.0;-333.0;1029.0;-400.0;63;234.0
186.0;663.0;-321.0;801.0;-210.0;-40;364.0
224.0;705.0;-226.0;841.0;-284.0;62;98.0
181.0;953.0;-223.0;911.0;-457.0;6;118.0
94.0;1021.0;-335.0;1055.0;-65.0;16;45.0
95.0;810.0;-206.0;1002.0;-81.0;-23;128.0
266.0;931.0;-389.0;972.0;-305.0;-8;228.0
453.0;878.0;-428.0;1076.0;-379.0;-6;270.0
570.0;1025.0;-375.0;1069.0;-396.0;4;219.0
99.0;824.0;-189.0;958.0;-146.0;-35;460.0
420.0;968.0;-266.0;1133.0;-255.0;-174;755.0
430.0;1404.0;-461.0;1506.0;-496.0;104;230.0
320.0;944.0;-210.0;1024.0;-400.0;100;192.0
321.0;924.0;-418.0;1018.0;-407.0;96;199.0
301.0;1003.0;-430.0;1061.0;-422.0;30;181.0
311.0;1121.0;-363.0;1280.0;-460.0;48;77.0
317.0;726.0;-415.0;723.0;-275.0;97;744.0
280.0;730.0;-205.0;728.0;-305.0;89;748.0
466.0;930.0;-353.0;1019.0;-274.0;-133;725.0
259.0;978.0;-248.0;983.0;-334.0;36;14.0
334.0;824.0;-167.0;959.0;-267.0;-25;394.0
301.0;1048.0;-215.0;1103.0;-284.0;-16;400.0
381.0;842.0;-186.0;929.0;-248.0;-23;346.0
539.0;780.0;-274.0;1118.0;-138.0;-6;222.0
711.0;840.0;-550.0;380.0;-203.0;76;334.0
595.0;981.0;-432.0;988.0;-457.0;-40;323.0
408.0;760.0;-295.0;903.0;-221.0;-27;240.0
422.0;699.0;-235.0;821.0;-189.0;-26;120.0
669.0;520.0;-854.0;699.0;-630.0;-17;239.0
607.0;523.0;-879.0;361.0;-778.0;-17;287.0
328.0;964.0;-138.0;864.0;-508.0;-31;318.0
442.0;877.0;-241.0;877.0;-420.0;-27;291.0
280.0;807.0;-390.0;1251.0;-262.0;21;421.0
386.0;640.0;-284.0;775.0;-200.0;-61;201.0
414.0;975.0;-457.0;1000.0;-410.0;-49;392.0
274.0;705.0;-439.0;936.0;-230.0;5;293.0
63.0;990.0;-198.0;1134.0;-140.0;-60;263.0
443.0;924.0;-107.0;1156.0;-212.0;-63;232.0
379.0;819.0;-239.0;914.0;-298.0;-46;312.0
503.0;814.0;-372.0;924.0;-350.0;-45;330.0
413.0;782.0;-205.0;871.0;-319.0;-55;448.0
546.0;689.0;-601.0;829.0;-602.0;-26;464.0
600.0;1175.0;-426.0;1084.0;-476.0;-43;531.0
617.0;525.0;-879.0;95.0;-753.0;-154;710.0
445.0;920.0;-475.0;941.0;-333.0;-150;722.0
515.0;868.0;-416.0;908.0;-358.0;45;54.0
410.0;825.0;-213.0;888.0;-327.0;-25;178.0
192.0;1031.0;-492.0;939.0;-194.0;134;-22.0
192.0;903.0;-111.0;976.0;-267.0;-7;59.0
338.0;902.0;-282.0;987.0;-328.0;23;82.0
323.0;977.0;-169.0;911.0;-474.0;-45;97.0
376.0;947.0;-206.0;894.0;-361.0;-20;158.0
435.0;903.0;-345.0;975.0;-183.0;-20;197.0
264.0;1092.0;-602.0;1251.0;-336.0;-175;430.0
457.0;892.0;-247.0;1083.0;-283.0;9;108.0
679.0;851.0;-154.0;1000.0;-350.0;44;85.0
443.0;980.0;-246.0;1028.0;-340.0;31;23.0
329.0;1023.0;-320.0;821.0;-414.0;106;-179.0
634.0;1091.0;-339.0;1408.0;41.0;-23;62.0
538.0;1116.0;-374.0;1284.0;-296.0;-62;158.0
501.0;1083.0;-371.0;952.0;-335.0;-14;263.0
421.0;1235.0;-306.0;1131.0;-446.0;-24;143.0
289.0;913.0;-390.0;1079.0;-385.0;9;332.0
472.0;1059.0;-471.0;1459.0;-477.0;138;666.0
431.0;1144.0;-377.0;1012.0;-514.0;-16;365.0
351.0;1074.0;-356.0;976.0;-435.0;-30;385.0
345.0;807.0;-286.0;880.0;-336.0;-26;472.0
454.0;863.0;-286.0;896.0;-367.0;-23;143.0
505.0;928.0;-363.0;991.0;-310.0;-22;147.0
418.0;1211.0;-411.0;1087.0;-321.0;-4;726.0
331.0;735.0;-477.0;991.0;-243.0;-6;575.0
217.0;721.0;-466.0;871.0;-203.0;-93;672.0
346.0;922.0;-366.0;1083.0;-377.0;101;306.0
253.0;875.0;-308.0;913.0;-394.0;117;409.0
276.0;964.0;-371.0;979.0;-303.0;99;343.0
418.0;966.0;-153.0;992.0;-94.0;124;702.0
437.0;1000.0;-266.0;1142.0;-310.0;98;443.0
333.0;711.0;-481.0;954.0;-311.0;5;293.0
248.0;890.0;-369.0;1024.0;-355.0;-23;160.0
511.0;892.0;-276.0;1120.0;-106.0;-28;66.0
342.0;730.0;-279.0;805.0;-294.0;0;73.0
359.0;768.0;-158.0;835.0;-329.0;0;82.0
465.0;852.0;-281.0;906.0;-357.0;-26;186.0
463.0;939.0;-443.0;954.0;-367.0;87;256.0
352.0;829.0;-486.0;1091.0;-352.0;43;322.0
715.0;687.0;-309.0;594.0;333.0;-108;653.0
421.0;890.0;-160.0;979.0;-260.0;-31;346.0
542.0;915.0;-303.0;983.0;-215.0;-30;388.0
452.0;1285.0;-379.0;1128.0;-546.0;57;129.0
530.0;881.0;-291.0;979.0;-257.0;-30;398.0
620.0;840.0;-306.0;1004.0;-318.0;-30;421.0
552.0;821.0;-676.0;741.0;-575.0;-154;785.0
619.0;898.0;-498.0;795.0;-263.0;-139;716.0
432.0;892.0;-474.0;971.0;-298.0;-30;440.0
619.0;932.0;-1132.0;1217.0;-400.0;-102;667.0
492.0;925.0;-485.0;967.0;-242.0;-30;410.0
472.0;925.0;-472.0;984.0;-212.0;-30;402.0
487.0;877.0;-422.0;996.0;-217.0;-30;394.0
362.0;736.0;-447.0;814.0;-437.0;110;-55.0
493.0;886.0;-389.0;1002.0;-205.0;-30;387.0
508.0;737.0;-235.0;1078.0;-131.0;109;425.0
560.0;895.0;-363.0;1029.0;-198.0;-30;369.0
554.0;942.0;-352.0;998.0;-201.0;-30;364.0
497.0;950.0;-342.0;999.0;-196.0;-30;360.0
537.0;1058.0;-236.0;1414.0;-133.0;-34;409.0
606.0;1012.0;-468.0;1144.0;-461.0;26;-62.0
506.0;856.0;-359.0;1158.0;-275.0;-30;354.0
461.0;1289.0;-431.0;1333.0;-381.0;-67;346.0
