InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN^ accZ;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
10.0;-303.0;15;-7;985.0;118.0;523.0;-23;800;-1036.0;615.0;792.0;286.0
79.0;-23.0;23;-4;942.0;111.0;316.0;-24;796;-978.0;266.0;988.0;200.0
118.0;20.0;16;-15;985.0;111.0;483.0;-32;795;-976.0;625.0;830.0;35.0
41.0;61.0;24;-21;965.0;110.0;503.0;-32;797;-997.0;605.0;876.0;108.0
325.0;-362.0;113;-337;1359.0;412.0;449.0;-42;1135;-916.0;253.0;1294.0;141.0
-16.0;42.0;11;-41;987.0;337.0;479.0;-25;807;-980.0;402.0;929.0;199.0
-98.0;-39.0;20;31;1036.0;317.0;487.0;-25;809;-982.0;361.0;934.0;192.0
-77.0;-77.0;12;-32;1002.0;318.0;495.0;-25;808;-981.0;385.0;940.0;160.0
-69.0;-73.0;17;10;1014.0;325.0;475.0;-25;811;-967.0;369.0;955.0;189.0
9.0;49.0;15;-5;958.0;427.0;350.0;-23;810;-952.0;638.0;775.0;306.0
-25.0;50.0;29;5;956.0;424.0;346.0;-23;809;-949.0;567.0;783.0;334.0
-81.0;-78.0;15;-9;999.0;295.0;490.0;-25;810;-977.0;355.0;952.0;202.0
-6.0;-31.0;20;-16;947.0;416.0;318.0;-23;811;-942.0;623.0;829.0;298.0
33.0;-116.0;261;276;938.0;142.0;332.0;-24;795;-945.0;270.0;982.0;162.0
-4.0;-37.0;15;2;934.0;435.0;339.0;-23;811;-940.0;617.0;813.0;292.0
-55.0;-147.0;32;-103;995.0;119.0;381.0;-23;779;-972.0;327.0;992.0;161.0
37.0;-59.0;19;-13;943.0;429.0;343.0;-23;810;-955.0;629.0;818.0;285.0
39.0;-60.0;19;-24;949.0;430.0;336.0;-23;810;-936.0;630.0;820.0;307.0
10.0;-144.0;14;-37;966.0;93.0;359.0;-23;777;-966.0;308.0;963.0;156.0
-84.0;-125.0;19;-17;905.0;580.0;493.0;-27;858;-924.0;718.0;701.0;403.0
33.0;-51.0;18;-5;956.0;418.0;361.0;-23;806;-943.0;593.0;820.0;315.0
-21.0;-173.0;15;-14;977.0;128.0;375.0;-23;788;-969.0;319.0;973.0;160.0
-13.0;-174.0;22;-25;972.0;132.0;380.0;-23;787;-971.0;323.0;977.0;158.0
2.0;-159.0;23;-25;957.0;117.0;375.0;-23;787;-968.0;327.0;968.0;155.0
29.0;-233.0;20;33;965.0;141.0;352.0;-23;780;-947.0;313.0;966.0;156.0
24.0;-208.0;18;10;945.0;102.0;352.0;-23;773;-946.0;303.0;952.0;149.0
39.0;-223.0;16;5;957.0;107.0;345.0;-23;783;-962.0;298.0;952.0;167.0
22.0;-64.0;20;10;951.0;386.0;337.0;-23;807;-944.0;613.0;817.0;309.0
66.0;-19.0;18;13;952.0;335.0;342.0;-23;809;-936.0;623.0;813.0;308.0
191.0;-193.0;11;-3;814.0;338.0;424.0;-23;792;-981.0;334.0;922.0;31.0
353.0;13.0;18;6;960.0;414.0;536.0;-28;814;-998.0;405.0;920.0;78.0
179.0;66.0;22;-15;965.0;-2.0;511.0;-32;795;-1023.0;612.0;921.0;193.0
164.0;95.0;17;-10;951.0;94.0;496.0;-32;798;-1043.0;504.0;938.0;174.0
22.0;-192.0;21;-22;955.0;138.0;371.0;-23;766;-961.0;328.0;968.0;178.0
53.0;-127.0;15;-9;953.0;121.0;337.0;-23;776;-948.0;327.0;971.0;181.0
51.0;-99.0;22;-15;950.0;107.0;355.0;-23;787;-963.0;326.0;964.0;181.0
-51.0;-34.0;19;-33;985.0;322.0;504.0;-25;805;-968.0;339.0;952.0;200.0
3.0;-26.0;18;-26;997.0;319.0;522.0;-25;806;-974.0;350.0;970.0;215.0
-30.0;-44.0;18;-25;999.0;279.0;502.0;-25;808;-991.0;328.0;946.0;229.0
202.0;-343.0;-5;-150;931.0;1.0;294.0;-25;802;-977.0;351.0;836.0;-244.0
-17.0;-38.0;18;-25;1011.0;286.0;503.0;-25;803;-984.0;355.0;953.0;218.0
-20.0;-63.0;18;-25;988.0;296.0;493.0;-25;805;-980.0;391.0;948.0;220.0
109.0;-201.0;12;-37;973.0;145.0;187.0;-25;858;-1003.0;483.0;878.0;88.0
-148.0;-196.0;16;14;973.0;194.0;174.0;-25;764;-943.0;453.0;925.0;141.0
-63.0;-55.0;18;4;956.0;139.0;374.0;-23;781;-934.0;338.0;990.0;153.0
13.0;-64.0;19;-46;956.0;78.0;340.0;-23;777;-948.0;310.0;952.0;181.0
1.0;-18.0;17;-19;940.0;58.0;316.0;-23;775;-954.0;310.0;952.0;180.0
56.0;-9.0;26;-31;966.0;43.0;285.0;-23;781;-966.0;308.0;974.0;179.0
119.0;16.0;17;-28;956.0;5.0;417.0;-23;783;-946.0;337.0;1018.0;172.0
-47.0;-45.0;15;-14;964.0;3.0;423.0;-23;782;-896.0;367.0;960.0;225.0
-119.0;-13.0;19;-12;974.0;-21.0;391.0;-23;785;-919.0;402.0;870.0;64.0
-8.0;46.0;16;-11;967.0;-39.0;409.0;-23;783;-971.0;353.0;846.0;-44.0
129.0;106.0;12;-16;938.0;-36.0;384.0;-23;781;-1001.0;299.0;937.0;-64.0
-12.0;-59.0;18;-25;999.0;247.0;519.0;-25;801;-975.0;381.0;970.0;212.0
157.0;-13.0;-8;68;918.0;355.0;309.0;-24;785;-908.0;343.0;859.0;174.0
311.0;-287.0;598;268;937.0;469.0;400.0;-28;815;-922.0;387.0;924.0;297.0
102.0;-160.0;-27;755;879.0;284.0;402.0;-3;812;-878.0;434.0;937.0;367.0
-515.0;81.0;593;1009;997.0;72.0;343.0;-32;808;-856.0;191.0;1009.0;158.0
-124.0;-23.0;73;69;955.0;172.0;343.0;-24;786;-934.0;286.0;973.0;121.0
-17.0;13.0;107;547;938.0;256.0;334.0;-24;799;-952.0;225.0;967.0;149.0
89.0;-19.0;18;-26;989.0;191.0;514.0;-25;804;-976.0;368.0;952.0;231.0
112.0;-6.0;18;-24;974.0;153.0;514.0;-25;810;-980.0;361.0;950.0;212.0
-108.0;-490.0;1405;807;938.0;330.0;203.0;-35;843;-915.0;241.0;1005.0;227.0
241.0;-497.0;-476;1037;810.0;129.0;243.0;-33;796;-881.0;236.0;936.0;134.0
