InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
692.0;520.0;637.0;362.0;502.0;63.0;-325.0;74;98.0;-232.0
662.0;493.0;691.0;435.0;513.0;146.0;-286.0;74;53.0;-265.0
695.0;533.0;628.0;337.0;489.0;61.0;-338.0;74;92.0;-230.0
633.0;-58.0;768.0;946.0;500.0;231.0;-41.0;122;-86.0;-114.0
665.0;108.0;672.0;675.0;513.0;51.0;-311.0;136;99.0;-293.0
690.0;99.0;600.0;461.0;515.0;-7.0;-398.0;135;75.0;-343.0
704.0;74.0;478.0;134.0;562.0;-166.0;-521.0;83;63.0;-432.0
672.0;470.0;695.0;244.0;381.0;674.0;-255.0;62;0.0;-152.0
660.0;432.0;693.0;259.0;446.0;358.0;-289.0;62;27.0;-240.0
641.0;418.0;719.0;310.0;422.0;381.0;-268.0;62;24.0;-187.0
664.0;38.0;737.0;892.0;525.0;135.0;-101.0;122;-80.0;-220.0
703.0;29.0;643.0;758.0;544.0;68.0;-272.0;126;-132.0;-254.0
697.0;39.0;619.0;622.0;552.0;39.0;-343.0;127;-117.0;-260.0
687.0;26.0;641.0;643.0;564.0;28.0;-337.0;38;-61.0;-261.0
685.0;15.0;653.0;671.0;569.0;23.0;-322.0;41;-34.0;-264.0
678.0;-8.0;678.0;770.0;567.0;41.0;-283.0;62;21.0;-247.0
628.0;48.0;731.0;922.0;551.0;113.0;-249.0;81;93.0;-225.0
659.0;-135.0;725.0;973.0;543.0;180.0;-196.0;123;27.0;-197.0
640.0;-167.0;729.0;1143.0;474.0;469.0;151.0;81;-190.0;87.0
637.0;415.0;718.0;299.0;423.0;338.0;-281.0;62;24.0;-171.0
