Accelerometer LWR accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LLA accY;Accelerometer LH accY;Accelerometer LWR accX;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1
460.0;858.0;-293.0;1012.0;-293.0;-40;194.0
394.0;753.0;-333.0;838.0;-207.0;-43;393.0
483.0;865.0;-296.0;914.0;-242.0;-34;322.0
436.0;853.0;-287.0;969.0;-322.0;2;199.0
463.0;930.0;-396.0;1024.0;-283.0;3;203.0
268.0;925.0;-312.0;979.0;-282.0;-9;229.0
533.0;858.0;-340.0;1162.0;-221.0;-19;229.0
463.0;867.0;-287.0;910.0;-345.0;-22;362.0
423.0;901.0;-357.0;928.0;-358.0;-22;362.0
432.0;1024.0;-370.0;1079.0;-323.0;-29;401.0
467.0;832.0;-410.0;920.0;-347.0;-37;314.0
427.0;990.0;-380.0;972.0;-353.0;-54;302.0
483.0;897.0;-328.0;955.0;-261.0;-20;185.0
328.0;933.0;-397.0;996.0;-394.0;20;317.0
354.0;971.0;-352.0;905.0;-387.0;-40;400.0
437.0;939.0;-382.0;1012.0;-346.0;-25;191.0
338.0;862.0;-243.0;1001.0;-270.0;-30;305.0
413.0;879.0;-290.0;902.0;-376.0;-29;388.0
273.0;853.0;-306.0;963.0;-196.0;-24;420.0
512.0;925.0;-304.0;959.0;-244.0;-30;378.0
390.0;933.0;-367.0;1034.0;-323.0;-53;470.0
482.0;945.0;-331.0;1034.0;-345.0;-65;362.0
430.0;936.0;-349.0;1071.0;-358.0;-60;242.0
462.0;954.0;-278.0;1028.0;-385.0;-71;299.0
466.0;891.0;-319.0;1008.0;-317.0;-71;188.0
407.0;936.0;-408.0;1074.0;-230.0;-59;336.0
461.0;930.0;-443.0;958.0;-307.0;-59;349.0
349.0;980.0;-325.0;1013.0;-397.0;-16;315.0
427.0;934.0;-367.0;1018.0;-325.0;-42;194.0
453.0;824.0;-361.0;886.0;-330.0;-35;338.0
488.0;881.0;-410.0;1017.0;-307.0;109;456.0
462.0;886.0;-433.0;1020.0;-397.0;58;-50.0
487.0;1027.0;-345.0;1036.0;-250.0;-35;313.0
346.0;882.0;-510.0;985.0;-397.0;86;251.0
345.0;849.0;-333.0;1029.0;-400.0;63;234.0
275.0;783.0;-350.0;916.0;-340.0;20;204.0
195.0;822.0;-320.0;898.0;-447.0;3;153.0
181.0;953.0;-223.0;911.0;-457.0;6;118.0
339.0;987.0;-396.0;1000.0;-184.0;3;140.0
167.0;810.0;-235.0;953.0;-65.0;11;153.0
266.0;931.0;-389.0;972.0;-305.0;-8;228.0
453.0;878.0;-428.0;1076.0;-379.0;-6;270.0
601.0;969.0;-363.0;1110.0;-412.0;-21;361.0
99.0;824.0;-189.0;958.0;-146.0;-35;460.0
301.0;1048.0;-215.0;1103.0;-284.0;-16;400.0
442.0;1270.0;-415.0;1359.0;-502.0;29;149.0
320.0;944.0;-210.0;1024.0;-400.0;100;192.0
321.0;924.0;-418.0;1018.0;-407.0;96;199.0
301.0;1003.0;-430.0;1061.0;-422.0;30;181.0
311.0;1121.0;-363.0;1280.0;-460.0;48;77.0
299.0;693.0;-347.0;721.0;-282.0;119;746.0
350.0;963.0;-299.0;1006.0;-335.0;-154;753.0
619.0;898.0;-498.0;795.0;-263.0;-139;716.0
338.0;902.0;-282.0;987.0;-328.0;23;82.0
372.0;782.0;-192.0;964.0;-145.0;-35;454.0
326.0;969.0;-206.0;987.0;-236.0;-27;384.0
381.0;842.0;-186.0;929.0;-248.0;-23;346.0
534.0;763.0;-175.0;1023.0;-107.0;-6;246.0
502.0;824.0;-326.0;869.0;-391.0;-14;302.0
527.0;1085.0;-440.0;987.0;-459.0;1;266.0
389.0;818.0;-306.0;955.0;-219.0;-27;227.0
408.0;760.0;-295.0;903.0;-221.0;-27;240.0
694.0;514.0;-846.0;725.0;-661.0;-17;237.0
602.0;522.0;-868.0;403.0;-761.0;-17;286.0
397.0;856.0;-222.0;859.0;-422.0;-27;287.0
442.0;877.0;-241.0;877.0;-420.0;-27;291.0
364.0;837.0;-476.0;1253.0;-295.0;73;362.0
375.0;747.0;-243.0;762.0;-255.0;-29;319.0
405.0;923.0;-481.0;986.0;-366.0;-38;317.0
289.0;783.0;-510.0;995.0;-191.0;32;270.0
186.0;962.0;-250.0;1137.0;-125.0;-23;326.0
404.0;977.0;-265.0;1134.0;-253.0;-46;250.0
379.0;819.0;-239.0;914.0;-298.0;-46;312.0
503.0;814.0;-372.0;924.0;-350.0;-45;330.0
451.0;772.0;-278.0;821.0;-365.0;-43;470.0
546.0;689.0;-601.0;829.0;-602.0;-26;464.0
414.0;975.0;-457.0;1000.0;-410.0;-49;392.0
143.0;538.0;-495.0;546.0;-440.0;-38;555.0
423.0;984.0;-476.0;929.0;-424.0;-100;715.0
515.0;868.0;-416.0;908.0;-358.0;45;54.0
397.0;878.0;-192.0;920.0;-349.0;-23;136.0
123.0;987.0;-468.0;843.0;-182.0;148;-23.0
365.0;949.0;-68.0;1022.0;-321.0;-21;94.0
403.0;914.0;-286.0;955.0;-355.0;-21;127.0
323.0;977.0;-169.0;911.0;-474.0;-45;97.0
376.0;947.0;-206.0;894.0;-361.0;-20;158.0
435.0;903.0;-345.0;975.0;-183.0;-20;197.0
303.0;1104.0;-614.0;1171.0;-271.0;-58;647.0
416.0;892.0;-134.0;1143.0;-222.0;-73;189.0
662.0;866.0;-253.0;1033.0;-350.0;108;7.0
498.0;895.0;-276.0;1016.0;-269.0;11;93.0
337.0;944.0;-281.0;793.0;-331.0;110;-40.0
415.0;887.0;-331.0;1065.0;-152.0;-20;208.0
538.0;1116.0;-374.0;1284.0;-296.0;-62;158.0
501.0;1083.0;-371.0;952.0;-335.0;-14;263.0
495.0;1115.0;-328.0;990.0;-295.0;-6;275.0
289.0;913.0;-390.0;1079.0;-385.0;9;332.0
344.0;865.0;-362.0;1072.0;-621.0;-31;346.0
363.0;1168.0;-362.0;1001.0;-492.0;-24;376.0
351.0;1074.0;-356.0;976.0;-435.0;-30;385.0
345.0;807.0;-286.0;880.0;-336.0;-26;472.0
454.0;863.0;-286.0;896.0;-367.0;-23;143.0
505.0;928.0;-363.0;991.0;-310.0;-22;147.0
366.0;1375.0;-456.0;927.0;-262.0;121;629.0
262.0;745.0;-449.0;1025.0;-234.0;18;473.0
217.0;721.0;-466.0;871.0;-203.0;-93;672.0
346.0;922.0;-366.0;1083.0;-377.0;101;306.0
324.0;891.0;-381.0;976.0;-356.0;100;325.0
276.0;964.0;-371.0;979.0;-303.0;99;343.0
398.0;1046.0;-300.0;1033.0;-226.0;99;397.0
437.0;1000.0;-266.0;1142.0;-310.0;98;443.0
344.0;767.0;-427.0;977.0;-331.0;37;194.0
248.0;890.0;-369.0;1024.0;-355.0;-23;160.0
465.0;831.0;-345.0;1039.0;-104.0;45;63.0
409.0;750.0;-348.0;806.0;-271.0;-26;151.0
359.0;768.0;-158.0;835.0;-329.0;0;82.0
465.0;852.0;-281.0;906.0;-357.0;-26;186.0
463.0;939.0;-443.0;954.0;-367.0;87;256.0
352.0;829.0;-486.0;1091.0;-352.0;43;322.0
450.0;892.0;-374.0;890.0;-137.0;-31;293.0
421.0;890.0;-160.0;979.0;-260.0;-31;346.0
542.0;915.0;-303.0;983.0;-215.0;-30;388.0
362.0;1172.0;-546.0;1071.0;-488.0;82;128.0
530.0;881.0;-291.0;979.0;-257.0;-30;398.0
549.0;830.0;-295.0;954.0;-286.0;-30;407.0
515.0;868.0;-440.0;911.0;-334.0;-30;441.0
778.0;715.0;-700.0;339.0;-457.0;-73;578.0
432.0;892.0;-474.0;971.0;-298.0;-30;440.0
619.0;932.0;-1132.0;1217.0;-400.0;-102;667.0
492.0;925.0;-485.0;967.0;-242.0;-30;410.0
472.0;925.0;-472.0;984.0;-212.0;-30;402.0
487.0;877.0;-422.0;996.0;-217.0;-30;394.0
440.0;861.0;-450.0;914.0;-323.0;45;56.0
493.0;886.0;-389.0;1002.0;-205.0;-30;387.0
566.0;867.0;-345.0;1056.0;-196.0;-30;374.0
560.0;895.0;-363.0;1029.0;-198.0;-30;369.0
554.0;942.0;-352.0;998.0;-201.0;-30;364.0
497.0;950.0;-342.0;999.0;-196.0;-30;360.0
640.0;1032.0;-198.0;1319.0;-221.0;-53;419.0
472.0;927.0;-414.0;1074.0;-417.0;51;136.0
394.0;771.0;-351.0;1267.0;-321.0;-55;430.0
490.0;1177.0;-381.0;1326.0;-374.0;-71;290.0
