Accelerometer LWR accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LLA accY;Accelerometer LH accY;Accelerometer LWR accX;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1
650.0;809.0;-414.0;891.0;58.0;91;-58.0
360.0;954.0;-309.0;1022.0;-205.0;103;-25.0
382.0;990.0;-308.0;1000.0;-217.0;103;-30.0
352.0;966.0;-327.0;1025.0;-209.0;103;-65.0
444.0;1114.0;-430.0;1075.0;-272.0;81;-435.0
436.0;995.0;-341.0;1065.0;-208.0;103;-55.0
451.0;981.0;-334.0;1064.0;-264.0;104;-43.0
1175.0;999.0;-269.0;1873.0;-1019.0;-127;-749.0
433.0;943.0;-331.0;1042.0;-272.0;103;-44.0
413.0;944.0;-351.0;983.0;-284.0;104;-47.0
400.0;946.0;-349.0;988.0;-324.0;103;-50.0
437.0;941.0;-355.0;985.0;-304.0;103;-48.0
274.0;865.0;-370.0;812.0;-366.0;90;-160.0
420.0;952.0;-340.0;968.0;-320.0;103;-51.0
437.0;944.0;-324.0;1004.0;-322.0;104;-55.0
448.0;943.0;-311.0;1007.0;-289.0;103;-58.0
421.0;934.0;-304.0;1005.0;-301.0;103;-60.0
416.0;940.0;-288.0;997.0;-234.0;103;-83.0
414.0;915.0;-315.0;941.0;-369.0;99;-491.0
362.0;921.0;-275.0;1041.0;-240.0;103;-64.0
358.0;969.0;-285.0;1016.0;-225.0;103;-60.0
362.0;946.0;-329.0;1008.0;-228.0;104;-56.0
358.0;951.0;-364.0;1014.0;-247.0;104;-51.0
374.0;943.0;-363.0;996.0;-269.0;103;-46.0
404.0;991.0;-350.0;977.0;-273.0;103;-39.0
436.0;922.0;-322.0;1050.0;-223.0;104;-27.0
454.0;918.0;-281.0;960.0;-222.0;103;-19.0
480.0;920.0;-249.0;977.0;-205.0;103;-18.0
465.0;903.0;-219.0;1018.0;-179.0;103;-21.0
357.0;943.0;-290.0;1044.0;-150.0;104;-19.0
352.0;932.0;-295.0;1025.0;-201.0;104;-19.0
370.0;969.0;-296.0;1054.0;-215.0;104;-26.0
350.0;977.0;-293.0;1003.0;-279.0;104;-28.0
339.0;1017.0;-304.0;957.0;-342.0;105;-31.0
452.0;1271.0;-309.0;783.0;-344.0;103;-733.0
370.0;1007.0;-314.0;1050.0;-321.0;108;-35.0
405.0;938.0;-290.0;1109.0;-293.0;108;-37.0
409.0;909.0;-297.0;1033.0;-281.0;108;-38.0
417.0;961.0;-287.0;1009.0;-266.0;108;-41.0
422.0;1025.0;-303.0;1048.0;-317.0;103;-90.0
262.0;1008.0;-274.0;1051.0;-437.0;126;-332.0
430.0;1179.0;-202.0;1255.0;-235.0;103;-520.0
375.0;905.0;-393.0;1538.0;-399.0;98;-694.0
379.0;955.0;-291.0;1048.0;-277.0;62;-41.0
392.0;983.0;-279.0;1025.0;-300.0;61;-42.0
384.0;956.0;-278.0;1005.0;-308.0;61;-43.0
379.0;947.0;-283.0;1021.0;-280.0;61;-44.0
371.0;933.0;-283.0;1028.0;-268.0;61;-46.0
355.0;963.0;-297.0;1010.0;-253.0;61;-48.0
362.0;944.0;-308.0;996.0;-246.0;61;-50.0
313.0;866.0;-278.0;852.0;-342.0;7;-179.0
393.0;961.0;-316.0;1022.0;-271.0;61;-55.0
384.0;963.0;-317.0;1049.0;-272.0;61;-55.0
406.0;958.0;-329.0;1041.0;-274.0;61;-56.0
378.0;963.0;-328.0;1034.0;-284.0;61;-57.0
352.0;929.0;-280.0;998.0;-382.0;-104;-754.0
542.0;1150.0;-346.0;1136.0;-443.0;16;-516.0
293.0;1136.0;-334.0;968.0;-457.0;-117;-727.0
401.0;1008.0;-292.0;1036.0;-357.0;61;-52.0
410.0;971.0;-267.0;1031.0;-328.0;61;-50.0
445.0;1061.0;-161.0;1088.0;-296.0;55;-246.0
145.0;1025.0;113.0;927.0;-146.0;-76;-846.0
302.0;820.0;64.0;916.0;-286.0;-10;-223.0
385.0;952.0;-152.0;1111.0;47.0;45;-149.0
361.0;930.0;-248.0;1005.0;-212.0;61;-45.0
-52.0;1120.0;65.0;1341.0;243.0;-53;-929.0
328.0;988.0;-307.0;1064.0;-187.0;61;-36.0
306.0;1008.0;-330.0;1062.0;-264.0;31;-26.0
367.0;995.0;-287.0;1040.0;-216.0;61;-27.0
354.0;1015.0;-288.0;1052.0;-228.0;62;-21.0
404.0;1021.0;-312.0;1078.0;-254.0;62;-15.0
428.0;1001.0;-343.0;1082.0;-271.0;62;-9.0
431.0;1000.0;-322.0;1080.0;-288.0;62;-4.0
442.0;989.0;-264.0;1076.0;-302.0;62;2.0
444.0;968.0;-238.0;1032.0;-292.0;62;8.0
384.0;941.0;-284.0;1033.0;-262.0;62;12.0
421.0;903.0;-284.0;979.0;-261.0;62;20.0
433.0;917.0;-314.0;962.0;-238.0;62;23.0
478.0;942.0;-292.0;1066.0;-146.0;62;28.0
453.0;952.0;-299.0;1057.0;-154.0;62;26.0
462.0;926.0;-351.0;1076.0;-129.0;62;24.0
464.0;866.0;-361.0;1026.0;4.0;44;-57.0
421.0;883.0;-256.0;1037.0;-197.0;61;3.0
355.0;902.0;-257.0;1002.0;-156.0;104;-1.0
385.0;906.0;-252.0;970.0;-126.0;104;0.0
462.0;886.0;-433.0;1020.0;-397.0;58;-50.0
515.0;940.0;-380.0;1003.0;-318.0;67;-33.0
