InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN^ accZ;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
-56.0;4.0;21;-1;940.0;185.0;323.0;-24;794;-956.0;307.0;951.0;270.0
19.0;2.0;13;3;939.0;93.0;295.0;-31;811;-968.0;244.0;999.0;206.0
21.0;-20.0;19;-2;942.0;85.0;314.0;-31;799;-970.0;234.0;979.0;197.0
24.0;12.0;14;-6;950.0;85.0;303.0;-31;806;-961.0;240.0;993.0;210.0
5.0;-43.0;17;-6;954.0;89.0;296.0;-31;803;-976.0;251.0;980.0;200.0
11.0;-47.0;18;11;957.0;89.0;306.0;-31;807;-972.0;233.0;990.0;201.0
38.0;-49.0;23;17;947.0;89.0;297.0;-31;802;-966.0;243.0;981.0;197.0
-6.0;-40.0;23;-9;946.0;96.0;293.0;-31;806;-975.0;237.0;990.0;192.0
-10.0;-69.0;21;-6;955.0;79.0;301.0;-31;807;-975.0;240.0;989.0;193.0
-6.0;-73.0;15;0;956.0;89.0;306.0;-31;807;-967.0;251.0;978.0;191.0
-6.0;-47.0;18;21;957.0;106.0;287.0;-31;806;-968.0;254.0;982.0;190.0
-37.0;-32.0;15;-3;957.0;103.0;296.0;-31;805;-971.0;247.0;974.0;187.0
-37.0;4.0;18;-7;936.0;107.0;285.0;-31;797;-970.0;261.0;980.0;187.0
-14.0;8.0;20;-25;939.0;100.0;300.0;-31;800;-972.0;252.0;990.0;184.0
-30.0;-110.0;20;-24;938.0;88.0;294.0;-31;804;-973.0;254.0;981.0;207.0
-41.0;-49.0;81;-319;831.0;107.0;531.0;-83;641;-1229.0;214.0;1011.0;104.0
55.0;47.0;26;-25;943.0;88.0;352.0;-3;817;-930.0;372.0;950.0;272.0
44.0;-22.0;28;-58;926.0;114.0;371.0;-3;812;-951.0;380.0;970.0;262.0
10.0;-144.0;14;-37;966.0;93.0;359.0;-23;777;-966.0;308.0;963.0;156.0
111.0;-71.0;20;21;955.0;147.0;371.0;-3;814;-957.0;318.0;952.0;273.0
108.0;-64.0;17;26;955.0;139.0;372.0;-3;807;-950.0;320.0;938.0;269.0
-21.0;-173.0;15;-14;977.0;128.0;375.0;-23;788;-969.0;319.0;973.0;160.0
-13.0;-174.0;22;-25;972.0;132.0;380.0;-23;787;-971.0;323.0;977.0;158.0
2.0;-159.0;23;-25;957.0;117.0;375.0;-23;787;-968.0;327.0;968.0;155.0
102.0;-91.0;17;2;956.0;167.0;382.0;-3;810;-945.0;306.0;969.0;266.0
147.0;-829.0;19;-94;995.0;-46.0;456.0;-19;304;-970.0;265.0;972.0;181.0
