InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN^ accZ;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
-13.0;-12.0;20;-10;928.0;117.0;334.0;-24;802;-972.0;273.0;985.0;218.0
-56.0;4.0;21;-1;940.0;185.0;323.0;-24;794;-956.0;307.0;951.0;270.0
40.0;-66.0;24;-33;970.0;177.0;303.0;-24;795;-932.0;318.0;953.0;240.0
-4.0;-37.0;15;2;934.0;435.0;339.0;-23;811;-940.0;617.0;813.0;292.0
-18.0;-60.0;14;-1;937.0;147.0;338.0;-24;803;-978.0;310.0;981.0;247.0
-21.0;-46.0;18;-7;964.0;110.0;340.0;-24;801;-967.0;309.0;957.0;246.0
8.0;-31.0;23;-30;944.0;158.0;327.0;-24;797;-987.0;285.0;990.0;220.0
-233.0;125.0;16;-2;926.0;128.0;409.0;-31;807;-981.0;308.0;994.0;262.0
-71.0;-41.0;23;-16;939.0;126.0;331.0;-24;805;-971.0;271.0;977.0;225.0
-32.0;-62.0;21;9;944.0;112.0;332.0;-24;805;-960.0;282.0;994.0;207.0
-36.0;35.0;18;14;916.0;162.0;352.0;-24;801;-983.0;304.0;974.0;221.0
21.0;7.0;24;-8;928.0;170.0;331.0;-24;796;-967.0;295.0;978.0;233.0
-7.0;-42.0;14;17;959.0;142.0;342.0;-24;805;-962.0;289.0;972.0;224.0
6.0;19.0;19;26;942.0;141.0;335.0;-24;797;-967.0;300.0;961.0;223.0
-12.0;19.0;22;9;947.0;136.0;323.0;-24;801;-984.0;310.0;990.0;235.0
-6.0;-9.0;20;10;919.0;140.0;333.0;-24;803;-957.0;310.0;978.0;248.0
-11.0;-44.0;19;2;976.0;152.0;326.0;-24;802;-969.0;293.0;973.0;232.0
250.0;99.0;141;-2682;989.0;254.0;352.0;-3;809;-920.0;303.0;908.0;365.0
7.0;-75.0;17;-11;967.0;148.0;356.0;-24;805;-967.0;274.0;974.0;202.0
533.0;-752.0;21;-64;891.0;-312.0;402.0;-28;1415;-860.0;184.0;822.0;120.0
625.0;-78.0;139;1618;857.0;61.0;468.0;-25;801;-791.0;404.0;725.0;112.0
16.0;-34.0;21;-11;918.0;139.0;316.0;-24;801;-979.0;275.0;979.0;221.0
6.0;-39.0;16;2;919.0;156.0;331.0;-24;802;-982.0;285.0;985.0;222.0
39.0;-223.0;16;5;957.0;107.0;345.0;-23;783;-962.0;298.0;952.0;167.0
-10.0;-92.0;22;10;950.0;139.0;303.0;-24;798;-954.0;302.0;972.0;233.0
17.0;-76.0;19;-11;945.0;177.0;333.0;-24;798;-973.0;281.0;991.0;213.0
30.0;-91.0;18;26;938.0;138.0;342.0;-24;806;-977.0;280.0;978.0;214.0
331.0;-266.0;144;-407;1323.0;865.0;413.0;-19;1141;-985.0;107.0;1169.0;197.0
21.0;-18.0;23;-4;923.0;148.0;309.0;-24;807;-961.0;305.0;958.0;248.0
-60.0;-101.0;24;2;921.0;168.0;348.0;-24;805;-944.0;496.0;854.0;292.0
-53.0;-28.0;15;-10;907.0;89.0;352.0;-24;799;-964.0;301.0;971.0;236.0
-62.0;-13.0;25;-4;931.0;135.0;339.0;-24;794;-958.0;300.0;955.0;235.0
10.0;-49.0;18;25;902.0;186.0;365.0;-24;807;-962.0;305.0;961.0;226.0
-38.0;-2.0;13;-11;948.0;167.0;351.0;-24;800;-973.0;289.0;954.0;226.0
586.0;-541.0;21;-31;1318.0;-33.0;300.0;-35;-800;-688.0;94.0;986.0;35.0
