Accelerometer LWR accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LLA accY;Accelerometer LH accY;Accelerometer LWR accX;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1
385.0;979.0;-247.0;1040.0;-202.0;105;56.0
394.0;753.0;-333.0;838.0;-207.0;-43;393.0
510.0;757.0;-363.0;865.0;-215.0;-60;338.0
436.0;853.0;-287.0;969.0;-322.0;2;199.0
456.0;889.0;-549.0;1160.0;-279.0;97;80.0
247.0;969.0;-229.0;1073.0;-240.0;-46;307.0
506.0;721.0;-251.0;1149.0;-210.0;-26;229.0
463.0;867.0;-287.0;910.0;-345.0;-22;362.0
423.0;901.0;-357.0;928.0;-358.0;-22;362.0
571.0;1190.0;-416.0;1260.0;-424.0;-31;298.0
669.0;526.0;-849.0;720.0;-630.0;-17;236.0
512.0;1023.0;-422.0;947.0;-450.0;-16;274.0
700.0;803.0;-353.0;884.0;-22.0;91;-58.0
288.0;871.0;-625.0;930.0;-673.0;67;311.0
261.0;921.0;-396.0;769.0;-488.0;-52;478.0
451.0;909.0;-451.0;979.0;-403.0;58;-56.0
295.0;758.0;-162.0;1012.0;-212.0;-23;331.0
373.0;836.0;-214.0;896.0;-338.0;-40;479.0
229.0;664.0;-383.0;851.0;-206.0;-35;431.0
512.0;925.0;-304.0;959.0;-244.0;-30;378.0
336.0;963.0;-298.0;1004.0;-302.0;-154;751.0
462.0;1013.0;-335.0;1059.0;-373.0;-21;362.0
430.0;936.0;-349.0;1071.0;-358.0;-60;242.0
395.0;942.0;-173.0;1170.0;-398.0;51;132.0
483.0;897.0;-328.0;955.0;-261.0;-20;185.0
332.0;930.0;-497.0;1198.0;-263.0;44;339.0
461.0;930.0;-443.0;958.0;-307.0;-59;349.0
223.0;1109.0;-252.0;1166.0;-315.0;-54;461.0
437.0;939.0;-382.0;1012.0;-346.0;-25;191.0
427.0;-528.0;-686.0;-365.0;-200.0;-102;670.0
432.0;938.0;-829.0;1008.0;-473.0;-9;303.0
253.0;875.0;-308.0;913.0;-394.0;117;409.0
386.0;640.0;-284.0;775.0;-200.0;-61;201.0
541.0;1036.0;-346.0;1125.0;-289.0;-15;251.0
286.0;926.0;-367.0;1047.0;-455.0;74;125.0
354.0;866.0;-414.0;843.0;-695.0;78;545.0
346.0;922.0;-366.0;1083.0;-377.0;101;306.0
485.0;1310.0;-428.0;1291.0;-439.0;-10;679.0
233.0;778.0;-341.0;833.0;-326.0;-18;168.0
415.0;981.0;-329.0;1039.0;-303.0;31;23.0
309.0;964.0;-299.0;1015.0;-302.0;83;11.0
423.0;803.0;-524.0;1148.0;-332.0;28;377.0
-33.0;803.0;-395.0;849.0;-888.0;67;239.0
657.0;819.0;-374.0;880.0;24.0;91;-54.0
366.0;819.0;-449.0;917.0;-127.0;-15;275.0
363.0;1168.0;-362.0;1001.0;-492.0;-24;376.0
497.0;950.0;-342.0;999.0;-196.0;-30;360.0
385.0;963.0;-256.0;1012.0;-285.0;41;-6.0
386.0;941.0;-477.0;942.0;-313.0;-139;721.0
749.0;777.0;-703.0;283.0;-342.0;65;497.0
315.0;747.0;-207.0;778.0;-289.0;-62;218.0
420.0;875.0;-343.0;1024.0;-226.0;97;581.0
547.0;1146.0;-426.0;1120.0;-370.0;2;121.0
515.0;846.0;-531.0;816.0;-526.0;-155;801.0
549.0;830.0;-295.0;954.0;-286.0;-30;407.0
388.0;1182.0;-191.0;1402.0;-241.0;-47;285.0
260.0;952.0;-320.0;983.0;-310.0;143;645.0
493.0;873.0;-372.0;941.0;54.0;-38;786.0
173.0;846.0;-192.0;825.0;-516.0;-45;84.0
388.0;884.0;-651.0;1025.0;-232.0;50;277.0
168.0;942.0;-297.0;929.0;-682.0;-2;472.0
634.0;1097.0;-326.0;1141.0;-498.0;-45;288.0
497.0;1043.0;-409.0;1248.0;-353.0;56;-45.0
410.0;825.0;-213.0;888.0;-327.0;-25;178.0
317.0;851.0;-690.0;994.0;-233.0;-116;688.0
314.0;884.0;-336.0;808.0;-574.0;-31;324.0
391.0;898.0;-540.0;920.0;-406.0;102;252.0
301.0;1132.0;-197.0;1358.0;-222.0;87;774.0
272.0;719.0;-452.0;1001.0;-236.0;-18;186.0
600.0;1175.0;-426.0;1084.0;-476.0;-43;531.0
602.0;522.0;-868.0;403.0;-761.0;-17;286.0
356.0;828.0;-177.0;892.0;-287.0;149;792.0
463.0;1425.0;-426.0;1469.0;-487.0;97;284.0
381.0;817.0;53.0;966.0;-348.0;157;719.0
444.0;700.0;-228.0;774.0;-287.0;-56;440.0
466.0;930.0;-353.0;1019.0;-274.0;-133;725.0
239.0;918.0;-223.0;963.0;-238.0;27;-460.0
234.0;725.0;-266.0;734.0;-322.0;-46;687.0
348.0;969.0;-340.0;879.0;-470.0;-79;224.0
635.0;851.0;-494.0;737.0;-239.0;91;-53.0
367.0;995.0;-287.0;1040.0;-216.0;61;-27.0
159.0;611.0;-151.0;773.0;-127.0;-51;485.0
185.0;1004.0;-53.0;1036.0;-204.0;40;-12.0
293.0;1107.0;-484.0;1197.0;-333.0;20;17.0
658.0;556.0;-885.0;151.0;-627.0;-154;710.0
619.0;898.0;-498.0;795.0;-263.0;-139;716.0
314.0;882.0;-68.0;874.0;-406.0;-55;300.0
