InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN^ accZ;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
-1554.0;263.0;?;44;989.0;-1.0;335.0;-24;799;-569.0;752.0;?;1081.0
-1267.0;-591.0;21;26;935.0;13.0;268.0;-24;797;?;755.0;-823.0;1082.0
-634.0;79.0;22;0;960.0;7.0;261.0;-24;801;-263.0;741.0;-1082.0;1068.0
-228.0;-52.0;21;-4;1017.0;15.0;361.0;-24;797;-307.0;791.0;-929.0;981.0
60.0;-142.0;21;12;992.0;1.0;350.0;-24;791;-432.0;772.0;-830.0;962.0
263.0;-127.0;21;-1;969.0;9.0;342.0;-24;797;-432.0;817.0;-750.0;935.0
432.0;-49.0;21;-7;971.0;-5.0;271.0;-24;800;-439.0;759.0;-691.0;888.0
545.0;19.0;19;12;1002.0;11.0;193.0;-24;796;-429.0;734.0;-591.0;850.0
764.0;319.0;18;1;1005.0;-4.0;290.0;-24;797;-405.0;702.0;-658.0;954.0
35.0;-56.0;?;17;932.0;-22.0;431.0;-24;797;?;607.0;-696.0;1015.0
13.0;-100.0;19;14;931.0;-42.0;299.0;-24;795;-290.0;591.0;-689.0;?
85.0;-83.0;20;47;961.0;-33.0;486.0;-24;793;-316.0;596.0;-611.0;971.0
202.0;-89.0;20;-16;958.0;-9.0;399.0;-24;792;?;663.0;-499.0;997.0
218.0;-81.0;19;-15;957.0;-7.0;322.0;-24;?;-455.0;777.0;?;972.0
82.0;-64.0;21;39;941.0;-2.0;379.0;-24;797;-486.0;754.0;-234.0;853.0
-87.0;42.0;13;-21;937.0;-16.0;471.0;-24;798;-484.0;732.0;-140.0;801.0
-128.0;192.0;15;-17;920.0;-50.0;619.0;-24;792;-483.0;789.0;-159.0;851.0
-367.0;-56.0;26;5;933.0;-37.0;708.0;-24;796;-481.0;747.0;-234.0;848.0
-648.0;-200.0;25;-16;965.0;?;792.0;-24;797;-489.0;738.0;-241.0;806.0
-725.0;-189.0;19;-9;976.0;15.0;860.0;-24;795;-483.0;781.0;-298.0;928.0
-773.0;-61.0;14;-10;?;-18.0;732.0;-24;797;-509.0;865.0;-441.0;992.0
-857.0;-282.0;12;15;972.0;-50.0;643.0;-24;793;-552.0;930.0;-479.0;970.0
-842.0;-305.0;14;23;974.0;-23.0;518.0;-24;795;-551.0;984.0;-506.0;981.0
-838.0;-318.0;14;19;922.0;-38.0;415.0;-24;794;-568.0;980.0;-518.0;917.0
-815.0;-284.0;20;-6;963.0;-40.0;419.0;-24;793;-537.0;979.0;-517.0;867.0
-827.0;-179.0;22;-43;?;-10.0;413.0;-24;?;-495.0;944.0;-459.0;823.0
-991.0;-114.0;18;-21;964.0;-22.0;380.0;-24;793;-530.0;889.0;-453.0;791.0
?;67.0;25;-15;968.0;-30.0;417.0;-24;795;-537.0;845.0;-421.0;759.0
-1378.0;-29.0;21;-31;995.0;-15.0;333.0;-24;797;-517.0;?;-405.0;779.0
?;474.0;23;7;1019.0;-14.0;327.0;-24;795;-398.0;668.0;-487.0;?
-1174.0;475.0;29;11;958.0;-16.0;359.0;-24;794;-353.0;684.0;-718.0;998.0
-1059.0;283.0;20;-22;964.0;-13.0;312.0;-24;795;-419.0;712.0;-817.0;1037.0
-675.0;-23.0;22;-11;987.0;-20.0;287.0;-24;797;-253.0;723.0;-955.0;1068.0
?;-204.0;25;-10;983.0;-22.0;309.0;-24;799;-296.0;691.0;-1067.0;1046.0
