InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
692.0;524.0;639.0;354.0;497.0;66.0;-323.0;74;92.0;-228.0
677.0;507.0;679.0;227.0;549.0;302.0;-283.0;157;39.0;-222.0
672.0;470.0;695.0;244.0;381.0;674.0;-255.0;62;0.0;-152.0
649.0;117.0;741.0;828.0;537.0;250.0;-171.0;106;3.0;-120.0
665.0;108.0;672.0;675.0;513.0;51.0;-311.0;136;99.0;-293.0
690.0;99.0;600.0;461.0;515.0;-7.0;-398.0;135;75.0;-343.0
680.0;44.0;532.0;230.0;563.0;-180.0;-489.0;18;127.0;-446.0
655.0;430.0;704.0;286.0;423.0;396.0;-272.0;62;22.0;-225.0
639.0;416.0;720.0;311.0;423.0;369.0;-270.0;62;25.0;-180.0
637.0;413.0;720.0;307.0;423.0;358.0;-274.0;62;26.0;-175.0
701.0;31.0;661.0;812.0;542.0;80.0;-237.0;128;-128.0;-257.0
703.0;29.0;643.0;758.0;544.0;68.0;-272.0;126;-132.0;-254.0
697.0;39.0;619.0;622.0;552.0;39.0;-343.0;127;-117.0;-260.0
687.0;26.0;641.0;643.0;564.0;28.0;-337.0;38;-61.0;-261.0
685.0;15.0;653.0;671.0;569.0;23.0;-322.0;41;-34.0;-264.0
681.0;-3.0;668.0;732.0;571.0;27.0;-302.0;44;-4.0;-259.0
678.0;-8.0;678.0;770.0;567.0;41.0;-283.0;62;21.0;-247.0
659.0;-135.0;725.0;973.0;543.0;180.0;-196.0;123;27.0;-197.0
627.0;-70.0;774.0;953.0;491.0;254.0;-60.0;120;-64.0;-121.0
637.0;415.0;718.0;299.0;423.0;338.0;-281.0;62;24.0;-171.0
638.0;417.0;712.0;283.0;420.0;325.0;-292.0;62;25.0;-165.0
645.0;428.0;700.0;258.0;404.0;321.0;-304.0;62;34.0;-164.0
677.0;517.0;631.0;157.0;505.0;326.0;-364.0;38;-104.0;-121.0
695.0;579.0;699.0;312.0;5.0;666.0;-135.0;-7;-104.0;198.0
651.0;446.0;570.0;46.0;-177.0;751.0;-461.0;92;199.0;-158.0
696.0;544.0;537.0;90.0;127.0;513.0;-440.0;-3;183.0;-260.0
560.0;279.0;431.0;110.0;-116.0;140.0;-592.0;55;386.0;-374.0
665.0;446.0;690.0;248.0;532.0;333.0;-283.0;62;28.0;-311.0
175.0;-430.0;414.0;294.0;504.0;453.0;-598.0;-108;663.0;-305.0
271.0;-249.0;494.0;398.0;651.0;73.0;-543.0;-106;622.0;-378.0
694.0;75.0;667.0;823.0;525.0;59.0;-250.0;121;-103.0;-268.0
699.0;73.0;647.0;779.0;525.0;49.0;-285.0;122;-107.0;-266.0
699.0;67.0;615.0;694.0;533.0;36.0;-353.0;121;-96.0;-269.0
696.0;66.0;615.0;690.0;536.0;36.0;-362.0;122;-84.0;-273.0
686.0;62.0;641.0;735.0;550.0;37.0;-344.0;75;-24.0;-272.0
640.0;56.0;719.0;907.0;552.0;80.0;-260.0;58;78.0;-246.0
552.0;86.0;239.0;38.0;297.0;357.0;-671.0;91;433.0;-419.0
376.0;-80.0;663.0;343.0;468.0;-253.0;-524.0;91;380.0;-619.0
695.0;261.0;447.0;-70.0;410.0;12.0;-510.0;88;240.0;-564.0
698.0;280.0;442.0;-85.0;396.0;-2.0;-517.0;88;224.0;-555.0
722.0;533.0;528.0;-81.0;525.0;167.0;-447.0;20;-28.0;-196.0
704.0;534.0;609.0;18.0;538.0;280.0;-354.0;-50;-94.0;-130.0
664.0;478.0;711.0;448.0;445.0;203.0;-227.0;74;46.0;-220.0
640.0;418.0;765.0;621.0;528.0;29.0;-63.0;74;35.0;-316.0
669.0;487.0;705.0;247.0;497.0;95.0;-223.0;20;69.0;-241.0
672.0;463.0;632.0;91.0;400.0;-238.0;-348.0;19;168.0;-449.0
686.0;434.0;682.0;279.0;506.0;187.0;-250.0;36;-40.0;-232.0
637.0;332.0;649.0;258.0;529.0;-141.0;-384.0;69;158.0;-435.0
706.0;481.0;664.0;271.0;532.0;235.0;-245.0;6;-16.0;-94.0
613.0;295.0;523.0;275.0;381.0;-72.0;-502.0;158;314.0;-430.0
653.0;400.0;720.0;342.0;517.0;261.0;-232.0;37;25.0;-187.0
657.0;395.0;582.0;315.0;402.0;7.0;-416.0;158;238.0;-389.0
