InertialMeasurementUnit LLA Quaternion3;InertialMeasurementUnit LUA magneticZ;InertialMeasurementUnit LLA Quaternion1;InertialMeasurementUnit LLA magneticX;InertialMeasurementUnit RLA Quaternion2;InertialMeasurementUnit RLA Quaternion1;InertialMeasurementUnit LLA Quaternion4;InertialMeasurementUnit R-SHOE EuX;InertialMeasurementUnit LLA Quaternion2;InertialMeasurementUnit RUA Quaternion1
685.0;443.0;697.0;509.0;505.0;352.0;-135.0;19;-163.0;-59.0
671.0;24.0;738.0;929.0;496.0;142.0;-67.0;136;-35.0;-212.0
674.0;67.0;732.0;879.0;502.0;123.0;-99.0;136;-15.0;-230.0
674.0;96.0;720.0;821.0;506.0;105.0;-162.0;136;31.0;-245.0
665.0;108.0;672.0;675.0;513.0;51.0;-311.0;136;99.0;-293.0
690.0;99.0;600.0;461.0;515.0;-7.0;-398.0;135;75.0;-343.0
712.0;95.0;560.0;367.0;516.0;-33.0;-422.0;134;49.0;-363.0
724.0;86.0;456.0;130.0;534.0;-127.0;-517.0;136;15.0;-436.0
680.0;44.0;532.0;230.0;563.0;-180.0;-489.0;18;127.0;-446.0
692.0;-1.0;685.0;1043.0;525.0;104.0;-209.0;137;-90.0;-260.0
701.0;31.0;661.0;812.0;542.0;80.0;-237.0;128;-128.0;-257.0
703.0;29.0;643.0;758.0;544.0;68.0;-272.0;126;-132.0;-254.0
697.0;39.0;619.0;622.0;552.0;39.0;-343.0;127;-117.0;-260.0
687.0;26.0;641.0;643.0;564.0;28.0;-337.0;38;-61.0;-261.0
685.0;15.0;653.0;671.0;569.0;23.0;-322.0;41;-34.0;-264.0
681.0;-3.0;668.0;732.0;571.0;27.0;-302.0;44;-4.0;-259.0
678.0;-8.0;678.0;770.0;567.0;41.0;-283.0;62;21.0;-247.0
657.0;-28.0;732.0;841.0;526.0;188.0;-178.0;122;27.0;-160.0
651.0;-49.0;751.0;856.0;499.0;232.0;-112.0;130;-23.0;-129.0
620.0;-181.0;770.0;1043.0;446.0;499.0;24.0;100;-150.0;108.0
638.0;-181.0;734.0;1145.0;461.0;490.0;142.0;82;-186.0;105.0
634.0;-83.0;767.0;885.0;478.0;230.0;18.0;123;-98.0;-102.0
582.0;-88.0;754.0;1038.0;491.0;253.0;181.0;147;-246.0;26.0
647.0;-30.0;754.0;890.0;512.0;179.0;10.0;123;-115.0;-166.0
653.0;-7.0;749.0;893.0;519.0;163.0;-17.0;123;-110.0;-184.0
660.0;19.0;743.0;890.0;524.0;153.0;-57.0;123;-95.0;-198.0
664.0;38.0;737.0;892.0;525.0;135.0;-101.0;122;-80.0;-220.0
669.0;60.0;726.0;896.0;527.0;106.0;-141.0;122;-78.0;-242.0
678.0;72.0;709.0;886.0;527.0;83.0;-177.0;122;-85.0;-258.0
687.0;79.0;688.0;862.0;526.0;70.0;-213.0;122;-96.0;-266.0
694.0;75.0;667.0;823.0;525.0;59.0;-250.0;121;-103.0;-268.0
699.0;73.0;647.0;779.0;525.0;49.0;-285.0;122;-107.0;-266.0
699.0;67.0;615.0;694.0;533.0;36.0;-353.0;121;-96.0;-269.0
696.0;66.0;615.0;690.0;536.0;36.0;-362.0;122;-84.0;-273.0
686.0;62.0;641.0;735.0;550.0;37.0;-344.0;75;-24.0;-272.0
640.0;56.0;719.0;907.0;552.0;80.0;-260.0;58;78.0;-246.0
653.0;110.0;663.0;960.0;578.0;67.0;-327.0;71;165.0;-285.0
674.0;236.0;690.0;1019.0;517.0;125.0;-246.0;85;98.0;-241.0
660.0;167.0;720.0;1069.0;495.0;179.0;-196.0;86;83.0;-180.0
