InertialMeasurementUnit RUA gyroZ;InertialMeasurementUnit BACK gyroX;InertialMeasurementUnit L-SHOE Nav_Az;InertialMeasurementUnit L-SHOE AngVelBodyFrameZ;Accelerometer HIP accY;Accelerometer RKN^ accZ;Accelerometer LUA^ accX;InertialMeasurementUnit R-SHOE EuY;InertialMeasurementUnit R-SHOE Body_Az;InertialMeasurementUnit RUA accX;Accelerometer RUA_ accX;Accelerometer RUA_ accY;InertialMeasurementUnit RUA accY
-7.0;-48.0;17;11;928.0;119.0;303.0;-24;808;-969.0;316.0;960.0;264.0
-8.0;-18.0;20;6;919.0;111.0;331.0;-24;803;-976.0;283.0;970.0;218.0
642.0;-94.0;23;-934;1293.0;1435.0;456.0;-1;176;-925.0;108.0;1054.0;131.0
42.0;6.0;12;10;918.0;-11.0;390.0;-25;798;-234.0;600.0;-429.0;943.0
-18.0;-60.0;14;-1;937.0;147.0;338.0;-24;803;-978.0;310.0;981.0;247.0
-47.0;-45.0;15;-14;964.0;3.0;423.0;-23;782;-896.0;367.0;960.0;225.0
-51.0;-24.0;18;33;952.0;105.0;293.0;-31;801;-970.0;242.0;1002.0;189.0
4.0;-31.0;22;-7;946.0;148.0;342.0;-24;800;-975.0;291.0;976.0;226.0
-61.0;125.0;20;23;936.0;128.0;317.0;-24;795;-964.0;282.0;980.0;219.0
23.0;-25.0;20;10;948.0;133.0;342.0;-24;802;-971.0;279.0;997.0;233.0
96.0;1320.0;9;92;1049.0;330.0;339.0;-62;851;-1174.0;262.0;933.0;211.0
45.0;46.0;18;-2;948.0;203.0;306.0;-24;807;-964.0;252.0;978.0;177.0
-105.0;47.0;-189;616;896.0;-79.0;255.0;-30;829;-871.0;279.0;906.0;232.0
-249.0;508.0;1456;2287;897.0;230.0;167.0;-24;801;-707.0;258.0;791.0;249.0
19.0;43.0;19;0;928.0;118.0;336.0;-24;803;-972.0;278.0;983.0;218.0
42.0;-10.0;21;-16;929.0;168.0;324.0;-24;795;-944.0;323.0;935.0;259.0
-243.0;132.0;-257;113;879.0;1010.0;361.0;-74;1760;-1129.0;208.0;1316.0;241.0
-352.0;673.0;17;-1377;870.0;180.0;314.0;-41;807;-918.0;328.0;955.0;297.0
-10.0;95.0;-36;22;1005.0;354.0;401.0;-8;2768;-878.0;169.0;910.0;187.0
12.0;2.0;16;-5;899.0;93.0;344.0;-24;796;-970.0;284.0;995.0;211.0
996.0;-190.0;18;5;920.0;-30.0;493.0;-26;796;-938.0;851.0;399.0;405.0
-38.0;289.0;92;-338;898.0;135.0;327.0;-23;798;-975.0;272.0;999.0;162.0
6.0;-39.0;16;2;919.0;156.0;331.0;-24;802;-982.0;285.0;985.0;222.0
-10.0;-37.0;19;19;929.0;119.0;341.0;-24;808;-971.0;286.0;975.0;233.0
-153.0;443.0;2618;-89;1314.0;70.0;162.0;-28;790;-786.0;195.0;816.0;330.0
34.0;-21.0;21;14;960.0;109.0;348.0;-24;802;-974.0;276.0;980.0;216.0
275.0;-1499.0;230;3370;977.0;117.0;266.0;-34;808;-933.0;78.0;1027.0;132.0
19.0;-12.0;17;-15;923.0;142.0;352.0;-24;799;-968.0;291.0;991.0;227.0
