Accelerometer LWR accZ;Accelerometer LUA_ accY;InertialMeasurementUnit LLA accY;Accelerometer LH accY;Accelerometer LWR accX;InertialMeasurementUnit L-SHOE EuX;InertialMeasurementUnit BACK Quaternion1
554.0;-736.0;-628.0;-1078.0;-219.0;116;-683.0
388.0;-743.0;-732.0;-1076.0;-271.0;116;-672.0
330.0;-695.0;-710.0;-1038.0;-314.0;116;-675.0
343.0;-803.0;-744.0;-913.0;-272.0;116;-672.0
323.0;-1004.0;-641.0;-772.0;-211.0;116;?
257.0;-1025.0;-710.0;-1049.0;-197.0;116;-668.0
370.0;-804.0;-709.0;-1313.0;-167.0;116;-665.0
419.0;-739.0;-620.0;-1257.0;-318.0;116;-665.0
466.0;-633.0;-547.0;-1186.0;-605.0;116;-668.0
841.0;-151.0;-632.0;-658.0;165.0;116;-658.0
1051.0;-300.0;?;-659.0;277.0;116;-657.0
1285.0;-325.0;-773.0;-628.0;306.0;116;-657.0
1256.0;-461.0;-828.0;-693.0;406.0;116;-657.0
1213.0;-443.0;-891.0;-686.0;398.0;116;-657.0
1098.0;-438.0;-999.0;-801.0;338.0;116;-656.0
1063.0;-464.0;-1026.0;-810.0;174.0;116;-656.0
987.0;-532.0;-1001.0;-877.0;-112.0;116;-657.0
897.0;-489.0;-999.0;-936.0;-232.0;116;-657.0
706.0;-512.0;-977.0;-867.0;-292.0;116;-656.0
688.0;-514.0;-979.0;-829.0;-268.0;116;-657.0
620.0;-465.0;-1008.0;-801.0;-195.0;116;-658.0
635.0;-441.0;-1036.0;-753.0;-214.0;116;-656.0
534.0;-478.0;-989.0;?;-229.0;116;-656.0
453.0;-558.0;-895.0;-695.0;-331.0;116;-657.0
473.0;-811.0;-811.0;-689.0;-345.0;116;-658.0
356.0;-1163.0;-773.0;?;-378.0;116;-661.0
184.0;-1273.0;-639.0;-581.0;-298.0;116;-662.0
-196.0;-1227.0;?;-1035.0;-387.0;116;-664.0
14.0;-957.0;-696.0;-1387.0;-299.0;116;-666.0
319.0;-824.0;-617.0;-1410.0;-269.0;116;-672.0
671.0;-679.0;-387.0;-1391.0;-287.0;116;-674.0
783.0;-611.0;-432.0;-1329.0;-269.0;116;-675.0
796.0;-588.0;-753.0;-1044.0;-133.0;116;-674.0
681.0;-673.0;-870.0;-921.0;-113.0;116;-672.0
517.0;-771.0;?;-855.0;-138.0;116;-671.0
335.0;-812.0;-982.0;-891.0;-132.0;116;-670.0
317.0;-861.0;-859.0;-867.0;-159.0;?;-669.0
339.0;-733.0;?;-965.0;-253.0;116;-671.0
251.0;-689.0;-663.0;-905.0;-448.0;?;-675.0
207.0;-704.0;-605.0;-870.0;-555.0;116;-679.0
233.0;-787.0;-581.0;-975.0;-715.0;116;-682.0
