aimp;arnd;amud;asin1;asin2;bso1;ced1;bed1;bed2;adfl;bso2
?;11.253658783629971;27.0;?;-0.1759865990365776;?;299.6497230442289;?;2.748616771548492e-06;1.0;0.9321449768970166
0.0;11.3119374349325;27.0;-0.5733982576406564;-0.1757897170057224;26.53408059751792;298.9338666926015;0.1830928175052508;2.6111859329710672e-06;1.0;0.9651321906698116
0.0;11.244320974409158;27.0;-0.573414643061519;-0.1755928279431666;26.549391576185123;298.21832698185386;0.1812618893301983;2.480626636322514e-06;1.0;0.9971674689754174
0.0;11.434847137690976;?;-0.5734310282530275;-0.1753959318570097;?;297.5031212713452;0.1794492704368963;2.356595304506388e-06;1.0;1.027974369229113
0.0;11.348805618386445;27.0;-0.5734474132151518;?;26.579490023221062;?;0.1776547777325273;2.2387655392810685e-06;1.0;1.0572993198735174
0.0;?;27.0;-0.5734637979479088;?;?;296.07378011516306;0.1758782299552021;?;1.0;?
?;11.374588929794728;27.0;-0.5734801824512687;-0.1748052015347962;26.608783100978;295.35967822247324;0.1741194476556501;?;1.0;1.110612674229885
0.0;11.371594663231424;27.0;-0.5734965667252482;-0.1746082774325481;?;294.6459774409849;0.1723782531790936;1.919461604241106e-06;1.0;1.1342210408308886
0.0;11.44071465122996;27.0;-0.5735129507698173;-0.174411346345857;?;293.93269397930925;0.1706544706473027;1.8234885240290503e-06;1.0;?
0.0;?;27.0;-0.5735293345849929;-0.174214408282824;26.650963475111883;?;0.1689479259408296;1.732314097827598e-06;1.0;1.1745953573196988
0.0;11.40565837513811;27.0;-0.5735457181707568;-0.1740174632512147;26.66450477003951;?;0.1672584466814213;1.6456983929362182e-06;1.0;1.1911463058494305
0.0;11.412125397273106;27.0;-0.5735621015270908;-0.1738205112587949;26.67776850606011;291.7955062725227;0.1655858622146071;?;1.0;1.2051761035069908
0.0;11.341820032415542;27.0;?;-0.1736235523136667;26.69074507482718;291.0840497572976;0.1639300035924611;?;1.0;1.2166461992493771
0.0;11.426023524732797;27.0;-0.5735948675514893;-0.1734265864234844;26.70342569500032;290.37308831158225;?;1.41098065964369e-06;1.0;1.22554461675198
0.0;11.460751837560304;27.0;?;-0.1732296135963507;26.715802393576265;289.66263684316846;0.1606677965209711;1.3404316266615057e-06;1.0;1.231885037604525
0.0;11.473484732922444;?;-0.573627632658136;?;26.72786798687969;288.95271005119474;?;1.27341004532843e-06;1.0;1.2357056613141455
0.0;?;27.0;-0.5736440148672919;?;?;288.2433224284114;0.1574705073702038;1.2097395430620083e-06;1.0;1.2370678535175
0.0;11.433007971973998;27.0;-0.5736603968469784;-0.1726386535711355;26.751040949656748;287.53448826342265;0.1558958022965017;1.1492525659089082e-06;1.0;1.2360546660314176
0.0;11.163690732664756;27.0;-0.5736767785972126;-0.1724416530745399;26.76213771810364;286.8262216429059;0.1543368442735367;1.0917899376134629e-06;1.0;1.2327691612368157
0.0;10.916322586162876;27.0;-0.573693160117976;-0.1722446456802782;26.77290213779085;286.118536453808;0.1527934758308013;1.0372004407327897e-06;1.0;?
0.0;10.979947938092325;27.0;-0.5737095414092505;?;?;285.41144638551907;0.1512655410724933;9.8534041869615e-07;0.0;1.2149527754723806
0.0;11.022735264677925;27.0;-0.5737259224710528;-0.1718506102301661;?;284.70496493202427;?;9.360733977613426e-07;0.0;1.1911585067696175
0.0;10.98375794673874;27.0;-0.5737423033033531;-0.171653582190077;26.803169197709224;283.99910539403334;0.1482553568051507;8.892697278732755e-07;0.0;?
0.0;10.834600406181533;27.0;?;-0.1714565472839567;26.81257535658;283.29388088108834;?;8.448062414796117e-07;0.0;1.1121276505400377
0.0;11.024928461480403;27.0;?;-0.1712595055194625;?;282.5893043136498;?;8.025659294056311e-07;0.0;1.0584771216917024
?;10.916627845163884;?;-0.5737914444232696;-0.1710624569047001;26.83035639158397;281.8853884251615;0.1438520244526809;7.624376329353495e-07;0.0;0.9965630777572474
0.0;10.876978280625776;27.0;-0.5738078243375428;?;26.838730961165435;281.1821457640942;0.1424135042081541;?;0.0;0.9273159077712302
?;10.87929825495272;27.0;-0.5738242040223047;-0.1706683391554507;26.84676226599666;280.47958869596795;0.1409893691660726;6.880999637241529e-07;0.0;?
0.0;10.84263605117772;27.0;-0.5738405834775252;-0.1704712700368405;26.85445151315872;279.7777294053545;0.1395794754744118;6.536949655379453e-07;0.0;0.7707097864218174
?;?;27.0;-0.5738569627032211;-0.1702741940992675;?;279.0765798978581;0.1381836807196677;?;?;0.6853452148433655
0.0;10.864001430937265;27.0;-0.5738733416993742;-0.1700771113508387;26.868810924328432;278.376152002077;0.1368018439124711;5.899597063979956e-07;?;?
0.0;10.794746824470623;27.0;-0.5738897204659663;?;26.875485800807635;277.67645737154413;0.1354338254733464;5.604617210780958e-07;0.0;0.5055208761920379
0.0;10.671742601834127;27.0;-0.5739060990030143;-0.1696829254524995;26.881827989347165;276.9775074866481;?;5.32438635024191e-07;?;?
0.0;10.68307894019826;27.0;-0.5739224773104881;-0.1694858223183565;?;276.2793136565346;0.1327386923464268;5.058167032729815e-07;0.0;0.3201536225035833
0.0;10.664252945254914;27.0;-0.5739388553884045;-0.1692887124048926;?;275.58188702098795;0.1314113054229625;4.805258681093324e-07;0.0;0.2277668483116427
0.0;10.731994813180462;27.0;-0.5739552332367338;-0.1690915957198802;26.89889440718917;274.88523855229374;0.1300971923687329;4.564995747038658e-07;0.0;?
0.0;?;27.0;-0.5739716108554926;-0.168894472271092;26.903943653796286;274.1893790570819;0.1287962204450455;4.336745959686725e-07;0.0;?
0.0;10.327455917409536;?;?;-0.168697342066637;26.908680875031;273.4943191781513;0.1275082582405951;4.119908661702389e-07;0.0;-0.037751365649749
0.0;10.304822565472673;27.0;-0.5740043654042262;-0.1685002051141762;?;272.800069396275;?;?;0.0;-0.1197754117383879
0.0;10.327087854874804;27.0;-0.5740207423341994;-0.1683030614218194;26.917239984235845;272.1066400319877;0.1249708439016072;3.718217567186406e-07;0.0;-0.1974101121373257
0.0;10.381864811580128;27.0;?;?;?;271.4140412473544;0.1237211354625912;3.5323066888270853e-07;0.0;-0.270067184482758
0.0;?;27.0;-0.5740534955053028;-0.1679087538485123;26.924615910408804;?;?;3.355691354385731e-07;0.0;-0.337230166524101
0.0;?;27.0;-0.5740698717464199;-0.1677115899833343;26.92787506182252;270.03137528344394;0.1212590848668856;?;0.0;-0.3984566665861786
0.0;?;27.0;-0.5740862477579206;-0.1675144194098049;26.930856697206064;269.3413276516118;0.1200464940182167;3.028511447333122e-07;0.0;-0.4533797626097953
